application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11689231,6,2007-04-17,OIPE,0,,0,
11689231,10,2007-06-11,TSSCOMP,0,,0,
11689231,11,2008-01-07,TI1050,0,,0,
11689231,12,2008-03-25,DOCK,0,,0,
11689231,13,2008-09-25,PG-ISSUE,0,,0,
11689231,14,2008-12-04,DOCK,0,,0,
11689231,19,2009-05-20,CTNF,0,,0,
11689231,20,2009-05-22,MCTNF,366,PTO,.5,
11689231,21,2009-05-22,EML_NTF,0,,0,
11689231,22,2009-05-22,ELC_RVW,0,,0,
11689231,23,2009-10-22,XT/G,0,,0,
11689231,24,2009-10-22,A...,61,APPL,20,
11689231,25,2009-12-11,FWDX,0,,0,
11689231,26,2010-02-24,EXIN,0,,0,
11689231,27,2010-03-01,CTFR,0,,0,
11689231,28,2010-03-08,MCTFR,14,PTO,24,
11689231,29,2010-03-08,EML_NTF,0,,0,
11689231,30,2010-03-08,ELC_RVW,0,,0,
11689231,31,2010-09-07,XT/G,0,,0,
11689231,32,2010-09-07,A.NE,91,APPL,28,
11689231,33,2010-09-09,FWDX,0,,0,
11689231,34,2010-09-21,CTNF,0,,0,
11689231,35,2010-09-27,MCTNF,0,,0,
11689231,36,2010-09-27,EML_NTF,0,,0,
11689231,37,2010-10-05,PST_CRD,0,,0,
11689231,38,2011-02-28,XT/G,0,,0,
11689231,39,2011-02-28,A...,63,APPL,35,
11689231,40,2011-03-03,FWDX,0,,0,
11689231,41,2011-03-07,C.AD,0,,0,
11689231,42,2011-03-09,PA..,0,,0,
11689231,43,2011-03-09,EML_NTR,0,,0,
11689231,44,2011-05-17,CTNF,0,,0,
11689231,45,2011-05-19,MCTNF,0,,0,
11689231,46,2011-05-19,EML_NTF,0,,0,
11689231,47,2011-05-19,ELC_RVW,0,,0,
11689231,48,2011-08-18,A...,0,,0,
11689231,49,2011-09-09,FWDX,0,,0,
11689231,55,2011-10-03,EX.R,0,,0,
11689231,56,2011-10-04,N/=.,0,,0,
11689231,57,2011-10-04,DVER,0,,0,
11689231,61,2011-10-11,MN/=.,0,,0,
11689231,.5,2007-03-21,EFILE,0,,0,
11689231,66,2012-01-10,IFEE,0,,0,
11689231,67,2012-01-10,N084,0,,0,
11689231,68,2012-01-19,PILS,0,,0,
11689231,70,2012-01-20,D1935,0,,0,
11689231,69,2012-01-20,C.AD,0,,0,
11689231,71,2012-02-14,PTAC,0,,0,
11689231,71.5,2012-02-14,PTA36M,695,PTO,.5,
11411438,1,2006-04-25,IEXX,0,,0,
11411438,2,2006-04-30,SCAN,0,,0,
12489013,1,2009-06-22,IEXX,0,,0,
12489013,2,2009-06-22,SCAN,0,,0,
12489013,3,2009-06-22,WIDS,0,,0,
12489013,5,2009-06-22,PDREQUST,0,,0,
12489013,10,2009-06-22,M844,0,,0,
12489013,11,2009-06-22,RCAP,0,,0,
12489013,12,2009-06-22,RQPR,0,,0,
12489013,15,2009-06-22,IDSC,0,,0,
12489013,4,2009-06-23,L194,0,,0,
12489013,6,2009-07-02,FLRCPT.O,0,,0,
12489013,7,2009-07-02,OIPE,0,,0,
12489013,13,2009-07-06,RQPR,0,,0,
12489013,8,2009-10-08,PG-ISSUE,0,,0,
12489013,9,2009-10-09,EML_NTR,0,,0,
12489013,14,2010-06-08,DOCK,0,,0,
