application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13137160,30,2012-10-03,N/=.,0,,0,
13137160,33,2012-10-04,MN/=.,0,,0,
13137160,.5,2011-07-25,EFILE,0,,0,
13137160,37,2012-12-28,N084,0,,0,
13137160,36,2012-12-28,IFEE,0,,0,
13137160,38,2013-01-02,PILS,0,,0,
13137160,39,2013-01-02,D1935,0,,0,
13137160,41,2013-02-05,PTAC,0,,0,
13137160,41.5,2013-02-05,PTA36M,0,PTO,.5,
12848386,1,2010-08-02,IEXX,0,,0,
12848386,2,2010-08-02,SCAN,0,,0,
12848386,3,2010-08-03,L194,0,,0,
12848386,16,2010-08-03,RQPR,0,,0,
12848386,4,2010-08-17,FLRCPT.O,0,,0,
12848386,5,2010-08-17,INCD,0,,0,
12848386,6,2010-08-17,EML_NTR,0,,0,
12848386,7,2010-08-17,EML_NTF,0,,0,
12848386,8,2010-08-17,ELC_RVW,0,,0,
12848386,9,2010-08-25,OATHDECL,0,,0,
12848386,10,2010-08-25,ADDFLFEE,0,,0,
12848386,12,2010-09-08,PGPC,0,,0,
12848386,11,2010-09-09,FLRCPT.U,0,,0,
12848386,13,2010-09-09,EML_NTR,0,,0,
12848386,14,2010-09-09,COMP,0,,0,
12848386,15,2010-10-04,OIPE,0,,0,
12848386,17,2010-11-30,WIDS,0,,0,
12848386,18,2010-11-30,M844,0,,0,
12848386,19,2010-11-30,WIDS,0,,0,
12848386,24,2010-11-30,IDSC,0,,0,
12848386,36,2010-11-30,IDSC,0,,0,
12848386,20,2011-02-10,PG-ISSUE,0,,0,
12848386,21,2011-02-11,EML_NTR,0,,0,
12848386,22,2011-05-27,DOCK,0,,0,
12848386,23,2012-02-02,DOCK,0,,0,
12848386,25,2012-07-11,CTNF,0,,0,
12848386,27,2012-07-17,MCTNF,289,PTO,.5,
12848386,28,2012-07-17,EML_NTF,0,,0,
12848386,29,2012-07-17,ELC_RVW,0,,0,
12848386,30,2012-09-17,A...,0,,0,
12848386,31,2012-09-19,FWDX,0,,0,
12848386,38,2012-10-01,EXIE,0,,0,
12848386,41,2012-10-04,A.NQ,0,,0,
12848386,39,2012-10-05,EX.A,0,,0,
12848386,40,2012-10-05,EX.R,0,,0,
12848386,42,2012-10-06,DVER,0,,0,
12848386,44,2012-10-06,N/=.,0,,0,
12848386,49,2012-10-11,MN/=.,0,,0,
12848386,.5,2010-08-02,EFILE,0,,0,
12848386,53,2012-12-12,M327-D,0,,0,
12848386,55,2012-12-14,EML_NTR,0,,0,
12848386,54,2012-12-14,MM327-D,0,,0,
12848386,57,2012-12-21,A.NA,13,APPL,59,
12848386,58,2012-12-28,N271,0,,0,
12848386,59,2013-01-02,MN271,0,,0,
12848386,62,2013-01-03,PILS,0,,0,
12848386,61,2013-01-03,IFEE,0,,0,
12848386,60,2013-01-03,EML_NTR,0,,0,
12848386,64,2013-01-07,D1935,0,,0,
12848386,66,2013-02-05,PTAC,0,,0,
12848386,66.5,2013-02-05,PTA36M,0,PTO,.5,
12575023,1,2009-10-07,IEXX,0,,0,
12575023,2,2009-10-07,SCAN,0,,0,
12575023,3,2009-10-08,L194,0,,0,
12575023,4,2009-10-22,FLRCPT.O,0,,0,
12575023,5,2009-10-22,PGPC,0,,0,
12575023,6,2009-11-18,OIPE,0,,0,
12575023,7,2009-12-31,WIDS,0,,0,
12575023,8,2009-12-31,M844,0,,0,
12575023,18,2009-12-31,IDSC,0,,0,
12575023,9,2010-10-28,PG-ISSUE,0,,0,
12575023,10,2011-02-11,TI1050,0,,0,
12575023,11,2011-02-27,TI1050,0,,0,
12575023,12,2011-03-18,TI1050,0,,0,
12575023,13,2011-03-20,DOCK,0,,0,
12575023,14,2011-03-21,DOCK,0,,0,
12575023,19,2011-04-20,CTNF,0,,0,
12575023,20,2011-04-22,MCTNF,136,PTO,.5,
12575023,21,2011-07-22,A...,0,,0,
12575023,22,2011-08-09,FWDX,0,,0,
12575023,23,2011-10-01,CTFR,0,,0,
12575023,25,2011-10-05,MCTFR,0,,0,
12575023,26,2011-12-05,A.NE,0,,0,
12575023,27,2011-12-08,FWDX,0,,0,
12575023,28,2011-12-13,CTAV,0,,0,
12575023,30,2011-12-15,MCTAV,0,,0,
12575023,31,2012-01-05,BRCE,0,,0,
12575023,33,2012-01-05,RCEX,0,,0,
12575023,32,2012-01-09,ABN9,0,,0,
12575023,35,2012-01-09,FWDX,0,,0,
12575023,36,2012-01-29,CTNF,0,,0,
12575023,38,2012-01-31,MCTNF,0,,0,
12575023,39,2012-04-04,EXIA,0,,0,
12575023,40,2012-04-30,A...,0,,0,
12575023,41,2012-05-02,FWDX,0,,0,
12575023,43,2012-05-15,MEXIA,0,,0,
12575023,47,2012-09-27,EXIE,0,,0,
12575023,45,2012-10-01,EX.A,0,,0,
12575023,46,2012-10-01,EX.R,0,,0,
12575023,48,2012-10-04,N/=.,0,,0,
12575023,49,2012-10-04,DVER,0,,0,
12575023,55,2012-10-05,MN/=.,36,PTO,40,
12575023,.5,2009-10-07,EFILE,0,,0,
12575023,58,2013-01-02,IFEE,0,,0,
12575023,59,2013-01-02,N084,0,,0,
12575023,60,2013-01-04,PILS,0,,0,
12575023,62,2013-01-07,D1935,0,,0,
12575023,61,2013-01-07,D1935,0,,0,
12575023,64,2013-02-05,PTAC,0,,0,
12575023,64.5,2012-01-04,PTA36M,0,PTO,.5,
12645767,1,2009-12-23,IEXX,0,,0,
12645767,2,2009-12-23,SCAN,0,,0,
12645767,4,2009-12-23,APPERMS,0,,0,
12645767,3,2010-01-02,L194,0,,0,
12645767,6,2010-01-11,PGPC,0,,0,
12645767,5,2010-01-12,FLRCPT.O,0,,0,
12645767,7,2010-01-12,EML_NTR,0,,0,
12645767,9,2010-01-27,RQPR,0,,0,
12645767,15,2010-01-27,RQPR,0,,0,
12645767,8,2010-02-01,OIPE,0,,0,
12645767,10,2010-06-17,WIDS,0,,0,
12645767,11,2010-06-17,M844,0,,0,
12645767,12,2010-06-17,RCAP,0,,0,
12645767,16,2010-06-17,M844,0,,0,
12645767,19,2010-06-17,IDSC,0,,0,
12645767,13,2010-07-01,PG-ISSUE,0,,0,
12645767,14,2010-07-02,EML_NTR,0,,0,
12645767,17,2012-03-26,DOCK,0,,0,
12645767,18,2012-07-09,DOCK,0,,0,
12645767,24,2012-09-19,EX.R,0,,0,
12645767,25,2012-09-20,N/=.,0,,0,
12645767,26,2012-09-20,DVER,0,,0,
12645767,30,2012-09-26,MN/=.,581,PTO,.5,
12645767,.5,2009-12-23,EFILE,0,,0,
12645767,32,2012-09-27,ELC_RVW,0,,0,
12645767,35,2012-12-20,IFEE,0,,0,
12645767,36,2012-12-20,N084,0,,0,
12645767,38,2013-01-04,D1935,0,,0,
12645767,37,2013-01-04,PILS,0,,0,
12645767,40,2013-02-05,PTAC,0,,0,
12645767,40.5,2013-02-05,PTA36M,44,PTO,.5,
11969335,1,2008-01-04,IEXX,0,,0,
11969335,2,2008-01-04,WIDS,0,,0,
11969335,16,2008-01-04,EIDS.,0,,0,
11969335,27,2008-01-04,IDSC,0,,0,
11969335,3,2008-01-09,SCAN,0,,0,
11969335,4,2008-01-14,L194,0,,0,
11969335,5,2008-01-28,INCD,0,,0,
11969335,6,2008-01-28,FLRCPT.O,0,,0,
11969335,7,2008-01-28,EML_NTF,0,,0,
11969335,8,2008-01-28,EML_NTR,0,,0,
11969335,9,2008-01-29,ELC_RVW,0,,0,
11969335,10,2008-02-07,FLFEE,0,,0,
11969335,17,2008-04-14,A.PE,0,,0,
11969335,13,2008-04-22,PGPC,0,,0,
11969335,11,2008-04-23,COMP,0,,0,
11969335,12,2008-04-23,FLRCPT.U,0,,0,
11969335,14,2008-04-23,EML_NTR,0,,0,
11969335,15,2008-05-07,OIPE,0,,0,
11969335,18,2008-06-19,TSSCOMP,0,,0,
11969335,19,2009-03-19,PG-ISSUE,0,,0,
11969335,20,2009-03-20,EML_NTR,0,,0,
11969335,21,2009-08-03,C.AD,0,,0,
11969335,22,2009-08-06,PA..,0,,0,
11969335,23,2009-09-28,DOCK,0,,0,
11969335,24,2009-09-29,DOCK,0,,0,
11969335,25,2009-09-29,DOCK,0,,0,
11969335,32,2009-11-16,WIDS,0,,0,
11969335,36,2009-11-16,EIDS.,0,,0,
11969335,37,2009-11-16,RCAP,0,,0,
11969335,40,2009-11-16,IDSC,0,,0,
11969335,31,2009-11-17,CTNF,0,,0,
11969335,33,2009-11-18,MCTNF,259,PTO,.5,
11969335,34,2009-12-14,A...,0,,0,
11969335,35,2010-01-22,FWDX,0,,0,
11969335,38,2010-03-16,DOCK,0,,0,
11969335,42,2010-04-09,CTFR,0,,0,
11969335,43,2010-04-09,MCTFR,0,,0,
11969335,44,2010-04-26,WIDS,0,,0,
11969335,45,2010-04-26,M844,0,,0,
11969335,46,2010-04-26,RCAP,0,,0,
11969335,55,2010-04-26,IDSC,0,,0,
11969335,47,2010-05-27,EXIN,0,,0,
11969335,48,2010-06-01,MEXIN,0,,0,
11969335,49,2010-06-04,BRCE,0,,0,
11969335,51,2010-06-04,RCEX,0,,0,
11969335,50,2010-06-08,ABN9,0,,0,
11969335,53,2010-06-08,FWDX,0,,0,
11969335,54,2010-10-06,DOCK,0,,0,
11969335,56,2012-05-29,CTNF,0,,0,
11969335,58,2012-06-01,MCTNF,606,PTO,51,
11969335,59,2012-06-01,EML_NTF,0,,0,
11969335,60,2012-06-01,ELC_RVW,0,,0,
11969335,61,2012-09-04,A...,3,APPL,58,
11969335,62,2012-09-10,FWDX,0,,0,
11969335,64,2012-09-26,EX.A,0,,0,
11969335,65,2012-09-26,EX.R,0,,0,
11969335,66,2012-09-27,N/=.,0,,0,
11969335,67,2012-09-27,DVER,0,,0,
11969335,72,2012-10-02,MN/=.,0,,0,
11969335,.5,2008-01-04,EFILE,0,,0,
11969335,78,2012-12-27,N084,0,,0,
11969335,77,2012-12-27,IFEE,0,,0,
11969335,79,2013-01-02,PILS,0,,0,
12583099,1,2009-08-17,IEXX,0,,0,
12583099,2,2009-08-20,SCAN,0,,0,
12583099,3,2009-08-24,L194,0,,0,
12583099,4,2009-09-09,FLRCPT.O,0,,0,
12583099,5,2009-09-09,PGPC,0,,0,
12583099,6,2009-10-02,OIPE,0,,0,
12583099,8,2009-10-13,RU47,0,,0,
12583099,9,2010-11-03,DOCK,0,,0,
12583099,10,2010-11-03,DOCK,0,,0,
12583099,11,2010-12-28,WIDS,0,,0,
12583099,12,2010-12-28,EIDS.,0,,0,
12583099,16,2010-12-28,IDSC,0,,0,
12583099,13,2011-01-07,RCAP,0,,0,
12583099,14,2011-02-17,PG-ISSUE,0,,0,
12583099,15,2011-09-01,DOCK,0,,0,
12583099,19,2012-01-03,CTNF,0,,0,
12583099,21,2012-01-04,MCTNF,446,PTO,.5,
12583099,22,2012-04-04,WIDS,0,,0,
12845893,1,2010-07-29,IEXX,0,,0,
12845893,2,2010-07-29,SCAN,0,,0,
12845893,3,2010-07-29,L194,0,,0,
12845893,4,2010-07-29,WIDS,0,,0,
12845893,5,2010-07-29,PDREQUST,0,,0,
12845893,17,2010-07-29,M844,0,,0,
12845893,18,2010-07-29,RCAP,0,,0,
12845893,24,2010-07-29,IDSC,0,,0,
12845893,6,2010-08-11,INCD,0,,0,
12845893,7,2010-08-11,FLRCPT.O,0,,0,
12845893,8,2010-08-11,EML_NTR,0,,0,
12845893,9,2010-08-11,EML_NTF,0,,0,
12845893,10,2010-08-18,ELC_RVW,0,,0,
11969335,80,2013-01-02,D1935,0,,0,
11969335,82,2013-02-05,PTAC,0,,0,
11969335,82.5,2010-06-03,PTA36M,0,PTO,.5,
12583099,23,2012-04-04,A...,0,,0,
12583099,25,2012-04-04,AF/D,0,,0,
12583099,26,2012-04-04,EIDS.,0,APPL,23,
12583099,27,2012-04-04,IDSC,0,,0,
12583099,24,2012-04-11,FWDX,0,,0,
12583099,28,2012-05-31,CTFR,0,,0,
12583099,30,2012-06-06,MCTFR,0,,0,
12583099,31,2012-09-07,A.NE,0,,0,
12583099,32,2012-09-13,FWDX,0,,0,
12583099,33,2012-09-17,CTAV,0,,0,
12583099,35,2012-09-20,MCTAV,0,,0,
12583099,36,2012-10-09,BRCE,0,,0,
12583099,37,2012-10-09,XT/G,0,,0,
12583099,39,2012-10-09,RCEX,33,APPL,30,
12583099,38,2012-10-17,ABN9,0,,0,
12583099,41,2012-10-17,FWDX,0,,0,
12583099,44,2012-10-22,EX.R,0,,0,
12583099,46,2012-10-23,DVER,0,,0,
12583099,48,2012-10-23,N/=.,0,,0,
12583099,51,2012-10-25,MN/=.,0,,0,
12583099,.5,2009-08-15,EFILE,0,,0,
12583099,53,2012-12-03,FLRCPT.C,0,,0,
12583099,56,2012-12-26,N084,0,,0,
12583099,55,2012-12-26,IFEE,0,,0,
12583099,58,2013-01-07,D1935,0,,0,
12583099,57,2013-01-07,PILS,0,,0,
12583099,60,2013-02-05,PTAC,0,,0,
12583099,60.5,2012-10-08,PTA36M,54,PTO,.5,
12845893,11,2010-10-07,FLFEE,0,,0,
12845893,13,2010-10-15,PGPC,0,,0,
12845893,12,2010-10-18,FLRCPT.U,0,,0,
12845893,14,2010-10-18,EML_NTR,0,,0,
12845893,15,2010-10-18,COMP,0,,0,
12845893,16,2010-10-29,OIPE,0,,0,
12845893,19,2010-12-20,DOCK,0,,0,
12845893,21,2011-02-10,PG-ISSUE,0,,0,
12845893,22,2011-02-11,EML_NTR,0,,0,
12845893,23,2012-01-04,DOCK,0,,0,
12845893,28,2012-07-09,CTNF,0,,0,
12845893,30,2012-07-12,MCTNF,287,PTO,.5,
12845893,31,2012-07-12,EML_NTF,0,,0,
12845893,32,2012-07-16,ELC_RVW,0,,0,
12845893,33,2012-09-10,A...,0,,0,
12845893,34,2012-09-14,FWDX,0,,0,
12845893,36,2012-10-04,EX.A,0,,0,
12845893,37,2012-10-05,DVER,0,,0,
12845893,38,2012-10-08,DOCK,0,,0,
12845893,39,2012-10-08,N/=.,0,,0,
12845893,43,2012-10-16,MN/=.,0,,0,
12845893,.5,2010-07-29,EFILE,0,,0,
12845893,49,2013-01-03,N084,0,,0,
12845893,48,2013-01-03,IFEE,0,,0,
12845893,50,2013-01-07,PILS,0,,0,
12845893,51,2013-01-08,D1935,0,,0,
12845893,53,2013-02-05,PTAC,0,,0,
12845893,53.5,2013-02-05,PTA36M,0,PTO,.5,
12790668,1,2010-05-28,IEXX,0,,0,
12790668,2,2010-05-28,WIDS,0,,0,
12790668,10,2010-05-28,M844,0,,0,
12790668,11,2010-05-28,RCAP,0,,0,
12790668,17,2010-05-28,IDSC,0,,0,
12790668,3,2010-06-06,SCAN,0,,0,
12790668,4,2010-06-08,L194,0,,0,
12790668,5,2010-06-17,FLRCPT.O,0,,0,
12790668,6,2010-06-17,PGPC,0,,0,
12790668,7,2010-06-17,PA..,0,,0,
12790668,8,2010-06-17,COMP,0,,0,
12790668,9,2010-07-13,OIPE,0,,0,
12790668,12,2011-08-02,WIDS,0,,0,
12790668,16,2011-08-02,IDSC,0,,0,
12790668,13,2011-08-17,DOCK,0,,0,
12790668,14,2011-12-01,PG-ISSUE,0,,0,
12790668,15,2011-12-01,DOCK,0,,0,
12790668,18,2012-05-07,CTNF,0,,0,
12790668,20,2012-05-09,MCTNF,286,PTO,.5,
12790668,21,2012-07-31,EXIA,0,,0,
12790668,22,2012-07-31,EXIN,0,,0,
12790668,24,2012-08-07,MEXIA,0,,0,
12790668,25,2012-08-09,A...,0,,0,
12790668,26,2012-08-14,FWDX,0,,0,
12790668,32,2012-09-29,EX.A,0,,0,
12790668,33,2012-09-29,EX.R,0,,0,
12790668,34,2012-09-30,N/=.,0,,0,
12790668,35,2012-09-30,DVER,0,,0,
12790668,40,2012-10-01,MN/=.,0,,0,
12790668,.5,2010-05-28,EFILE,0,,0,
12790668,44,2013-01-02,N084,1,APPL,40,
12790668,43,2013-01-02,IFEE,0,,0,
12790668,45,2013-01-03,PILS,0,,0,
12790668,46,2013-01-03,D1935,0,,0,
