application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13621910,18,2013-10-21,CTFR,0,,0,
13621910,21,2013-10-28,EML_NTF,0,,0,
13621910,20,2013-10-28,MCTFR,0,,0,
12787730,52,2012-02-10,FWDX,0,,0,
12787730,47,2012-02-13,MEXIA,0,,0,
12787730,53,2012-02-13,EML_NTR,0,,0,
12787730,54,2013-02-08,C.AD,0,,0,
12787730,56,2013-02-12,EML_NTR,0,,0,
12787730,55,2013-02-12,PA..,0,,0,
12787730,57,2013-09-26,CTNF,0,,0,
12787730,61,2013-10-01,ELC_RVW,0,,0,
12787730,59,2013-10-01,MCTNF,479,PTO,50,
12787730,60,2013-10-01,EML_NTF,0,,0,
12787730,62,2014-01-02,A...,0,,0,
12787730,63,2014-01-10,FWDX,0,,0,
12787730,67,2014-01-16,EX.R,0,,0,
12787730,68,2014-01-17,N/=.,0,,0,
12787730,69,2014-01-17,DVER,0,,0,
13621910,22,2013-10-30,ELC_RVW,0,,0,
13621910,23,2014-01-21,BRCE,0,,0,
13621910,25,2014-01-21,RCEX,0,,0,
13621910,24,2014-01-27,ABN9,0,,0,
13621910,32,2014-01-27,EX.R,0,,0,
13621910,27,2014-01-27,FWDX,0,,0,
13621910,34,2014-01-30,N/=.,0,,0,
12787730,75,2014-01-24,ELC_RVW,0,,0,
12787730,73,2014-01-24,MN/=.,0,,0,
12787730,74,2014-01-24,EML_NTF,0,,0,
12787730,78,2014-04-24,IFEE,0,,0,
12787730,79,2014-04-24,N084,0,,0,
12787730,80,2014-05-06,PILS,0,,0,
12787730,81,2014-05-06,D1935,0,,0,
12787730,83,2014-06-03,PTAC,0,,0,
12787730,83.5,2012-02-08,PTA36M,0,,.5,
12616804,.5,2009-11-12,EFILE,0,,0,
12616804,71,2014-06-03,PTAC,672,,43,
12616804,38,2012-05-07,MCTFR,0,,34,
12616804,62,2014-01-31,MN/=.,0,,51,
12616804,71,2014-06-03,PTAC,0,,68,
12616804,0,2014-06-03,PTA36M,0,,0,
12616804,43,2012-08-01,RCEX,0,,38,
12616804,51,2013-10-16,A...,0,,48,
12616804,68,2014-04-22,N084,0,,62,
12616804,9,2010-01-04,ADDFLFEE,0,,5,
12616804,2,2009-11-12,SCAN,0,,0,
12616804,1,2009-11-12,IEXX,0,,0,
12616804,3,2009-11-13,L194,0,,0,
12616804,7,2009-11-25,EML_NTF,0,,0,
12616804,6,2009-11-25,EML_NTR,0,,0,
12616804,5,2009-11-25,INCD,0,,0,
12616804,4,2009-11-25,FLRCPT.O,0,,0,
12616804,8,2009-11-25,ELC_RVW,0,,0,
12616804,9,2009-12-18,OATHDECL,0,,0,
13621910,33,2014-01-30,DVER,0,,0,
13621910,39,2014-02-04,EML_NTF,0,,0,
13621910,40,2014-02-04,ELC_RVW,0,,0,
13621910,38,2014-02-04,MN/=.,0,,0,
13621910,43,2014-03-20,PG-ISSUE,0,,0,
13621910,44,2014-03-21,EML_NTR,0,,0,
13621910,45,2014-04-25,IFEE,0,,0,
13621910,46,2014-04-25,N084,0,,0,
13621910,47,2014-05-06,PILS,0,,0,
12616804,10,2009-12-18,ADDFLFEE,0,,0,
12616804,13,2009-12-29,EML_NTR,0,,0,
12616804,14,2009-12-29,EML_NTR,0,,0,
12616804,11,2009-12-29,INCR,0,,0,
12616804,12,2009-12-29,FLRCPT.U,0,,0,
12616804,15,2010-01-04,ADDFLFEE,0,,0,
12616804,17,2010-01-15,PGPC,0,,0,
12616804,16,2010-01-19,FLRCPT.U,0,,0,
12616804,18,2010-01-19,EML_NTR,0,,0,
12616804,19,2010-02-02,OIPE,0,,0,
12616804,20,2010-05-19,DOCK,0,,0,
12616804,21,2011-05-12,PG-ISSUE,0,,0,
12616804,22,2011-05-13,EML_NTR,0,,0,
12616804,28,2011-08-31,CTNF,0,,0,
12616804,31,2011-09-08,EML_NTF,0,,0,
12616804,30,2011-09-08,MCTNF,239,PTO,.5,
12616804,32,2011-09-08,ELC_RVW,0,,0,
12616804,34,2012-02-21,A...,75,APPL,30,
12616804,33,2012-02-21,XT/G,0,,0,
12616804,35,2012-02-22,FWDX,0,,0,
12616804,36,2012-05-02,CTFR,0,,0,
12616804,38,2012-05-07,MCTFR,0,,0,
12616804,39,2012-05-07,EML_NTF,0,,0,
12616804,40,2012-05-07,ELC_RVW,0,,0,
12616804,41,2012-08-01,BRCE,0,,0,
12616804,43,2012-08-01,RCEX,0,,0,
12616804,42,2012-08-02,ABN9,0,,0,
12616804,45,2012-08-02,FWDX,0,,0,
12616804,46,2013-07-29,CTNF,0,,0,
12616804,49,2013-08-02,EML_NTF,0,,0,
12616804,48,2013-08-02,MCTNF,244,PTO,43,
12616804,50,2013-08-10,PST_CRD,0,,0,
12616804,51,2013-10-16,A...,0,,0,
12616804,52,2013-10-21,FWDX,0,,0,
12616804,55,2014-01-23,EX.R,0,,0,
13621910,48,2014-05-08,D1935,0,,0,
13621910,50,2014-06-03,PTAC,0,,0,
13621910,50.5,2014-01-20,PTA36M,0,,.5,
12616804,54,2014-01-23,EX.A,0,,0,
12616804,57,2014-01-28,DVER,0,,0,
12616804,56,2014-01-28,N/=.,0,,0,
12616804,62,2014-01-31,MN/=.,0,,0,
12616804,63,2014-01-31,EML_NTF,0,,0,
13584199,.5,2012-08-13,EFILE,0,,0,
13584199,81,2014-06-03,PTAC,174,,45,
13584199,23,2013-04-01,MCTNF,0,,.5,
13584199,30,2013-09-12,MCTFR,0,,26,
13584199,58,2014-01-21,MN/=.,0,,45,
13584199,81,2014-06-03,PTAC,0,,77,
13584199,26,2013-06-19,A...,0,,23,
13584199,35,2013-12-12,RCEX,0,,30,
13584199,77,2014-04-17,N084,0,,58,
13584199,3,2012-08-13,WIDS,0,,0,
13584199,2,2012-08-13,SCAN,0,,0,
13584199,1,2012-08-13,IEXX,0,,0,
13584199,13,2012-08-13,RCAP,0,,0,
13584199,6,2012-08-13,APPERMS,0,,0,
13584199,19,2012-08-13,IDSC,0,,0,
13584199,12,2012-08-13,M844,0,,0,
13584199,4,2012-08-14,L198,0,,0,
13584199,5,2012-08-22,L128,0,,0,
13584199,8,2012-08-29,PGPC,0,,0,
13584199,7,2012-08-30,FLRCPT.O,0,,0,
13584199,9,2012-08-30,EML_NTR,0,,0,
13584199,10,2012-08-30,COMP,0,,0,
13584199,11,2012-09-18,OIPE,0,,0,
13584199,15,2012-12-19,EIDS.,0,,0,
13584199,20,2012-12-19,IDSC,0,,0,
13584199,14,2012-12-19,WIDS,0,,0,
13584199,16,2013-01-25,DOCK,0,,0,
13584199,17,2013-02-20,DOCK,0,,0,
