application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14448701,55,2015-04-28,PILS,0,,0,
14448701,52,2015-04-28,M327-B,0,,0,
14354532,.5,2012-10-09,NEFILE,0,,0,
14354532,54.4,2014-04-28,COMMN,0,,0,
14354532,38,2015-01-30,MN/=.,0,,54.4,
14354532,54,2015-06-02,PTAC,0,,50,
14354532,50,2015-04-28,N084,0,,38,
14354532,0,2014-05-16,PTA.RFE,0,,0,
14354532,4,2014-05-07,SMAL,0,,0,
14354532,5,2014-05-12,CRFD,0,,0,
14354532,8,2014-05-16,CRFL,0,,0,
14354532,13,2014-05-16,PTA.RFE,0,,0,
13277303,60,2013-03-22,MCTNF,0,,0,
13277303,61,2013-06-26,M865,0,,0,
13277303,99,2013-07-17,IDSC,0,,0,
13277303,98,2013-07-17,IDSC,0,,0,
13277303,97,2013-07-17,IDSC,0,,0,
13277303,75,2013-07-17,IDSC,0,,0,
13277303,67,2013-07-17,WIDS,0,,0,
13277303,64,2013-07-17,M844,0,,0,
13277303,63,2013-07-17,WIDS,0,,0,
13277303,66,2013-07-17,WIDS,0,,0,
13277303,62,2013-07-17,WIDS,0,,0,
13277303,100,2013-07-17,IDSC,0,,0,
13277303,65,2013-07-17,WIDS,0,,0,
13277303,68,2013-07-22,XT/G,0,,0,
13277303,69,2013-07-22,A...,28,APPL,60,
13277303,70,2013-07-23,FWDX,0,,0,
13277303,74,2013-08-28,IDSC,0,,0,
13277303,71,2013-08-28,WIDS,0,,0,
13277303,72,2013-08-28,M844,37,APPL,69,
13277303,73,2013-08-28,RCAP,0,,0,
13277303,76,2013-10-15,CTFR,0,,0,
13277303,78,2013-10-16,MCTFR,0,,0,
13277303,80,2013-10-22,M844,0,,0,
14448701,53,2015-04-30,MM327-B,0,,0,
14448701,56,2015-04-30,EML_NTR,0,,0,
14448701,57,2015-04-30,D1935,0,,0,
14448701,59,2015-06-02,PTAC,0,,0,
14448701,59.5,2015-06-02,PTA36M,0,,.5,
13775929,.5,2013-02-25,EFILE,0,,0,
13775929,70,2015-01-28,MN/=.,20,,58,
13775929,17,2013-06-26,MCTRS,0,,.5,
13775929,32,2013-10-28,MCTNF,0,,21,
13775929,45,2014-07-09,MCTFR,0,,37,
13775929,70,2015-01-28,MN/=.,0,,58,
13775929,81,2015-06-02,PTAC,0,,77,
13775929,21,2013-08-26,ELC.,0,,17,
13775929,77,2015-04-27,N084,0,,70,
13775929,6,2013-02-25,CRFL,0,,0,
