application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13560031,145,2015-09-02,D1935,0,,0,
13560031,148,2015-10-06,PTAC,0,,0,
13560031,148.5,2015-10-06,PTA36M,0,,.5,
14526764,.5,2014-10-29,EFILE,0,,0,
14526764,24,2015-03-03,MCTNF,0,,.5,
14526764,38,2015-06-09,MN/=.,0,,27,
14526764,50,2015-10-06,PTAC,0,,45,
14526764,27,2015-04-30,A...,0,,24,
14526764,44,2015-09-02,IFEE,0,,38,
14526764,0,2014-10-29,PTA.RFE,0,,0,
14526764,1,2014-10-29,IEXX,0,,0,
14526764,2,2014-10-29,BIG.,0,,0,
14526764,5,2014-10-29,APPERMS,0,,0,
14526764,9,2014-10-29,PTA.RFE,0,,0,
14526764,3,2014-11-05,SCAN,0,,0,
14526764,4,2014-11-06,L194,0,,0,
14526764,11,2014-11-14,OIPE,0,,0,
14526764,10,2014-11-14,FTFI,0,,0,
14526764,7,2014-11-17,COMP,0,,0,
14526764,8,2014-11-17,COMP,0,,0,
14526764,6,2014-11-17,FLRCPT.O,0,,0,
14526764,12,2014-11-17,EML_NTR,0,,0,
14526764,13,2014-12-16,DOCK,0,,0,
14526764,14,2014-12-31,WIDS,0,,0,
14526764,16,2014-12-31,RCAP,0,,0,
14526764,15,2014-12-31,M844,0,,0,
14526764,20,2015-02-23,CTNF,0,,0,
14526764,17,2015-02-23,IDSC,0,,0,
14526764,22,2015-02-26,PG-ISSUE,0,,0,
14526764,23,2015-02-27,EML_NTR,0,,0,
14526764,24,2015-03-03,MCTNF,0,,0,
14526764,25,2015-03-03,EML_NTF,0,,0,
14526764,26,2015-03-03,ELC_RVW,0,,0,
14526764,27,2015-04-30,A...,0,,0,
14526764,28,2015-05-02,FWDX,0,,0,
14526764,34,2015-06-05,N/=.,0,,0,
14526764,35,2015-06-05,DVER,0,,0,
14526764,38,2015-06-09,MN/=.,0,,0,
14526764,39,2015-06-09,EML_NTF,0,,0,
14526764,40,2015-06-09,ELC_RVW,0,,0,
14526764,43,2015-08-31,CCRDY,0,,0,
14526764,45,2015-09-02,N084,0,,0,
14526764,44,2015-09-02,IFEE,0,,0,
14526764,46,2015-09-03,PILS,0,,0,
14526764,47,2015-09-04,D1935,0,,0,
14526764,50,2015-10-06,PTAC,0,,0,
14526764,50.5,2015-10-06,PTA36M,0,,.5,
14310134,.5,2014-06-20,EFILE,0,,0,
14310134,32,2014-11-07,MCTNF,0,,.5,
14310134,46,2015-05-27,MN/=.,0,,38,
14310134,60,2015-10-06,PTAC,0,,54,
14310134,53,2015-08-27,IFEE,0,,46,
14310134,0,2014-08-25,PTA.RFE,0,,0,
14310134,1,2014-06-20,IEXX,0,,0,
14310134,2,2014-06-20,BIG.,0,,0,
14310134,3,2014-06-20,SCAN,0,,0,
14310134,6,2014-06-20,APPERMS,0,,0,
14310134,4,2014-06-20,WIDS,0,,0,
14310134,22,2014-06-20,EIDS.,0,,0,
14310134,5,2014-06-25,L194,0,,0,
14310134,8,2014-07-02,CPAP,0,,0,
14310134,11,2014-07-02,ELC_RVW,0,,0,
14310134,9,2014-07-02,EML_NTF,0,,0,
14310134,7,2014-07-02,FLRCPT.O,0,,0,
14310134,10,2014-07-02,EML_NTR,0,,0,
14310134,23,2014-07-15,C602,0,,0,
14310134,12,2014-08-25,CORRDRW,0,,0,
14310134,16,2014-08-25,PTA.RFE,0,,0,
14310134,13,2014-08-25,ADDFLFEE,0,,0,
14310134,18,2014-08-28,OIPE,0,,0,
14310134,17,2014-08-28,FTFI,0,,0,
14310134,21,2014-08-29,EML_NTR,0,,0,
14310134,20,2014-08-29,EML_NTR,0,,0,
14310134,19,2014-08-29,PA..,0,,0,
14310134,15,2014-08-29,COMP,0,,0,
14310134,14,2014-08-29,FLRCPT.U,0,,0,
14310134,24,2014-09-18,DOCK,0,,0,
14310134,25,2014-11-03,IDSC,0,,0,
14310134,30,2014-11-03,CTNF,0,,0,
14310134,32,2014-11-07,MCTNF,0,,0,
14310134,34,2014-11-07,ELC_RVW,0,,0,
14310134,33,2014-11-07,EML_NTF,0,,0,
14310134,35,2014-12-04,PG-ISSUE,0,,0,
14310134,36,2014-12-05,EML_NTR,0,,0,
14310134,37,2015-03-09,XT/G,0,,0,
14310134,38,2015-03-09,A...,28,APPL,32,
14310134,40,2015-03-09,AF/D,0,,0,
14310134,39,2015-03-10,FWDX,0,,0,
14310134,42,2015-05-21,N/=.,0,,0,
14310134,43,2015-05-21,DVER,0,,0,
14310134,47,2015-05-27,EML_NTF,0,,0,
14310134,46,2015-05-27,MN/=.,0,,0,
14310134,48,2015-05-27,ELC_RVW,0,,0,
14310134,51,2015-06-29,FLRCPT.C,0,,0,
14310134,52,2015-06-29,EML_NTR,0,,0,
14310134,54,2015-08-27,N084,0,,0,
14310134,53,2015-08-27,IFEE,0,,0,
14310134,55,2015-08-28,PILS,0,,0,
14310134,56,2015-08-28,D1935,0,,0,
14310134,57,2015-08-31,CCRDY,0,,0,
14310134,60,2015-10-06,PTAC,0,,0,
14310134,60.5,2015-10-06,PTA36M,0,,.5,
14053512,.5,2013-10-14,EFILE,0,,0,
14053512,54,2015-05-28,MN/=.,0,,35,
14053512,67,2015-10-06,PTAC,0,,61,
14053512,35,2015-05-05,ELC.,0,,32,
14053512,59,2015-08-28,IFEE,0,,54,
14053512,5,2013-10-14,WIDS,0,,0,
14053512,15,2013-10-14,RCAP,0,,0,
14053512,14,2013-10-14,M844,0,,0,
14053512,8,2013-10-14,APPERMS,0,,0,
14053512,3,2013-10-14,BIG.,0,,0,
14053512,2,2013-10-14,R155X,0,,0,
14053512,1,2013-10-14,IEXX,0,,0,
14053512,6,2013-10-15,L128,0,,0,
14053512,4,2013-10-15,L198,0,,0,
14053512,7,2013-10-29,SMAL,0,,0,
14053512,11,2013-11-04,OIPE,0,,0,
14053512,12,2013-11-04,FTFS,0,,0,
14053512,13,2013-11-05,EML_NTR,0,,0,
14053512,9,2013-11-05,FLRCPT.O,0,,0,
14053512,10,2013-11-05,COMP,0,,0,
14053512,16,2014-02-13,PG-ISSUE,0,,0,
14053512,17,2014-02-14,EML_NTR,0,,0,
14053512,18,2014-02-26,DOCK,0,,0,
14053512,19,2014-03-19,FTFI,0,,0,
14053512,20,2014-06-02,M327,0,,0,
14053512,23,2014-06-06,EML_NTR,0,,0,
14053512,22,2014-06-06,MM327,0,,0,
14053512,26,2014-07-25,DOCK,0,,0,
14053512,27,2014-12-19,WIDS,0,,0,
14053512,29,2014-12-19,RCAP,0,,0,
14053512,28,2014-12-19,M844,0,,0,
14053512,30,2015-03-21,CTRS,0,,0,
14053512,33,2015-03-27,EML_NTF,0,,0,
14053512,32,2015-03-27,MCTRS,103,PTO,.5,
14053512,34,2015-03-27,ELC_RVW,0,,0,
14053512,35,2015-05-05,ELC.,0,,0,
14053512,36,2015-05-08,FWDX,0,,0,
14053512,44,2015-05-18,EX.R,0,,0,
14053512,45,2015-05-18,DVER,0,,0,
14053512,38,2015-05-18,IDSC,0,,0,
14053512,37,2015-05-18,IDSC,0,,0,
14053512,46,2015-05-20,N/=.,0,,0,
14053512,54,2015-05-28,MN/=.,0,,0,
14053512,55,2015-05-28,EML_NTF,0,,0,
14053512,56,2015-05-28,ELC_RVW,0,,0,
14053512,59,2015-08-28,IFEE,0,,0,
12359114,67,2015-06-01,EX.R,0,,0,
12359114,66,2015-06-01,EX.A,0,,0,
12359114,70,2015-06-01,N/=.,0,,0,
12359114,78,2015-06-05,MN/=.,31,PTO,61,
12359114,79,2015-06-05,EML_NTF,0,,0,
12359114,80,2015-06-05,ELC_RVW,0,,0,
12359114,84,2015-08-28,N084,0,,0,
12359114,83,2015-08-28,IFEE,0,,0,
12359114,86,2015-08-31,D1935,0,,0,
12359114,85,2015-08-31,PILS,0,,0,
12359114,89,2015-10-06,PTAC,0,,0,
12359114,89.5,2015-10-06,PTA36M,430,PTO,.5,
12359114,34,2013-07-10,MCTNF,35,,0,
13572630,.5,2012-08-11,EFILE,0,,0,
