application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12964900,25,2013-06-27,ELC_RVW,0,,0,
12964900,24,2013-06-27,EML_NTF,0,,0,
12964900,23,2013-06-27,MCTFR,0,,0,
12964900,26,2013-08-15,EXAT,0,,0,
12964900,27,2013-08-15,EXIA,0,,0,
12964900,31,2013-08-21,BRCE,0,,0,
12964900,35,2013-08-21,RCEX,0,,0,
12964900,30,2013-08-21,MEXAT,0,,0,
12964900,34,2013-08-22,ABN9,0,,0,
12964900,33,2013-08-22,FWDX,0,,0,
12964900,37,2014-07-29,M844,342,APPL,35,
12964900,36,2014-07-29,WIDS,0,,0,
12964900,38,2014-07-29,RCAP,0,,0,
12964900,39,2014-10-05,IDSC,0,,0,
12964900,40,2014-10-09,CTNF,0,,0,
12964900,42,2014-10-15,MCTNF,298,PTO,35,
12964900,43,2014-10-15,EML_NTF,0,,0,
12964900,44,2014-10-15,ELC_RVW,0,,0,
12964900,45,2014-10-17,WIDS,0,,0,
12964900,47,2014-10-17,WIDS,0,,0,
12964900,46,2014-10-17,M844,0,,0,
12964900,86,2014-10-17,IDSC,0,,0,
12964900,48,2015-01-15,A...,0,,0,
12964900,49,2015-01-24,FWDX,0,,0,
12964900,57,2015-03-13,M844,57,APPL,48,
12964900,58,2015-03-13,RCAP,0,,0,
12866850,15,2010-08-09,A.PE,0,,0,
12866850,14,2010-08-09,TFPR,0,,0,
12866850,13,2010-08-09,M844,0,,0,
12866850,12,2010-08-09,RCAP,0,,0,
12866850,11,2010-08-09,C602,0,,0,
12866850,6,2010-08-09,371COMP,0,,0,
12866850,3,2010-09-09,M903,0,,0,
12866850,4,2010-09-09,FLRCPT.O,0,,0,
12866850,5,2010-09-09,PGPW,0,,0,
12866850,7,2010-09-17,L194,0,,0,
12866850,9,2010-09-23,PG-PB-DT,0,,0,
12866850,8,2010-09-23,PGPC,0,,0,
12866850,10,2010-10-18,OIPE,0,,0,
12866850,16,2010-11-10,DOCK,0,,0,
12866850,17,2010-12-30,PG-ISSUE,0,,0,
12866850,18,2011-11-25,DOCK,0,,0,
12866850,26,2012-04-08,CTNF,0,,0,
12866850,28,2012-04-11,MCTNF,185,PTO,91.4,
12866850,29,2012-07-11,A...,0,,0,
12866850,30,2012-07-15,FWDX,0,,0,
12866850,31,2012-10-29,CTFR,0,,0,
12866850,37,2012-11-29,MCTFR,18,PTO,29,
12866850,40,2013-02-28,RCEX,0,,0,
12866850,38,2013-02-28,BRCE,0,,0,
12866850,39,2013-03-01,ABN9,0,,0,
12866850,42,2013-03-01,FWDX,0,,0,
12866850,86,2015-12-21,N084,0,,0,
12866850,88,2015-12-31,D1935,0,,0,
12866850,87,2015-12-31,PILS,0,,0,
12866850,89,2016-01-04,INCOR,0,,0,
12866850,91,2016-02-02,PTAC,0,,0,
12866850,91.5,2016-02-02,PTA36M,0,,91.4,
13924045,.5,2013-06-21,EFILE,0,,0,
13924045,73,2015-10-23,MN/=.,121,,49,
13924045,38,2015-03-25,MCTFR,0,,34,
13924045,73,2015-10-23,MN/=.,0,,49,
13924045,89,2016-02-02,PTAC,0,,85,
13924045,34,2014-12-02,A...,0,,28,
13924045,41,2015-06-25,RCEX,0,,38,
13924045,84,2015-12-28,IFEE,0,,73,
13924045,3,2013-06-21,WIDS,0,,0,
13924045,16,2013-06-21,EIDS.,0,,0,
13924045,7,2013-06-21,APPERMS,0,,0,
13924045,2,2013-06-21,BIG.,0,,0,
13924045,1,2013-06-21,IEXX,0,,0,
13924045,4,2013-06-24,SCAN,0,,0,
13924045,5,2013-06-25,L194,0,,0,
13924045,6,2013-07-12,SMAL,0,,0,
13924045,9,2013-07-17,PGPC,0,,0,
13924045,10,2013-07-17,FTFI,0,,0,
13924045,12,2013-07-18,EML_NTR,0,,0,
13924045,11,2013-07-18,PA..,0,,0,
13924045,14,2013-07-18,COMP,0,,0,
13924045,13,2013-07-18,EML_NTR,0,,0,
13924045,8,2013-07-18,FLRCPT.O,0,,0,
13924045,17,2013-07-22,RQPR,0,,0,
13924045,15,2013-10-09,OIPE,0,,0,
13924045,18,2013-11-18,DOCK,0,,0,
13924045,19,2014-07-10,PG-ISSUE,0,,0,
13924045,20,2014-07-11,EML_NTR,0,,0,
13924045,21,2014-08-19,DOCK,0,,0,
13924045,22,2014-08-27,DOCK,0,,0,
13924045,23,2014-09-23,IDSC,0,,0,
13924045,26,2014-09-29,CTNF,0,,0,
13924045,29,2014-10-03,EML_NTF,0,,0,
13924045,30,2014-10-03,ELC_RVW,0,,0,
13924045,28,2014-10-03,MCTNF,43,PTO,.5,
13924045,31,2014-11-20,C.AD,0,,0,
13924045,32,2014-11-25,PA..,0,,0,
13924045,33,2014-11-25,EML_NTR,0,,0,
13924045,34,2014-12-02,A...,0,,0,
13924045,35,2014-12-08,FWDX,0,,0,
13924045,36,2015-03-22,CTFR,0,,0,
13924045,38,2015-03-25,MCTFR,0,,0,
13924045,39,2015-03-25,EML_NTF,0,,0,
13924045,40,2015-03-25,ELC_RVW,0,,0,
13924045,41,2015-05-11,A.NE,0,,0,
13924045,42,2015-05-12,FWDX,0,,0,
13924045,43,2015-06-11,CTAV,0,,0,
13924045,46,2015-06-16,EML_NTR,0,,0,
13924045,45,2015-06-16,MCTAV,0,,0,
