application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10297034,18,2005-01-07,WAMD,0,,0,
10297034,19,2005-01-07,XT/G,0,,0,
10297034,20,2005-01-07,A...,29,APPL,16,
09632036,53,2003-08-06,CTRS,0,,0,
09632036,55,2004-05-05,MCTRS,221,PTO,50,
09632036,56,2004-06-09,ELC.,0,,0,
09632036,57,2004-06-24,FWDX,0,,0,
09632036,58,2004-08-12,EXIN,0,,0,
09632036,59,2004-08-17,MEXIN,0,,0,
09632036,60,2004-10-08,CTNF,0,,0,
09632036,61,2004-10-15,MCTNF,6,PTO,56,
09632036,62,2005-03-17,XT/G,0,,0,
09632036,63,2005-03-17,A...,61,APPL,61,
09632036,63.1,2005-03-17,A.I.,0,,0,
09632036,65,2005-03-17,M844,0,,0,
09632036,66,2005-03-17,C614,0,,0,
09632036,67,2005-03-17,RCAP,0,,0,
09632036,64,2005-03-29,FWDX,0,,0,
09632036,68,2005-06-17,NINA,0,,0,
09632036,70,2005-06-24,A...,99,APPL,63,
09632036,69,2005-06-28,DOCK,0,,0,
09632036,71,2005-07-06,FWDX,0,,0,
09632036,72,2005-09-17,CTFR,0,,0,
09632036,73,2005-09-21,MCTFR,0,,0,
09632036,74,2005-11-14,BRCE,0,,0,
09632036,76,2005-11-14,RCEX,0,,0,
09632036,80,2005-11-14,M844,0,,0,
09632036,81,2005-11-14,RCAP,0,,0,
09632036,83,2005-11-14,IDSC,0,,0,
09632036,75,2005-11-21,ABN9,0,,0,
09632036,77,2005-11-21,FWDX,0,,0,
09632036,79,2005-11-21,FWDX,0,,0,
09632036,82,2005-11-30,TSSCOMP,0,,0,
09632036,85,2006-01-23,DOCK,0,,0,
09632036,86,2006-01-23,N/=.,0,,0,
09632036,88,2006-01-25,MN/=.,0,,0,
10605619,35,2005-09-01,FWDX,0,,0,
10605619,36,2005-09-06,M327,0,,0,
10605619,37,2005-09-08,MM327,0,,0,
10605619,38,2005-09-08,CTAV,0,,0,
10605619,39,2005-09-12,MCTAV,0,,0,
10605619,40,2005-09-15,A.NE,0,,0,
10605619,41,2005-09-23,FWDX,0,,0,
10605619,42,2005-10-03,CTAV,0,,0,
10605619,43,2005-10-04,MCTAV,0,,0,
10605619,44,2005-10-12,A.NE,0,,0,
10605619,45,2005-10-18,FWDX,0,,0,
10605619,46,2005-10-20,CTAV,0,,0,
10605619,47,2005-10-24,MCTAV,0,,0,
10605619,48,2005-11-28,XT/G,0,,0,
10605619,49,2005-11-28,A.NE,31,APPL,33,
10605619,50,2005-12-01,FWDX,0,,0,
10605619,52,2005-12-06,N/=.,0,,0,
10605619,54,2006-01-23,MN/=.,0,,0,
10739245,1,2003-12-18,IEXX,0,,0,
10739245,2,2004-01-13,SCAN,0,,0,
10739245,4,2004-02-20,L198,0,,0,
10739245,5,2004-03-03,L128,0,,0,
10739245,11,2004-03-18,M844,0,,0,
10739245,7,2004-05-18,OIPE,0,,0,
10739245,6,2004-05-19,COMP,0,,0,
10739245,8,2004-05-19,ROIPE,0,,0,
10739245,9,2004-05-19,WROIPE,0,,0,
10739245,10,2004-06-21,DOCK,0,,0,
10739245,12,2004-06-21,TSSCOMP,0,,0,
10739245,13,2004-12-27,LET.,0,,0,
10739245,17,2005-03-24,LET.,0,,0,
10739245,14,2005-04-12,DOCK,0,,0,
10739245,15,2005-06-13,CTNF,0,,0,
10739245,16,2005-06-17,MCTNF,119,PTO,-1,
10739245,18,2005-08-25,A...,0,,0,
10739245,19,2005-08-30,FWDX,0,,0,
10739245,20,2005-11-28,CTFR,0,,0,
10739245,21,2005-11-28,MCTFR,0,,0,
10739245,22,2006-01-11,A.NE,0,,0,
10739245,23,2006-01-19,FWDX,0,,0,
10739245,25,2006-01-23,N/=.,0,,0,
10739245,27,2006-01-23,MN/=.,0,,0,
10297034,21,2005-02-22,FWDX,0,,0,
10297034,22,2005-04-18,CTNF,0,,0,
10297034,23,2005-04-20,MCTNF,0,,0,
10297034,24,2005-08-22,DOCK,0,,0,
10297034,25,2005-10-19,XT/G,0,,0,
10297034,26,2005-10-19,A...,91,APPL,23,
10297034,28,2005-10-19,C614,0,,0,
10297034,27,2005-10-28,FWDX,0,,0,
10297034,30,2006-01-23,N/=.,0,,0,
10297034,32,2006-01-24,MN/=.,0,,0,
11179555,1,2005-07-13,IEXX,0,,0,
11179555,11,2005-07-13,RQPR,0,,0,
11179555,2,2005-07-21,SCAN,0,,0,
11179555,3,2005-07-25,L198,0,,0,
11179555,5,2005-08-12,OIPE,0,,0,
11179555,6,2005-08-12,ROIPE,0,,0,
09998007,1,2001-11-29,IEXX,0,,0,
09998007,2,2001-12-06,SCAN,0,,0,
09998007,3,2001-12-14,SCAN,0,,0,
09998007,4,2001-12-28,INCD,0,,0,
09998007,13,2002-02-11,M844,0,,0,
09998007,14,2002-02-11,RCAP,0,,0,
09998007,5,2002-03-11,OATHDECL,0,,0,
09998007,6,2002-03-11,FLFEE,0,,0,
09998007,9,2002-05-14,COMP,0,,0,
09998007,10,2002-05-16,OIPE,0,,0,
09998007,11,2004-07-30,TSSCOMP,0,,0,
09998007,12,2004-07-30,DOCK,0,,0,
09998007,15,2004-08-26,DOCK,0,,0,
09998007,16,2004-10-21,CTRS,0,,0,
09998007,17,2004-10-25,MCTRS,635,PTO,-1,
09998007,18,2004-11-26,WAMD,0,,0,
09998007,19,2004-11-26,ELC.,0,,0,
09998007,20,2004-12-08,FWDX,0,,0,
09998007,21,2004-12-29,CTRS,0,,0,
09998007,22,2004-12-30,MCTRS,0,,0,
09998007,23,2005-01-27,WAMD,0,,0,
09998007,24,2005-01-27,ELC.,0,,0,
09998007,25,2005-02-15,FWDX,0,,0,
09998007,26,2005-04-12,CTNF,0,,0,
09998007,27,2005-04-14,MCTNF,0,,0,
09998007,28,2005-07-18,A...,4,APPL,27,
09998007,29,2005-07-28,FWDX,0,,0,
09998007,30,2005-10-03,CTFR,0,,0,
09998007,31,2005-10-05,MCTFR,0,,0,
09998007,32,2005-12-09,A.NE,0,,0,
09998007,33,2005-12-14,FWDX,0,,0,
09998007,34,2005-12-27,CTAV,0,,0,
09998007,35,2005-12-28,MCTAV,0,,0,
11063365,1,2005-02-23,IEXX,0,,0,
11063365,9,2005-02-23,M844,0,,0,
11063365,10,2005-02-23,RCAP,0,,0,
11063365,17,2005-02-23,IDSC,0,,0,
11063365,2,2005-06-22,SCAN,0,,0,
11063365,3,2005-06-28,L194,0,,0,
11063365,5,2005-06-29,OIPE,0,,0,
11063365,4,2005-06-30,COMP,0,,0,
11063365,6,2005-06-30,ROIPE,0,,0,
11063365,7,2005-06-30,COMP,0,,0,
