application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10520864,8,2005-06-09,DOCK,0,,0,
10520864,10,2005-06-10,TSSCOMP,0,,0,
10520864,11,2005-08-08,ROIPE,0,,0,
10520864,14,2005-08-08,WROIPE,0,,0,
10520864,13,2005-08-09,M903,0,,0,
10520864,16,2006-04-03,WIDS,0,,0,
10520864,16.7,2006-04-03,M844,0,,0,
10971270,47,2007-04-05,RCEX,0,,0,
10971270,49,2007-04-05,RCAP,0,,0,
10971270,50,2007-04-05,IDSC,0,,0,
10971270,46,2007-04-09,ABN9,0,,0,
10971270,48,2007-04-09,FWDX,0,,0,
10971270,53,2007-06-06,CTNF,0,,0,
10971270,54,2007-06-07,MCTNF,0,,0,
10971270,55,2007-08-28,A...,0,,0,
10971270,56,2007-09-01,FWDX,0,,0,
10971270,58,2007-11-13,EX.A,0,,0,
10971270,59,2007-12-14,DVER,0,,0,
10971270,61,2007-12-14,N/=.,0,,0,
10971270,63,2007-12-28,MEX.A,0,,0,
10971270,64,2007-12-28,MN/=.,0,,0,
09675650,32,2003-04-16,FWDX,0,,0,
09675650,33,2003-06-02,CTAV,0,,0,
09675650,34,2003-06-02,MCTAV,0,,0,
09675650,35,2003-11-12,BRCE,0,,0,
09675650,36,2003-11-12,XT/G,0,,0,
09675650,38,2003-11-12,RCEX,0,,0,
09675650,54,2003-11-12,WIDS,0,,0,
09675650,54.7,2003-11-12,M844,0,APPL,38,
09675650,37,2003-12-03,ABN9,0,,0,
09675650,39,2003-12-03,FWDX,0,,0,
09675650,41,2003-12-03,FWDX,0,,0,
09675650,42,2003-12-03,RCAP,0,,0,
09675650,43,2003-12-03,TSSA,0,,0,
09675650,55,2004-02-09,CTNF,0,,0,
09675650,56,2004-02-10,MCTNF,0,,0,
09675650,57,2004-08-10,WAMD,0,,0,
09675650,59,2004-08-10,XT/G,0,,0,
09675650,60,2004-08-10,A...,92,APPL,56,
09675650,58,2004-08-24,WAMD,0,,0,
09675650,62,2004-08-24,SA..,14,APPL,60,
09675650,61,2004-08-27,FWDX,0,,0,
09675650,63,2004-08-27,FWDX,0,,0,
09675650,64,2004-10-26,CTFR,0,,0,
09675650,65,2004-10-27,MCTFR,0,,0,
09675650,66,2005-04-27,XT/G,0,,0,
09675650,67,2005-04-27,N/AP,90,APPL,65,
09675650,68,2005-04-27,AP/A,0,,0,
09675650,69,2005-04-29,FWDX,0,,0,
09675650,70,2005-07-06,EXIN,0,,0,
09675650,71,2005-07-08,MEXIN,0,,0,
09675650,72,2005-08-08,LET.,0,,0,
09675650,73,2005-08-22,CTAV,0,,0,
09675650,74,2005-08-23,MCTAV,0,,0,
09675650,75,2005-09-27,BRCE,0,,0,
09675650,76,2005-09-27,XT/G,0,,0,
09675650,78,2005-09-27,RCEX,0,,0,
09675650,77,2005-10-12,ABN9,0,,0,
09675650,79,2005-10-12,FWDX,0,,0,
09675650,81,2005-10-12,FWDX,0,,0,
09675650,82,2005-12-27,CTNF,0,,0,
09675650,83,2006-01-05,MCTNF,0,,0,
09675650,84,2006-05-05,XT/G,0,,0,
09675650,85,2006-05-05,A...,30,APPL,83,
09675650,86,2006-05-15,FWDX,0,,0,
11397388,1,2006-04-05,IEXX,0,,0,
11397388,4,2006-04-05,NPRQ,0,,0,
11397388,22,2006-04-05,CLAIM,0,,0,
11397388,2,2006-04-19,SCAN,0,,0,
10520864,17,2006-04-03,RCAP,0,,0,
10520864,18,2006-04-03,IDSC,0,,0,
10520864,20,2007-09-04,CTNF,0,,0,
10520864,21,2007-09-06,MCTNF,499,PTO,-1,
10520864,22,2007-10-04,DOCK,0,,0,
10520864,23,2007-12-04,A...,0,,0,
10520864,24,2007-12-10,FWDX,0,,0,
10520864,27,2007-12-12,N/=.,0,,0,
10520864,28,2007-12-12,DVER,0,,0,
10520864,30,2007-12-27,MN/=.,0,,0,
11211422,1,2005-08-26,IEXX,0,,0,
11211422,15,2005-08-26,A.PE,0,,0,
11211422,16,2005-08-26,WIDS,0,,0,
11211422,16.7,2005-08-26,M844,0,,0,
11211422,17,2005-08-26,RCAP,0,,0,
11211422,24,2005-08-26,IDSC,0,,0,
11211422,2,2005-09-01,SCAN,0,,0,
11211422,4,2005-09-08,L198,0,,0,
11211422,5,2005-09-21,L128,0,,0,
11211422,6,2005-09-23,COMP,0,,0,
11211422,7,2005-09-23,OIPE,0,,0,
11211422,8,2005-09-23,ROIPE,0,,0,
11211422,9,2005-09-23,CPAP,0,,0,
11211422,10,2005-11-21,CORRSPEC,0,,0,
11211422,11,2005-11-21,SES,0,,0,
11211422,12,2005-11-21,ADDFLFEE,0,,0,
11211422,18,2005-11-21,WIDS,0,,0,
11211422,18.7,2005-11-21,M844,0,,0,
11211422,25,2005-11-21,IDSC,0,,0,
11211422,13,2005-11-30,COMP,0,,0,
11211422,14,2005-11-30,WROIPE,0,,0,
11211422,19,2005-12-02,DOCK,0,,0,
11211422,20,2005-12-02,TSSCOMP,0,,0,
11211422,21,2006-01-25,WIDS,0,,0,
11211422,21.7,2006-01-25,M844,0,,0,
11211422,26,2006-01-25,IDSC,0,,0,
11211422,22,2007-04-26,WIDS,0,,0,
11211422,22.7,2007-04-26,M844,0,,0,
11211422,23,2007-04-26,RCAP,0,,0,
11211422,27,2007-04-26,IDSC,0,,0,
11211422,28,2007-05-21,CTNF,0,,0,
11211422,29,2007-05-24,MCTNF,210,PTO,-1,
11211422,30,2007-05-26,EML_NTF,0,,0,
11211422,31,2007-05-28,ELC_RVW,0,,0,
11211422,32,2007-07-03,WIDS,0,,0,
11211422,33,2007-07-03,M844,0,,0,
11211422,39,2007-07-03,IDSC,0,,0,
11211422,34,2007-11-15,XT/G,0,,0,
11211422,35,2007-11-15,A...,83,APPL,29,
11211422,37,2007-11-15,TDP,0,,0,
11211422,36,2007-11-23,FWDX,0,,0,
11211422,38,2007-12-07,WIDS,0,,0,
11211422,40,2007-12-07,IDSC,0,,0,
11211422,41,2007-12-13,P574,0,,0,
11211422,43,2007-12-21,N/=.,0,,0,
11211422,44,2007-12-21,DVER,0,,0,
11211422,46,2007-12-27,MN/=.,0,,0,
11063875,1,2005-02-24,IEXX,0,,0,
11063875,10,2005-02-24,WIDS,0,,0,
11063875,10.7,2005-02-24,M844,0,,0,
11063875,11,2005-02-24,RCAP,0,,0,
11063875,12,2005-02-24,RQPR,0,,0,
11063875,18,2005-02-24,IDSC,0,,0,
11063875,2,2005-03-14,SCAN,0,,0,
11063875,3,2005-03-17,L194,0,,0,
11063875,5,2005-03-21,OIPE,0,,0,
11063875,4,2005-03-22,COMP,0,,0,
11063875,6,2005-03-22,ROIPE,0,,0,
11063875,7,2005-03-22,WROIPE,0,,0,
11063875,8,2005-07-29,WIDS,0,,0,
11063875,8.7,2005-07-29,M844,0,,0,
11063875,9,2005-07-29,RCAP,0,,0,
11063875,14,2005-09-16,DOCK,0,,0,
11063875,15,2005-09-16,TSSCOMP,0,,0,
11063875,16,2006-12-01,DOCK,0,,0,
11063875,17,2007-01-05,DOCK,0,,0,
11063875,19,2007-03-19,CTNF,0,,0,
11063875,20,2007-03-20,MCTNF,330,PTO,-1,
11063875,21,2007-06-14,A...,0,,0,
11063875,22,2007-06-28,FWDX,0,,0,
11063875,23,2007-08-31,CTFR,0,,0,
11063875,24,2007-09-05,MCTFR,0,,0,
11063875,25,2007-11-29,A.NE,0,,0,
