application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10576466,40,2008-11-22,FWDX,0,,0,
10576466,45,2008-11-25,DVER,0,,0,
10576466,47,2008-11-25,DVER,0,,0,
10576466,48,2008-11-25,N/=.,0,,0,
10576466,50,2008-12-03,MN/=.,0,,0,
10268286,1,2002-10-10,IEXX,0,,0,
10268286,6,2002-10-10,WIDS,0,,0,
10268286,6.7,2002-10-10,M844,0,,0,
10268286,9,2002-10-10,RCAP,0,,0,
10268286,13,2002-10-10,IDSC,0,,0,
10268286,2,2002-10-23,SCAN,0,,0,
10268286,4,2002-11-15,COMP,0,,0,
10268286,5,2002-11-18,OIPE,0,,0,
10268286,7,2002-12-09,TI1050,0,,0,
10268286,8,2003-02-21,DOCK,0,,0,
10268286,10,2004-11-16,TSSCOMP,0,,0,
10268286,11,2005-04-26,C.ADB,0,,0,
10268286,12,2005-12-07,DOCK,0,,0,
10268286,14,2006-01-09,CTNF,0,,0,
10268286,15,2006-01-11,MCTNF,763,PTO,-1,
10268286,16,2006-04-11,A...,0,,0,
10268286,18,2006-04-11,C614,0,,0,
10268286,17,2006-04-20,FWDX,0,,0,
10268286,19,2006-06-16,CTFR,0,,0,
10268286,20,2006-06-19,MCTFR,0,,0,
10268286,21,2006-08-21,A.NE,0,,0,
10268286,22,2006-08-26,FWDX,0,,0,
10268286,23,2006-09-07,CTAV,0,,0,
10268286,24,2006-09-11,MCTAV,0,,0,
10268286,25,2006-09-19,N/AP,0,,0,
10268286,26,2006-09-19,AP.C,0,,0,
10268286,27,2006-11-06,APCP,0,,0,
10268286,28,2006-11-07,MAPCP,0,,0,
10268286,29,2006-12-06,AP.B,0,,0,
10268286,29.1,2006-12-06,APBI,0,,0,
10268286,30,2007-01-09,FWDX,0,,0,
10268286,31,2007-01-09,APBR,0,,0,
10268286,32,2007-03-13,APBD,0,,0,
11681586,1,2007-03-02,IEXX,0,,0,
11681586,9,2007-03-02,WIDS,0,,0,
11681586,12,2007-03-02,M844,0,,0,
11681586,16,2007-03-02,IDSC,0,,0,
11681586,2,2007-03-03,SCAN,0,,0,
11681586,3,2007-03-09,L194,0,,0,
11681586,5,2007-05-21,OATHDECL,0,,0,
11681586,6,2007-05-21,FLFEE,0,,0,
11681586,7,2007-05-24,COMP,0,,0,
11681586,8,2007-05-24,PGPC,0,,0,
11681586,13,2007-05-24,RQPR,0,,0,
11681586,11,2007-08-16,OIPE,0,,0,
11681586,14,2007-08-23,TSSCOMP,0,,0,
11681586,15,2007-11-01,DOCK,0,,0,
11681586,20,2007-12-10,CTNF,0,,0,
11681586,21,2007-12-13,MCTNF,0,,0,
11681586,23,2008-03-13,A...,0,,0,
11681586,22,2008-03-27,PG-ISSUE,0,,0,
11681586,24,2008-04-24,FWDX,0,,0,
11681586,26,2008-07-07,CTNF,0,,0,
11681586,27,2008-07-09,MCTNF,0,,0,
11681586,28,2008-10-03,EXIN,0,,0,
11681586,31,2008-10-09,A...,0,,0,
11253926,1,2005-10-18,IEXX,0,,0,
11253926,7,2005-10-18,WIDS,0,,0,
11253926,7.7,2005-10-18,M844,0,,0,
11253926,8,2005-10-18,RCAP,0,,0,
11253926,23,2005-10-18,IDSC,0,,0,
11253926,2,2005-11-08,SCAN,0,,0,
11253926,4,2005-11-14,L194,0,,0,
11253926,5,2005-11-22,COMP,0,,0,
11253926,6,2005-11-22,OIPE,0,,0,
11253926,9,2005-12-07,DOCK,0,,0,
11253926,10,2005-12-07,TSSCOMP,0,,0,
11253926,11,2006-09-25,C.ADB,0,,0,
11253926,12,2007-04-19,PG-ISSUE,0,,0,
11253926,13,2007-10-01,CTRS,0,,0,
11253926,14,2007-10-05,MCTRS,291,PTO,-1,
11253926,15,2007-10-05,EML_NTF,0,,0,
11253926,16,2007-10-06,ELC_RVW,0,,0,
11253926,17,2007-10-09,DOCK,0,,0,
11253926,18,2007-10-29,ELC.,0,,0,
11253926,19,2007-11-02,FWDX,0,,0,
11253926,24,2008-01-07,CTNF,0,,0,
11253926,25,2008-01-11,MCTNF,0,,0,
11253926,26,2008-01-11,EML_NTF,0,,0,
11253926,27,2008-01-12,ELC_RVW,0,,0,
11253926,31,2008-04-07,A...,0,,0,
11253926,28,2008-04-16,APPERMS,0,,0,
11123900,1,2005-05-06,IEXX,0,,0,
11123900,2,2005-05-12,SCAN,0,,0,
11123900,4,2005-05-16,L198,0,,0,
11123900,5,2005-06-13,L128,0,,0,
11123900,7,2005-06-14,OIPE,0,,0,
11123900,8,2005-06-14,ROIPE,0,,0,
10607592,1,2003-06-27,IEXX,0,,0,
10607592,2,2003-08-13,SCAN,0,,0,
10607592,3,2003-09-05,L194,0,,0,
10607592,5,2003-09-05,L194,0,,0,
10607592,7,2003-09-22,COMP,0,,0,
10607592,8,2003-09-22,OIPE,0,,0,
10607592,9,2003-09-22,ROIPE,0,,0,
10607592,10,2003-11-13,WROIPE,0,,0,
10607592,11,2003-11-18,TI1050,0,,0,
10607592,12,2004-10-25,WIDS,0,,0,
10607592,12.7,2004-10-25,M844,0,,0,
10607592,13,2004-10-25,RCAP,0,,0,
10607592,19,2004-10-25,IDSC,0,,0,
10607592,14,2005-07-29,PA..,0,,0,
10607592,15,2005-07-29,C.AD,0,,0,
10607592,16,2005-12-31,DOCK,0,,0,
10607592,17,2005-12-31,TSSCOMP,0,,0,
10607592,18,2007-01-09,DOCK,0,,0,
10607592,20,2007-03-05,CTNF,0,,0,
10607592,21,2007-03-07,MCTNF,922,PTO,-1,
10607592,22,2007-06-12,XT/G,0,,0,
10607592,23,2007-06-12,A...,5,APPL,21,
10607592,23.1,2007-06-12,A.I.,0,,0,
10607592,25,2007-06-12,C614,0,,0,
10607592,24,2007-06-14,FWDX,0,,0,
10607592,26,2007-06-19,NINA,0,,0,
10607592,27,2007-07-10,C614,0,,0,
10607592,28,2007-07-10,A...,28,APPL,23,
10607592,29,2007-07-25,FWDX,0,,0,
10607592,30,2007-09-27,CTFR,0,,0,
10607592,31,2007-10-02,MCTFR,0,,0,
10607592,44,2007-11-12,EXIN,0,,0,
10607592,32,2007-12-03,A.NE,0,,0,
11279817,35,2008-11-24,MN/=.,0,,0,
11569913,5,2007-10-05,OATHDECL,0,,0,
11569913,9,2007-10-05,371COMP,0,,0,
11569913,8,2008-02-01,PGPC,0,,0,
11569913,6,2008-02-04,M903,0,,0,
11569913,7,2008-02-04,FLRCPT.O,0,,0,
11569913,10,2008-02-14,OIPE,0,,0,
11569913,12,2008-03-12,DOCK,0,,0,
11569913,16,2008-03-28,TSSCOMP,0,,0,
11569913,17,2008-05-08,PG-ISSUE,0,,0,
11569913,24,2008-08-11,CTNF,0,,0,
11569913,25,2008-08-12,MCTNF,0,,0,
11569913,26,2008-11-10,A...,0,,0,
11569913,27,2008-11-18,FWDX,0,,0,
11569913,29,2008-11-20,N/=.,0,,0,
11569913,30,2008-11-20,DVER,0,,0,
11569913,32,2008-11-25,MN/=.,0,,0,
11446400,1,2006-06-05,IEXX,0,,0,
11446400,7,2006-06-05,WIDS,0,,0,
11446400,7.7,2006-06-05,M844,0,,0,
11446400,8,2006-06-05,RQPR,0,,0,
11446400,13,2006-06-05,IDSC,0,,0,
11446400,2,2006-06-08,SCAN,0,,0,
11446400,3,2006-06-15,L194,0,,0,
11446400,4,2006-06-29,COMP,0,,0,
11446400,5,2006-06-29,OIPE,0,,0,
11446400,6,2006-07-03,TI1050,0,,0,
11446400,9,2006-07-13,DOCK,0,,0,
11446400,10,2006-07-13,TSSCOMP,0,,0,
11446400,11,2007-05-24,PG-ISSUE,0,,0,
11446400,20,2008-11-21,DVER,0,,0,
11446400,21,2008-11-21,N/=.,0,,0,
11446400,23,2008-11-24,MN/=.,477,PTO,-1,
10227426,1,2002-08-26,IEXX,0,,0,
10227426,5,2002-08-26,WIDS,0,,0,
10227426,5.7,2002-08-26,M844,0,,0,
10227426,6,2002-08-26,RQPR,0,,0,
10227426,2,2002-09-04,SCAN,0,,0,
10227426,3,2002-10-03,COMP,0,,0,
10227426,4,2002-10-04,OIPE,0,,0,
10227426,7,2002-11-05,DOCK,0,,0,
10227426,8,2002-11-05,CTNF,0,,0,
10227426,9,2002-11-06,MCTNF,0,,0,
10227426,10,2003-01-31,A...,0,,0,
10227426,11,2003-03-28,FWDX,0,,0,
10227426,12,2003-06-12,CTFR,0,,0,
10227426,13,2003-06-13,MCTFR,13,PTO,10,
10227426,14,2003-10-14,XT/G,0,,0,
10227426,15,2003-10-14,A.NE,0,,0,
10227426,16,2003-10-18,FWDX,0,,0,
10227426,17,2003-11-03,CTAV,0,,0,
10562545,1,2005-12-29,IEXX,0,,0,
10562545,8,2005-12-29,WIDS,0,,0,
10562545,8.7,2005-12-29,M844,0,,0,
10562545,9,2005-12-29,RCAP,0,,0,
10562545,10,2005-12-29,RQPR,0,,0,
10562545,11,2005-12-29,A.PE,0,,0,
10562545,24,2005-12-29,IDSC,0,,0,
10562545,5,2006-01-04,371COMP,0,,0,
10562545,2,2006-01-21,L194,0,,0,
10562545,3,2006-04-18,M903,0,,0,
10562545,4,2006-04-18,OIPE,0,,0,
10562545,6,2006-07-10,TI1050,0,,0,
10562545,7,2006-07-11,DOCK,0,,0,
10562545,12,2006-07-11,TSSCOMP,0,,0,
10227426,18,2003-11-06,MCTAV,0,,0,
10227426,19,2003-12-08,XT/G,0,,0,
10227426,20,2003-12-08,N/AP,86,APPL,13,
10227426,21,2004-04-29,EXIN,0,,0,
10227426,22,2004-05-06,MEXIN,0,,0,
10227426,23,2004-05-10,WAMD,0,,0,
10227426,24,2004-05-10,AP/A,0,,0,
10227426,26,2004-05-10,XT/G,0,,0,
10227426,25,2004-05-18,FWDX,0,,0,
10227426,27,2004-05-18,TSSCOMP,0,,0,
10227426,28,2004-05-25,CTAV,0,,0,
10227426,29,2004-05-27,MCTAV,0,,0,
10227426,30,2004-06-08,BRCE,0,,0,
10227426,31,2004-06-08,WAMD,0,,0,
10227426,32,2004-06-08,XT/G,0,,0,
10227426,34,2004-06-08,RCEX,0,,0,
10227426,38,2004-06-14,IRFND,0,,0,
10227426,33,2004-06-15,ABN9,0,,0,
10227426,35,2004-06-15,FWDX,0,,0,
10227426,36,2004-06-28,CTNF,0,,0,
10227426,37,2004-07-01,MCTNF,0,,0,
10227426,39,2005-01-03,WAMD,0,,0,
10227426,40,2005-01-03,XT/G,0,,0,
10227426,41,2005-01-03,A...,94,APPL,37,
10227426,82,2005-01-07,M844,4,APPL,41,
10227426,42,2005-01-21,FWDX,0,,0,
10227426,44,2005-03-30,CTNF,0,,0,
10227426,45,2005-04-01,MCTNF,0,,0,
10227426,46,2005-10-03,XT/G,0,,0,
10227426,47,2005-10-03,A...,94,APPL,45,
10227426,48,2005-10-12,FWDX,0,,0,
10227426,49,2005-12-27,CTFR,0,,0,
10227426,50,2005-12-30,MCTFR,0,,0,
10227426,51,2006-03-30,A.NE,0,,0,
10227426,52,2006-04-04,FWDX,0,,0,
10227426,53,2006-04-17,CTAV,0,,0,
10227426,54,2006-04-19,MCTAV,0,,0,
10227426,55,2006-05-01,XT/G,0,,0,
10227426,56,2006-05-01,N/AP,32,APPL,50,
10227426,57,2006-08-01,XT/G,0,,0,
10227426,58,2006-08-01,AP.B,0,,0,
10227426,58.1,2006-08-01,APBI,0,,0,
10227426,59,2006-08-21,FWDX,0,,0,
10227426,60,2006-08-21,APBR,0,,0,
10227426,61,2006-08-22,APBD,0,,0,
10227426,62,2006-09-18,AP.B,0,,0,
10562545,13,2007-05-29,WIDS,0,,0,
10562545,14,2007-05-29,M844,0,,0,
10562545,25,2007-05-29,IDSC,0,,0,
10562545,15,2007-10-04,DOCK,0,,0,
10562545,16,2007-10-16,F525,0,,0,
10562545,17,2007-10-17,W525,0,,0,
10562545,26,2008-07-21,CTNF,0,,0,
10562545,27,2008-07-22,MCTNF,510,PTO,-1,
10562545,28,2008-07-22,M844,0,,0,
10562545,29,2008-10-22,A...,0,,0,
10562545,30,2008-10-31,FWDX,0,,0,
10562545,33,2008-11-07,EXIN,0,,0,
10562545,32,2008-11-13,EX.A,0,,0,
10562545,34,2008-11-13,DOCK,0,,0,
10562545,35,2008-11-13,N/=.,0,,0,
10562545,36,2008-11-13,DVER,0,,0,
10562545,38,2008-11-25,MN/=.,0,,0,
11048834,1,2005-02-01,IEXX,0,,0,
11048834,2,2005-02-15,SCAN,0,,0,
11048834,3,2005-02-22,L194,0,,0,
11048834,4,2005-03-07,COMP,0,,0,
