application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10270605,28,2008-02-25,MCTNF,1532,PTO,-1,
10270605,29,2008-02-26,EML_NTF,0,,0,
10270605,30,2008-02-27,ELC_RVW,0,,0,
10270605,31,2008-06-25,XT/G,0,,0,
10270605,32,2008-06-25,A...,31,APPL,28,
10270605,33,2008-08-13,FWDX,0,,0,
10270605,34,2008-10-06,DOCK,0,,0,
10270605,36,2008-10-17,CTFR,0,,0,
10270605,37,2008-10-22,MCTFR,0,,0,
10270605,38,2008-10-22,EML_NTF,0,,0,
10270605,39,2008-10-22,ELC_RVW,0,,0,
10270605,40,2008-12-22,A.NE,0,,0,
10270605,41,2008-12-31,FWDX,0,,0,
10270605,42,2009-01-04,CTAV,0,,0,
10270605,43,2009-01-07,MCTAV,0,,0,
10270605,44,2009-01-07,EML_NTR,0,,0,
10270605,45,2009-01-22,BRCE,0,,0,
10270605,47,2009-01-22,RCEX,0,,0,
10270605,46,2009-01-29,ABN9,0,,0,
10270605,48,2009-01-29,FWDX,0,,0,
10270605,49,2009-04-03,CTNF,0,,0,
10270605,50,2009-04-08,MCTNF,0,,0,
10270605,51,2009-04-08,EML_NTF,0,,0,
10270605,52,2009-04-08,ELC_RVW,0,,0,
10270605,53,2009-06-19,A...,0,,0,
10902325,28,2006-11-08,WIDS,0,,0,
10902325,28.7,2006-11-08,EIDS.,0,,0,
10902325,38,2006-11-08,IDSC,0,,0,
10902325,30,2007-08-31,DOCK,0,,0,
10902325,31,2007-10-10,WIDS,0,,0,
10902325,40,2007-10-10,IDSC,0,,0,
10902325,103,2007-10-10,EIDS.,0,,0,
10902325,32,2007-10-16,F525,0,,0,
10902325,33,2007-10-17,W525,0,,0,
10902325,34,2007-12-12,WIDS,0,,0,
10902325,35,2007-12-12,EIDS.,0,,0,
10902325,41,2007-12-12,IDSC,0,,0,
10902325,42,2008-03-31,CTRS,0,,0,
10902325,43,2008-04-08,MCTRS,922,PTO,-1,
10902325,44,2008-05-06,ELC.,0,,0,
10902325,45,2008-05-30,FWDX,0,,0,
10902325,49,2008-08-18,CTNF,0,,0,
10902325,50,2008-08-19,MCTNF,0,,0,
10902325,51,2008-09-04,WIDS,0,,0,
10902325,52,2008-09-04,M844,0,,0,
10902325,58,2008-09-04,IDSC,0,,0,
10902325,60,2008-10-29,EXIN,0,,0,
10902325,53,2008-11-19,A...,0,,0,
10902325,53.1,2008-11-19,A.I.,0,,0,
10902325,54,2008-12-17,FWDX,0,,0,
10902325,55,2008-12-19,NINA,0,,0,
10902325,56,2009-01-21,A...,63,APPL,53,
10902325,57,2009-02-09,FWDX,0,,0,
10902325,61,2009-04-28,EX.A,0,,0,
10902325,62,2009-04-28,N/=.,0,,0,
10902325,63,2009-04-28,DVER,0,,0,
10902325,65,2009-04-30,MN/=.,0,,0,
10902325,66,2009-04-30,MEXIN,0,,0,
10902325,67,2009-04-30,MEX.A,0,,0,
10902325,70,2009-05-19,PUBTC,0,,0,
10902325,71,2009-05-28,TCPB,0,,0,
10902325,73,2009-06-05,DRWF,0,,0,
10902325,74,2009-06-05,A.NA,0,,0,
10902325,75,2009-06-11,N271,0,,0,
11995473,20,2009-04-21,IDSC,0,,0,
11995473,33,2009-04-21,M844,0,,0,
11995473,34,2009-04-21,RCAP,0,,0,
11995473,13,2009-05-27,M903,0,,0,
11995473,14,2009-05-27,FLRCPT.O,0,,0,
11995473,15,2009-05-27,PGPC,0,,0,
11995473,17,2009-06-12,OIPE,0,,0,
11995473,18,2009-06-17,DOCK,0,,0,
11995473,26,2009-07-06,CTNF,0,,0,
11995473,27,2009-07-09,MCTNF,120,PTO,16,
11995473,28,2009-07-16,TSSCOMP,0,,0,
11995473,35,2009-09-03,PG-ISSUE,0,,0,
11995473,37,2009-09-17,A...,0,,0,
11995473,36,2009-10-06,DOCK,0,,0,
11995473,38,2009-10-08,FWDX,0,,0,
11995473,40,2009-10-16,DVER,0,,0,
11995473,41,2009-10-16,N/=.,0,,0,
11995473,43,2009-10-19,MN/=.,0,,0,
10902325,76,2009-06-12,MN271,0,,0,
10902325,78,2009-06-24,IFEE,0,,0,
10902325,79,2009-06-24,N084,0,,0,
10902325,112,2009-06-24,VFEE,0,,0,
10902325,80,2009-06-26,PILS,0,,0,
10902325,81,2009-06-26,D1935,0,,0,
