application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10848550,53,2007-08-02,EIDS.,0,,0,
10848550,62,2007-08-02,IDSC,0,,0,
10848550,54,2007-08-17,EIDS.,0,,0,
10848550,55,2007-08-17,WIDS,0,,0,
10848550,63,2007-08-17,IDSC,0,,0,
10848550,56,2007-08-30,A...,0,,0,
10848550,57,2007-09-11,FWDX,0,,0,
10848550,29,2007-11-09,WIDS,0,,0,
10848550,64,2007-11-09,IDSC,0,,0,
10848550,67,2007-11-09,RCAP,0,,0,
10848550,65,2007-11-16,CTFR,0,,0,
10848550,66,2007-11-19,MCTFR,0,,0,
10848550,68,2008-01-22,A.NE,0,,0,
10848550,69,2008-01-24,FWDX,0,,0,
10848550,70,2008-01-30,CTAV,0,,0,
10848550,71,2008-01-30,MCTAV,0,,0,
10848550,72,2008-02-26,BRCE,0,,0,
10848550,73,2008-02-26,XT/G,0,,0,
10848550,75,2008-02-26,RCEX,7,APPL,66,
10848550,74,2008-03-05,ABN9,0,,0,
10848550,76,2008-03-05,FWDX,0,,0,
10848550,78,2008-03-05,FWDX,0,,0,
10848550,79,2008-03-10,CTRS,0,,0,
10848550,80,2008-03-17,MCTRS,0,,0,
10848550,81,2008-04-15,ELC.,0,,0,
10848550,82,2008-04-22,FWDX,0,,0,
10848550,83,2008-04-22,M844,0,,0,
10848550,84,2008-04-22,M844,7,APPL,81,
10848550,85,2008-04-22,RCAP,0,,0,
11582840,66,2010-03-12,XT/G,0,,0,
11582840,67,2010-03-12,N/AP,2,APPL,62,
11582840,68,2010-03-12,XT/G,0,,0,
11582840,69,2010-03-12,N/AP,0,,0,
11582840,70,2010-03-12,AP.C,0,,0,
11582840,71,2010-04-28,APCP,0,,0,
11582840,72,2010-04-29,MAPCP,0,,0,
11582840,73,2010-08-24,AP/A,0,,0,
11582840,74,2010-09-14,FWDX,0,,0,
11582840,76,2010-09-27,N/=.,0,,0,
11582840,77,2010-09-27,DVER,0,,0,
11582840,79,2010-09-29,MN/=.,79,PTO,67,
11582840,.5,2006-10-17,EFILE,0,,0,
11582840,79,2010-09-29,MN/=.,202,,69,
11582840,82,2010-10-19,M844,28,APPL,86,
11582840,83,2010-10-19,RCAP,0,,0,
11582840,81,2010-10-19,WIDS,0,,0,
11582840,84,2010-10-19,IDSC,0,,0,
11582840,85,2010-11-12,M327,0,,0,
11582840,86,2010-11-15,MM327,0,,0,
11582840,88,2010-12-29,IFEE,0,,0,
11582840,89,2010-12-29,N084,0,,0,
11582840,90,2011-01-05,PILS,0,,0,
11582840,91,2011-01-05,D1935,0,,0,
11582840,93,2011-02-08,PTAC,0,,0,
11582840,93.5,2008-07-16,PTA36M,0,PTO,.5,
10848550,86,2008-04-22,WIDS,0,,0,
10848550,89,2008-04-22,IDSC,0,,0,
10848550,90,2008-05-06,CTNF,0,,0,
10848550,91,2008-05-07,MCTNF,0,,0,
10848550,92,2008-07-31,A...,0,,0,
10848550,94,2008-07-31,C614,0,,0,
10848550,93,2008-08-23,FWDX,0,,0,
10848550,95,2008-08-26,WIDS,0,,0,
10848550,105,2008-08-26,IDSC,0,,0,
10848550,108,2008-08-26,M844,0,,0,
10848550,109,2008-08-26,RCAP,0,,0,
10848550,97,2008-08-27,WIDS,0,,0,
10848550,103,2008-08-27,IDSC,0,,0,
10848550,110,2008-08-27,M844,0,,0,
10848550,111,2008-08-27,RCAP,0,,0,
10848550,96,2008-10-07,WIDS,0,,0,
10848550,104,2008-10-07,IDSC,0,,0,
10848550,112,2008-10-07,M844,0,,0,
10848550,113,2008-10-07,RCAP,0,,0,
10848550,106,2008-10-23,CTFR,0,,0,
10848550,107,2008-10-24,MCTFR,0,,0,
10848550,115,2008-12-23,A.NE,0,,0,
10848550,117,2008-12-23,LET.,0,,0,
10848550,116,2009-01-08,FWDX,0,,0,
10848550,118,2009-01-16,CTNF,0,,0,
10848550,119,2009-01-21,MCTNF,0,,0,
10848550,121,2009-03-17,EXIN,0,,0,
10848550,120,2009-03-23,WIDS,0,,0,
10848550,125,2009-03-23,M844,0,,0,
10848550,126,2009-03-23,RCAP,0,,0,
10848550,132,2009-03-23,IDSC,0,,0,
10848550,122,2009-03-30,MEXIN,0,,0,
10848550,124,2009-04-21,WIDS,0,,0,
10848550,127,2009-04-21,A...,0,,0,
10848550,129,2009-04-21,M844,0,,0,
10848550,133,2009-04-21,IDSC,0,,0,
10848550,128,2009-05-19,FWDX,0,,0,
10848550,131,2009-06-26,WIDS,0,,0,
10848550,134,2009-06-26,IDSC,0,,0,
10848550,139,2009-06-26,M844,66,APPL,127,
10848550,140,2009-06-26,RCAP,0,,0,
10848550,135,2009-07-31,CTNF,0,,0,
10848550,136,2009-08-03,MCTNF,0,,0,
10848550,138,2009-08-24,WIDS,0,,0,
10848550,141,2009-08-24,M844,0,,0,
11680426,37,2009-10-01,CTAV,0,,0,
11680426,38,2009-10-07,MCTAV,0,,0,
11680426,39,2009-10-07,EML_NTR,0,,0,
11680426,40,2009-10-21,WIDS,0,,0,
11680426,48,2009-10-21,M844,0,,0,
11680426,49,2009-10-21,IDSC,0,,0,
11680426,41,2009-10-29,BRCE,0,,0,
11680426,42,2009-10-29,XT/G,0,,0,
11680426,44,2009-10-29,RCEX,30,APPL,29,
11680426,43,2009-11-03,ABN9,0,,0,
11680426,45,2009-11-03,FWDX,0,,0,
11680426,47,2009-11-03,FWDX,0,,0,
11680426,50,2009-12-31,CTNF,0,,0,
11680426,51,2010-01-06,MCTNF,0,,0,
11680426,52,2010-01-06,EML_NTF,0,,0,
11680426,53,2010-01-06,ELC_RVW,0,,0,
11680426,54,2010-01-21,WIDS,0,,0,
11680426,55,2010-01-21,M844,0,,0,
11680426,56,2010-01-21,RCAP,0,,0,
11680426,63,2010-01-21,IDSC,0,,0,
11680426,57,2010-03-30,DOCK,0,,0,
11680426,58,2010-04-06,A...,0,,0,
11680426,59,2010-04-22,FWDX,0,,0,
11680426,60,2010-05-14,WIDS,0,,0,
11680426,61,2010-05-14,M844,38,APPL,58,
11680426,62,2010-05-14,RCAP,0,,0,
11680426,64,2010-05-14,IDSC,0,,0,
11680426,65,2010-06-05,CTFR,0,,0,
11680426,66,2010-06-09,MCTFR,0,,0,
11680426,67,2010-06-09,EML_NTF,0,,0,
11680426,68,2010-06-09,ELC_RVW,0,,0,
11680426,72,2010-08-25,EXIN,0,,0,
11680426,69,2010-09-07,A.NE,0,,0,
11680426,70,2010-09-07,FWDX,0,,0,
11680426,73,2010-09-21,EX.A,0,,0,
11680426,74,2010-09-27,DOCK,0,,0,
11680426,75,2010-09-27,N/=.,0,,0,
11680426,76,2010-09-27,DVER,0,,0,
11680426,77,2010-09-27,RCAP,0,,0,
11680426,78,2010-10-01,MN/=.,0,,0,
11680426,.5,2007-02-28,EFILE,0,,0,
10848550,142,2009-08-24,RCAP,0,,0,
10848550,152,2009-08-24,IDSC,0,,0,
10848550,144,2009-11-03,A...,0,,0,
10848550,146,2009-12-30,M844,57,APPL,144,
10848550,147,2009-12-30,RCAP,0,,0,
10848550,148,2009-12-30,WIDS,0,,0,
10848550,153,2009-12-30,IDSC,0,,0,
10848550,145,2010-01-02,FWDX,0,,0,
10848550,155,2010-03-02,EX.A,0,,0,
10848550,156,2010-03-02,N/=.,0,,0,
10848550,157,2010-03-02,DVER,0,,0,
10848550,159,2010-03-09,MN/=.,6,PTO,144,
10848550,.5,2004-05-18,EFILE,0,,0,
10848550,163,2010-05-20,IFEE,0,,0,
10848550,164,2010-05-20,N084,0,,0,
10848550,168,2010-05-25,LET.,120,APPL,0,
10848550,165,2010-05-27,PILS,0,,0,
10848550,169,2011-01-13,D1935,0,,0,
10848550,170,2011-01-13,D1935,0,,0,
10848550,172,2011-02-08,PTAC,141,PTO,164,
10848550,172.5,2008-02-25,PTA36M,283,PTO,.5,
10848550,44,2007-07-03,MCTNF,46,,.5,
11196052,28,2010-01-26,PA..,0,,0,
11196052,29,2010-03-01,CTFR,0,,0,
11196052,30,2010-03-03,MCTFR,0,,0,
11196052,31,2010-05-24,N/AP,0,,0,
11196052,33,2010-07-20,AP.B,0,,0,
11196052,32,2010-08-03,APBR,0,,0,
11196052,34,2010-08-04,FWDX,0,,0,
11196052,35,2010-10-06,DOCK,0,,0,
11196052,36,2010-10-07,EXIN,0,,0,
11196052,38,2010-10-12,N/=.,0,,0,
11196052,39,2010-10-12,DVER,0,,0,
11196052,41,2010-10-13,MEXIN,0,,0,
11196052,42,2010-10-14,MN/=.,144,,31,
11196052,.5,2005-08-03,EFILE,0,,0,
11196052,44,2010-10-25,A.NA,8,APPL,46,
11196052,45,2010-11-01,N271,0,,0,
11196052,46,2010-11-01,MN271,0,,0,
11196052,48,2010-12-23,IFEE,0,,0,
11196052,49,2010-12-23,N084,0,,0,
11196052,51,2011-01-03,PILS,0,,0,
11196052,52,2011-01-03,D1935,0,,0,
11196052,50,2011-01-03,C.AD,0,,0,
11196052,54,2011-02-08,PTAC,0,,0,
11196052,54.5,2011-02-08,PTA36M,775,PTO,.5,
11196052,20,2009-05-29,MCTRS,155,,.5,
10653049,1,2003-08-29,IEXX,0,,0,
10653049,2,2003-10-09,SCAN,0,,0,
10653049,3,2003-11-13,L194,0,,0,
10653049,7,2003-12-08,OATHDECL,0,,0,
10653049,8,2003-12-08,ADDFLFEE,0,,0,
10653049,22,2003-12-08,WIDS,0,,0,
10653049,22.7,2003-12-08,M844,0,,0,
10653049,23,2003-12-08,RCAP,0,,0,
10653049,32,2003-12-08,IDSC,0,,0,
10653049,9,2004-01-22,COMP,0,,0,
10653049,10,2004-01-22,OIPE,0,,0,
10653049,11,2004-01-22,ROIPE,0,,0,
10653049,12,2004-01-22,WROIPE,0,,0,
10653049,13,2004-01-23,ROIPE,0,,0,
10653049,14,2004-01-23,W/OA,0,,0,
10653049,15,2004-01-23,COMP,0,,0,
