application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11297495,86,2011-08-23,ELC_RVW,0,,0,
11297495,88,2011-09-01,R1021,0,,0,
11297495,89,2011-09-01,R1021,0,,0,
11297495,91,2011-10-17,BRCE,0,,0,
11297495,93,2011-10-17,RCEX,0,,0,
11297495,94,2011-10-17,EIDS.,0,,0,
11297495,95,2011-10-17,WIDS,0,,0,
11297495,96,2011-10-17,IDSC,0,,0,
11297495,92,2011-10-18,ABN9,0,,0,
11297495,98,2011-11-18,EX.A,0,,0,
11297495,99,2011-11-18,EX.R,0,,0,
11297495,100,2011-11-18,EXIE,0,,0,
11297495,101,2011-11-26,N/=.,0,,0,
11297495,102,2011-11-26,DVER,0,,0,
11297495,108,2011-11-30,MN/=.,0,,0,
11297495,.5,2005-12-08,EFILE,0,,0,
11297495,112,2011-12-19,LET.,100,APPL,0,
11297495,113,2012-02-09,IFEE,0,,0,
11297495,114,2012-02-09,N084,0,,0,
11297495,115,2012-02-16,PILS,0,,0,
11297495,116,2012-02-21,C.AD,0,,0,
11297495,117,2012-02-22,D1935,0,,0,
11297495,119,2012-03-27,PTAC,0,,0,
11297495,119.5,2009-03-03,PTA36M,85,PTO,.5,
12849296,1,2010-08-03,IEXX,0,,0,
12849296,2,2010-08-03,SCAN,0,,0,
12849296,4,2010-08-03,WIDS,0,,0,
12849296,10,2010-08-03,EIDS.,0,,0,
12849296,14,2010-08-03,IDSC,0,,0,
12849296,3,2010-08-04,L194,0,,0,
12849296,5,2010-08-17,FLRCPT.O,0,,0,
12849296,6,2010-08-17,PGPC,0,,0,
12849296,7,2010-08-17,PA..,0,,0,
12849296,8,2010-08-17,COMP,0,,0,
12849296,9,2010-09-08,OIPE,0,,0,
12849296,11,2010-11-26,PG-ISSUE,0,,0,
12849296,13,2011-05-18,DOCK,0,,0,
12849296,17,2011-06-21,CTNF,0,,0,
12849296,19,2011-06-28,MCTNF,0,,0,
12849296,20,2011-06-28,EML_NTF,0,,0,
12849296,21,2011-06-28,ELC_RVW,0,,0,
12849296,22,2011-09-27,A...,0,,0,
12849296,24,2011-09-27,DIST,0,,0,
12849296,23,2011-09-30,FWDX,0,,0,
12849296,25,2011-10-19,P575,0,,0,
12849296,28,2011-10-26,DIST,29,APPL,22,
12849296,29,2011-11-04,P574,0,,0,
12849296,32,2011-11-07,EX.R,0,,0,
12849296,33,2011-11-09,N/=.,0,,0,
12849296,34,2011-11-09,DVER,0,,0,
12849296,38,2011-11-15,MN/=.,0,,0,
12849296,.5,2010-08-03,EFILE,0,,0,
12849296,46,2012-02-15,REAS,0,,0,
12849296,44,2012-02-15,N084,0,,0,
12849296,43,2012-02-15,IFEE,0,,0,
12849296,45,2012-02-17,PILS,0,,0,
12849296,48,2012-02-27,PA..,0,,0,
12849296,47,2012-02-27,C.AD,0,,0,
12849296,49,2012-02-27,D1935,0,,0,
12849296,50,2012-02-28,EML_NTR,0,,0,
12849296,52,2012-03-27,PTAC,0,,0,
12849296,52.5,2012-03-27,PTA36M,0,PTO,.5,
11270818,1,2005-11-10,IEXX,0,,0,
