application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10694706,203,2011-02-05,BRCE,0,,0,
10694706,205,2011-02-05,RCEX,0,,0,
10694706,204,2011-02-08,ABN9,0,,0,
10694706,207,2011-02-08,FWDX,0,,0,
10694706,228,2011-03-30,N/=.,0,,0,
10694706,229,2011-03-30,DVER,0,,0,
10694706,223,2011-04-12,SA..,0,,0,
10694706,224,2011-04-18,FWDX,0,,0,
10694706,225,2011-04-18,SA..,0,,0,
10694706,226,2011-04-18,FWDX,0,,0,
10694706,231,2011-05-03,MN/=.,0,,0,
10694706,233,2011-05-23,CNOA,0,,0,
10694706,236,2011-05-25,MCNOA,0,,0,
10694706,237,2011-06-07,BRCE,0,,0,
10694706,239,2011-06-07,RCEX,0,,0,
10694706,238,2011-06-08,ABN9,0,,0,
10694706,241,2011-06-08,FWDX,0,,0,
10694706,243,2011-07-01,EX.A,0,,0,
10694706,244,2011-07-08,N/=.,0,,0,
10694706,245,2011-07-08,DVER,0,,0,
10694706,249,2011-07-11,MN/=.,0,,0,
10694706,251,2011-07-27,A.NA,0,,0,
10694706,256,2011-09-06,BRCE,0,,0,
10694706,258,2011-09-06,RCEX,0,,0,
10694706,257,2011-09-08,ABN9,0,,0,
10694706,260,2011-09-08,FWDX,0,,0,
10694706,261,2011-11-29,P575,0,,0,
10694706,262,2011-12-15,A.PE,0,,0,
10694706,265,2012-02-07,EX.R,0,,0,
10694706,266,2012-02-09,N/=.,0,,0,
10694706,267,2012-02-09,DVER,0,,0,
10694706,272,2012-02-15,MN/=.,40,PTO,258,
10694706,274,2012-03-05,A.NA,0,,0,
10694706,275,2012-03-05,C600,0,,0,
10694706,276,2012-03-06,PUBTC,0,,0,
10694706,277,2012-03-24,BRCE,0,,0,
10694706,279,2012-03-24,RCEX,0,,0,
10694706,278,2012-03-27,ABN9,0,,0,
10694706,281,2012-03-27,FWDX,0,,0,
10694706,283,2012-04-06,N/=.,0,,0,
12864051,1,2010-07-22,IEXX,0,,0,
12864051,2,2010-07-22,L194,0,,0,
12864051,3,2010-07-22,WIDS,0,,0,
12864051,7,2010-07-22,371COMP,0,,0,
12864051,11,2010-07-22,A.PE,0,,0,
12864051,12,2010-07-22,EIDS.,0,,0,
12864051,13,2010-07-22,RQPR,0,,0,
12864051,25,2010-07-22,IDSC,0,,0,
12864051,6,2010-08-18,PGPC,0,,0,
12864051,4,2010-08-19,M903,0,,0,
12864051,5,2010-08-19,FLRCPT.O,0,,0,
12864051,8,2010-08-19,EML_NTR,0,,0,
12864051,9,2010-08-19,EML_NTR,0,,0,
12864051,10,2010-09-10,OIPE,0,,0,
12864051,14,2010-11-26,PG-ISSUE,0,,0,
12864051,15,2010-11-26,EML_NTR,0,,0,
12864051,16,2011-03-04,TI1050,0,,0,
12864051,17,2011-03-06,DOCK,0,,0,
12864051,18,2011-12-02,WIDS,0,,0,
12864051,19,2011-12-02,EIDS.,0,,0,
12864051,24,2011-12-02,IDSC,0,,0,
12864051,20,2012-01-06,DOCK,0,,0,
12864051,21,2012-03-02,DOCK,0,,0,
12864051,22,2012-03-27,DOCK,0,,0,
12864051,26,2012-09-11,CTNF,0,,0,
12864051,28,2012-09-20,MCTNF,364,PTO,7,
12864051,29,2012-09-20,EML_NTF,0,,0,
12864051,30,2012-09-20,ELC_RVW,0,,0,
12864051,31,2012-12-19,A...,0,,0,
12864051,32,2013-01-06,FWDX,0,,0,
12864051,37,2013-01-10,EX.R,0,,0,
12864051,38,2013-01-12,DOCK,0,,0,
12864051,39,2013-01-12,N/=.,0,,0,
12864051,40,2013-01-12,DVER,0,,0,
10694706,284,2012-04-06,DVER,0,,0,
10694706,287,2012-04-09,MN/=.,0,,0,
10694706,289,2012-04-26,M327-D,0,,0,
10694706,290,2012-04-26,MM327-D,0,,0,
10694706,291,2012-04-26,FLRCPT.C,0,,0,
10694706,292,2012-05-29,IFEE,0,,0,
10694706,293,2012-05-29,N084,0,,0,
10694706,294,2012-05-30,PILS,0,,0,
10694706,295,2012-05-30,D1935,0,,0,
10694706,297,2012-06-08,PUBTC,0,,0,
10694706,302,2012-08-22,TCPB,0,,0,
10694706,303,2012-08-24,BRCE,0,,0,
10694706,304,2012-08-24,PET.,0,,0,
