application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13176503,4,2011-07-05,PDREQUST,0,,0,
13176503,17,2011-07-05,A.PE,0,,0,
13176503,3,2011-07-07,L194,0,,0,
13176503,5,2011-07-18,FLRCPT.O,0,,0,
13176503,6,2011-07-18,INCD,0,,0,
13176503,7,2011-07-18,EML_NTR,0,,0,
13176503,8,2011-07-18,EML_NTF,0,,0,
13176503,9,2011-07-18,ELC_RVW,0,,0,
13176503,10,2011-09-19,OATHDECL,0,,0,
13176503,11,2011-09-19,ADDFLFEE,0,,0,
13176503,13,2011-09-29,PGPC,0,,0,
13176503,18,2011-09-29,RQPR,0,,0,
13176503,12,2011-09-30,FLRCPT.U,0,,0,
13176503,14,2011-09-30,EML_NTR,0,,0,
13176503,15,2011-09-30,COMP,0,,0,
13176503,16,2011-10-20,OIPE,0,,0,
13176503,19,2012-01-05,PG-ISSUE,0,,0,
13176503,20,2012-01-06,EML_NTR,0,,0,
12922028,1,2010-09-10,IEXX,0,,0,
12922028,12,2010-09-10,371COMP,0,,0,
12922028,16,2010-09-10,A.PE,0,,0,
12922028,17,2010-09-10,RQPR,0,,0,
12922028,2,2010-10-08,L194,0,,0,
12922028,3,2010-10-08,WIDS,0,,0,
12922028,18,2010-10-08,M844,0,,0,
12922028,19,2010-10-08,RCAP,0,,0,
12922028,41,2010-10-08,IDSC,0,,0,
12922028,6,2010-11-18,PGPC,0,,0,
12922028,4,2010-11-19,M903,0,,0,
12922028,5,2010-11-19,FLRCPT.O,0,,0,
12922028,8,2010-11-19,EML_NTR,0,,0,
12922028,9,2010-11-19,EML_NTR,0,,0,
12922028,10,2010-11-26,FLRCPT.O,0,,0,
12922028,11,2010-11-26,M903,0,,0,
12922028,13,2010-11-26,EML_NTR,0,,0,
13176503,21,2012-04-11,DOCK,0,,0,
13176503,23,2012-08-22,WIDS,0,,0,
13176503,24,2012-08-22,M844,0,,0,
13176503,25,2012-08-22,LET.,0,,0,
13176503,49,2012-08-22,IDSC,0,,0,
13176503,26,2013-04-03,C.AD,0,,0,
13176503,27,2013-04-09,PA..,0,,0,
13176503,28,2013-04-09,EML_NTR,0,,0,
13176503,29,2013-05-19,DOCK,0,,0,
13176503,34,2013-05-30,CTRS,0,,0,
13176503,36,2013-06-04,MCTRS,272,PTO,.5,
13176503,37,2013-06-04,EML_NTF,0,,0,
13176503,38,2013-06-04,ELC_RVW,0,,0,
13176503,39,2013-07-03,WIDS,0,,0,
13176503,40,2013-07-03,M844,0,,0,
13176503,41,2013-07-03,RCAP,0,,0,
13176503,42,2013-07-03,ELC.,0,,0,
13176503,48,2013-07-03,IDSC,0,,0,
13176503,43,2013-07-08,FWDX,0,,0,
13176503,52,2013-09-23,EX.A,0,,0,
13176503,53,2013-09-23,EX.R,0,,0,
13176503,54,2013-09-24,N/=.,0,,0,
13176503,55,2013-09-24,DVER,0,,0,
13176503,66,2013-10-04,MN/=.,0,,0,
13176503,.5,2011-07-05,EFILE,0,,0,
13176503,69,2013-10-07,ELC_RVW,0,,0,
13176503,71,2013-11-29,C.AD,0,,0,
13176503,72,2013-12-03,PA..,0,,0,
13176503,73,2014-01-03,IFEE,0,,0,
13176503,75,2014-01-03,N084,0,,0,
13176503,74,2014-01-13,PA..,0,,0,
13176503,77,2014-01-14,D1935,0,,0,
13176503,76,2014-01-14,PILS,0,,0,
12922028,14,2010-11-26,EML_NTR,0,,0,
12922028,15,2010-12-06,OIPE,0,,0,
12922028,20,2011-03-03,PG-ISSUE,0,,0,
12922028,21,2011-03-04,EML_NTR,0,,0,
12922028,22,2011-04-05,DOCK,0,,0,
12922028,23,2012-05-16,CTRS,0,,0,
12922028,25,2012-05-24,MCTRS,196,PTO,12,
12922028,26,2012-05-24,EML_NTF,0,,0,
12922028,27,2012-05-24,ELC_RVW,0,,0,
12922028,28,2012-09-18,WIDS,0,,0,
12922028,29,2012-09-18,M844,0,,0,
12922028,40,2012-09-18,IDSC,0,,0,
12922028,30,2012-10-09,WIDS,0,,0,
12922028,31,2012-10-09,M844,0,,0,
12922028,32,2012-10-09,RCAP,0,,0,
12922028,39,2012-10-09,IDSC,0,,0,
12922028,33,2012-10-16,WIDS,0,,0,
12922028,34,2012-10-16,M844,0,,0,
12922028,38,2012-10-16,IDSC,0,,0,
12922028,35,2012-11-20,XT/G,0,,0,
12922028,36,2012-11-20,ELC.,88,APPL,25,
12922028,37,2012-11-24,FWDX,0,,0,
12922028,42,2013-01-22,CTNF,0,,0,
12922028,44,2013-01-25,MCTNF,0,,0,
12922028,45,2013-01-25,EML_NTF,0,,0,
12922028,46,2013-01-25,ELC_RVW,0,,0,
12922028,47,2013-04-02,WIDS,0,,0,
12922028,48,2013-04-02,M844,0,,0,
12922028,52,2013-04-02,IDSC,0,,0,
12922028,49,2013-05-28,XT/G,0,,0,
12922028,50,2013-05-28,A...,33,APPL,44,
12922028,51,2013-06-04,FWDX,0,,0,
12922028,53,2013-07-18,CTFR,0,,0,
12922028,55,2013-07-24,MCTFR,0,,0,
12922028,56,2013-07-24,EML_NTF,0,,0,
12922028,57,2013-07-24,ELC_RVW,0,,0,
12922028,58,2013-10-07,EXAT,0,,0,
12922028,59,2013-10-07,EXIA,0,,0,
12922028,62,2013-10-11,MEXAT,0,,0,
12922028,63,2013-10-24,BRCE,0,,0,
13176503,79,2014-02-11,PTAC,0,,0,
13176503,79.5,2014-02-11,PTA36M,0,PTO,.5,
12922028,64,2013-10-24,WIDS,0,,0,
12922028,65,2013-10-24,WIDS,0,,0,
12922028,66,2013-10-24,WIDS,0,,0,
12922028,67,2013-10-24,WIDS,0,,0,
12922028,69,2013-10-24,RCEX,0,,0,
12922028,72,2013-10-24,M844,0,,0,
12922028,73,2013-10-24,RCAP,0,,0,
12922028,74,2013-10-24,IDSC,0,,0,
12922028,75,2013-10-24,IDSC,0,,0,
12922028,80,2013-10-24,IDSC,0,,0,
12922028,81,2013-10-24,IDSC,0,,0,
12922028,85,2013-10-24,WIDS,0,,0,
12922028,68,2013-10-28,ABN9,0,,0,
12922028,71,2013-10-28,FWDX,0,,0,
12922028,86,2013-11-02,DOCK,0,,0,
12922028,87,2013-11-02,N/=.,0,,0,
12922028,88,2013-11-02,DVER,0,,0,
12922028,91,2013-11-06,MN/=.,0,,0,
12922028,.5,2009-03-12,NEFILE,0,,0,
12922028,95,2013-12-13,PUBTC,0,,0,
12922028,97,2013-12-16,EX.A,0,,0,
12922028,96,2013-12-16,CNOA,0,,0,
12922028,101,2013-12-19,EML_NTR,0,,0,
12922028,100,2013-12-19,MCNOA,0,,0,
12922028,102,2013-12-30,IFEE,0,,0,
12922028,103,2013-12-30,N084,0,,0,
12922028,105,2014-01-08,PILS,0,,0,
12922028,106,2014-01-08,D1935,0,,0,
12922028,109,2014-02-11,PTAC,0,,0,
12922028,109.5,2013-10-23,PTA36M,43,PTO,109.4,
12922028,109.4,2010-09-10,COMMN,0,,0,
11956806,1,2007-12-14,IEXX,0,,0,
11956806,2,2007-12-18,SCAN,0,,0,
11956806,14,2007-12-31,C614,0,,0,
11956806,3,2008-01-03,L194,0,,0,
11956806,4,2008-01-14,INCD,0,,0,
11956806,5,2008-01-14,FLRCPT.O,0,,0,
11956806,6,2008-03-12,OATHDECL,0,,0,
11956806,7,2008-03-12,ADDFLFEE,0,,0,
11956806,8,2008-03-20,COMP,0,,0,
11956806,9,2008-03-20,FLRCPT.U,0,,0,
11956806,10,2008-03-20,PGPC,0,,0,
11956806,11,2008-03-20,FLRCPT.U,0,,0,
11956806,12,2008-03-20,FLRCPT.U,0,,0,
11956806,13,2008-04-12,OIPE,0,,0,
