application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12675749,38,2012-08-23,CTNF,0,,0,
12675749,42,2012-08-30,ELC_RVW,0,,0,
12675749,40,2012-08-30,MCTNF,0,,0,
12741703,19,2012-01-26,ELC_RVW,0,,0,
12741703,18,2012-01-26,EML_NTF,0,,0,
12741703,20,2012-04-24,A...,0,,0,
12741703,21,2012-04-25,FWDX,0,,0,
12741703,22,2012-05-01,CTFR,0,,0,
12741703,24,2012-05-04,MCTFR,0,,0,
12741703,26,2012-05-04,ELC_RVW,0,,0,
12741703,25,2012-05-04,EML_NTF,0,,0,
12741703,29,2012-07-30,XT/G,0,,0,
12741703,27,2012-08-02,A.NE,0,,0,
12741703,28,2012-08-02,FWDX,0,,0,
12741703,30,2012-08-06,CTAV,0,,0,
12741703,32,2012-08-09,MCTAV,0,,0,
12741703,33,2012-08-09,EML_NTR,0,,0,
12741703,34,2012-09-04,BRCE,0,,0,
12741703,39,2012-09-04,FWDX,0,,0,
12741703,37,2012-09-04,RCEX,29,APPL,24,
12741703,35,2012-09-04,XT/G,0,,0,
12741703,36,2012-09-04,ABN9,0,,0,
12741703,40,2013-02-06,WIDS,0,,0,
12741703,42,2013-02-06,IDSC,0,,0,
12741703,41,2013-02-06,EIDS.,155,APPL,37,
12741703,43,2013-06-11,CTNF,0,,0,
12741703,47,2013-06-17,ELC_RVW,0,,0,
12741703,46,2013-06-17,EML_NTF,0,,0,
12741703,45,2013-06-17,MCTNF,164,PTO,37,
12741703,48,2013-09-17,A...,0,,0,
12741703,49,2013-09-20,FWDX,0,,0,
12741703,55,2013-09-30,EX.R,0,,0,
12741703,56,2013-10-03,N/=.,0,,0,
12741703,57,2013-10-03,DVER,0,,0,
12741703,62,2013-10-08,EML_NTF,0,,0,
12741703,63,2013-10-08,ELC_RVW,0,,0,
12741703,61,2013-10-08,MN/=.,0,,0,
12741703,67,2014-01-08,IFEE,0,,0,
12741703,68,2014-01-08,N084,0,,0,
12741703,69,2014-01-22,PILS,0,,0,
12741703,70,2014-01-23,D1935,0,,0,
12741703,71,2014-01-23,D1935,0,,0,
12741703,74,2014-01-29,WPIR,0,,0,
12741703,75,2014-01-30,EML_NTR,0,,0,
12741703,76,2014-02-18,PGM/,0,,0,
12741703,73,2014-02-18,PTAC,0,,0,
12741703,77,2014-07-22,PET2,0,,0,
12741703,77.5,2014-02-18,PTA36M,0,,77.4,
13391533,37,2013-08-03,N/=.,0,,0,
13391533,38,2013-08-03,DVER,0,,0,
13391533,41,2013-08-07,MN/=.,0,,0,
13391533,42,2013-08-07,EML_NTF,0,,0,
13391533,43,2013-08-07,ELC_RVW,0,,0,
13391533,46,2013-10-18,IFEE,0,,0,
13391533,47,2013-10-18,N084,0,,0,
13391533,48,2013-10-25,PILS,0,,0,
13391533,49,2013-10-25,D1935,0,,0,
