application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13562586,11,2014-01-11,L130,0,,0,
13562586,10,2014-01-11,L197,0,,0,
13562586,12,2014-01-16,PGPC,0,,0,
13562586,13,2014-01-17,PG-PB-DT,0,,0,
13562586,14,2014-01-17,EML_NTF,0,,0,
13562586,15,2014-01-23,OIPE,0,,0,
13562586,16,2014-01-23,FTFI,0,,0,
13562586,17,2014-01-25,PST_CRD,0,,0,
13562586,19,2014-03-20,TI1050,0,,0,
13562586,20,2014-04-02,TI1050,0,,0,
13562586,21,2014-04-24,PG-ISSUE,0,,0,
13562586,22,2014-04-25,EML_NTR,0,,0,
13562586,23,2014-09-08,DOCK,0,,0,
13562586,24,2014-09-10,DOCK,0,,0,
13562586,25,2014-11-12,DOCK,0,,0,
13562586,31,2014-11-13,EX.R,0,,0,
13269577,7,2011-10-24,COMP,0,,0,
13269577,6,2011-10-24,PGPC,0,,0,
13269577,8,2011-11-08,OIPE,0,,0,
13269577,10,2011-12-23,DOCK,0,,0,
13269577,11,2011-12-23,DOCK,0,,0,
13269577,12,2012-04-26,PG-ISSUE,0,,0,
13269577,14,2012-05-23,EIDS.,0,,0,
13269577,13,2012-05-23,WIDS,0,,0,
13269577,24,2012-05-23,IDSC,0,,0,
13269577,17,2012-07-12,RCAP,0,,0,
13269577,19,2012-07-12,IDSC,0,,0,
13269577,16,2012-07-12,M844,0,,0,
13269577,15,2012-07-12,WIDS,0,,0,
13269577,29,2013-04-06,CTNF,0,,0,
13269577,31,2013-04-09,MCTNF,122,PTO,.5,
13269577,34,2013-07-26,A...,17,APPL,31,
13269577,33,2013-07-26,XT/G,0,,0,
13269577,37,2013-07-26,IDSC,0,,0,
13269577,32,2013-07-26,WIDS,0,,0,
13562586,33,2014-11-17,DVER,0,,0,
13562586,32,2014-11-17,N/=.,0,,0,
13562586,37,2014-11-20,MN/=.,416,PTO,.5,
13562586,39,2014-11-20,ELC_RVW,0,,0,
13562586,38,2014-11-20,EML_NTF,0,,0,
13562586,41,2015-01-05,IFEE,0,,0,
13562586,44,2015-01-05,DRWF,44,APPL,48,
13562586,43,2015-01-05,N084,0,,0,
13562586,46,2015-01-16,D1935,0,,0,
13562586,45,2015-01-16,PILS,0,,0,
13562586,48,2015-02-17,PTAC,0,,0,
13562586,48.5,2015-02-17,PTA36M,0,,.5,
13269577,36,2013-07-26,EIDS.,0,,0,
13269577,35,2013-08-01,FWDX,0,,0,
13269577,38,2013-11-18,CTFR,0,,0,
13269577,40,2013-11-22,MCTFR,0,,0,
13269577,41,2014-02-19,BRCE,0,,0,
13269577,43,2014-02-19,RCEX,0,,0,
13269577,45,2014-02-20,FWDX,0,,0,
13269577,42,2014-02-20,ABN9,0,,0,
13269577,46,2014-02-23,CTNF,0,,0,
13269577,50,2014-02-25,MCTNF,0,,0,
13269577,51,2014-05-23,A...,0,,0,
13269577,52,2014-05-28,FWDX,0,,0,
13269577,53,2014-08-27,CTFR,0,,0,
13269577,55,2014-09-02,MCTFR,0,,0,
13269577,56,2014-12-01,BRCE,0,,0,
13269577,58,2014-12-01,RCEX,0,,0,
13269577,57,2014-12-02,ABN9,0,,0,
13269577,60,2014-12-02,FWDX,0,,0,
13269577,65,2014-12-23,EX.A,0,,0,
13269577,67,2014-12-23,EXIE,0,,0,
13269577,66,2014-12-23,EX.R,0,,0,
13269577,68,2014-12-23,EXET,0,,0,
13269577,69,2014-12-24,DVER,0,,0,
13269577,70,2014-12-24,DOCK,0,,0,
13269577,71,2014-12-24,N/=.,0,,0,
13269577,78,2014-12-29,MN/=.,0,,0,
13269577,80,2015-01-12,IFEE,0,,0,
13269577,82,2015-01-12,BIG.,0,,0,
13269577,81,2015-01-12,N084,0,,0,
13269577,83,2015-01-15,PILS,0,,0,
13269577,84,2015-01-15,D1935,0,,0,
13269577,87,2015-02-17,PTAC,0,,0,
13269577,87.5,2015-02-17,PTA36M,0,,.5,
14076275,.5,2013-11-11,EFILE,0,,0,
14076275,20,2014-09-18,MCTNF,0,,.5,
14076275,37,2014-12-19,MN/=.,0,,25,
14076275,47,2015-02-17,PTAC,0,,43,
14076275,25,2014-11-27,A...,0,,20,
14076275,43,2014-12-31,N084,0,,37,
14076275,2,2013-11-11,BIG.,0,,0,
14076275,13,2013-11-11,PTA.RFE,0,,0,
14076275,1,2013-11-11,IEXX,0,,0,
14076275,3,2013-11-11,SCAN,0,,0,
14076275,6,2013-11-11,APPERMS,0,,0,
14076275,4,2013-11-11,SREXR141,0,,0,
14076275,5,2013-11-13,L194,0,,0,
14076275,8,2013-11-21,PGPC,0,,0,
14076275,9,2013-11-22,PA..,0,,0,
14076275,11,2013-11-22,EML_NTR,0,,0,
14076275,10,2013-11-22,EML_NTR,0,,0,
14076275,12,2013-11-22,COMP,0,,0,
14076275,7,2013-11-22,FLRCPT.O,0,,0,
14076275,16,2013-12-23,RQPR,0,,0,
14076275,14,2014-04-22,OIPE,0,,0,
14076275,15,2014-04-22,FTFS,0,,0,
14076275,17,2014-05-25,DOCK,0,,0,
14076275,18,2014-09-15,CTNF,0,,0,
14076275,21,2014-09-18,EML_NTF,0,,0,
14076275,20,2014-09-18,MCTNF,0,,0,
14076275,22,2014-09-18,ELC_RVW,0,,0,
14076275,25,2014-11-27,A...,0,,0,
14076275,24,2014-11-28,EML_NTR,0,,0,
14076275,23,2014-11-28,PG-ISSUE,0,,0,
14076275,26,2014-11-30,FWDX,0,,0,
14076275,31,2014-12-15,EX.R,0,,0,
14076275,33,2014-12-17,DVER,0,,0,
14076275,32,2014-12-17,N/=.,0,,0,
14076275,37,2014-12-19,MN/=.,0,,0,
14076275,38,2014-12-19,EML_NTF,0,,0,
14076275,39,2014-12-21,ELC_RVW,0,,0,
14076275,41,2014-12-31,IFEE,0,,0,
14076275,43,2014-12-31,N084,0,,0,
14076275,44,2015-01-16,PILS,0,,0,
14076275,45,2015-01-17,D1935,0,,0,
14076275,47,2015-02-17,PTAC,0,,0,
14076275,47.5,2015-02-17,PTA36M,0,,.5,
13318181,.5,2010-05-25,NEFILE,0,,0,
13318181,111.4,2011-10-31,COMMN,0,,0,
13318181,62,2014-04-21,MCTNF,0,,43,
13318181,93,2014-10-24,MN/=.,0,,70,
13318181,111,2015-02-17,PTAC,0,,107,
13318181,43,2014-01-28,ELC.,0,,36,
13318181,70,2014-07-17,A...,0,,62,
13318181,107,2015-01-05,N084,0,,93,
13318181,2,2011-10-31,L194,0,,0,
13318181,1,2011-10-31,IEXX,0,,0,
13318181,6,2011-10-31,371COMP,0,,0,
13318181,3,2011-11-17,M903,0,,0,
13318181,4,2011-11-17,FLRCPT.O,0,,0,
13318181,5,2011-11-17,PGPC,0,,0,
13318181,7,2011-11-18,WIDS,0,,0,
13318181,8,2011-12-15,OIPE,0,,0,
13318181,9,2012-02-23,PG-ISSUE,0,,0,
13318181,10,2012-03-30,WIDS,0,,0,
13318181,11,2012-03-30,M844,0,,0,
13318181,12,2012-03-30,RCAP,0,,0,
13318181,13,2012-06-25,DOCK,0,,0,
13318181,14,2012-07-05,WIDS,0,,0,
13318181,15,2012-07-05,M844,0,,0,
13318181,16,2012-07-05,RCAP,0,,0,
13318181,18,2012-09-25,EIDS.,0,,0,
13318181,17,2012-09-25,WIDS,0,,0,
13318181,19,2012-09-25,RCAP,0,,0,
13318181,20,2013-01-08,WIDS,0,,0,
13318181,22,2013-01-08,RCAP,0,,0,
13318181,21,2013-01-08,M844,0,,0,
13318181,23,2013-02-25,DOCK,0,,0,
13318181,24,2013-04-22,WIDS,0,,0,
13318181,26,2013-04-22,RCAP,0,,0,
13318181,25,2013-04-22,M844,0,,0,
13318181,81,2013-05-06,IDSC,0,,0,
13318181,27,2013-05-06,WIDS,0,,0,
13318181,28,2013-05-06,M844,0,,0,
13318181,30,2013-07-02,M844,0,,0,
13318181,29,2013-07-02,WIDS,0,,0,
13318181,33,2013-10-07,RCAP,0,,0,
13318181,32,2013-10-07,M844,0,,0,
13318181,31,2013-10-07,WIDS,0,,0,
13318181,34,2013-12-03,CTRS,0,,0,
13318181,37,2013-12-09,EML_NTF,0,,0,
13318181,38,2013-12-09,ELC_RVW,0,,0,
13318181,36,2013-12-09,MCTRS,343,PTO,111.4,
13318181,39,2013-12-27,WIDS,0,,0,
13318181,40,2013-12-27,RCAP,0,,0,
13318181,41,2013-12-27,M844,0,,0,
13318181,43,2014-01-28,ELC.,0,,0,
13318181,42,2014-01-28,XT/G,0,,0,
13318181,44,2014-02-07,FWDX,0,,0,
13318181,45,2014-02-10,DOCK,0,,0,
13318181,46,2014-03-13,WIDS,0,,0,
13318181,47,2014-03-13,M844,44,APPL,43,
13318181,48,2014-03-13,RCAP,0,,0,
13318181,58,2014-04-14,IDSC,0,,0,
13318181,54,2014-04-14,IDSC,0,,0,
13318181,51,2014-04-14,IDSC,0,,0,
13318181,53,2014-04-14,IDSC,0,,0,
13318181,56,2014-04-14,IDSC,0,,0,
13318181,50,2014-04-14,IDSC,0,,0,
13318181,52,2014-04-14,IDSC,0,,0,
13318181,55,2014-04-14,IDSC,0,,0,
13318181,57,2014-04-14,IDSC,0,,0,
13318181,59,2014-04-14,IDSC,0,,0,
13318181,60,2014-04-16,CTNF,0,,0,
13318181,62,2014-04-21,MCTNF,0,,0,
13318181,63,2014-04-21,EML_NTF,0,,0,
13031309,.5,2011-02-21,EFILE,0,,0,
13031309,59,2014-11-17,MN/=.,0,,42,
13031309,70,2015-02-17,PTAC,0,,65,
13031309,65,2014-12-31,N084,0,,59,
13031309,2,2011-02-21,SCAN,0,,0,
13031309,1,2011-02-21,IEXX,0,,0,
13031309,3,2011-02-23,L194,0,,0,
13031309,5,2011-03-04,PGPC,0,,0,
13031309,4,2011-03-07,FLRCPT.O,0,,0,
13031309,6,2011-03-07,EML_NTR,0,,0,
13031309,7,2011-03-07,COMP,0,,0,
13031309,8,2011-03-16,OIPE,0,,0,
13031309,9,2011-05-06,PA..,0,,0,
13031309,10,2011-05-06,EML_NTR,0,,0,
13031309,11,2011-09-22,PG-ISSUE,0,,0,
13318181,64,2014-04-21,ELC_RVW,0,,0,
13318181,65,2014-04-28,WIDS,0,,0,
13318181,80,2014-04-28,IDSC,0,,0,
13318181,66,2014-04-28,M844,0,,0,
13318181,68,2014-07-07,M844,0,,0,
13318181,69,2014-07-07,RCAP,0,,0,
13318181,67,2014-07-07,WIDS,0,,0,
13318181,70,2014-07-17,A...,0,,0,
13318181,71,2014-07-21,FWDX,0,,0,
13318181,73,2014-09-09,M844,54,APPL,70,
13318181,72,2014-09-09,WIDS,0,,0,
13318181,74,2014-09-09,RCAP,0,,0,
13031309,12,2011-09-23,EML_NTR,0,,0,
13031309,13,2011-11-07,DOCK,0,,0,
13031309,14,2012-11-06,DOCK,0,,0,
13031309,15,2013-02-26,TI1050,0,,0,
13031309,16,2013-03-26,TI1050,0,,0,
13031309,17,2013-04-15,WIDS,0,,0,
13031309,19,2013-04-15,EIDS.,0,,0,
13031309,18,2013-04-16,TI1050,0,,0,
13031309,20,2013-05-02,TI1050,0,,0,
13031309,21,2014-01-31,CLTI,0,,0,
13031309,24,2014-03-19,TI1050,0,,0,
13031309,25,2014-05-05,TI1050,0,,0,
13031309,26,2014-05-19,TI1050,0,,0,
13031309,27,2014-05-21,DOCK,0,,0,
13031309,28,2014-05-30,DOCK,0,,0,
13031309,32,2014-06-05,IDSC,0,,0,
13031309,36,2014-06-26,CTNF,0,,0,
13031309,38,2014-07-02,MCTNF,672,PTO,.5,
13031309,39,2014-07-02,EML_NTF,0,,0,
13031309,40,2014-07-04,ELC_RVW,0,,0,
13031309,41,2014-11-03,XT/G,0,,0,
13031309,44,2014-11-03,LTDR,0,,0,
13031309,42,2014-11-03,A...,32,APPL,38,
13031309,46,2014-11-04,EXIE,0,,0,
13031309,47,2014-11-04,EXET,0,,0,
13031309,43,2014-11-05,FWDX,0,,0,
13031309,51,2014-11-12,N/=.,0,,0,
13031309,50,2014-11-12,DOCK,0,,0,
13031309,52,2014-11-12,DVER,0,,0,
13031309,49,2014-11-12,EX.R,0,,0,
13031309,48,2014-11-12,EX.A,0,,0,
13318181,84,2014-10-16,EXIE,0,,0,
13318181,85,2014-10-16,EXET,0,,0,
13318181,83,2014-10-20,EX.A,0,,0,
13318181,79,2014-10-20,IDSC,0,,0,
13318181,78,2014-10-20,IDSC,0,,0,
13318181,88,2014-10-21,N/=.,0,,0,
13318181,86,2014-10-21,DVER,0,,0,
13318181,94,2014-10-24,EML_NTF,0,,0,
13318181,93,2014-10-24,MN/=.,0,,0,
13318181,95,2014-10-24,ELC_RVW,0,,0,
13318181,97,2014-12-10,PUBTC,0,,0,
13318181,98,2014-12-17,CNOA,0,,0,
13318181,99,2014-12-17,EX.A,0,,0,
13318181,103,2014-12-19,TCPB,0,,0,
13318181,104,2014-12-19,EML_NTR,0,,0,
13318181,102,2014-12-19,MCNOA,0,,0,
13031309,59,2014-11-17,MN/=.,0,,0,
13031309,60,2014-11-17,EML_NTF,0,,0,
13031309,62,2014-11-18,ELC_RVW,0,,0,
13031309,64,2014-12-31,IFEE,0,,0,
13031309,67,2014-12-31,REAS,0,,0,
13031309,65,2014-12-31,N084,0,,0,
