application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13967092,.5,2013-08-14,EFILE,0,,0,
13967092,26,2014-07-02,MCTRS,0,,.5,
13967092,36,2014-10-07,MCTNF,0,,29,
13967092,48,2015-06-02,MN/=.,0,,40,
13967092,70,2015-10-06,PTAC,0,,65,
13967092,29,2014-09-02,ELC.,0,,26,
13967092,64,2015-09-02,IFEE,0,,48,
13967092,60,2015-08-27,MCNOA,0,,0,
13967092,4,2013-08-14,WIDS,0,,0,
13967092,19,2013-08-14,M844,0,,0,
13967092,1,2013-08-14,IEXX,0,,0,
13967092,2,2013-08-14,BIG.,0,,0,
13967092,3,2013-08-14,SCAN,0,,0,
13967092,8,2013-08-14,APPERMS,0,,0,
13967092,7,2013-08-14,PDREQUST,0,,0,
13967092,6,2013-08-20,L128,0,,0,
13967092,5,2013-08-20,L198,0,,0,
13967092,11,2013-09-04,FTFI,0,,0,
13967092,10,2013-09-04,PGPC,0,,0,
13967092,15,2013-09-05,COMP,0,,0,
13967092,14,2013-09-05,EML_NTR,0,,0,
13967092,13,2013-09-05,EML_NTR,0,,0,
13967092,12,2013-09-05,PA..,0,,0,
13967092,9,2013-09-05,FLRCPT.O,0,,0,
13967092,16,2013-09-13,OIPE,0,,0,
13967092,20,2013-09-17,RQPR,0,,0,
13967092,18,2013-09-17,PD.RECVD,0,,0,
13967092,17,2013-09-17,DOCK,0,,0,
13967092,21,2013-12-12,PG-ISSUE,0,,0,
13967092,22,2013-12-13,EML_NTR,0,,0,
13967092,23,2014-02-05,DOCK,0,,0,
13967092,24,2014-06-26,CTRS,0,,0,
13967092,28,2014-07-02,ELC_RVW,0,,0,
13967092,27,2014-07-02,EML_NTF,0,,0,
13967092,26,2014-07-02,MCTRS,0,,0,
13967092,29,2014-09-02,ELC.,0,,0,
13967092,30,2014-09-03,FWDX,0,,0,
13967092,31,2014-09-24,IDSC,0,,0,
13967092,34,2014-10-01,CTNF,0,,0,
13967092,36,2014-10-07,MCTNF,0,,0,
13967092,38,2014-10-07,ELC_RVW,0,,0,
13967092,37,2014-10-07,EML_NTF,0,,0,
13967092,39,2015-02-09,XT/G,0,,0,
13967092,40,2015-02-09,A...,33,APPL,36,
13967092,41,2015-02-12,FWDX,0,,0,
13967092,44,2015-05-29,N/=.,0,,0,
13967092,45,2015-05-29,DVER,0,,0,
13967092,49,2015-06-02,EML_NTF,0,,0,
13967092,48,2015-06-02,MN/=.,0,,0,
13967092,50,2015-06-02,ELC_RVW,0,,0,
13967092,53,2015-08-19,WIDS,0,,0,
13967092,55,2015-08-19,RCAP,0,,0,
13967092,54,2015-08-19,M844,0,,0,
13967092,56,2015-08-20,PUBTC,0,,0,
13967092,58,2015-08-21,CNOA,0,,0,
13967092,57,2015-08-21,IDSC,0,,0,
13967092,62,2015-08-27,EML_NTR,0,,0,
13967092,60,2015-08-27,MCNOA,9,APPL,53,
13967092,61,2015-08-27,TCPB,0,,0,
13967092,63,2015-08-31,CCRDY,0,,0,
13967092,65,2015-09-02,N084,0,,0,
13967092,64,2015-09-02,IFEE,0,,0,
13967092,66,2015-09-03,PILS,0,,0,
13967092,67,2015-09-03,D1935,0,,0,
13967092,70,2015-10-06,PTAC,0,,0,
13967092,70.5,2015-10-06,PTA36M,0,,.5,
13580024,.5,2011-01-12,NEFILE,0,,0,
13580024,70.4,2012-08-20,COMMN,0,,0,
13580024,43,2015-05-26,MN/=.,0,,26,
13580024,70,2015-10-06,PTAC,0,,65,
13580024,26,2015-01-30,A...,0,,23,
13580024,61,2015-08-25,IFEE,0,,43,
13580024,54,2015-08-20,MN271,0,,0,
13580024,54,2015-08-20,MN271,0,,0,
13580024,12,2012-08-20,EIDS.,0,,0,
