application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13215932,45,2014-08-29,MCTFR,0,,0,
13215932,47,2014-08-29,ELC_RVW,0,,0,
13215932,48,2014-10-29,A.NE,0,,0,
13215932,50,2014-10-29,RAFC,0,,0,
13215932,49,2014-10-30,FWDX,0,,0,
13215932,51,2014-12-01,CTAV,0,,0,
13215932,54,2014-12-05,EML_NTR,0,,0,
13215932,53,2014-12-05,MCTAV,0,,0,
13215932,56,2014-12-29,N/AP,0,,0,
13215932,55,2014-12-29,XT/G,0,,0,
13215932,57,2014-12-29,AP.C,0,,0,
13215932,59,2015-02-14,APCR,0,,0,
13215932,61,2015-02-20,MAPCR,0,,0,
13821219,65,2015-12-21,DRWF,44,APPL,72,
13821219,64,2015-12-21,IFEE,0,,0,
13821219,68,2015-12-21,N084,0,,0,
13821219,69,2015-12-31,PILS,0,,0,
13821219,70,2015-12-31,D1935,0,,0,
13821219,72,2016-02-02,PTAC,0,,0,
13821219,72.5,2016-02-02,PTA36M,0,,72.4,
13215932,62,2015-02-20,FWDX,0,,0,
13215932,65,2015-06-01,EX.R,0,,0,
13215932,64,2015-06-01,EX.A,0,,0,
13215932,67,2015-06-02,DVER,0,,0,
13215932,66,2015-06-02,N/=.,0,,0,
13215932,73,2015-06-05,EML_NTF,0,,0,
13215932,74,2015-06-05,ELC_RVW,0,,0,
13215932,72,2015-06-05,MN/=.,97,PTO,48,
13215932,77,2015-06-29,L181,0,,0,
13215932,80,2015-08-31,A.NA,120,APPL,92,
13215932,78,2015-08-31,IFEE,0,,0,
13215932,79,2015-08-31,N084,0,,0,
13215932,87,2015-09-01,L183,0,,0,
13215932,81,2015-09-03,PUBTC,0,,0,
13215932,82,2015-10-02,TCPB,0,,0,
13215932,83,2015-10-02,TCPB,0,,0,
13215932,85,2015-10-02,N271,0,,0,
13215932,86,2015-10-05,D1935,0,,0,
13215932,84,2015-10-05,D1935,0,,0,
13215932,88,2015-10-09,D1935,0,,0,
13215932,89,2015-12-01,L185,0,,0,
13215932,90,2016-01-06,PILS,0,,0,
13215932,91,2016-01-08,D1935,0,,0,
13215932,92.5,2016-02-02,PTA36M,528,PTO,.5,
13215932,24,2013-09-09,MCTRS,130,,0,
13939549,23,2013-10-11,WIDS,0,,0,
13939549,24,2013-10-11,M844,0,,0,
13939549,22,2013-10-11,OIPE,0,,0,
13939549,25,2013-12-02,DOCK,0,,0,
13939549,26,2014-01-16,PG-ISSUE,0,,0,
