application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09652859,26,2002-09-13,FWDX,0,,0,
09652859,28,2002-09-13,DOCK,0,,0,
09652859,29,2002-09-13,N/=.,0,,0,
09652859,30,2002-09-13,MN/=.,0,,0,
10093345,1,2002-03-07,IEXX,0,,0,
10093345,5,2002-03-07,M844,0,,0,
10093345,2,2002-03-21,SCAN,0,,0,
10093345,3,2002-04-11,COMP,0,,0,
10093345,4,2002-04-11,OIPE,0,,0,
10093345,6,2002-04-23,DOCK,0,,0,
10093345,8,2002-09-12,N/=.,0,,0,
10093345,9,2002-09-13,MN/=.,0,,0,
09772410,28,2002-08-14,SENT,0,,0,
09772410,35,2002-08-22,N084,0,,0,
09772410,29,2002-08-22,IFEE,0,,0,
09772410,30,2002-08-22,R85B,0,,0,
09772410,31,2002-08-24,PILS,0,,0,
09772410,32,2002-09-03,R1021,0,,0,
09772410,36,2002-09-06,R1021,0,,0,
09772410,37,2002-10-01,PTAC,0,,0,
09759299,15,2002-05-29,D1220,0,,0,
09759299,16,2002-05-30,R1021,0,,0,
09759299,17,2002-05-30,SENT,0,,0,
09759299,18,2002-06-24,R1021,0,,0,
09759299,22,2002-08-21,N084,0,,0,
09759299,19,2002-08-21,IFEE,0,,0,
09759299,20,2002-08-21,R85B,0,,0,
09759299,21,2002-08-22,PILS,0,,0,
09759299,23,2002-09-05,R1021,0,,0,
09759299,24,2002-10-01,PTAC,0,,0,
09694576,11,2002-05-29,D1220,0,,0,
09694576,12,2002-05-30,R1021,0,,0,
09694576,13,2002-05-30,SENT,0,,0,
09694576,14,2002-07-02,R1021,0,,0,
09694576,15,2002-08-05,DRWR,0,APPL,15,
09694576,16,2002-08-05,DRWR,45,APPL,16,
09694576,17,2002-08-05,DRWI,0,,0,
09694576,18,2002-08-05,DRWM,0,,0,
09694576,19,2002-08-05,DRWF,0,,0,
09694576,20,2002-09-03,N084,13,APPL,10,
09694576,21,2002-09-03,PILS,0,,0,
09694576,22,2002-09-04,R1021,0,,0,
09694576,23,2002-10-01,PTAC,0,,0,
09693279,16,2000-10-20,DRWM,0,,0,
09693279,17,2000-10-20,DRWF,0,,0,
09693279,26,2000-10-20,DRWF,0,,0,
09693279,25,2000-10-20,DRWM,0,,0,
09693279,13,2001-09-18,R1021,0,,0,
09693279,14,2001-09-18,R1021,0,,0,
09693279,15,2001-09-20,SENT,0,,0,
09693279,18,2002-04-17,ABN6,0,,0,
09693279,19,2002-04-17,MABN6,0,,0,
09693279,20,2002-05-20,PET.,0,,0,
09693279,27,2002-05-20,N084,0,,0,
09693279,23,2002-05-20,N084,153,APPL,12,
09693279,21,2002-08-19,MP005,0,,0,
09693279,22,2002-08-21,WABN,0,,0,
09693279,24,2002-08-22,PILS,0,,0,
09693279,28,2002-08-27,R1021,0,,0,
09693279,29,2002-10-01,PTAC,0,,0,
09849681,19,2001-05-04,DRWM,0,,0,
09849681,20,2001-05-04,DRWF,0,,0,
09849681,12,2002-06-18,D1220,0,,0,
09849681,13,2002-06-20,R1021,0,,0,
09849681,14,2002-06-20,SENT,0,,0,
09849681,15,2002-07-18,R1021,0,,0,
09849681,21,2002-08-19,N084,0,,0,
09849681,16,2002-08-19,IFEE,0,,0,
09849681,17,2002-08-19,R85B,0,,0,
09849681,18,2002-08-20,PILS,0,,0,
09849681,22,2002-08-29,R1021,0,,0,
09849681,23,2002-10-01,PTAC,0,,0,
09604651,35,2000-06-27,DRWM,0,,0,
09909818,16,2002-04-18,D1220,0,,0,
09909818,17,2002-04-22,R1021,0,,0,
09909818,18,2002-04-22,SENT,0,,0,
09909818,20,2002-05-06,A.NA,45,APPL,22,
