application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09773666,11,2002-08-02,FWDX,0,,0,
09773666,14,2002-09-29,CTFR,0,,0,
09773666,15,2002-09-30,MCTFR,0,,0,
09773666,16,2002-12-27,A.NE,0,,0,
09773666,17,2003-01-06,FWDX,0,,0,
09773666,18,2003-01-09,CTAV,0,,0,
09913380,7,2001-12-19,PET.,0,PTO,0,Y
09913380,15,2001-12-19,OATHDECL,0,PTO,0,Y
09913380,26,2001-12-19,A.PE,0,PTO,0,Y
09913380,8,2002-03-01,MPTDI,0,PTO,0,Y
09913380,9,2002-05-22,PET.,0,PTO,0,Y
09913380,10,2002-05-22,MPTGR,0,PTO,0,Y
09913380,22,2002-05-29,M903,0,PTO,0,Y
09913380,23,2002-06-19,SCAN,0,PTO,0,Y
09913380,24,2002-06-25,OIPE,0,PTO,0,Y
09913380,25,2003-02-10,DOCK,0,PTO,0,Y
09913380,27,2003-03-14,DOCK,0,PTO,0,Y
09913380,28,2003-04-04,DOCK,0,PTO,0,Y
09913380,29,2003-04-14,CTNF,0,PTO,0,Y
09913380,30,2003-04-15,MCTNF,0,PTO,0,Y
09913380,34,2003-08-18,M844,0,PTO,0,Y
09913380,32,2003-08-18,A...,0,PTO,0,Y
09913380,31,2003-08-18,XT/G,0,PTO,0,Y
09913380,35,2003-08-18,C614,0,PTO,0,Y
09913380,33,2003-08-29,FWDX,0,PTO,0,Y
09913380,38,2003-11-03,N/DR,0,PTO,0,Y
09913380,37,2003-11-03,N/=.,0,PTO,0,Y
09913380,39,2003-11-04,MN/DR,0,PTO,0,Y
09913380,40,2003-11-04,MN/=.,0,PTO,0,Y
09764340,1,2001-01-19,IEXX,0,,0,
09764340,2,2001-02-07,SCAN,0,,0,
09764340,3,2001-03-01,C.AD,0,,0,
09764340,4,2001-03-06,OIPE,0,,0,
09764340,6,2001-04-13,M844,0,,0,
09764340,5,2001-04-24,DOCK,0,,0,
09764340,7,2002-04-17,DOCK,0,,0,
09764340,8,2002-10-01,CTNF,0,,0,
09764340,9,2002-10-02,MCTNF,197,PTO,-1,
09764340,10,2003-01-02,A...,0,,0,
09764340,11,2003-01-17,FWDX,0,,0,
09764340,12,2003-05-05,CTFR,0,,0,
09764340,13,2003-05-07,MCTFR,5,PTO,10,
09764340,14,2003-09-22,XT/G,0,,0,
09764340,15,2003-09-22,A.NE,46,APPL,13,
09764340,16,2003-10-10,FWDX,0,,0,
09773666,19,2003-01-10,MCTAV,0,,0,
09773666,20,2003-03-11,BRCE,0,,0,
09773666,24,2003-03-11,RCEX,0,,0,
09773666,21,2003-03-11,BIG.,0,,0,
09773666,22,2003-03-11,XT/G,0,,0,
09773666,23,2003-03-22,ABN9,0,,0,
09773666,27,2003-03-22,FWDX,0,,0,
09773666,25,2003-03-22,FWDX,0,,0,
09773666,28,2003-04-28,CTNF,0,,0,
09773666,29,2003-04-29,MCTNF,2,PTO,16,
09773666,30,2003-07-29,A...,0,,0,
09773666,31,2003-10-22,FWDX,0,,0,
09773666,34,2003-10-31,N/DR,0,,0,
09773666,33,2003-10-31,N/=.,0,,0,
09773666,35,2003-11-03,MN/DR,0,,0,
09773666,36,2003-11-03,MN/=.,0,,0,
10246433,1,2002-09-19,IEXX,0,,0,
10246433,6,2002-09-19,C614,0,,0,
10246433,8,2002-09-19,M844,0,,0,
10246433,7,2002-09-19,RQPR,0,,0,
10246433,2,2002-09-29,SCAN,0,,0,
10246433,3,2002-10-17,COMP,0,,0,
10246433,4,2002-10-21,OIPE,0,,0,
10246433,5,2002-11-07,DOCK,0,,0,
10246433,9,2003-05-16,CTNF,0,,0,
10246433,10,2003-05-19,MCTNF,0,,0,
10246433,11,2003-08-19,A...,0,,0,
10246433,12,2003-08-21,FWDX,0,,0,
10246433,13,2003-09-30,M844,42,APPL,11,
10246433,15,2003-11-03,N/=.,0,,0,
10246433,16,2003-11-03,MN/=.,0,,0,
09972634,1,2001-10-09,IEXX,0,,0,
09972634,2,2001-10-16,SCAN,0,,0,
09972634,3,2001-10-23,C.AD,0,,0,
09972634,4,2001-10-24,OIPE,0,,0,
09972634,5,2001-11-02,DOCK,0,,0,
09972634,6,2002-03-07,M844,0,,0,
09972634,7,2003-05-19,CTNF,0,,0,
09972634,8,2003-05-21,MCTNF,163,PTO,-1,
09972634,9,2003-08-14,A...,0,,0,
09972634,9.1,2003-08-14,A.I.,0,,0,
09972634,10,2003-08-21,FWDX,0,,0,
09972634,11,2003-08-22,NINA,0,,0,
09972634,12,2003-09-08,A...,25,APPL,9,
09972634,13,2003-09-13,FWDX,0,,0,
09972634,16,2003-11-03,N/DR,0,,0,
09972634,17,2003-11-03,N/OD,0,,0,
09972634,15,2003-11-03,N/=.,0,,0,
09972634,19,2003-11-03,MN/DR,0,,0,
09972634,20,2003-11-03,MN/=.,0,,0,
09972634,18,2003-11-03,MN/OD,0,,0,
10037996,1,2002-01-03,IEXX,0,,0,
10037996,2,2002-01-22,SCAN,0,,0,
10037996,3,2002-03-13,SCAN,0,,0,
10037996,4,2002-03-27,COMP,0,,0,
10037996,5,2002-03-28,OIPE,0,,0,
10037996,6,2002-05-09,DOCK,0,,0,
10037996,7,2003-03-17,CTNF,0,,0,
10037996,8,2003-03-19,MCTNF,16,PTO,-1,
10037996,9,2003-08-15,XT/G,0,,0,
10037996,10,2003-08-15,A...,57,APPL,8,
10037996,11,2003-08-22,FWDX,0,,0,
10037996,13,2003-11-03,N/=.,0,,0,
10037996,14,2003-11-04,MN/=.,0,,0,
09762125,1,2001-02-02,IEXX,0,PTO,0,Y
09762125,3,2001-02-02,R371,0,PTO,0,Y
09762125,2,2001-02-15,C.AD,0,PTO,0,Y
09762125,4,2001-02-15,DKTD,0,PTO,0,Y
09762125,5,2001-03-28,DKTD,0,PTO,0,Y
09762125,13,2001-04-20,M844,0,PTO,0,Y
09762125,6,2001-05-12,C.AD,0,PTO,0,Y
09762125,7,2001-05-15,M903,0,PTO,0,Y
09762125,8,2001-05-15,RTAD,0,PTO,0,Y
09762125,9,2001-06-20,C.AD,0,PTO,0,Y
09762125,10,2001-07-02,SCAN,0,PTO,0,Y
09762125,11,2001-07-10,OIPE,0,PTO,0,Y
09762125,12,2001-07-17,DOCK,0,PTO,0,Y
09762125,14,2001-08-15,DOCK,0,PTO,0,Y
09762125,15,2003-03-04,DOCK,0,PTO,0,Y
09762125,16,2003-06-25,DOCK,0,PTO,0,Y
09762125,18,2003-06-30,DOCK,0,PTO,0,Y
09762125,19,2003-06-30,N/=.,0,PTO,0,Y
09762125,20,2003-07-01,MN/=.,0,PTO,0,Y
