application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10722869,1,2003-11-26,IEXX,0,,0,
10722869,2,2003-12-21,SCAN,0,,0,
10722869,4,2004-02-09,L198,0,,0,
10722869,5,2004-02-26,L128,0,,0,
10722869,6,2004-03-10,INCD,0,,0,
10722869,7,2004-06-11,OATHDECL,0,,0,
10722869,8,2004-06-11,ADDFLFEE,1,APPL,6,
10722869,13,2004-06-11,C602,0,,0,
10722869,9,2004-06-24,COMP,0,,0,
10722869,10,2004-06-24,OIPE,0,,0,
10722869,11,2004-06-24,ROIPE,0,,0,
10722869,12,2004-06-24,WROIPE,0,,0,
10722869,14,2004-08-03,DOCK,0,,0,
10722869,15,2004-08-03,TSSCOMP,0,,0,
10722869,16,2004-09-20,CTNF,0,,0,
10722869,17,2004-09-22,MCTNF,0,,0,
10722869,18,2005-03-09,M844,0,,0,
10722869,19,2005-03-09,RCAP,0,,0,
10722869,35,2005-03-09,IDSC,0,,0,
10722869,20,2005-03-28,XT/G,0,,0,
10722869,21,2005-03-28,A...,96,APPL,17,
10722869,23,2005-03-28,SA..,0,APPL,21,
10722869,26,2005-03-28,PET.,0,,0,
10722869,22,2005-04-04,FWDX,0,,0,
10722869,24,2005-04-04,FWDX,0,,0,
10722869,25,2005-04-11,C.AD,0,,0,
10722869,27,2005-06-03,MPTDI,0,,0,
10722869,28,2005-06-13,CTNF,0,,0,
10722869,29,2005-06-15,MCTNF,0,,0,
10722869,31,2005-12-14,A...,90,APPL,29,
10722869,30,2005-12-16,XT/G,0,,0,
10722869,32,2006-01-12,FWDX,0,,0,
10722869,34,2006-01-12,C.AD,0,,0,
10722869,33,2006-01-13,PA..,0,,0,
10722869,37,2006-01-31,DOCK,0,,0,
10722869,38,2006-01-31,N/=.,0,,0,
10722869,40,2006-02-01,MN/=.,0,,0,
11141858,27,2005-12-05,IFEE,0,,0,
11141858,28,2005-12-05,N084,0,,0,
11141858,30,2005-12-13,PILS,0,,0,
11141858,31,2005-12-13,D1935,0,,0,
11141858,33,2006-02-21,PTAC,0,,0,
09930133,58,2005-02-16,SENT,0,,0,
09930133,70,2005-04-28,N084,0,,0,
09930133,60,2005-04-28,IFEE,0,,0,
09930133,61,2005-06-13,M327,0,,0,
09930133,62,2005-06-15,MM327,0,,0,
09930133,63,2005-07-07,M327,0,,0,
09930133,64,2005-07-08,MM327,0,,0,
09930133,65,2005-07-11,M327,0,,0,
09930133,66,2005-07-13,MM327,0,,0,
09930133,69,2005-07-15,LET.,120,APPL,0,
09930133,68,2006-01-06,R1021,0,,0,
09930133,71,2006-01-24,PILS,0,,0,
09930133,72,2006-01-24,D1935,0,,0,
09930133,73,2006-01-25,R1021,0,,0,
09930133,74,2006-02-21,PTAC,177,PTO,70,
11055650,19,2005-09-15,N084,0,,0,
11055650,18,2005-09-15,IFEE,0,,0,
11055650,20,2005-09-15,A.NA,120,APPL,23,
11055650,22,2006-01-17,N271,0,,0,
11055650,23,2006-01-19,MN271,0,,0,
11055650,25,2006-01-25,PILS,0,,0,
11055650,26,2006-01-25,D1935,0,,0,
11055650,28,2006-02-21,PTAC,37,PTO,19,
10765596,32,2005-12-05,IFEE,0,,0,
10765596,34,2005-12-05,N084,0,,0,
10765596,33,2005-12-09,C.AD,0,,0,
10765596,36,2005-12-13,PILS,0,,0,
10765596,37,2005-12-13,D1935,0,,0,
10765596,38,2005-12-13,IDSC,0,,0,
10765596,40,2006-02-21,PTAC,0,,0,
10505989,20,2005-12-05,IFEE,0,,0,
10505989,21,2005-12-05,N084,0,,0,
10505989,22,2005-12-13,PILS,0,,0,
10505989,23,2005-12-13,D1935,0,,0,
10505989,25,2006-02-21,PTAC,0,,0,
10832171,24,2005-12-08,IFEE,0,,0,
10832171,25,2005-12-08,N084,0,,0,
10832171,26,2005-12-14,PILS,0,,0,
10832171,27,2005-12-17,D1935,0,,0,
10832171,30,2006-02-21,PTAC,0,,0,
10869240,45,2005-10-27,DRWF,118,APPL,0,
10869240,47,2005-12-07,IFEE,0,,0,
10869240,48,2005-12-07,PUBTC,0,,0,
10869240,49,2005-12-07,N084,0,,0,
10869240,50,2005-12-15,TCPB,0,,0,
10869240,53,2005-12-20,D1935,0,,0,
10869240,52,2005-12-20,PILS,0,,0,
10869240,56,2006-02-21,PTAC,0,,0,
10383967,22,2004-10-15,SENT,0,,0,
10383967,23,2004-10-18,R1021,0,,0,
10383967,27,2004-11-19,LET.,120,APPL,0,
10383967,32,2004-12-22,N084,0,,0,
10383967,24,2004-12-22,IFEE,0,,0,
10383967,25,2004-12-30,R1021,0,,0,
10383967,28,2005-02-24,R1021,0,,0,
10383967,29,2005-03-29,R1021,0,,0,
10383967,30,2005-09-22,PUBTC,0,,0,
10383967,33,2006-01-27,PILS,0,,0,
10383967,31,2006-01-27,TCPB,0,,0,
10383967,34,2006-01-27,D1935,0,,0,
10383967,36,2006-01-30,R1021,0,,0,
10383967,35,2006-01-30,R1021,0,,0,
10383967,37,2006-02-21,PTAC,305,PTO,32,
10925900,1,2004-08-25,IEXX,0,,0,
10925900,2,2004-09-12,SCAN,0,,0,
10925900,4,2004-10-01,L194,0,,0,
10925900,5,2004-10-21,INCD,0,,0,
10925900,6,2004-12-06,OATHDECL,0,,0,
10925900,7,2004-12-06,FLFEE,0,,0,
10925900,12,2004-12-06,M844,0,,0,
10925900,13,2004-12-06,RQPR,0,,0,
10925900,8,2004-12-20,COMP,0,,0,
10925900,9,2004-12-20,OIPE,0,,0,
10925900,10,2004-12-20,ROIPE,0,,0,
10925900,11,2004-12-20,WROIPE,0,,0,
10925900,14,2005-02-03,DOCK,0,,0,
10925900,15,2005-02-03,TSSCOMP,0,,0,
10925900,16,2005-04-28,CTRS,0,,0,
10925900,17,2005-04-29,MCTRS,0,,0,
10925900,18,2005-05-24,ELC.,0,,0,
10925900,19,2005-06-02,FWDX,0,,0,
10925900,20,2005-06-13,CTNF,0,,0,
10925900,21,2005-06-16,MCTNF,0,,0,
10925900,22,2005-08-31,A...,0,,0,
10925900,23,2005-09-12,FWDX,0,,0,
10925900,24,2005-10-25,CTFR,0,,0,
10925900,25,2005-10-26,MCTFR,0,,0,
10925900,26,2006-01-13,A.NE,0,,0,
10925900,27,2006-01-27,FWDX,0,,0,
10925900,29,2006-01-31,DOCK,0,,0,
10925900,30,2006-01-31,N/=.,0,,0,
10925900,32,2006-02-01,MN/=.,0,,0,
11053347,21,2006-02-02,MN/=.,0,,0,
11029480,1,2005-01-06,IEXX,0,,0,
11029480,14,2005-01-06,RQPR,0,,0,
11029480,15,2005-01-06,M844,0,,0,
11029480,21,2005-01-06,IDSC,0,,0,
11029480,2,2005-02-08,SCAN,0,,0,
11029480,4,2005-02-11,L194,0,,0,
11029480,6,2005-02-26,OIPE,0,,0,
11029480,7,2005-02-26,ROIPE,0,,0,
11029480,9,2005-02-26,WROIPE,0,,0,
11029480,10,2005-02-26,ROIPE,0,,0,
11029480,11,2005-02-26,WROIPE,0,,0,
11029480,5,2005-02-28,COMP,0,,0,
11029480,8,2005-02-28,COMP,0,,0,
11029480,12,2005-03-10,DOCK,0,,0,
11029480,13,2005-03-16,TSSCOMP,0,,0,
11029480,16,2005-08-18,CTNF,0,,0,
11029480,17,2005-08-19,MCTNF,0,,0,
