application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10784222,32,2007-01-23,PILS,0,,0,
10784222,33,2007-01-24,D1935,0,,0,
10784222,35,2007-02-27,PTAC,0,,0,
10784222,35.5,2007-02-07,PTA36M,0,PTO,0,
10921520,20,2006-11-03,EX.A,0,,0,
10921520,21,2006-11-06,MEX.A,0,,0,
10921520,24,2007-01-05,N084,0,,0,
10921520,26,2007-01-10,D1935,0,,0,
10921520,25,2007-01-10,PILS,0,,0,
10921520,28,2007-02-27,PTAC,0,,0,
10474784,21,2006-10-12,A.NA,15,APPL,23,
10474784,22,2006-10-25,N271,0,,0,
10474784,23,2006-10-26,MN271,0,,0,
10474784,25,2006-12-22,IFEE,0,,0,
10474784,26,2006-12-22,N084,0,,0,
10474784,27,2006-12-29,PILS,0,,0,
10474784,28,2007-01-03,D1935,0,,0,
10474784,30,2007-02-27,PTAC,0,,0,
11117932,56,2007-01-12,IFEE,0,,0,
11117932,57,2007-01-12,N084,0,,0,
11117932,58,2007-01-24,FRCE,0,,0,
11117932,59,2007-01-24,PILS,0,,0,
11117932,60,2007-01-24,D1935,0,,0,
11117932,62,2007-02-27,PTAC,0,,0,
10217264,39,2006-12-12,PILS,0,,0,
10217264,40,2007-01-03,A.NA,7,APPL,42,
10217264,42,2007-01-09,MN271,0,,0,
10217264,41,2007-01-09,N271,0,,0,
10217264,43,2007-01-30,D1935,0,,0,
10217264,45,2007-02-27,PTAC,0,,0,
10217264,45.5,2007-02-07,PTA36M,0,PTO,0,
10012907,39,2006-10-18,N084,0,,0,
10012907,34,2006-11-17,ABN6,0,,0,
10012907,35,2006-11-17,MABN6,0,,0,
10012907,37,2006-11-30,PET.,0,,0,
10012907,36,2006-11-30,IFEE,0,,0,
10012907,38,2007-01-04,MP005,78,APPL,31,
10012907,40,2007-01-09,PILS,0,,0,
10012907,41,2007-01-12,D1935,0,,0,
10012907,43,2007-02-27,PTAC,9,PTO,39,
10012907,43.5,2007-02-07,PTA36M,0,PTO,0,
11025910,1,2005-01-03,IEXX,0,,0,
11025910,17,2005-01-03,M844,0,,0,
11025910,18,2005-01-03,RQPR,0,,0,
11025910,19,2005-01-03,RCAP,0,,0,
11025910,21,2005-01-03,IDSC,0,,0,
11025910,2,2005-01-25,SCAN,0,,0,
11025910,3,2005-01-29,L198,0,,0,
11025910,4,2005-03-23,L196,0,,0,
11025910,5,2005-03-23,L196,0,,0,
11025910,6,2005-03-23,L170,0,,0,
11025910,7,2005-03-25,COMP,0,,0,
11025910,8,2005-03-25,OIPE,0,,0,
11025910,9,2005-03-25,ROIPE,0,,0,
11025910,10,2005-03-25,WROIPE,0,,0,
11025910,11,2005-03-30,ML196,0,,0,
11025910,12,2005-03-30,ML196,0,,0,
11025910,13,2005-05-10,L186,0,,0,
