application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11576486,29,2009-12-21,IDSC,0,,0,
11576486,27,2009-12-21,N084,0,,0,
11576486,32,2010-01-06,PILS,0,,0,
11576486,30,2010-01-06,M327-B,0,,0,
11576486,33,2010-01-06,D1935,0,,0,
11576486,31,2010-01-07,MM327-B,0,,0,
11576486,35,2010-02-09,PTAC,0,,0,
11541751,57,2009-12-28,IFEE,0,,0,
11541751,58,2009-12-28,N084,0,,0,
11541751,59,2010-01-07,PILS,0,,0,
11541751,60,2010-01-07,D1935,0,,0,
11541751,62,2010-02-16,PTAC,0,,0,
11541751,62.5,2010-01-27,PTA36M,0,PTO,0,
11387929,56,2009-12-31,IFEE,0,,0,
11387929,57,2009-12-31,N084,0,,0,
11387929,59,2010-01-11,PILS,0,,0,
11387929,60,2010-01-11,D1935,0,,0,
11387929,62,2010-02-16,PTAC,0,,0,
11703025,37,2009-12-18,BIG.,0,,0,
11703025,36,2009-12-24,IFEE,0,,0,
11703025,39,2009-12-24,N084,0,,0,
11703025,40,2010-01-07,PILS,0,,0,
11703025,41,2010-01-07,D1935,0,,0,
11703025,43,2010-02-16,PTAC,0,,0,
11703025,43.5,2010-01-27,PTA36M,0,PTO,0,
11515937,53,2009-12-22,IFEE,0,,0,
11994192,40,2009-12-30,IFEE,0,,0,
11994192,41,2009-12-30,N084,0,,0,
11994192,42,2010-01-07,PILS,0,,0,
11994192,43,2010-01-07,D1935,0,,0,
11994192,44,2010-01-07,D1935,0,,0,
11994192,46,2010-02-16,PTAC,0,,0,
11515937,54,2009-12-22,N084,0,,0,
11515937,55,2010-01-07,PILS,0,,0,
11515937,56,2010-01-07,D1935,0,,0,
11515937,58,2010-02-16,PTAC,0,,0,
11927611,65,2009-12-23,IFEE,0,,0,
11927611,66,2009-12-23,N084,0,,0,
11927611,67,2010-01-05,PILS,0,,0,
11927611,68,2010-01-05,D1935,0,,0,
11927611,70,2010-02-16,PTAC,0,,0,
12248388,40,2009-12-28,IFEE,0,,0,
12248388,41,2009-12-28,N084,0,,0,
12248388,42,2010-01-12,C.AD,0,,0,
12248388,44,2010-01-12,D1935,0,,0,
12248388,43,2010-01-12,PILS,0,,0,
12248388,46,2010-02-16,PTAC,0,,0,
11345462,72,2009-08-24,R1021,0,,0,
11345462,75,2009-09-15,TCPB,0,,0,
11345462,76,2009-09-22,R1021,0,,0,
11345462,78,2009-11-11,IFEE,0,,0,
11345462,79,2009-11-11,BIG.,0,,0,
11345462,81,2009-11-11,N084,0,,0,
11345462,82,2009-11-16,PILS,0,,0,
11345462,83,2009-11-16,D1935,0,,0,
11345462,84,2009-11-16,D1935,0,,0,
11345462,86,2010-02-16,PTAC,0,,0,
11345462,86.5,2010-01-27,PTA36M,8,PTO,0,
12011304,36,2009-12-29,IFEE,0,,0,
12011304,37,2009-12-29,N084,0,,0,
12011304,38,2010-01-07,PILS,0,,0,
12011304,39,2010-01-07,D1935,0,,0,
12011304,42,2010-02-16,PTAC,0,,0,
10511715,72,2009-12-28,IFEE,0,,0,
10511715,73,2009-12-28,N084,0,,0,
10511715,74,2010-01-05,PILS,0,,0,
10511715,75,2010-01-08,D1935,0,,0,
10511715,78,2010-02-16,PTAC,0,,0,
10511715,78.5,2010-01-27,PTA36M,0,PTO,0,
11485753,54,2009-10-26,PUBTC,0,,0,
11485753,55,2009-11-06,TCPB,0,,0,
11485753,58,2009-12-22,IFEE,0,,0,
11485753,59,2009-12-22,N084,0,,0,
11485753,60,2010-01-04,PILS,0,,0,
11485753,61,2010-01-05,D1935,0,,0,
11485753,63,2010-02-16,PTAC,0,,0,
11485753,63.5,2010-01-27,PTA36M,0,PTO,0,
