application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13026672,29,2011-07-15,EML_NTR,0,,0,
13026672,32,2011-07-27,FWDX,0,,0,
13026672,34,2011-08-24,EXIN,0,,0,
13026672,38,2011-08-25,SA..,0,,0,
13026672,36,2011-08-29,MEXIN,0,,0,
13026672,37,2011-08-29,EML_NTR,0,,0,
13026672,39,2011-09-12,FWDX,0,,0,
13026672,42,2011-09-26,LET.,0,,0,
13026672,43,2011-09-26,SA..,75,APPL,31,
13026672,44,2011-09-26,FWDX,0,,0,
13026672,48,2011-09-26,EXIE,0,,0,
13026672,46,2011-09-30,EX.A,0,,0,
13026672,47,2011-09-30,EX.R,0,,0,
13026672,53,2011-10-07,LET.,0,,0,
13026672,54,2011-10-14,DOCK,0,,0,
13026672,55,2011-10-14,N/=.,0,,0,
13026672,56,2011-10-14,DVER,0,,0,
13015209,1,2011-01-27,IEXX,0,,0,
11632102,105,2011-08-09,MN/=.,0,,0,
11632102,106,2011-08-09,EML_NTF,0,,0,
11632102,107,2011-08-09,ELC_RVW,0,,0,
11632102,109,2011-11-07,A.NA,0,,0,
11632102,110,2011-11-08,N271,0,,0,
11632102,112,2011-11-09,BRCE,0,,0,
11632102,113,2011-11-09,WIDS,0,,0,
11632102,114,2011-11-09,M844,0,,0,
11632102,116,2011-11-09,RCEX,0,,0,
11632102,118,2011-11-09,IDSC,0,,0,
11632102,115,2011-11-10,ABN9,0,,0,
11632102,117,2011-11-16,MN271,0,,0,
11632102,120,2011-11-16,EML_NTR,0,,0,
11632102,124,2011-11-16,EX.A,0,,0,
11632102,125,2011-11-21,N/=.,0,,0,
11632102,126,2011-11-21,DVER,0,,0,
11632102,130,2011-11-25,MN/=.,0,,0,
11632102,.5,2006-07-28,NEFILE,0,,0,
11632102,136,2011-12-06,FLRCPT.C,0,,0,
11632102,137,2011-12-06,EML_NTR,0,,0,
11632102,138,2012-02-27,IFEE,0,,0,
11632102,139,2012-02-27,N084,2,APPL,130,
11632102,140,2012-02-29,PILS,0,,0,
11632102,141,2012-03-01,D1935,0,,0,
