application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12795239,10,2010-07-14,OIPE,0,,0,
12795239,11,2010-11-19,WIDS,0,,0,
12795239,12,2010-11-19,M844,0,,0,
12795239,13,2010-11-19,RCAP,0,,0,
12795239,16,2010-11-19,IDSC,0,,0,
12795239,14,2011-08-17,DOCK,0,,0,
12795239,15,2011-12-05,DOCK,0,,0,
12795239,17,2012-02-12,CTNF,0,,0,
12795239,19,2012-02-16,MCTNF,193,PTO,.5,
12795239,20,2012-02-16,EML_NTF,0,,0,
12795239,21,2012-02-16,ELC_RVW,0,,0,
12795239,22,2012-05-15,A...,0,,0,
12795239,23,2012-05-16,FWDX,0,,0,
12795239,29,2012-05-22,EXIE,0,,0,
12795239,28,2012-05-23,EX.R,0,,0,
12795239,30,2012-05-29,DVER,0,,0,
12795239,32,2012-05-29,N/=.,0,,0,
12795239,36,2012-06-01,MN/=.,0,,0,
12795239,.5,2010-06-07,EFILE,0,,0,
12795239,41,2012-07-14,C.AD,0,,0,
12795239,45,2012-08-27,REAS,0,,0,
12795239,43,2012-08-27,N084,0,,0,
12795239,42,2012-08-27,IFEE,0,,0,
11392911,4,2006-04-24,COMP,0,,0,
11392911,8,2006-11-20,TSSCOMP,0,,0,
11392911,9,2007-07-19,PG-ISSUE,0,,0,
11392911,10,2007-07-20,TI1050,0,,0,
11392911,11,2007-11-08,DOCK,0,,0,
11392911,12,2008-09-23,DOCK,0,,0,
11392911,17,2009-04-24,DOCK,0,,0,
11392911,18,2009-04-27,CTNF,0,,0,
11392911,19,2009-04-29,MCTNF,670,PTO,.5,
11392911,20,2009-09-29,XT/G,0,,0,
11392911,21,2009-09-29,A...,62,APPL,19,
11392911,22,2009-10-05,FWDX,0,,0,
11392911,23,2009-12-01,CTFR,0,,0,
11392911,24,2009-12-01,MCTFR,0,,0,
11392911,25,2010-01-26,C.AD,0,,0,
11392911,26,2010-01-27,PA..,0,,0,
11392911,27,2010-02-03,NRES,0,,0,
11392911,28,2010-02-04,MNRES,0,,0,
11392911,29,2010-07-06,XT/G,0,,0,
11392911,31,2010-07-06,RCEX,63,APPL,28,
11392911,37,2010-07-06,BRCE,0,,0,
11392911,30,2010-07-11,ABN9,0,,0,
11392911,33,2010-07-11,FWDX,0,,0,
11392911,34,2010-07-12,WIDS,0,,0,
11392911,35,2010-07-12,RCAP,0,,0,
11392911,36,2010-07-12,M844,0,,0,
11392911,38,2010-07-12,IDSC,0,,0,
11392911,40,2012-06-12,EXIE,0,,0,
11392911,41,2012-06-18,EX.A,0,,0,
11392911,42,2012-06-18,EX.R,0,,0,
11392911,43,2012-06-22,DVER,0,,0,
11392911,54,2012-07-11,N/=.,0,,0,
12237068,16,2009-01-23,DOCK,0,,0,
12237068,17,2009-04-02,PTDE,0,,0,
12237068,18,2009-04-03,MPTDE,0,,0,
12237068,19,2009-04-03,AEOV,0,,0,
12237068,20,2009-05-04,PET.,0,,0,
12237068,23,2009-05-04,AEOV,0,,0,
12237068,21,2009-05-26,PTDE,0,,0,
12237068,22,2009-05-26,MPTDE,0,,0,
12237068,24,2010-03-25,PG-ISSUE,0,,0,
12237068,25,2012-02-10,DOCK,0,,0,
12237068,26,2012-02-12,DOCK,0,,0,
12237068,32,2012-04-22,EX.R,0,,0,
12237068,33,2012-04-23,DVER,0,,0,
12237068,37,2012-05-06,DOCK,0,,0,
12237068,38,2012-05-06,N/=.,0,,0,
12237068,42,2012-05-07,MN/=.,669,PTO,.5,
12237068,.5,2008-09-24,EFILE,0,,0,
12237068,45,2012-08-06,IFEE,0,,0,
12237068,46,2012-08-06,N084,0,,0,
12237068,49,2012-08-15,D1935,0,,0,
12237068,48,2012-08-15,PILS,0,,0,
12237068,47,2012-08-15,C.AD,0,,0,
12237068,51,2012-08-20,PUBTC,0,,0,
12237068,52,2012-08-23,TCPB,0,,0,
12237068,53,2012-09-25,PTAC,0,,0,
12237068,53.5,2012-09-25,PTA36M,367,PTO,.5,
12237068,42,2012-05-07,MN/=.,226,,.5,
12795239,44,2012-08-28,PILS,0,,0,
12795239,46,2012-08-29,D1935,0,,0,
12795239,48,2012-09-25,PTAC,0,,0,
12795239,48.5,2012-09-25,PTA36M,0,PTO,.5,
11392911,59,2012-07-16,MN/=.,618,PTO,31,
11392911,.5,2006-03-29,EFILE,0,,0,
11392911,63,2012-08-17,IFEE,0,,0,
11392911,64,2012-08-17,N084,0,,0,
11392911,67,2012-08-23,D1935,0,,0,
11392911,66,2012-08-23,PILS,0,,0,
11392911,70,2012-09-25,PTAC,0,,0,
11392911,70.5,2010-07-05,PTA36M,463,PTO,.5,
11392911,19,2009-04-29,MCTNF,31,,.5,
12152411,2,2008-05-14,WIDS,0,,0,
12152411,3,2008-05-14,WIDS,0,,0,
12152411,4,2008-05-14,WIDS,0,,0,
12152411,5,2008-05-14,APPERMS,0,,0,
12152411,16,2008-05-14,EIDS.,0,,0,
12152411,17,2008-05-14,RCAP,0,,0,
12152411,27,2008-05-14,IDSC,0,,0,
12152411,28,2008-05-14,IDSC,0,,0,
12152411,29,2008-05-14,IDSC,0,,0,
12152411,1,2008-05-15,IEXX,0,,0,
