application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11610984,59,2011-12-30,A...,1,APPL,56,
11610984,60,2012-01-09,FWDX,0,,0,
11610984,61,2012-01-18,CTNF,0,,0,
11610984,63,2012-01-25,MCTNF,0,,0,
11610984,64,2012-01-25,EML_NTF,0,,0,
11610984,65,2012-01-25,ELC_RVW,0,,0,
11610984,66,2012-05-02,XT/G,0,,0,
11610984,67,2012-05-02,A...,7,APPL,63,
11610984,68,2012-05-08,FWDX,0,,0,
11610984,69,2012-05-27,CTFR,0,,0,
12405428,59,2012-08-15,MCTFR,0,,0,
12405428,60,2012-10-30,EXAT,0,,0,
12405428,61,2012-10-30,EXIA,0,,0,
12405428,64,2012-11-02,MEXAT,0,,0,
12405428,65,2012-11-13,A.NE,0,,0,
12405428,67,2012-11-13,LET.,0,,0,
12405428,66,2012-11-14,FWDX,0,,0,
12405428,73,2012-11-27,EX.A,0,,0,
12405428,74,2012-11-27,EX.R,0,,0,
12405428,75,2012-11-27,DVER,0,,0,
12405428,76,2012-11-27,N/=.,0,,0,
12405428,81,2012-11-28,MN/=.,0,,0,
12405428,.5,2009-03-17,EFILE,0,,0,
12405428,84,2013-02-25,IFEE,0,,0,
12405428,85,2013-02-25,N084,0,,0,
12405428,86,2013-02-26,PILS,0,,0,
12405428,87,2013-02-27,D1935,0,,0,
12405428,89,2013-03-26,PTAC,0,,0,
12405428,89.5,2011-02-01,PTA36M,0,PTO,.5,
13518492,49,2013-03-26,PTAC,0,,0,
13518492,49.5,2013-03-26,PTA36M,0,PTO,49.4,
13518492,49.4,2012-06-22,COMMN,0,,0,
11610984,71,2012-06-05,MCTFR,0,,0,
11610984,72,2012-06-05,EML_NTF,0,,0,
11610984,73,2012-06-05,ELC_RVW,0,,0,
11610984,74,2012-10-03,XT/G,0,,0,
11610984,75,2012-10-03,N/AP,28,APPL,71,
11610984,76,2012-10-03,AP.C,0,,0,
11610984,77,2012-10-19,APCA,0,,0,
11610984,79,2012-10-31,MAPCA,0,,0,
11610984,80,2012-10-31,FWDX,0,,0,
11610984,82,2012-11-01,EX.R,0,,0,
11610984,83,2012-11-06,N/=.,0,,0,
11610984,84,2012-11-06,DVER,0,,0,
11610984,88,2012-11-09,MN/=.,38,,75,
11610984,.5,2006-12-14,EFILE,0,,0,
11610984,93,2013-02-15,IFEE,0,,0,
11610984,94,2013-02-15,N084,6,APPL,88,
11610984,95,2013-02-22,PILS,0,,0,
11610984,96,2013-02-22,D1935,0,,0,
11610984,98,2013-03-26,PTAC,0,,0,
11610984,98.5,2011-09-18,PTA36M,588,PTO,.5,
11610984,20,2010-03-17,MCTNF,38,,.5,
13552714,1,2012-07-19,IEXX,0,,0,
13552714,2,2012-07-19,SCAN,0,,0,
13552714,3,2012-07-19,WIDS,0,,0,
13552714,10,2012-07-19,M844,0,,0,
13552714,11,2012-07-19,RCAP,0,,0,
13552714,13,2012-07-19,PET.,0,,0,
13552714,23,2012-07-19,IDSC,0,,0,
13552714,5,2012-07-21,L194,0,,0,
13552714,6,2012-07-23,AERQ,0,,0,
13552714,7,2012-07-23,FLRCPT.O,0,,0,
13552714,8,2012-07-23,OIPE,0,,0,
13552714,9,2012-07-23,COMP,0,,0,
13552714,14,2012-09-28,PTDI,0,,0,
13552714,15,2012-09-28,MPTDI,0,,0,
13552714,16,2012-10-29,PET.,0,,0,
13552714,17,2012-11-08,P003,0,,0,
13552714,18,2012-11-09,MP003,0,,0,
13552714,19,2012-11-09,DOCK,0,,0,
13552714,24,2012-12-19,C614,0,,0,
13552714,26,2013-01-02,CTRT,0,,0,
13552714,27,2013-01-02,EX.A,0,,0,
13552714,28,2013-01-02,EX.R,0,,0,
13552714,29,2013-01-02,EXIE,0,,0,
13552714,30,2013-01-07,N/=.,0,,0,
13552714,31,2013-01-07,DVER,0,,0,
13552714,43,2013-01-16,MN/=.,0,,0,
13552714,.5,2012-07-19,EFILE,0,,0,
13552714,44,2013-01-24,PUBTC,0,,0,
13552714,48,2013-01-30,EX.A,0,,0,
13552714,49,2013-01-30,EX.R,0,,0,
13552714,47,2013-01-30,CTRT,0,,0,
13552714,46,2013-01-30,CNOA,0,,0,
13552714,50,2013-01-30,EXIE,0,,0,
13552714,56,2013-01-31,TCPB,0,,0,
13552714,57,2013-01-31,DRWF,6,APPL,0,
13552714,60,2013-02-01,TCPB,0,,0,
13552714,61,2013-02-01,TCPB,0,,0,
13552714,59,2013-02-01,MCNOA,0,,0,
13552714,58,2013-02-01,TCPB,0,,0,
13552714,62,2013-02-06,LET.,49,APPL,0,
13552714,64,2013-02-26,IFEE,0,,0,
13552714,65,2013-02-26,N084,0,,0,
13552714,66,2013-02-27,PILS,0,,0,
13552714,67,2013-02-28,D1935,0,,0,
13552714,69,2013-03-26,PTAC,0,,0,
13552714,69.5,2013-03-26,PTA36M,0,PTO,.5,
12635390,1,2009-12-10,IEXX,0,,0,
12635390,2,2009-12-10,SCAN,0,,0,
12635390,3,2009-12-10,WIDS,0,,0,
12635390,9,2009-12-10,M844,0,,0,
12635390,10,2009-12-10,RCAP,0,,0,
12635390,19,2009-12-10,IDSC,0,,0,
12635390,4,2009-12-16,L194,0,,0,
12635390,6,2009-12-30,PGPC,0,,0,
12635390,5,2009-12-31,FLRCPT.O,0,,0,
12635390,7,2009-12-31,EML_NTR,0,,0,
12635390,8,2010-01-06,OIPE,0,,0,
12635390,11,2010-06-10,PG-ISSUE,0,,0,
12635390,12,2010-06-11,EML_NTR,0,,0,
12635390,13,2010-08-02,EIDS.,0,,0,
12635390,14,2011-05-10,TI1050,0,,0,
12635390,15,2011-06-06,DOCK,0,,0,
12635390,16,2011-06-09,C.ADB,0,,0,
12635390,17,2012-06-24,DOCK,0,,0,
12635390,24,2012-11-15,EXIE,0,,0,
12635390,25,2012-11-19,EX.A,0,,0,
12635390,26,2012-11-19,EX.R,0,,0,
12767274,1,2010-04-26,IEXX,0,,0,
12767274,2,2010-04-26,SCAN,0,,0,
12767274,3,2010-04-26,WIDS,0,,0,
12767274,7,2010-04-26,PDREQUST,0,,0,
12767274,23,2010-04-26,M844,0,,0,
12767274,29,2010-04-26,IDSC,0,,0,
12767274,4,2010-04-28,L194,0,,0,
12767274,8,2010-05-11,INCD,0,,0,
12767274,9,2010-05-11,FLRCPT.O,0,,0,
12767274,10,2010-05-11,EML_NTF,0,,0,
12767274,11,2010-05-11,EML_NTR,0,,0,
12767274,12,2010-05-11,ELC_RVW,0,,0,
12767274,13,2010-05-26,OATHDECL,0,,0,
12767274,14,2010-05-26,ADDFLFEE,0,,0,
12767274,15,2010-05-26,APPERMS,0,,0,
12767274,17,2010-06-09,PGPC,0,,0,
12767274,16,2010-06-10,FLRCPT.U,0,,0,
12767274,18,2010-06-10,PA..,0,,0,
12767274,19,2010-06-10,EML_NTR,0,,0,
12767274,20,2010-06-10,EML_NTR,0,,0,
12767274,21,2010-06-10,COMP,0,,0,
12767274,22,2010-07-06,OIPE,0,,0,
12767274,25,2010-07-08,RQPR,0,,0,
12767274,26,2010-10-28,PG-ISSUE,0,,0,
12767274,27,2010-10-29,EML_NTR,0,,0,
12767274,28,2012-03-12,DOCK,0,,0,
12635390,27,2012-11-23,N/=.,0,,0,
12635390,29,2012-11-23,DVER,0,,0,
12767274,30,2012-05-03,CTNF,0,,0,
12767274,32,2012-05-08,MCTNF,317,PTO,.5,
12767274,33,2012-05-08,EML_NTF,0,,0,
12767274,34,2012-05-08,ELC_RVW,0,,0,
12767274,35,2012-08-08,A...,0,,0,
12767274,36,2012-08-18,FWDX,0,,0,
12767274,37,2012-08-20,CTFR,0,,0,
12767274,39,2012-08-24,MCTFR,0,,0,
12767274,40,2012-08-24,EML_NTF,0,,0,
12767274,41,2012-08-24,ELC_RVW,0,,0,
12767274,42,2012-11-26,BRCE,0,,0,
12767274,44,2012-11-26,RCEX,2,APPL,39,
12767274,43,2012-12-07,ABN9,0,,0,
12767274,46,2012-12-07,FWDX,0,,0,
12767274,54,2012-12-10,DOCK,0,,0,
12767274,55,2012-12-10,N/=.,0,,0,
12767274,56,2012-12-10,DVER,0,,0,
12767274,59,2012-12-13,MN/=.,0,,0,
12767274,.5,2010-04-26,EFILE,0,,0,
12767274,66,2013-02-06,RCAP,0,,0,
12767274,64,2013-02-06,WIDS,0,,0,
12767274,65,2013-02-06,M844,9,APPL,71,
12767274,68,2013-02-06,IDSC,0,,0,
12767274,67,2013-02-07,PUBTC,0,,0,
12767274,69,2013-02-08,M327,0,,0,
12767274,72,2013-02-14,TCPB,0,,0,
12767274,71,2013-02-14,MM327,0,,0,
12767274,73,2013-02-14,EML_NTR,0,,0,
12767274,74,2013-02-21,IFEE,0,,0,
12767274,75,2013-02-21,N084,0,,0,
12767274,76,2013-02-27,PILS,0,,0,
12767274,77,2013-02-27,D1935,0,,0,
12767274,79,2013-03-26,PTAC,0,,0,
12767274,79.5,2012-11-25,PTA36M,0,PTO,.5,
12635390,50,2012-12-18,MN/=.,669,PTO,.5,
12635390,.5,2009-12-10,EFILE,0,,0,
12635390,53,2013-02-27,IFEE,0,,0,
12635390,54,2013-02-27,N084,0,,0,
12635390,55,2013-02-28,PILS,0,,0,
12635390,56,2013-03-01,D1935,0,,0,
12635390,57,2013-03-26,PTAC,0,,0,
12635390,57.5,2013-03-26,PTA36M,106,PTO,.5,
12635390,50,2012-12-18,MN/=.,8,,.5,
13274295,1,2011-10-14,IEXX,0,,0,
11261028,1,2005-10-28,IEXX,0,,0,
11261028,7,2005-10-28,WIDS,0,,0,
11261028,7.7,2005-10-28,M844,0,,0,
11261028,8,2005-10-28,RCAP,0,,0,
11261028,22,2005-10-28,IDSC,0,,0,
11261028,2,2005-11-13,SCAN,0,,0,
11261028,3,2005-11-16,L198,0,,0,
11261028,4,2005-12-14,L128,0,,0,
11261028,6,2005-12-15,OIPE,0,,0,
11261028,5,2005-12-16,COMP,0,,0,
11261028,9,2006-12-02,TSSCOMP,0,,0,
11261028,10,2007-05-17,PG-ISSUE,0,,0,
11261028,11,2008-03-11,DOCK,0,,0,
