application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12502454,6,2009-07-27,INCD,0,,0,
12502454,7,2009-09-22,APPERMS,0,,0,
12502454,8,2009-09-22,OATHDECL,0,,0,
12502454,9,2009-09-22,ADDFLFEE,0,,0,
12502454,10,2009-10-02,FLRCPT.U,0,,0,
12502454,11,2009-10-02,PGPC,0,,0,
12502454,12,2009-10-07,OIPE,0,,0,
12502454,13,2010-01-14,PG-ISSUE,0,,0,
12502454,14,2011-03-18,DOCK,0,,0,
12502454,15,2011-09-08,DOCK,0,,0,
12502454,16,2012-08-08,WIDS,0,,0,
12502454,17,2012-08-08,EIDS.,0,,0,
12502454,22,2012-08-08,IDSC,0,,0,
12502454,23,2012-11-04,CTNF,0,,0,
12502454,25,2012-11-06,MCTNF,669,PTO,.5,
12502454,26,2013-02-06,A...,0,,0,
12502454,27,2013-02-07,FWDX,0,,0,
12502454,28,2013-03-12,WIDS,0,,0,
12502454,29,2013-03-12,EIDS.,34,APPL,26,
12502454,30,2013-03-12,IDSC,0,,0,
12502454,32,2013-04-28,N/=.,0,,0,
12502454,33,2013-04-28,DVER,0,,0,
12502454,36,2013-04-29,MN/=.,0,,0,
12502454,.5,2009-07-14,EFILE,0,,0,
12502454,45,2013-07-26,LET.,3,APPL,0,
12502454,39,2013-07-26,PDREQUST,0,,0,
12502454,47,2013-07-29,RCAP,0,,0,
12502454,41,2013-07-29,IFEE,0,,0,
12502454,43,2013-07-29,WIDS,0,,0,
12915703,1,2010-10-29,IEXX,0,,0,
12915703,2,2010-10-29,SCAN,0,,0,
12915703,3,2010-11-02,L194,0,,0,
12915703,4,2010-11-10,FLRCPT.O,0,,0,
12915703,5,2010-11-10,CPAP,0,,0,
12915703,6,2011-01-10,CORRDRW,0,,0,
12915703,7,2011-01-10,ADDFLFEE,0,,0,
12915703,9,2011-01-14,PGPC,0,,0,
12915703,8,2011-01-18,FLRCPT.U,0,,0,
12915703,10,2011-01-18,COMP,0,,0,
12915703,11,2011-02-08,OIPE,0,,0,
12915703,12,2011-06-30,DOCK,0,,0,
12915703,13,2011-07-29,WIDS,0,,0,
12915703,14,2011-07-29,EIDS.,0,,0,
12915703,17,2011-07-29,IDSC,0,,0,
12915703,15,2012-01-04,DOCK,0,,0,
12915703,16,2012-05-03,PG-ISSUE,0,,0,
12915703,22,2012-11-09,CTNF,0,,0,
12915703,24,2012-11-15,MCTNF,322,PTO,.5,
12915703,25,2013-02-15,WIDS,0,,0,
12915703,26,2013-02-15,A...,0,,0,
12915703,28,2013-02-15,M844,0,APPL,26,
12915703,29,2013-02-15,RCAP,0,,0,
12915703,30,2013-02-15,IDSC,0,,0,
12915703,27,2013-02-20,FWDX,0,,0,
12915703,32,2013-04-26,EX.R,0,,0,
12915703,33,2013-04-28,DVER,0,,0,
