application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13786354,8,2013-04-08,FTFI,0,,0,
13786354,11,2013-04-09,EML_NTR,0,,0,
13786354,10,2013-04-09,EML_NTR,0,,0,
13786354,9,2013-04-09,PA..,0,,0,
13786354,6,2013-04-09,FLRCPT.O,0,,0,
13786354,12,2013-04-09,COMP,0,,0,
13786354,13,2013-05-15,OIPE,0,,0,
13786354,14,2013-05-22,DOCK,0,,0,
13786354,15,2013-10-31,PG-ISSUE,0,,0,
13786354,16,2013-11-01,EML_NTR,0,,0,
13786354,17,2013-11-15,PD.FAIL,0,,0,
12993713,.5,2009-05-22,NEFILE,0,,0,
12993713,72.4,2010-11-22,COMMN,0,,0,
12993713,72,2014-07-08,PTAC,0,,68,
12993713,68,2014-05-30,N084,0,,62,
12993713,3,2010-12-09,M905,0,,0,
13786354,18,2013-11-28,PD.FAIL,0,,0,
13786354,21,2013-12-13,CTNF,0,,0,
13786354,23,2013-12-23,MCTNF,0,,0,
13786354,24,2013-12-23,EML_NTF,0,,0,
13786354,25,2013-12-25,ELC_RVW,0,,0,
13786354,26,2013-12-30,A...,0,,0,
13786354,28,2014-01-13,RQPR,0,,0,
13786354,27,2014-01-14,FWDX,0,,0,
13786354,33,2014-02-23,EX.R,0,,0,
13786354,32,2014-02-23,EX.A,0,,0,
13786354,36,2014-02-27,N/=.,0,,0,
13786354,34,2014-02-27,DVER,0,,0,
13786354,42,2014-03-03,ELC_RVW,0,,0,
13786354,41,2014-03-03,EML_NTF,0,,0,
13786354,40,2014-03-03,MN/=.,0,,0,
13786354,46,2014-05-30,N084,0,,0,
13786354,45,2014-05-30,IFEE,0,,0,
13786354,47,2014-06-05,PILS,0,,0,
13786354,48,2014-06-06,D1935,0,,0,
12993713,4,2011-02-01,OATHDECL,0,,0,
12993713,5,2011-02-01,ADDFLFEE,0,,0,
12993713,12,2011-02-01,371COMP,0,,0,
12993713,8,2011-02-07,PGPC,0,,0,
12993713,10,2011-02-09,M903,0,,0,
12993713,11,2011-02-09,FLRCPT.O,0,,0,
