application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13350286,8,2012-01-30,EML_NTR,0,,0,
13350286,7,2012-01-30,INCD,0,,0,
13350286,6,2012-01-30,FLRCPT.O,0,,0,
13350286,10,2012-01-30,ELC_RVW,0,,0,
13350286,9,2012-01-30,EML_NTF,0,,0,
13350286,13,2012-02-22,APPERMS,0,,0,
13350286,12,2012-02-22,ADDFLFEE,0,,0,
13350286,11,2012-02-22,OATHDECL,0,,0,
13350286,16,2012-03-05,PGPC,0,,0,
13350286,18,2012-03-06,EML_NTR,0,,0,
13350286,14,2012-03-06,PA..,0,,0,
13350286,19,2012-03-06,COMP,0,,0,
13350286,17,2012-03-06,EML_NTR,0,,0,
13350286,15,2012-03-06,FLRCPT.U,0,,0,
13350286,20,2012-03-27,OIPE,0,,0,
13350286,22,2012-05-23,WIDS,0,,0,
13350286,23,2012-05-23,M844,0,,0,
13350286,24,2012-05-23,RCAP,0,,0,
13350286,25,2012-07-26,PG-ISSUE,0,,0,
13350286,26,2012-07-27,EML_NTR,0,,0,
13350286,31,2012-08-22,RQPR,0,,0,
13350286,32,2012-08-29,RQPR,0,,0,
13350286,27,2013-05-24,TI1050,0,,0,
13350286,28,2013-06-13,DOCK,0,,0,
13350286,29,2013-07-02,DOCK,0,,0,
13350286,34,2013-07-03,RCAP,0,,0,
13350286,30,2013-07-03,WIDS,0,,0,
13350286,33,2013-07-03,M844,0,,0,
13350286,35,2013-07-19,TI1050,0,,0,
13350286,36,2013-07-22,DOCK,0,,0,
13350286,39,2013-08-14,RCAP,0,,0,
13350286,37,2013-08-14,WIDS,0,,0,
13350286,38,2013-08-14,M844,0,,0,
13350286,48,2014-06-13,EX.R,0,,0,
13350286,42,2014-06-13,IDSC,0,,0,
13350286,41,2014-06-13,IDSC,0,,0,
13350286,43,2014-06-13,IDSC,0,,0,
13350286,40,2014-06-13,IDSC,0,,0,
13350286,50,2014-06-20,N/=.,0,,0,
13350286,49,2014-06-20,DVER,0,,0,
13350286,54,2014-06-25,MN/=.,469,PTO,.5,
13350286,56,2014-06-25,ELC_RVW,0,,0,
13350286,55,2014-06-25,EML_NTF,0,,0,
13350286,58,2014-08-05,IFEE,0,,0,
13350286,60,2014-08-05,N084,0,,0,
13350286,84,2014-08-05,N084,0,,0,
13350286,62,2014-08-15,D1935,0,,0,
13350286,61,2014-08-15,PILS,0,,0,
13350286,64,2014-08-20,WPIR,0,,0,
13350286,65,2014-08-21,EML_NTR,0,,0,
13235960,.5,2011-09-19,EFILE,0,,0,
13235960,37,2014-02-04,MCTNF,0,,28,
13235960,54,2014-06-16,MN/=.,0,,39,
13235960,63,2014-10-21,PTAC,0,,58,
13235960,28,2013-12-06,ELC.,0,,27,
13235960,58,2014-09-16,N084,0,,54,
13235960,2,2011-09-19,SCAN,0,,0,
13235960,1,2011-09-19,IEXX,0,,0,
13235960,3,2011-09-21,L194,0,,0,
13235960,4,2011-10-03,FLRCPT.O,0,,0,
13235960,5,2011-10-03,INCD,0,,0,
13235960,7,2011-12-05,ADDFLFEE,0,,0,
13235960,8,2011-12-05,OATHDECL,0,,0,
13235960,9,2011-12-14,INCR,0,,0,
13235960,11,2012-01-09,ADDFLFEE,6,APPL,5,
13235960,10,2012-01-09,OATHDECL,0,,0,
13235960,12,2012-01-19,C.AD,0,,0,
13235960,13,2012-01-23,FLRCPT.U,0,,0,
13235960,15,2012-01-23,COMP,0,,0,
13235960,14,2012-01-23,PGPC,0,,0,
13235960,16,2012-02-14,OIPE,0,,0,
13235960,17,2012-05-03,PG-ISSUE,0,,0,
13235960,18,2012-06-29,WIDS,0,,0,
13235960,19,2012-06-29,M844,0,,0,
13235960,20,2012-06-29,RCAP,0,,0,
13235960,31,2012-06-29,IDSC,0,,0,
13235960,21,2012-08-28,TI1050,0,,0,
13235960,22,2012-08-30,DOCK,0,,0,
13235960,23,2013-10-20,CTRS,0,,0,
13235960,27,2013-10-31,MCTRS,346,PTO,.5,
13235960,28,2013-12-06,ELC.,0,,0,
13235960,29,2013-12-18,FWDX,0,,0,
13235960,32,2013-12-30,CTNF,0,,0,
13235960,37,2014-02-04,MCTNF,0,,0,
13235960,38,2014-06-02,XT/G,0,,0,
13235960,39,2014-06-02,A...,28,APPL,37,
13235960,41,2014-06-02,LTDR,0,,0,
13235960,40,2014-06-04,FWDX,0,,0,
13235960,47,2014-06-13,EX.R,0,,0,
13235960,46,2014-06-13,EX.A,0,,0,
13235960,48,2014-06-14,N/=.,0,,0,
13235960,49,2014-06-14,DVER,0,,0,
13235960,54,2014-06-16,MN/=.,0,,0,
13235960,57,2014-09-16,IFEE,0,,0,
13235960,58,2014-09-16,N084,0,,0,
13235960,60,2014-09-17,D1935,0,,0,
13235960,59,2014-09-17,PILS,0,,0,
13235960,61,2014-09-19,D1935,0,,0,
13235960,63,2014-10-21,PTAC,0,,0,
13235960,63.5,2014-10-21,PTA36M,32,PTO,.5,
13457376,.5,2012-04-26,EFILE,0,,0,
13457376,39,2014-06-03,MN/=.,0,,21,
13457376,53,2014-10-21,PTAC,0,,43,
13457376,43,2014-09-03,N084,0,,39,
13457376,2,2012-04-26,SCAN,0,,0,
13457376,1,2012-04-26,IEXX,0,,0,
13457376,9,2012-04-26,A.PE,0,,0,
13457376,3,2012-05-01,L194,0,,0,
13457376,6,2012-05-09,PGPC,0,,0,
13457376,7,2012-05-10,COMP,0,,0,
13457376,4,2012-05-10,PA..,0,,0,
13457376,5,2012-05-10,FLRCPT.O,0,,0,
13457376,8,2012-06-06,OIPE,0,,0,
13457376,10,2013-05-29,DOCK,0,,0,
13457376,11,2013-06-06,DOCK,0,,0,
13457376,12,2013-10-31,PG-ISSUE,0,,0,
13457376,16,2013-12-16,CTNF,0,,0,
13457376,18,2013-12-19,MCTNF,176,PTO,.5,
13457376,21,2014-04-18,A...,30,APPL,18,
13457376,20,2014-04-18,XT/G,0,,0,
13457376,23,2014-04-18,C614,0,,0,
13457376,19,2014-04-18,MICR,0,,0,
13457376,22,2014-04-28,FWDX,0,,0,
13457376,29,2014-05-12,EXIA,0,,0,
13457376,30,2014-05-12,EXAT,0,,0,
13457376,28,2014-06-01,EX.R,0,,0,
13457376,27,2014-06-01,EX.A,0,,0,
13457376,31,2014-06-02,N/=.,0,,0,
13457376,32,2014-06-02,DVER,0,,0,
13457376,39,2014-06-03,MN/=.,0,,0,
13457376,44,2014-09-03,A.NA,0,,0,
13457376,43,2014-09-03,N084,0,,0,
13457376,42,2014-09-03,IFEE,0,,0,
13457376,45,2014-09-04,PUBTC,0,,0,
13457376,46,2014-09-08,N271,0,,0,
13457376,48,2014-09-08,PILS,0,,0,
13457376,50,2014-09-10,TCPB,0,,0,
13457376,49,2014-09-10,MN271,8,APPL,44,
13457376,51,2014-09-19,D1935,0,,0,
13457376,53,2014-10-21,PTAC,0,,0,
13457376,53.5,2014-10-21,PTA36M,0,,.5,
13205518,.5,2011-08-08,EFILE,0,,0,
13205518,84,2014-08-06,MN/=.,405,,40,
13205518,32,2013-04-09,MCTFR,0,,28,
13205518,45,2013-07-24,MCTNF,0,,40,
13205518,50,2013-11-12,MCTNF,0,,46,
13205518,55,2014-03-21,MCTFR,0,,51,
13205518,84,2014-08-06,MN/=.,0,,63,
13205518,93,2014-10-21,PTAC,0,,88,
13205518,33,2013-06-28,RCEX,0,,32,
13205518,46,2013-10-24,A...,0,,45,
13205518,51,2014-02-11,A...,0,,50,
13205518,88,2014-09-15,N084,0,,84,
13205518,1,2011-08-08,IEXX,0,,0,
13205518,2,2011-08-08,SCAN,0,,0,
13205518,3,2011-08-10,L194,0,,0,
13205518,9,2011-08-17,ADDFLFEE,0,,0,
13205518,14,2011-08-17,M844,0,,0,
13205518,17,2011-08-17,IDSC,0,,0,
13205518,4,2011-08-17,WIDS,0,,0,
13205518,8,2011-08-17,OATHDECL,0,,0,
13205518,12,2011-08-18,COMP,0,,0,
13205518,7,2011-08-18,PA..,0,,0,
13205518,6,2011-08-18,INCD,0,,0,
13205518,5,2011-08-18,FLRCPT.O,0,,0,
13205518,11,2011-08-18,PGPC,0,,0,
13205518,10,2011-08-18,FLRCPT.U,0,,0,
13205518,13,2011-09-07,OIPE,0,,0,
13205518,15,2012-09-12,DOCK,0,,0,
13205518,16,2012-10-18,DOCK,0,,0,
13205518,21,2012-12-20,CTNF,0,,0,
13205518,23,2012-12-31,MCTNF,84,PTO,.5,
13205518,24,2013-02-14,PG-ISSUE,0,,0,
13205518,27,2013-04-02,XT/G,0,,0,
13205518,28,2013-04-02,A...,1,APPL,23,
13205518,25,2013-04-02,DIST,0,,0,
13205518,29,2013-04-03,FWDX,0,,0,
13205518,26,2013-04-03,P574,0,,0,
13205518,30,2013-04-06,CTFR,0,,0,
13205518,32,2013-04-09,MCTFR,0,,0,
13205518,33,2013-06-10,A.NE,0,,0,
13205518,34,2013-06-12,FWDX,0,,0,
13205518,35,2013-06-12,CTAV,0,,0,
13205518,37,2013-06-14,MCTAV,0,,0,
13205518,40,2013-06-28,RCEX,0,,0,
13205518,38,2013-06-28,BRCE,0,,0,
13205518,42,2013-07-05,FWDX,0,,0,
13205518,39,2013-07-05,ABN9,0,,0,
13205518,43,2013-07-23,CTNF,0,,0,
13205518,45,2013-07-24,MCTNF,0,,0,
13205518,46,2013-10-24,A...,0,,0,
13205518,47,2013-10-28,FWDX,0,,0,
13205518,48,2013-11-08,CTNF,0,,0,
13205518,50,2013-11-12,MCTNF,0,,0,
13205518,51,2014-02-11,A...,0,,0,
13205518,52,2014-02-18,FWDX,0,,0,
13205518,53,2014-03-19,CTFR,0,,0,
13205518,55,2014-03-21,MCTFR,0,,0,
13205518,56,2014-05-20,A.NE,0,,0,
13205518,57,2014-06-07,FWDX,0,,0,
13205518,58,2014-06-11,CTAV,0,,0,
13205518,60,2014-06-16,MCTAV,0,,0,
13205518,61,2014-07-11,BRCE,0,,0,
13205518,63,2014-07-11,RCEX,18,APPL,55,
13205518,65,2014-07-15,FWDX,0,,0,
13205518,62,2014-07-15,ABN9,0,,0,
13205518,69,2014-07-31,EXET,0,,0,
13205518,68,2014-07-31,EXIE,0,,0,
13205518,67,2014-08-01,EX.A,0,,0,
13205518,73,2014-08-04,DVER,0,,0,
13205518,72,2014-08-04,N/=.,0,,0,
13205518,84,2014-08-06,MN/=.,0,,0,
13205518,89,2014-09-15,REAS,0,,0,
13205518,88,2014-09-15,N084,0,,0,
13205518,87,2014-09-15,IFEE,0,,0,
13205518,91,2014-09-16,D1935,0,,0,
13205518,90,2014-09-16,PILS,0,,0,
13205518,93,2014-10-21,PTAC,0,,0,
13205518,93.5,2014-10-21,PTA36M,0,,.5,
13858498,28,2014-03-07,DOCK,0,,0,
13858498,29,2014-03-07,N/=.,0,,0,
13858498,30,2014-03-07,DVER,0,,0,
13858498,35,2014-03-11,EML_NTF,0,,0,
13858498,34,2014-03-11,MN/=.,0,,0,
13858498,36,2014-03-11,ELC_RVW,0,,0,
13858498,39,2014-04-25,RQPR,0,,0,
13858498,40,2014-06-06,P327-P,0,,0,
13858498,47,2014-06-10,M844,0,,0,
13858498,48,2014-06-10,M844,0,,0,
13858498,41,2014-06-10,MP327-P,0,,0,
13858498,44,2014-06-10,WIDS,0,,0,
13858498,43,2014-06-10,BRCE,0,,0,
13858498,46,2014-06-10,RCEX,0,,0,
13858498,42,2014-06-10,EML_NTR,0,,0,
13858498,45,2014-06-11,ABN9,0,,0,
13858498,49,2014-06-13,IDSC,0,,0,
13858498,52,2014-06-18,DVER,0,,0,
13858498,51,2014-06-18,N/=.,0,,0,
13858498,55,2014-06-23,MN/=.,0,,0,
13858498,56,2014-06-23,EML_NTF,0,,0,
13858498,58,2014-06-23,ELC_RVW,0,,0,
13858498,59,2014-07-11,A.NA,0,,0,
13858498,60,2014-07-30,PUBTC,0,,0,
13858498,61,2014-08-10,N271,0,,0,
13858498,64,2014-08-13,EML_NTR,0,,0,
13858498,63,2014-08-13,MN271,34,APPL,59,
13858498,66,2014-09-19,PILS,0,,0,
13858498,65,2014-09-19,IFEE,0,,0,
13858498,67,2014-09-19,N084,0,,0,
13858498,68,2014-09-22,D1935,0,,0,
13858498,70,2014-10-21,PTAC,0,,0,
13858498,70.5,2014-10-21,PTA36M,0,,.5,
13935508,.5,2013-07-04,EFILE,0,,0,
13935508,27,2014-06-18,MN/=.,0,,.5,
13935508,39,2014-10-21,PTAC,0,,33,
13935508,33,2014-09-18,N084,0,,27,
13935508,6,2013-07-04,APPERMS,0,,0,
13935508,1,2013-07-04,IEXX,0,,0,
13935508,2,2013-07-04,BIG.,0,,0,
13935508,3,2013-07-04,SCAN,0,,0,
13935508,4,2013-07-10,L194,0,,0,
13935508,5,2013-07-24,SMAL,0,,0,
13935508,8,2013-07-30,PGPC,0,,0,
13935508,9,2013-07-30,FTFI,0,,0,
13935508,7,2013-07-31,FLRCPT.O,0,,0,
13935508,11,2013-07-31,COMP,0,,0,
13935508,10,2013-07-31,EML_NTR,0,,0,
13935508,12,2013-09-30,OIPE,0,,0,
13935508,13,2013-10-10,DOCK,0,,0,
13935508,14,2014-01-09,PG-ISSUE,0,,0,
13935508,15,2014-01-10,EML_NTR,0,,0,
13935508,20,2014-06-12,EX.A,0,,0,
13935508,23,2014-06-14,DVER,0,,0,
13935508,22,2014-06-14,N/=.,0,,0,
13935508,21,2014-06-14,DOCK,0,,0,
13935508,29,2014-06-18,ELC_RVW,0,,0,
13935508,28,2014-06-18,EML_NTF,0,,0,
13935508,27,2014-06-18,MN/=.,0,,0,
13935508,33,2014-09-18,N084,0,,0,
13935508,32,2014-09-18,IFEE,0,,0,
13935508,36,2014-09-19,D1935,0,,0,
13935508,35,2014-09-19,PILS,0,,0,
13935508,34,2014-09-22,PA..,0,,0,
13935508,37,2014-09-22,EML_NTR,0,,0,
13935508,39,2014-10-21,PTAC,0,,0,
13935508,39.5,2014-10-21,PTA36M,0,,.5,
13646090,.5,2012-10-05,EFILE,0,,0,
13584975,6,2012-08-29,INCD,0,,0,
