application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12890682,46,2014-04-10,MCTFR,0,,41,
12890682,60,2014-09-16,MCTNF,0,,53,
13627905,43,2014-07-07,ELC_RVW,0,,0,
13627905,44,2014-10-01,A...,0,,0,
13627905,45,2014-10-07,FWDX,0,,0,
13627905,52,2014-10-23,EX.R,0,,0,
13627905,54,2014-10-23,EXET,0,,0,
13627905,51,2014-10-23,EX.A,0,,0,
13627905,53,2014-10-23,EXIE,0,,0,
13627905,56,2014-10-30,N/=.,0,,0,
13627905,55,2014-10-30,DVER,0,,0,
13627905,64,2014-11-03,EML_NTF,0,,0,
13627905,63,2014-11-03,MN/=.,0,,0,
13627905,66,2014-11-03,ELC_RVW,0,,0,
13627905,69,2015-01-09,N084,0,,0,
13627905,68,2015-01-09,IFEE,0,,0,
13627905,70,2015-01-09,REAS,0,,0,
13627905,71,2015-01-23,PILS,0,,0,
13627905,72,2015-01-26,D1935,0,,0,
13627905,74,2015-02-24,PTAC,0,,0,
13627905,74.5,2015-02-24,PTA36M,0,,.5,
12890682,72,2015-01-05,MN/=.,0,,63,
12890682,82,2015-02-24,PTAC,0,,78,
12890682,28,2012-02-12,RCEX,0,,23,
12890682,63,2014-12-16,A...,0,,60,
12890682,78,2015-01-09,N084,0,,72,
12890682,41,2014-01-24,A...,0,,0,
12890682,1,2010-09-26,IEXX,0,,0,
12890682,2,2010-09-26,SCAN,0,,0,
12890682,4,2010-09-26,APPERMS,0,,0,
12890682,3,2010-09-30,L194,0,,0,
12890682,6,2010-10-13,OIPE,0,,0,
12890682,5,2010-10-14,FLRCPT.O,0,,0,
12890682,8,2010-10-14,COMP,0,,0,
12890682,7,2010-10-14,EML_NTR,0,,0,
12890682,9,2011-01-20,PG-ISSUE,0,,0,
12890682,10,2011-01-21,EML_NTR,0,,0,
12890682,11,2011-02-28,DOCK,0,,0,
12890682,12,2011-03-25,CTNF,0,,0,
12890682,13,2011-03-30,MCTNF,0,,0,
12890682,15,2011-03-30,ELC_RVW,0,,0,
12890682,14,2011-03-30,EML_NTF,0,,0,
12890682,16,2011-06-29,XT/G,0,,0,
12890682,17,2011-07-27,A...,27,APPL,13,
12890682,18,2011-08-05,FWDX,0,,0,
12890682,19,2011-11-06,CTFR,0,,0,
12890682,23,2011-11-18,MCTFR,0,,0,
12890682,24,2011-11-18,EML_NTF,0,,0,
12890682,25,2011-11-21,ELC_RVW,0,,0,
12890682,26,2012-02-12,BRCE,0,,0,
12890682,28,2012-02-12,RCEX,0,,0,
12890682,27,2012-02-15,ABN9,0,,0,
12890682,30,2012-02-15,FWDX,0,,0,
12890682,31,2013-09-09,CTNF,0,,0,
12890682,33,2013-09-13,MCTNF,458,PTO,28,
13586707,.5,2012-08-15,EFILE,0,,0,
13824300,45,2014-10-06,EXIE,0,,0,
13824300,46,2014-10-06,EXET,0,,0,
13824300,39,2014-10-27,LTDR,0,,0,
13824300,38,2014-10-27,A.PE,0,,0,
13824300,40,2014-11-15,IDSC,0,,0,
13824300,41,2014-11-15,IDSC,0,,0,
13824300,44,2014-11-30,EX.R,0,,0,
13824300,43,2014-11-30,EX.A,0,,0,
13824300,47,2014-12-03,DVER,0,,0,
13824300,54,2014-12-04,DOCK,0,,0,
13824300,55,2014-12-04,N/=.,0,,0,
13824300,62,2014-12-05,MN/=.,180,PTO,76.4,
13824300,71,2014-12-05,FRCE,0,,0,
13824300,72,2014-12-05,FCPA,0,,0,
13824300,63,2014-12-08,BCPA,0,,0,
13824300,67,2014-12-08,C600,79,APPL,76,
13824300,64,2014-12-11,FLRCPT.C,0,,0,
13824300,70,2015-01-15,N084,0,,0,
13824300,66,2015-01-15,IFEE,0,,0,
13824300,74,2015-01-28,D1935,0,,0,
13824300,73,2015-01-28,PILS,0,,0,
13824300,76,2015-02-24,PTAC,0,,0,
13824300,76.5,2015-02-24,PTA36M,0,,76.4,
13804448,.5,2013-03-14,EFILE,0,,0,
13804448,44,2014-10-14,MN/=.,0,,25,
13804448,69,2015-02-24,PTAC,0,,64,
13804448,25,2014-09-08,A...,0,,22,
13804448,64,2014-12-31,N084,0,,44,
13804448,1,2013-03-14,IEXX,0,,0,
13804448,5,2013-03-14,APPERMS,0,,0,
13804448,2,2013-03-16,SCAN,0,,0,
13804448,3,2013-03-21,L194,0,,0,
13804448,4,2013-04-19,SMAL,0,,0,
13804448,8,2013-04-24,FTFI,0,,0,
13804448,7,2013-04-24,PGPC,0,,0,
13804448,12,2013-04-25,COMP,0,,0,
13804448,11,2013-04-25,EML_NTR,0,,0,
13804448,10,2013-04-25,EML_NTR,0,,0,
13804448,9,2013-04-25,PA..,0,,0,
13804448,6,2013-04-25,FLRCPT.O,0,,0,
13804448,16,2013-06-03,RCAP,0,,0,
13804448,15,2013-06-03,M844,0,,0,
13804448,13,2013-06-03,WIDS,0,,0,
13804448,14,2013-06-12,OIPE,0,,0,
13804448,17,2013-11-13,DOCK,0,,0,
13804448,18,2014-05-05,DOCK,0,,0,
13804448,20,2014-06-15,CTNF,0,,0,
13804448,19,2014-06-15,IDSC,0,,0,
13804448,23,2014-06-19,EML_NTF,0,,0,
13804448,22,2014-06-19,MCTNF,36,PTO,.5,
13804448,24,2014-06-19,ELC_RVW,0,,0,
13804448,25,2014-09-08,A...,0,,0,
13804448,26,2014-09-11,FWDX,0,,0,
13804448,27,2014-09-18,PG-ISSUE,0,,0,
13804448,28,2014-09-19,EML_NTR,0,,0,
13804448,33,2014-10-03,EX.A,0,,0,
13804448,40,2014-10-08,N/=.,0,,0,
13804448,39,2014-10-08,DVER,0,,0,
13804448,46,2014-10-14,ELC_RVW,0,,0,
13804448,44,2014-10-14,MN/=.,0,,0,
13804448,45,2014-10-14,EML_NTF,0,,0,
13804448,48,2014-11-24,PUBTC,0,,0,
13804448,49,2014-11-26,CNOA,0,,0,
13804448,52,2014-12-04,TCPB,0,,0,
13804448,51,2014-12-04,MCNOA,0,,0,
13804448,53,2014-12-04,EML_NTR,0,,0,
13804448,54,2014-12-08,PUBTC,0,,0,
13804448,56,2014-12-14,EX.A,0,,0,
13804448,55,2014-12-14,CNOA,0,,0,
13804448,57,2014-12-31,IFEE,0,,0,
13804448,64,2014-12-31,N084,0,,0,
13804448,63,2014-12-31,MICR,0,,0,
13804448,60,2015-01-15,MCNOA,0,,0,
13804448,62,2015-01-15,EML_NTR,0,,0,
13804448,61,2015-01-15,TCPB,0,,0,
13804448,65,2015-01-28,PILS,0,,0,
13804448,66,2015-01-29,D1935,0,,0,
13804448,69,2015-02-24,PTAC,0,,0,
13804448,69.5,2015-02-24,PTA36M,0,,.5,
14055922,.5,2013-10-17,EFILE,0,,0,
14055922,79,2015-01-12,MN/=.,29,,67,
14055922,32,2014-06-12,MCTNF,0,,.5,
14055922,52,2014-09-12,MN/=.,0,,39,
14055922,79,2015-01-12,MN/=.,0,,67,
14055922,89,2015-02-24,PTAC,0,,85,
14055922,39,2014-08-21,A...,0,,32,
