application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13441648,60,2015-04-02,EX.R,0,,0,
13441648,59,2015-04-02,EX.A,0,,0,
13441648,62,2015-04-05,N/=.,0,,0,
13441648,63,2015-04-05,DVER,0,,0,
13441648,61,2015-04-05,DOCK,0,,0,
13441648,68,2015-04-07,MN/=.,0,,0,
13441648,70,2015-05-08,FLRCPT.C,0,,0,
12077173,7,2008-06-09,ADDFLFEE,0,,5,
12077173,1,2008-03-18,IEXX,0,,0,
12077173,2,2008-03-24,SCAN,0,,0,
12077173,4,2008-03-28,L128,0,,0,
12077173,3,2008-03-28,L198,0,,0,
12077173,5,2008-04-07,INCD,0,,0,
12077173,6,2008-04-07,FLRCPT.O,0,,0,
12077173,7,2008-06-09,CORRDRW,0,,0,
12077173,8,2008-06-09,OATHDECL,0,,0,
12077173,9,2008-06-09,ADDFLFEE,0,,0,
12077173,12,2008-06-24,PGPC,0,,0,
12077173,10,2008-06-24,COMP,0,,0,
12077173,11,2008-06-24,FLRCPT.U,0,,0,
12077173,13,2008-07-08,OIPE,0,,0,
13441648,72,2015-05-26,IFEE,0,,0,
13441648,73,2015-05-26,N084,0,,0,
13441648,74,2015-05-27,PILS,0,,0,
13441648,75,2015-05-28,D1935,0,,0,
13441648,77,2015-06-30,PTAC,0,,0,
13441648,77.5,2015-06-30,PTA36M,0,,.5,
12077173,14,2008-08-30,TSSCOMP,0,,0,
12077173,15,2008-09-04,DOCK,0,,0,
12077173,16,2008-10-16,PG-ISSUE,0,,0,
12077173,17,2009-06-24,DOCK,0,,0,
12077173,18,2010-03-17,DOCK,0,,0,
12077173,19,2010-05-05,DOCK,0,,0,
12077173,20,2010-07-06,DOCK,0,,0,
12077173,21,2010-08-06,CTRS,0,,0,
12077173,22,2010-08-09,MCTRS,449,PTO,.5,
12077173,23,2010-08-18,DOCK,0,,0,
12077173,24,2010-10-05,XT/G,0,,0,
12077173,25,2010-10-05,ELC.,0,,0,
12077173,26,2010-10-07,FWDX,0,,0,
12077173,27,2010-10-14,WIDS,0,,0,
12077173,28,2010-10-14,EIDS.,9,APPL,25,
12077173,29,2010-10-14,IDSC,0,,0,
12077173,32,2010-11-05,CTNF,0,,0,
12077173,33,2010-11-08,MCTNF,0,,0,
12077173,34,2011-01-24,EXIN,0,,0,
12077173,35,2011-01-26,MEXIN,0,,0,
12077173,36,2011-02-07,A...,0,,0,
12077173,37,2011-02-08,FWDX,0,,0,
12077173,38,2011-04-11,CTFR,0,,0,
12077173,40,2011-04-14,MCTFR,0,,0,
12077173,41,2011-07-14,BRCE,0,,0,
12077173,47,2011-07-14,EIDS.,0,,0,
12077173,44,2011-07-14,RCEX,0,,0,
12077173,42,2011-07-14,WIDS,0,,0,
12077173,46,2011-07-19,FWDX,0,,0,
12077173,43,2011-07-19,ABN9,0,,0,
12077173,48,2011-11-10,WIDS,0,,0,
12077173,49,2011-11-10,EIDS.,0,,0,
12077173,52,2012-01-17,RCAP,0,,0,
12077173,50,2012-01-17,WIDS,0,,0,
12077173,51,2012-01-17,M844,0,,0,
12077173,54,2014-03-18,EIDS.,978,APPL,44,
12077173,53,2014-03-18,WIDS,0,,0,
12077173,57,2014-05-12,IDSC,0,,0,
12077173,58,2014-05-12,IDSC,0,,0,
12077173,55,2014-05-12,IDSC,0,,0,
12077173,56,2014-05-12,IDSC,0,,0,
12077173,59,2014-05-19,CTNF,0,,0,
12077173,65,2014-05-23,ELC_RVW,0,,0,
12077173,63,2014-05-23,MCTNF,921,PTO,44,
12077173,64,2014-05-23,EML_NTF,0,,0,
12077173,66,2014-07-29,WIDS,0,,0,
12077173,67,2014-07-29,EIDS.,0,,0,
12077173,68,2014-08-27,WIDS,0,,0,
12077173,69,2014-08-27,EIDS.,0,,0,
12077173,70,2014-10-21,EXAT,0,,0,
12077173,71,2014-10-21,EXIA,0,,0,
12077173,79,2014-10-23,A...,59,APPL,63,
12077173,77,2014-10-23,LTDR,0,,0,
12077173,78,2014-10-23,XT/G,0,,0,
12077173,76,2014-10-23,AF/D,0,,0,
12077173,80,2014-10-24,FWDX,0,,0,
12077173,75,2014-10-27,MEXAT,0,,0,
12077173,89,2015-01-06,DVER,0,,0,
12077173,85,2015-01-23,EXET,0,,0,
12077173,84,2015-01-23,EXIE,0,,0,
12077173,81,2015-02-05,IDSC,0,,0,
12077173,87,2015-02-05,EX.R,0,,0,
12077173,86,2015-02-05,EX.A,0,,0,
12077173,82,2015-02-05,IDSC,0,,0,
12077173,95,2015-02-19,N/=.,0,,0,
12077173,103,2015-02-24,EML_NTF,0,,0,
12077173,102,2015-02-24,MN/=.,1,PTO,79,
12077173,104,2015-02-24,ELC_RVW,0,,0,
12077173,108,2015-05-22,N084,0,,0,
12077173,107,2015-05-22,IFEE,0,,0,
12077173,110,2015-05-26,PILS,0,,0,
12077173,109,2015-05-26,C.AD,0,,0,
12077173,111,2015-05-27,D1935,0,,0,
12077173,113,2015-06-30,PTAC,0,,0,
12077173,113.5,2015-06-30,PTA36M,244,PTO,.5,
13878364,.5,2011-09-30,NEFILE,0,,0,
13878364,52.4,2013-04-08,COMMN,0,,0,
