application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10144247,13,2002-08-25,L130,0,,0,
10144247,14,2002-09-05,CORRDRW,0,,0,
10144247,15,2002-09-05,ADDFLFEE,0,,0,
10144247,16,2002-10-01,COMP,33,APPL,6,
10144247,17,2002-10-09,OIPE,0,,0,
10144247,19,2002-10-28,LET.,0,,0,
10144247,18,2002-10-30,DOCK,0,,0,
10144247,20,2003-01-28,DOCK,0,,0,
10144247,21,2003-09-30,CTNF,0,,0,
10144247,22,2003-10-08,MCTNF,90,PTO,-1,
10144247,23,2004-01-12,M844,0,,0,
10144247,24,2004-01-12,A...,4,APPL,22,
10144247,25,2004-02-05,FWDX,0,,0,
10144247,26,2004-02-05,TSSA,0,,0,
10144247,29,2004-02-12,N/=.,0,,0,
10144247,28,2004-02-12,DOCK,0,,0,
10144247,31,2004-02-17,MN/=.,0,,0,
09816091,1,2001-03-26,IEXX,0,,0,
09816091,2,2001-04-13,SCAN,0,,0,
09816091,3,2001-05-09,C.AD,0,,0,
09816091,4,2001-05-10,INCD,0,,0,
09816091,6,2001-05-10,COMP,0,,0,
09816091,5,2001-05-10,COMP,0,,0,
09816091,7,2001-05-22,OIPE,0,,0,
09816091,9,2001-06-14,RQPR,0,,0,
09816091,10,2001-06-14,M844,0,,0,
09816091,8,2001-07-17,DOCK,0,,0,
09816091,11,2002-01-11,DOCK,0,,0,
09816091,12,2002-01-29,DOCK,0,,0,
09816091,13,2002-01-29,DOCK,0,,0,
09816091,14,2002-05-01,DOCK,0,,0,
09816091,15,2002-05-01,M844,0,,0,
09816091,16,2002-06-03,CTNF,0,,0,
09816091,17,2002-06-05,MCTNF,10,PTO,-1,
09816091,18,2002-10-28,EXIN,0,,0,
09816091,19,2002-11-05,XT/G,0,,0,
09816091,20,2002-11-05,A...,61,APPL,17,
09147861,45,2003-11-29,FWDX,0,,0,
09147861,46,2003-11-29,TSSA,0,,0,
09147861,47,2004-01-06,DOCK,0,,0,
09147861,48,2004-01-18,DOCK,0,,0,
09147861,51,2004-02-09,N/=.,0,,0,
09147861,50,2004-02-09,DOCK,0,,0,
09147861,53,2004-02-12,MN/=.,0,,0,
10676191,17,2004-02-13,MN/=.,0,,0,
09816091,21,2002-11-12,FWDX,0,,0,
09816091,22,2003-01-27,CTFR,0,,0,
09816091,23,2003-02-03,MCTFR,0,,0,
09816091,24,2003-02-03,MEXIN,0,,0,
09816091,25,2003-06-03,XT/G,0,,0,
