application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09851233,5,2001-07-05,C.AD,0,,0,
09851233,6,2001-07-06,INCD,0,,0,
09851233,17,2001-08-15,A.PE,0,,0,
09851233,7,2001-10-16,COMP,0,,0,
10620869,17,2004-07-09,C.ADB,0,,0,
10620869,18,2004-07-16,SENT,0,,0,
10620869,19,2004-07-28,R1021,0,,0,
10620869,20,2004-08-16,R1021,0,,0,
10620869,25,2004-09-01,M844,120,APPL,28,
10620869,23,2004-09-01,IFEE,0,,0,
10620869,30,2004-09-01,N084,0,,0,
10620869,21,2004-09-03,IFEE,0,,0,
10620869,22,2004-09-03,VFEE,0,,0,
10620869,24,2004-09-19,C.ADB,0,,0,
10620869,26,2005-01-04,R1021,0,,0,
10620869,27,2005-02-07,M327,0,,0,
10407970,24,2004-12-27,A.LA,0,,0,
10407970,27,2005-03-28,N/=.,0,,0,
10407970,29,2005-03-29,MN/=.,0,,0,
10724963,1,2003-12-01,IEXX,0,,0,
10724963,2,2003-12-26,SCAN,0,,0,
10724963,4,2004-02-10,L194,0,,0,
10724963,6,2004-03-02,OIPE,0,,0,
10724963,5,2004-03-03,COMP,0,,0,
10724963,7,2004-03-03,ROIPE,0,,0,
10724963,8,2004-03-03,WROIPE,0,,0,
10724963,9,2004-09-10,DOCK,0,,0,
10724963,10,2004-09-10,TSSCOMP,0,,0,
10724963,12,2005-03-18,DOCK,0,,0,
10724963,13,2005-03-18,N/=.,0,,0,
10724963,15,2005-03-29,MN/=.,56,PTO,-1,
10007132,21,2005-01-06,ELC.,0,,0,
10007132,19,2005-01-11,C.AD,0,,0,
10007132,22,2005-01-11,FWDX,0,,0,
10007132,18,2005-01-12,PA..,0,,0,
10007132,24,2005-03-21,N/=.,0,,0,
10007132,26,2005-03-29,MN/=.,0,,0,
10012276,23,2004-10-25,A...,483,APPL,13,
10012276,25,2004-10-25,DIST,0,APPL,23,
10012276,18,2004-10-27,WPET,0,,0,
10012276,20,2005-03-11,MPREV,0,,0,
10012276,21,2005-03-16,NRAB,0,,0,
10012276,22,2005-03-16,MNRAB,0,,0,
10012276,24,2005-03-16,FWDX,0,,0,
10012276,26,2005-03-16,P574,0,,0,
10012276,29,2005-03-24,DOCK,0,,0,
10012276,30,2005-03-24,N/=.,0,,0,
10012276,32,2005-03-29,MN/=.,32,PTO,23,
10800862,1,2004-03-16,IEXX,0,,0,
09977507,1,2001-10-12,IEXX,0,,0,
09977507,2,2001-10-22,SCAN,0,,0,
09977507,3,2001-11-15,C.AD,0,,0,
09977507,4,2001-11-15,CPAP,0,,0,
09977507,5,2002-02-06,CORRDRW,0,,0,
