application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11127593,20,2006-05-04,MN/=.,0,,0,
10904546,4,2004-12-06,L194,0,,0,
10904546,5,2004-12-17,COMP,0,,0,
10904546,6,2004-12-17,OIPE,0,,0,
10904546,7,2004-12-17,ROIPE,0,,0,
10904546,9,2004-12-17,WROIPE,0,,0,
10904546,8,2004-12-20,COMP,0,,0,
10904546,10,2004-12-20,ROIPE,0,,0,
10904546,11,2004-12-20,WROIPE,0,,0,
10904546,12,2004-12-20,ROIPE,0,,0,
10904546,13,2004-12-20,COMP,0,,0,
10904546,14,2004-12-20,WROIPE,0,,0,
10904546,16,2005-02-01,DOCK,0,,0,
10904546,17,2005-02-01,TSSCOMP,0,,0,
10904546,20,2005-02-02,DOCK,0,,0,
10904546,21,2005-06-01,RQPR,0,,0,
10904546,22,2005-09-07,DOCK,0,,0,
10904546,24,2006-01-09,CTNF,0,,0,
10904546,25,2006-01-12,MCTNF,0,,0,
10904546,26,2006-04-12,C614,0,,0,
10904546,27,2006-04-12,A...,0,,0,
10904546,28,2006-04-20,FWDX,0,,0,
10904546,30,2006-05-02,DOCK,0,,0,
10904546,31,2006-05-02,N/=.,0,,0,
10904546,33,2006-05-04,MN/=.,0,,0,
11097222,1,2005-04-04,IEXX,0,,0,
11097222,16,2005-04-04,M844,0,,0,
11097222,17,2005-04-04,RCAP,0,,0,
11097222,21,2005-04-04,IDSC,0,,0,
11097222,2,2005-04-20,SCAN,0,,0,
11097222,3,2005-04-25,L194,0,,0,
11097222,4,2005-05-03,COMP,0,,0,
11097222,5,2005-05-03,OIPE,0,,0,
11097222,6,2005-05-03,ROIPE,0,,0,
11097222,7,2005-05-03,COMP,0,,0,
11097222,8,2005-05-03,WROIPE,0,,0,
11097222,9,2005-05-03,ROIPE,0,,0,
11097222,10,2005-05-03,COMP,0,,0,
11097222,11,2005-05-03,WROIPE,0,,0,
11097222,12,2005-05-03,ROIPE,0,,0,
11097222,14,2005-05-03,WROIPE,0,,0,
11097222,13,2005-05-04,COMP,0,,0,
11097222,15,2006-02-02,TI1050,0,,0,
11097222,18,2006-02-14,DOCK,0,,0,
11097222,19,2006-02-14,TSSCOMP,0,,0,
11097222,20,2006-02-16,DOCK,0,,0,
11097222,22,2006-02-23,CTNF,0,,0,
11097222,23,2006-02-28,MCTNF,0,,0,
11097222,24,2006-04-17,A...,0,,0,
11097222,25,2006-04-19,FWDX,0,,0,
11097222,27,2006-05-03,DOCK,0,,0,
11097222,28,2006-05-03,N/=.,0,,0,
11097222,30,2006-05-04,MN/=.,0,,0,
09396984,65,2005-12-09,C.AD,0,,0,
09396984,64,2005-12-09,PA..,0,,0,
09888296,1,2001-06-22,IEXX,0,,0,
09888296,2,2001-07-05,SCAN,0,,0,
09888296,3,2001-07-23,C.AD,0,,0,
09888296,4,2001-07-24,INCD,0,,0,
09888296,6,2001-10-03,PET.,0,,0,
09888296,7,2001-10-03,BIG.,0,,0,
09888296,8,2001-10-17,MPTGR,0,,0,
09888296,10,2001-11-03,OIPE,0,,0,
09888296,9,2001-11-05,COMP,0,,0,
09888296,11,2002-04-16,DOCK,0,,0,
09888296,26,2002-12-14,M844,0,,0,
09888296,27,2002-12-14,RCAP,0,,0,
09888296,12,2003-06-16,M844,0,,0,
09888296,22,2003-06-16,RCAP,0,,0,
09888296,13,2003-11-21,M844,0,,0,
09888296,14,2004-05-11,DOCK,0,,0,
09888296,15,2004-06-28,CTNF,0,,0,
09888296,16,2004-07-06,MCTNF,684,PTO,-1,
09888296,17,2004-10-12,WAMD,0,,0,
09888296,18,2004-10-12,A...,6,APPL,16,
09888296,19,2004-10-25,FWDX,0,,0,
09888296,20,2004-11-08,M844,27,APPL,18,
09888296,21,2004-11-08,RCAP,0,,0,
09888296,23,2004-12-09,TSSCOMP,0,,0,
09888296,24,2005-01-10,CTFR,0,,0,
