application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10245803,4,2002-10-02,CRFE,0,,0,
10245803,6,2002-10-08,COMP,0,,0,
10245803,7,2002-10-09,OIPE,0,,0,
10245803,10,2002-10-30,DOCK,0,,0,
10245803,11,2004-02-06,TSSCOMP,0,,0,
10245803,12,2005-01-24,CTNF,0,,0,
10245803,13,2005-01-26,MCTNF,437,PTO,-1,
10245803,14,2005-04-26,A...,0,,0,
10245803,15,2005-04-29,FWDX,0,,0,
10245803,16,2005-07-05,CTNF,0,,0,
10245803,17,2005-07-06,MCTNF,0,,0,
10245803,18,2005-12-23,XT/G,0,,0,
10245803,19,2005-12-23,A...,78,APPL,17,
10245803,20,2006-01-05,FWDX,0,,0,
10245803,21,2006-02-21,CTNF,0,,0,
10245803,22,2006-02-22,MCTNF,0,,0,
10245803,23,2006-08-22,XT/G,0,,0,
10245803,24,2006-08-22,A...,92,APPL,22,
10245803,24.1,2006-08-22,A.I.,0,,0,
10245803,26,2006-08-22,PFP,0,,0,
10245803,25,2006-08-28,FWDX,0,,0,
10245803,27,2006-12-22,NINA,0,,0,
10245803,28,2007-01-17,A...,148,APPL,24,
10245803,29,2007-02-07,FWDX,0,,0,
10245803,30,2007-04-13,CTFR,0,,0,
10245803,31,2007-04-16,MCTFR,0,,0,
10245803,32,2007-06-18,A.NE,0,,0,
10245803,33,2007-06-20,FWDX,0,,0,
10245803,34,2007-06-25,CTAV,0,,0,
10245803,35,2007-07-02,MCTAV,0,,0,
10245803,36,2007-08-28,DOCK,0,,0,
10245803,37,2007-10-16,XT/G,0,,0,
10245803,38,2007-10-16,N/AP,92,APPL,31,
10245803,39,2007-12-19,BRCE,0,,0,
10245803,40,2007-12-19,WIDS,0,,0,
10245803,41,2007-12-19,XT/G,0,,0,
10245803,43,2007-12-19,RCEX,0,,0,
10245803,47,2007-12-19,M844,0,,0,
10245803,48,2007-12-19,RCAP,0,,0,
10245803,56,2007-12-19,IDSC,0,,0,
11430469,17,2007-10-19,CTNF,0,,0,
11430469,18,2007-10-22,MCTNF,106,PTO,-1,
11430469,19,2008-02-22,XT/G,0,,0,
11430469,20,2008-02-22,A...,31,APPL,18,
11430469,21,2008-03-24,FWDX,0,,0,
11430469,26,2008-04-10,DVER,0,,0,
11430469,27,2008-04-10,DOCK,0,,0,
11430469,28,2008-04-10,N/=.,0,,0,
11430469,30,2008-04-10,MN/=.,0,,0,
11320659,1,2005-12-30,IEXX,0,,0,
11320659,16,2005-12-30,RQPR,0,,0,
11320659,2,2006-01-26,SCAN,0,,0,
11320659,4,2006-01-30,L198,0,,0,
11320659,5,2006-02-16,L128,0,,0,
11250646,1,2005-10-14,IEXX,0,,0,
11250646,9,2005-10-14,WIDS,0,,0,
11250646,9.7,2005-10-14,M844,0,,0,
11250646,10,2005-10-14,RCAP,0,,0,
11250646,18,2005-10-14,IDSC,0,,0,
11250646,2,2005-11-06,SCAN,0,,0,
11250646,3,2005-11-08,L194,0,,0,
11250646,4,2005-11-10,COMP,0,,0,
10245803,57,2007-12-19,M844,0,APPL,43,
10245803,42,2008-01-04,ABN9,0,,0,
10245803,44,2008-01-04,FWDX,0,,0,
10245803,46,2008-01-04,FWDX,0,,0,
10245803,49,2008-01-04,DOCK,0,,0,
10245803,50,2008-01-14,CTRS,0,,0,
10245803,51,2008-01-15,MCTRS,0,,0,
10245803,52,2008-01-29,ELC.,0,,0,
10245803,53,2008-02-21,FWDX,0,,0,
10245803,55,2008-03-06,EXIN,0,,0,
10245803,58,2008-03-25,MEXIN,0,,0,
10245803,63,2008-04-04,EX.A,0,,0,
10245803,64,2008-04-09,DOCK,0,,0,
10245803,65,2008-04-09,N/=.,0,,0,
10245803,67,2008-04-09,DVER,0,,0,
10245803,68,2008-04-10,MN/=.,0,,0,
10539265,25,2007-12-13,DVER,0,,0,
10539265,27,2007-12-14,MEX.A,0,,0,
10539265,28,2007-12-14,MN/=.,0,,0,
10539265,30,2008-01-14,BRCE,0,,0,
10539265,31,2008-01-14,WIDS,0,,0,
10539265,34,2008-01-14,RCEX,0,,0,
10539265,36,2008-01-14,EIDS.,0,,0,
10539265,37,2008-01-14,IRCE,0,,0,
10539265,40,2008-01-14,IDSC,0,,0,
10539265,33,2008-03-06,ABN9,0,,0,
10539265,35,2008-03-06,FWDX,0,,0,
10539265,38,2008-03-06,M327,0,,0,
10539265,39,2008-03-06,MM327,0,,0,
10539265,42,2008-04-04,EX.A,0,,0,
10539265,43,2008-04-04,N/=.,0,,0,
10539265,44,2008-04-04,DVER,0,,0,
10539265,46,2008-04-11,MN/=.,0,,0,
11250646,5,2005-11-10,OIPE,0,,0,
11250646,6,2005-11-10,ROIPE,0,,0,
11250646,7,2005-11-10,COMP,0,,0,
11250646,8,2005-11-10,WROIPE,0,,0,
11250646,11,2005-11-21,DOCK,0,,0,
11250646,12,2005-11-21,TSSCOMP,0,,0,
11250646,13,2007-04-19,PG-ISSUE,0,,0,
11250646,19,2008-01-07,CTNF,0,,0,
11250646,20,2008-01-22,MCTNF,404,PTO,-1,
11250646,21,2008-02-20,A...,0,,0,
11250646,22,2008-03-09,FWDX,0,,0,
11250646,27,2008-04-07,N/=.,0,,0,
11250646,28,2008-04-07,DVER,0,,0,
11250646,30,2008-04-09,MN/=.,0,,0,
11157193,1,2005-06-20,IEXX,0,,0,
11157193,2,2005-06-20,CRFL,0,,0,
11157193,18,2005-06-20,WIDS,0,,0,
11157193,18.7,2005-06-20,M844,0,,0,
11157193,19,2005-06-20,A.PE,0,,0,
11157193,29,2005-06-20,IDSC,0,,0,
11157193,3,2005-06-29,SCAN,0,,0,
11157193,4,2005-07-05,L194,0,,0,
11157193,5,2005-07-07,CRFE,0,,0,
11157193,7,2005-07-28,INCD,0,,0,
11157193,8,2005-09-12,OATHDECL,0,,0,
11157193,9,2005-09-12,ADDFLFEE,0,,0,
11157193,10,2005-10-04,COMP,0,,0,
11157193,11,2005-10-04,OIPE,0,,0,
11157193,12,2005-10-04,ROIPE,0,,0,
11157193,13,2005-10-04,COMP,0,,0,
11157193,14,2005-10-04,WROIPE,0,,0,
11157193,15,2006-02-03,WIDS,0,,0,
11157193,15.7,2006-02-03,M844,0,,0,
11157193,16,2006-02-03,RCAP,0,,0,
11157193,30,2006-02-03,IDSC,0,,0,
11157193,17,2006-05-25,TSSCOMP,0,,0,
11157193,20,2006-07-28,DOCK,0,,0,
11157193,21,2006-08-01,DOCK,0,,0,
11157193,22,2006-09-08,CTRS,0,,0,
11157193,23,2006-09-14,MCTRS,25,PTO,-1,
11157193,24,2006-10-19,WIDS,0,,0,
11157193,24.7,2006-10-19,M844,0,,0,
11157193,25,2006-10-19,RCAP,0,,0,
11157193,26,2006-10-19,ELC.,0,,0,
11157193,28,2006-10-19,IDSC,0,,0,
11157193,27,2006-10-27,FWDX,0,,0,
11157193,31,2007-01-08,CTNF,0,,0,
11157193,32,2007-01-11,MCTNF,0,,0,
11157193,33,2007-04-10,A...,0,,0,
11157193,33.1,2007-04-10,A.I.,0,,0,
11157193,34,2007-04-26,FWDX,0,,0,
11157193,35,2007-07-09,NINA,0,,0,
11157193,36,2007-07-30,A...,111,APPL,33,
11157193,37,2007-08-08,FWDX,0,,0,
11157193,38,2007-10-13,CTNF,0,,0,
10494724,1,2004-05-06,IEXX,0,,0,
10494724,4,2004-05-06,371COMP,0,,0,
10494724,12,2004-05-06,WIDS,0,,0,
10494724,12.7,2004-05-06,M844,0,,0,
10494724,21,2004-05-06,IDSC,0,,0,
10494724,9,2004-05-27,WIDS,0,,0,
10494724,9.7,2004-05-27,M844,0,,0,
10494724,10,2004-05-27,RCAP,0,,0,
10494724,22,2004-05-27,IDSC,0,,0,
10494724,2,2004-08-11,M903,0,,0,
10494724,3,2004-08-11,OIPE,0,,0,
10494724,5,2004-08-25,L194,0,,0,
10494724,6,2004-09-07,TI1050,0,,0,
10494724,7,2005-02-07,DOCK,0,,0,
10494724,11,2005-05-13,DOCK,0,,0,
10494724,13,2005-06-21,TSSCOMP,0,,0,
10494724,14,2005-09-23,WIDS,0,,0,
10494724,14.7,2005-09-23,M844,0,,0,
10494724,15,2005-09-23,RCAP,0,,0,
10494724,20,2005-09-23,IDSC,0,,0,
10494724,16,2006-03-22,DOCK,0,,0,
10494724,17,2006-04-07,DOCK,0,,0,
10494724,18,2007-01-09,DOCK,0,,0,
10494724,19,2007-09-13,DOCK,0,,0,
10494724,23,2007-09-17,CTNF,0,,0,
10494724,24,2007-10-29,MCTNF,845,PTO,-1,
10494724,25,2008-01-29,A...,0,,0,
10494724,26,2008-03-15,FWDX,0,,0,
10909483,33,2008-02-27,ELC_RVW,0,,0,
10909483,34,2008-03-01,IFEE,0,,0,
10909483,36,2008-03-01,N084,0,,0,
10909483,37,2008-03-12,PILS,0,,0,
10909483,38,2008-03-12,D1935,0,,0,
10909483,41,2008-04-22,PTAC,0,,0,
10909483,41.5,2008-04-02,PTA36M,0,PTO,0,
10985642,78,2008-02-28,IFEE,0,,0,
10985642,80,2008-02-28,A.NA,14,APPL,82,
10985642,79,2008-02-28,N084,0,,0,
10985642,81,2008-03-04,N271,0,,0,
10985642,82,2008-03-12,MN271,0,,0,
10985642,83,2008-03-18,D1935,0,,0,
10985642,85,2008-04-22,PTAC,0,,0,
11099542,33,2008-02-28,DRWF,55,APPL,0,
11099542,32,2008-03-03,IFEE,0,,0,
11099542,34,2008-03-03,N084,0,,0,
11099542,35,2008-03-05,PILS,0,,0,
11099542,36,2008-03-05,D1935,0,,0,
11099542,38,2008-04-22,PTAC,0,,0,
11099542,38.5,2008-04-02,PTA36M,0,PTO,0,
10707900,80,2008-02-13,M327-D,0,,0,
10707900,82,2008-02-13,TCPB,0,,0,
10707900,81,2008-02-14,MM327-D,0,,0,
10664044,76,2007-10-11,R1021,0,,0,
10664044,77,2007-10-11,R1021,0,,0,
10664044,78,2007-10-11,CRFT,0,,0,
10664044,83,2007-11-07,TCPB,0,,0,
10664044,80,2007-11-12,R1021,0,,0,
10707900,84,2008-02-20,DRWF,63,APPL,0,
10707900,85,2008-03-04,IFEE,0,,0,
10707900,86,2008-03-04,N084,0,,0,
10707900,87,2008-03-08,PILS,0,,0,
10707900,89,2008-03-13,D1935,0,,0,
10707900,91,2008-04-22,PTAC,0,,0,
10292290,99,2008-03-03,IFEE,0,,0,
10292290,100,2008-03-03,N084,0,,0,
10292290,101,2008-03-13,PILS,0,,0,
10292290,102,2008-03-14,D1935,0,,0,
11172461,39,2008-03-04,IFEE,0,,0,
11172461,40,2008-03-04,N084,4,APPL,36,
11172461,41,2008-03-13,PILS,0,,0,
11172461,42,2008-03-13,D1935,0,,0,
11172461,44,2008-04-22,PTAC,0,,0,
09750423,86,2007-12-27,REAS,0,,0,
09750423,87,2008-03-04,IFEE,0,,0,
09750423,88,2008-03-04,N084,4,APPL,83,
