application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10549024,29,2008-08-01,FWDX,0,,0,
10549024,30,2008-10-09,CTFR,0,,0,
10549024,31,2008-10-10,MCTFR,0,,0,
10549024,32,2008-12-29,A.NE,0,,0,
10549024,33,2008-12-31,FWDX,0,,0,
10549024,34,2009-01-05,CTAV,0,,0,
10549024,35,2009-01-07,MCTAV,0,,0,
10928836,2,2004-09-15,SCAN,0,,0,
10928836,4,2004-10-06,L194,0,,0,
10928836,5,2004-10-25,COMP,0,,0,
10928836,6,2004-10-25,OIPE,0,,0,
10928836,7,2004-10-25,ROIPE,0,,0,
10928836,8,2004-10-25,WROIPE,0,,0,
10928836,9,2005-04-13,DOCK,0,,0,
10928836,10,2005-04-13,TSSCOMP,0,,0,
10928836,11,2006-01-26,DOCK,0,,0,
10928836,12,2006-03-22,DOCK,0,,0,
10928836,13,2007-01-18,DOCK,0,,0,
10928836,14,2007-07-12,WIDS,0,,0,
10928836,15,2007-07-12,EIDS.,0,,0,
10928836,19,2007-07-12,IDSC,0,,0,
10928836,16,2007-08-13,DOCK,0,,0,
10928836,17,2007-10-16,F525,0,,0,
10928836,18,2007-10-17,W525,0,,0,
10928836,23,2008-05-27,CTNF,0,,0,
10928836,24,2008-05-29,MCTNF,945,PTO,-1,
10928836,26,2008-08-29,A...,0,,0,
10928836,25,2008-10-06,DOCK,0,,0,
10928836,27,2008-10-07,FWDX,0,,0,
10928836,28,2008-11-24,CTFR,0,,0,
10928836,29,2008-11-26,MCTFR,0,,0,
10928836,30,2009-01-26,A.NE,0,,0,
10928836,31,2009-02-04,FWDX,0,,0,
10928836,32,2009-02-04,NFEE,0,,0,
10928836,33,2009-02-06,MNFEE,0,,0,
10928836,35,2009-02-20,DVER,0,,0,
10928836,37,2009-02-20,DOCK,0,,0,
10928836,38,2009-02-20,N/=.,0,,0,
10928836,39,2009-02-25,MN/=.,0,,0,
11558326,30,2009-02-06,IDSC,0,,0,
11558326,31,2009-02-10,M327-B,0,,0,
11558326,32,2009-02-11,MM327-B,0,,0,
11558326,33,2009-02-11,D1935,0,,0,
11558326,35,2009-03-17,PTAC,0,,0,
10984147,49,2008-10-30,EXIN,0,,0,
10984147,50,2008-11-18,MM327,0,,0,
10984147,51,2008-11-18,MEX.A,0,,0,
10984147,47,2008-11-18,M327,0,,0,
10984147,48,2008-11-18,EX.A,0,,0,
10984147,53,2009-01-19,IFEE,0,,0,
10984147,56,2009-01-19,A.NA,23,APPL,58,
10984147,54,2009-01-19,N084,2,APPL,42,
10984147,55,2009-01-21,PILS,0,,0,
10984147,57,2009-02-09,N271,0,,0,
10984147,58,2009-02-10,MN271,0,,0,
