application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11439551,15,2008-01-24,WIDS,0,,0,
11439551,18,2008-01-24,EIDS.,0,,0,
11439551,24,2008-01-24,IDSC,0,,0,
11439551,19,2008-02-13,DOCK,0,,0,
11439551,21,2009-05-19,DOCK,0,,0,
11248327,50,2010-04-13,PTAC,0,,0,
11248327,50.5,2009-11-08,PTA36M,391,PTO,0,
11248327,18,2009-03-02,MCTNF,140,,-1,
11248327,26,2009-08-21,MCTFR,24,,19,
11528449,1,2006-09-28,IEXX,0,,0,
11528449,6,2006-09-28,RQPR,0,,0,
11528449,7,2006-09-28,WIDS,0,,0,
11528449,7.7,2006-09-28,M844,0,,0,
11528449,16,2006-09-28,IDSC,0,,0,
11528449,2,2006-10-04,SCAN,0,,0,
11528449,3,2006-10-10,L194,0,,0,
11528449,5,2006-10-17,OIPE,0,,0,
11528449,4,2006-10-18,COMP,0,,0,
11528449,8,2006-10-25,TSSCOMP,0,,0,
11528449,9,2007-03-10,DOCK,0,,0,
11528449,10,2007-04-09,PG-ISSUE,0,,0,
11528449,11,2007-04-09,EML_NTF,0,,0,
11528449,12,2007-04-10,ELC_RVW,0,,0,
11528449,13,2009-09-17,DOCK,0,,0,
11528449,18,2009-12-28,N/=.,0,,0,
11528449,19,2009-12-30,DVER,0,,0,
11528449,21,2010-01-05,MN/=.,670,PTO,-1,
11528449,27,2010-02-27,N084,0,,0,
11528449,26,2010-02-27,IFEE,0,,0,
11528449,28,2010-03-06,PILS,0,,0,
11528449,29,2010-03-08,D1935,0,,0,
11528449,31,2010-04-13,PTAC,0,,0,
11528449,31.5,2010-04-13,PTA36M,197,PTO,0,
11528449,21,2010-01-05,MN/=.,99,,-1,
11439551,25,2009-07-19,CTNF,0,,0,
11439551,26,2009-07-20,MCTNF,670,PTO,-1,
11439551,27,2009-11-20,XT/G,0,,0,
11439551,28,2009-11-20,A...,31,APPL,26,
11439551,29,2009-12-20,FWDX,0,,0,
11439551,32,2010-01-14,EXIN,0,,0,
11439551,33,2010-01-15,N/=.,0,,0,
11439551,34,2010-01-22,EX.A,0,,0,
11439551,35,2010-01-22,DVER,0,,0,
11439551,37,2010-01-26,MN/=.,0,,0,
11439551,41,2010-02-25,N084,0,,0,
11439551,40,2010-02-25,IFEE,0,,0,
11439551,42,2010-03-06,PILS,0,,0,
11439551,43,2010-03-08,D1935,0,,0,
11439551,46,2010-04-13,PTAC,0,,0,
11439551,46.5,2010-04-13,PTA36M,325,PTO,0,
11439551,26,2009-07-20,MCTNF,58,,-1,
11480108,31,2009-03-06,CTNF,0,,0,
11480108,32,2009-03-11,MCTNF,559,PTO,-1,
11480108,33,2009-03-11,EML_NTF,0,,0,
11480108,34,2009-03-12,ELC_RVW,0,,0,
11480108,35,2009-06-15,XT/G,0,,0,
11480108,36,2009-06-15,A...,4,APPL,32,
11480108,37,2009-06-26,FWDX,0,,0,
11480108,38,2009-08-24,CTFR,0,,0,
11480108,39,2009-08-27,MCTFR,0,,0,
11480108,40,2009-08-27,EML_NTF,0,,0,
11480108,41,2009-08-27,ELC_RVW,0,,0,
11480108,42,2009-10-27,A.NE,0,,0,
11480108,43,2009-10-29,FWDX,0,,0,
11480108,45,2009-11-18,DVER,0,,0,
11480108,47,2009-11-19,N/=.,0,,0,
11480108,48,2009-11-24,MN/=.,0,,0,
11480108,51,2009-12-02,PST_CRD,0,,0,
11480108,54,2010-02-24,N084,0,,0,
11480108,53,2010-02-24,IFEE,0,,0,
11480108,55,2010-03-04,PILS,0,,0,
11480108,56,2010-03-04,D1935,0,,0,
11480108,58,2010-04-13,PTAC,0,,0,
11480108,58.5,2010-04-13,PTA36M,287,PTO,0,
11707210,13,2007-02-15,RQPR,0,,0,
11707210,14,2007-02-15,A.PE,0,,0,
11707210,1,2007-02-16,IEXX,0,,0,
11707210,2,2007-03-05,SCAN,0,,0,
11707210,3,2007-03-09,L198,0,,0,
11707210,4,2007-03-18,L128,0,,0,
11707210,6,2007-03-23,CPAP,0,,0,
11707210,12,2007-04-02,WIDS,0,,0,
11707210,15,2007-04-02,M844,0,,0,
11707210,29,2007-04-02,IDSC,0,,0,
11707210,7,2007-04-20,CORRDRW,0,,0,
11707210,8,2007-04-20,ADDFLFEE,0,,0,
11707210,9,2007-05-10,COMP,0,,0,
11707210,10,2007-05-10,PGPC,0,,0,
11707210,11,2007-05-15,OIPE,0,,0,
11707210,16,2007-06-20,TSSCOMP,0,,0,
11707210,17,2007-07-06,DOCK,0,,0,
11707210,18,2007-10-15,F525,0,,0,
11707210,19,2007-10-17,W525,0,,0,
11707210,20,2008-05-14,WIDS,0,,0,
11707210,23,2008-05-14,M844,0,,0,
11707210,30,2008-05-14,IDSC,0,,0,
11707210,21,2008-05-29,PG-ISSUE,0,,0,
11707210,22,2008-06-10,DOCK,0,,0,
