application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11896968,30,2007-09-07,IDSC,0,,0,
11896968,3,2007-09-17,SCAN,0,,0,
11896968,4,2007-09-18,L194,0,,0,
11896968,5,2007-09-25,CPAP,0,,0,
11896968,6,2007-11-27,ABNX,0,,0,
11896968,13,2008-06-05,WPABN,0,,0,
11896968,7,2008-08-19,PA..,0,,0,
11896968,8,2008-09-02,C.AD,0,,0,
11896968,9,2008-09-05,PA..,0,,0,
11896968,10,2008-09-24,PET.,0,,0,
11896968,14,2008-09-24,CORRSPEC,0,,0,
11896968,15,2008-09-24,CORRDRW,0,,0,
11896968,16,2008-09-24,ADDFLFEE,0,,0,
11896968,11,2008-10-15,PREV,0,,0,
11896968,12,2008-10-15,MPREV,0,,0,
11896968,17,2008-10-28,FLRCPT.U,0,,0,
11896968,18,2008-10-28,MPEN,0,,0,
11896968,19,2008-10-28,PGPC,0,,0,
11896968,20,2008-11-19,OIPE,0,,0,
11896968,21,2008-12-15,WIDS,0,,0,
11896968,22,2008-12-15,M844,0,,0,
11896968,31,2008-12-15,IDSC,0,,0,
11896968,23,2009-01-15,TSSCOMP,0,,0,
11896968,24,2009-03-12,PG-ISSUE,0,,0,
11896968,25,2009-07-29,DOCK,0,,0,
11896968,26,2009-08-17,CTRS,0,,0,
11896968,27,2009-08-19,MCTRS,285,PTO,-1,
11896968,28,2009-09-21,ELC.,0,,0,
11896968,29,2009-10-22,FWDX,0,,0,
11896968,35,2009-10-26,CTNF,0,,0,
11896968,36,2009-10-28,MCTNF,0,,0,
11896968,37,2010-01-28,A...,0,,0,
11627917,1,2007-01-26,IEXX,0,,0,
11627917,4,2007-01-26,NPRQ,0,,0,
11627917,2,2007-02-02,SCAN,0,,0,
11627917,3,2007-02-09,L194,0,,0,
11627917,5,2007-02-21,INCD,0,,0,
11627917,6,2007-06-12,WIDS,0,,0,
11627917,7,2007-06-12,CORRDRW,0,,0,
11627917,8,2007-06-12,OATHDECL,0,,0,
11627917,9,2007-06-12,FLFEE,22,APPL,5,
11627917,13,2007-06-12,A.PE,0,,0,
11627917,14,2007-06-12,M844,0,,0,
11627917,15,2007-06-12,RCAP,0,,0,
