application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11675740,37,2010-07-16,EML_NTF,0,,0,
11675740,38,2010-07-16,ELC_RVW,0,,0,
11675740,39,2010-08-20,EXIN,0,,0,
11675740,40,2010-08-26,MEXIN,0,,0,
11675740,41,2010-08-26,EML_NTR,0,,0,
11776494,2,2007-07-12,SCAN,0,,0,
11776494,3,2007-07-16,L198,0,,0,
11776494,4,2007-07-19,L128,0,,0,
11776494,5,2008-07-15,COMP,0,,0,
11776494,6,2008-07-15,FLRCPT.O,0,,0,
11776494,7,2008-07-15,PGPC,0,,0,
11776494,8,2008-08-06,OIPE,0,,0,
11776494,9,2008-08-28,DOCK,0,,0,
11776494,10,2008-08-29,DOCK,0,,0,
11776494,11,2009-01-15,PG-ISSUE,0,,0,
11776494,13,2010-01-19,CTRS,0,,0,
11776494,14,2010-01-21,MCTRS,497,PTO,.5,
11776494,15,2010-02-19,ELC.,0,,0,
11776494,16,2010-03-16,FWDX,0,,0,
11776494,17,2010-05-10,CTNF,0,,0,
11776494,18,2010-05-11,MCTNF,0,,0,
11776494,19,2010-07-14,A...,0,,0,
11776494,20,2010-07-15,FWDX,0,,0,
11776494,21,2010-09-24,CTNF,0,,0,
11776494,22,2010-09-27,MCTNF,0,,0,
11776494,24,2010-12-07,A...,0,,0,
11776494,23,2010-12-10,C.AD,0,,0,
11776494,25,2010-12-11,FWDX,0,,0,
11776494,30,2011-02-07,DVER,0,,0,
11776494,31,2011-02-07,N/=.,0,,0,
11776494,33,2011-02-08,MN/=.,0,,0,
11776494,.5,2007-07-11,EFILE,0,,0,
11776494,35,2011-02-18,IFEE,0,,0,
11776494,36,2011-02-18,N084,0,,0,
11776494,37,2011-02-25,PILS,0,,0,
11776494,38,2011-03-09,D1935,0,,0,
11776494,41,2011-04-05,PTAC,0,,0,
11776494,41.5,2011-04-05,PTA36M,268,PTO,.5,
11849512,20,2007-12-20,M844,0,,0,
11849512,23,2007-12-20,IDSC,0,,0,
11849512,24,2007-12-20,IDSC,0,,0,
11849512,25,2007-12-20,IDSC,0,,0,
11849512,26,2007-12-20,IDSC,0,,0,
11849512,17,2008-01-26,TSSCOMP,0,,0,
11849512,21,2009-03-05,PG-ISSUE,0,,0,
11849512,31,2009-03-28,LET.,0,,0,
11849512,22,2009-04-01,DOCK,0,,0,
11849512,27,2010-07-28,CTNF,0,,0,
11849512,28,2010-07-30,MCTNF,633,PTO,.5,
11849512,29,2010-10-07,EXIN,0,,0,
11849512,30,2010-10-12,MEXIN,0,,0,
11849512,32,2010-10-25,A...,0,,0,
11849512,33,2010-10-27,FWDX,0,,0,
11849512,34,2010-10-29,CTFR,0,,0,
11849512,35,2010-11-01,MCTFR,0,,0,
11849512,36,2010-11-19,A.NE,0,,0,
11849512,37,2010-11-23,FWDX,0,,0,
11849512,42,2010-11-30,DVER,0,,0,
