application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11763905,41,2011-05-20,ABN9,0,,0,
11763905,44,2011-05-20,FWDX,0,,0,
11763905,45,2011-06-06,WIDS,0,,0,
11763905,46,2011-06-06,EIDS.,18,APPL,42,
11763905,47,2011-06-06,IDSC,0,,0,
11763905,50,2011-06-17,EX.R,0,,0,
11763905,51,2011-06-21,N/=.,0,,0,
11763905,52,2011-06-21,DVER,0,,0,
11763905,56,2011-06-23,MN/=.,0,,0,
11763905,.5,2007-06-15,EFILE,0,,0,
11763905,60,2011-09-21,N084,0,,0,
11763905,59,2011-09-21,IFEE,0,,0,
11763905,61,2011-09-22,PILS,0,,0,
11763905,62,2011-09-22,D1935,0,,0,
11763905,64,2011-10-25,PTAC,0,,0,
11763905,64.5,2011-05-18,PTA36M,337,PTO,.5,
11763905,28,2010-08-02,MCTNF,48,,.5,
12860360,1,2010-08-20,IEXX,0,,0,
12860360,2,2010-08-20,SCAN,0,,0,
12860360,3,2010-08-20,WIDS,0,,0,
12860360,5,2010-08-20,PDREQUST,0,,0,
12860360,11,2010-08-20,M844,0,,0,
12860360,27,2010-08-20,IDSC,0,,0,
12860360,4,2010-08-24,L194,0,,0,
12860360,7,2010-09-07,PGPC,0,,0,
12860360,6,2010-09-08,FLRCPT.O,0,,0,
12860360,8,2010-09-08,EML_NTR,0,,0,
12860360,9,2010-09-08,COMP,0,,0,
12860360,10,2010-09-29,OIPE,0,,0,
12860360,12,2010-10-03,RQPR,0,,0,
12860360,13,2011-01-03,DOCK,0,,0,
12860360,14,2011-03-02,WIDS,0,,0,
12860360,15,2011-03-02,A.PE,0,,0,
12860360,16,2011-03-02,M844,0,,0,
12860360,19,2011-03-02,PET.,0,,0,
12860360,26,2011-03-02,IDSC,0,,0,
12860360,17,2011-03-31,PG-ISSUE,0,,0,
12860360,18,2011-04-01,EML_NTR,0,,0,
12860360,20,2011-04-12,P003,0,,0,
12860360,21,2011-04-13,MP003,0,,0,
12860360,22,2011-04-17,EML_NTR,0,,0,
12860360,29,2011-06-10,EX.R,0,,0,
12860360,30,2011-06-16,N/=.,0,,0,
12860360,31,2011-06-16,DVER,0,,0,
12860360,35,2011-06-21,MN/=.,0,,0,
12860360,.5,2010-08-20,EFILE,0,,0,
12860360,40,2011-09-21,IFEE,0,,0,
12860360,41,2011-09-21,N084,0,,0,
12860360,42,2011-09-21,REAS,0,,0,
12860360,44,2011-09-22,D1935,0,,0,
12860360,43,2011-09-22,PILS,0,,0,
12860360,46,2011-10-25,PTAC,0,,0,
12860360,46.5,2011-10-25,PTA36M,0,PTO,.5,
12635590,1,2009-12-10,IEXX,0,,0,
12635590,2,2009-12-10,SCAN,0,,0,
12635590,3,2009-12-10,WIDS,0,,0,
12635590,5,2009-12-10,PDREQUST,0,,0,
12635590,12,2009-12-10,M844,0,,0,
