application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11972491,65,2012-06-16,DOCK,0,,0,
11972491,66,2012-06-16,N/=.,0,,0,
11972491,71,2012-06-22,MN/=.,0,,0,
11972491,.5,2008-01-10,EFILE,0,,0,
11972491,73,2012-08-03,PUBTC,0,,0,
11972491,75,2012-08-06,EX.A,0,,0,
11972491,74,2012-08-06,CNOA,0,,0,
11972491,78,2012-08-08,MCNOA,0,,0,
11972491,79,2012-08-08,TCPB,0,,0,
11972491,82,2012-09-18,N084,0,,0,
11972491,81,2012-09-18,IFEE,0,,0,
11972491,83,2012-09-18,REAS,0,,0,
11972491,86,2012-09-21,D1935,0,,0,
11972491,85,2012-09-21,D1935,0,,0,
11972491,84,2012-09-21,PILS,0,,0,
11972491,88,2012-10-23,PTAC,0,,0,
11972491,88.5,2010-08-05,PTA36M,0,PTO,.5,
11398809,58,2011-05-24,M844,327,APPL,52,
11398809,59,2011-05-24,RCAP,0,,0,
11398809,60,2011-05-24,IDSC,0,,0,
11398809,61,2011-11-16,CTNF,0,,0,
11398809,63,2011-11-30,MCTNF,394,PTO,52,
11398809,64,2011-11-30,EML_NTF,0,,0,
11398809,65,2011-11-30,ELC_RVW,0,,0,
11398809,66,2012-04-30,XT/G,0,,0,
11398809,67,2012-04-30,A...,61,APPL,63,
11398809,68,2012-05-02,FWDX,0,,0,
11398809,70,2012-06-12,EX.A,0,,0,
11398809,71,2012-06-12,EX.R,0,,0,
11398809,72,2012-06-18,DVER,0,,0,
11398809,73,2012-06-18,DOCK,0,,0,
11398809,74,2012-06-18,N/=.,0,,0,
11398809,79,2012-06-21,MN/=.,0,,0,
11398809,.5,2006-04-06,EFILE,0,,0,
11398809,85,2012-09-21,N084,0,,0,
11398809,84,2012-09-21,IFEE,0,,0,
11398809,86,2012-09-25,PILS,0,,0,
11398809,87,2012-09-26,D1935,0,,0,
11398809,89,2012-10-23,PTAC,0,,0,
11398809,89.5,2010-06-30,PTA36M,450,PTO,.5,
11398809,42,2010-04-01,MCTFR,58,,39,
12191817,1,2008-08-14,IEXX,0,,0,
12191817,8,2008-08-14,WIDS,0,,0,
12191817,9,2008-08-14,M844,0,,0,
12191817,10,2008-08-14,RCAP,0,,0,
12191817,15,2008-08-14,IDSC,0,,0,
12191817,2,2008-08-18,SCAN,0,,0,
12191817,3,2008-08-18,L194,0,,0,
12191817,4,2008-09-02,COMP,0,,0,
12191817,5,2008-09-02,FLRCPT.O,0,,0,
12191817,6,2008-09-02,PGPC,0,,0,
13052629,1,2011-03-21,IEXX,0,,0,
13052629,2,2011-03-21,SCAN,0,,0,
13052629,3,2011-03-21,WIDS,0,,0,
13052629,5,2011-03-21,PDREQUST,0,,0,
13052629,9,2011-03-21,A.PE,0,,0,
13052629,10,2011-03-21,M844,0,,0,
13052629,11,2011-03-21,RCAP,0,,0,
13052629,18,2011-03-21,IDSC,0,,0,
13052629,4,2011-03-22,L194,0,,0,
13052629,7,2011-04-04,OIPE,0,,0,
13052629,6,2011-04-05,FLRCPT.O,0,,0,
13052629,8,2011-04-05,EML_NTR,0,,0,
13052629,12,2011-04-05,COMP,0,,0,
13052629,13,2011-04-08,WIDS,0,,0,
13052629,14,2011-04-08,M844,0,,0,
13052629,17,2011-04-08,IDSC,0,,0,
13052629,15,2011-04-22,DOCK,0,,0,
13052629,23,2011-04-24,CTNF,0,,0,
13052629,25,2011-04-29,MCTNF,0,,0,
13052629,26,2011-04-29,EML_NTF,0,,0,
13052629,27,2011-04-29,ELC_RVW,0,,0,
13052629,28,2011-06-29,PA..,0,,0,
13052629,29,2011-06-29,EML_NTR,0,,0,
13052629,30,2011-07-14,PG-ISSUE,0,,0,
13052629,31,2011-07-15,EML_NTR,0,,0,
13052629,32,2011-10-12,EXIN,0,,0,
13052629,33,2011-10-12,EXIA,0,,0,
13052629,38,2011-10-18,XT/G,0,,0,
13052629,39,2011-10-18,A...,81,APPL,25,
13052629,36,2011-10-19,MEXIN,0,,0,
13052629,37,2011-10-19,EML_NTR,0,,0,
13052629,40,2011-10-20,FWDX,0,,0,
13052629,41,2011-11-24,CTFR,0,,0,
12191817,7,2008-09-10,OIPE,0,,0,
12191817,11,2009-02-09,TSSCOMP,0,,0,
12191817,12,2009-04-21,DOCK,0,,0,
12191817,13,2009-06-18,DOCK,0,,0,
