application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12606573,32,2012-06-29,MCTFR,0,,0,
12606573,35,2012-10-01,BRCE,0,,0,
12606573,37,2012-10-01,RCEX,0,,0,
12606573,39,2012-10-05,FWDX,0,,0,
12606573,36,2012-10-05,ABN9,0,,0,
12606573,40,2012-10-25,CTNF,0,,0,
12606573,44,2012-11-02,EML_NTF,0,,0,
12606573,43,2012-11-02,MCTNF,0,,0,
12606573,45,2012-11-02,ELC_RVW,0,,0,
12606573,46,2013-02-04,A...,0,,0,
12606573,47,2013-02-07,FWDX,0,,0,
12606573,49,2013-02-14,EXIA,0,,0,
12606573,48,2013-02-14,EXAT,0,,0,
12606573,52,2013-02-21,MEXAT,0,,0,
12606573,53,2013-03-09,CTFR,0,,0,
12606573,104,2014-06-13,N084,0,,0,
12606573,105,2014-06-18,PILS,0,,0,
12606573,106,2014-06-19,D1935,0,,0,
12606573,108,2014-07-29,PTAC,0,,0,
12606573,108.5,2012-09-30,PTA36M,0,,.5,
13239344,.5,2011-09-21,EFILE,0,,0,
13239344,106,2014-07-29,PTAC,273,,67,
13239344,57,2013-08-29,MCTFR,0,,53,
13239344,106,2014-07-29,PTAC,0,,101,
13239344,53,2013-07-30,A...,0,,38,
13239344,67,2013-10-30,RCEX,0,,57,
13239344,101,2014-06-12,N084,0,,96,
13239344,9,2012-01-05,FLFEE,0,,5,
13239344,2,2011-09-21,SCAN,0,,0,
13239344,1,2011-09-21,IEXX,0,,0,
13239344,3,2011-09-26,L194,0,,0,
13239344,7,2011-10-06,EML_NTF,0,,0,
13239344,6,2011-10-06,EML_NTR,0,,0,
13239344,4,2011-10-06,FLRCPT.O,0,,0,
13239344,8,2011-10-06,ELC_RVW,0,,0,
13239344,5,2011-10-06,INCD,0,,0,
13239344,10,2012-01-05,FLFEE,0,,0,
13239344,9,2012-01-05,OATHDECL,0,,0,
13239344,14,2012-01-18,PGPC,0,,0,
13239344,13,2012-01-19,FLRCPT.U,0,,0,
13239344,12,2012-01-19,COMP,0,,0,
13239344,11,2012-01-19,PA..,0,,0,
13239344,15,2012-01-19,EML_NTR,0,,0,
13239344,16,2012-01-19,EML_NTR,0,,0,
13239344,17,2012-02-07,OIPE,0,,0,
13239344,18,2012-02-09,DOCK,0,,0,
13239344,19,2012-03-12,PET.,0,,0,
13239344,20,2012-04-26,PTDI,0,,0,
13239344,21,2012-04-27,MPTDI,0,,0,
13239344,22,2012-05-02,EML_NTR,0,,0,
13239344,23,2012-05-22,PET.,0,,0,
13239344,27,2012-05-22,RU47,0,,0,
13239344,28,2012-05-22,C602,0,,0,
13239344,24,2012-06-06,P012,0,,0,
13239344,25,2012-06-07,MP012,0,,0,
13239344,26,2012-06-14,EML_NTR,0,,0,
13239344,29,2013-02-05,DOCK,0,,0,
13239344,34,2013-03-21,PG-ISSUE,0,,0,
13239344,35,2013-03-22,EML_NTR,0,,0,
13239344,36,2013-05-05,CTNF,0,,0,
13239344,38,2013-05-09,MCTNF,169,PTO,.5,
13239344,39,2013-05-09,EML_NTF,0,,0,
13239344,40,2013-05-09,ELC_RVW,0,,0,
13239344,43,2013-06-17,PA..,0,,0,
13239344,41,2013-06-17,MPEN,0,,0,
13239344,45,2013-06-17,EML_NTR,0,,0,
13239344,46,2013-06-17,EML_NTR,0,,0,
13239344,44,2013-06-17,EML_NTF,0,,0,
13239344,42,2013-06-17,FLRCPT.C,0,,0,
13239344,47,2013-06-17,ELC_RVW,0,,0,
13239344,48,2013-07-24,EXAT,0,,0,
13239344,49,2013-07-24,EXIA,0,,0,
13239344,52,2013-07-30,MEXAT,0,,0,
13239344,53,2013-07-30,A...,0,,0,
13239344,54,2013-07-31,FWDX,0,,0,
13239344,55,2013-08-23,CTFR,0,,0,
13239344,57,2013-08-29,MCTFR,0,,0,
13239344,59,2013-08-29,ELC_RVW,0,,0,
13239344,58,2013-08-29,EML_NTF,0,,0,
13239344,62,2013-10-21,EXIA,0,,0,
13239344,61,2013-10-21,EXAT,0,,0,
13239344,67,2013-10-30,RCEX,0,,0,
13239344,60,2013-10-30,BRCE,0,,0,
13239344,66,2013-11-05,ABN9,0,,0,
13239344,69,2013-11-05,FWDX,0,,0,
13239344,65,2013-11-06,MEXAT,0,,0,
13239344,85,2014-04-22,EXET,0,,0,
13239344,84,2014-04-22,EXIE,0,,0,
13239344,86,2014-05-05,EX.A,0,,0,
13239344,88,2014-05-05,N/=.,0,,0,
13239344,87,2014-05-05,EX.R,0,,0,
13239344,89,2014-05-06,DVER,0,,0,
13239344,97,2014-05-09,EML_NTF,0,,0,
13239344,98,2014-05-09,ELC_RVW,0,,0,
13239344,96,2014-05-09,MN/=.,70,PTO,67,
13239344,101,2014-06-12,N084,0,,0,
13239344,100,2014-06-12,IFEE,0,,0,
13239344,102,2014-06-18,PILS,0,,0,
13239344,103,2014-06-18,D1935,0,,0,
13239344,106,2014-07-29,PTAC,0,,0,
13239344,106.5,2013-10-29,PTA36M,0,,.5,
12606573,58,2013-03-13,LET.,0,,0,
12606573,57,2013-03-14,ELC_RVW,0,,0,
12606573,56,2013-03-14,EML_NTF,0,,0,
12606573,55,2013-03-14,MCTFR,0,,0,
12606573,59,2013-07-15,BRCE,0,,0,
12606573,60,2013-07-15,WIDS,0,,0,
12606573,61,2013-07-15,XT/G,0,,0,
12606573,63,2013-07-15,RCEX,31,APPL,55,
12606573,66,2013-07-15,M844,0,,0,
13486787,59,2014-07-29,PTAC,0,,54,
13486787,36,2014-05-23,A...,0,,29,
13486787,54,2014-06-18,N084,0,,49,
13486787,11,2012-06-01,M844,0,,0,
13486787,2,2012-06-01,SCAN,0,,0,
13486787,3,2012-06-01,WIDS,0,,0,
13486787,10,2012-06-01,RCAP,0,,0,
13486787,1,2012-06-01,IEXX,0,,0,
13486787,4,2012-06-05,L194,0,,0,
13486787,6,2012-06-19,PGPC,0,,0,
13486787,8,2012-06-20,COMP,0,,0,
13486787,7,2012-06-20,EML_NTR,0,,0,
13486787,5,2012-06-20,FLRCPT.O,0,,0,
13486787,9,2012-07-09,OIPE,0,,0,
13486787,12,2013-04-12,DOCK,0,,0,
13486787,13,2013-08-15,DOCK,0,,0,
