application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13379622,88,2014-11-28,MN/=.,123,PTO,66,
13379622,90,2014-11-28,ELC_RVW,0,,0,
13379622,89,2014-11-28,EML_NTF,0,,0,
13379622,93,2015-02-24,IFEE,0,,0,
13379622,94,2015-02-24,N084,0,,0,
13379622,95,2015-02-26,PILS,0,,0,
13379622,96,2015-02-27,D1935,0,,0,
13314001,90,2015-02-19,N084,0,,82,
13314001,10,2012-03-02,ADDFLFEE,0,,5,
13314001,1,2011-12-07,IEXX,0,,0,
13314001,2,2011-12-09,SCAN,0,,0,
13314001,3,2011-12-12,L194,0,,0,
13314001,4,2012-01-03,FLRCPT.O,0,,0,
13314001,5,2012-01-03,INCD,0,,0,
13314001,8,2012-01-03,ELC_RVW,0,,0,
13314001,6,2012-01-03,EML_NTR,0,,0,
13314001,7,2012-01-03,EML_NTF,0,,0,
13314001,22,2012-03-02,RCAP,0,,0,
13314001,12,2012-03-02,ADDFLFEE,0,,0,
13314001,9,2012-03-02,WIDS,0,,0,
13314001,10,2012-03-02,OATHDECL,0,,0,
13314001,21,2012-03-02,M844,0,,0,
13314001,30,2012-03-02,IDSC,0,,0,
13314001,14,2012-03-06,PGPC,0,,0,
13314001,16,2012-03-07,EML_NTR,0,,0,
13314001,17,2012-03-07,EML_NTR,0,,0,
13314001,18,2012-03-07,COMP,0,,0,
13314001,15,2012-03-07,PA..,0,,0,
13314001,13,2012-03-07,FLRCPT.U,0,,0,
13314001,19,2012-03-29,OIPE,0,,0,
13379622,98,2015-03-31,PTAC,0,,0,
13379622,98.5,2015-03-31,PTA36M,0,,98.4,
13314001,20,2012-03-30,DOCK,0,,0,
13314001,23,2012-06-14,PG-ISSUE,0,,0,
13314001,24,2012-06-15,EML_NTR,0,,0,
13314001,27,2012-06-25,M844,0,,0,
13314001,28,2012-06-25,RCAP,0,,0,
13314001,26,2012-06-25,WIDS,0,,0,
13314001,31,2012-06-25,IDSC,0,,0,
13314001,29,2013-05-13,DOCK,0,,0,
13314001,35,2013-12-26,CTNF,0,,0,
13314001,39,2014-01-07,MCTNF,334,PTO,.5,
13314001,41,2014-01-07,ELC_RVW,0,,0,
13314001,40,2014-01-07,EML_NTF,0,,0,
13314001,42,2014-04-22,EXAT,0,,0,
13314001,44,2014-04-22,EXAT,0,,0,
13314001,46,2014-04-22,EXIA,0,,0,
13314001,43,2014-04-22,EXIA,0,,0,
13314001,45,2014-04-22,EXAT,0,,0,
13314001,47,2014-04-22,EXAT,0,,0,
13314001,51,2014-04-25,MEXAT,0,,0,
13314001,53,2014-05-05,A...,28,APPL,39,
13314001,52,2014-05-05,XT/G,0,,0,
13314001,54,2014-05-07,FWDX,0,,0,
13314001,56,2014-06-20,CTFR,0,,0,
13314001,58,2014-06-25,MCTFR,0,,0,
13314001,60,2014-06-25,ELC_RVW,0,,0,
13314001,59,2014-06-25,EML_NTF,0,,0,
13314001,61,2014-09-25,BRCE,0,,0,
13314001,63,2014-09-25,RCEX,0,,0,
13314001,62,2014-10-08,ABN9,0,,0,
13314001,65,2014-10-08,FWDX,0,,0,
