application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14029287,83,2015-06-25,N084,0,,69,
14029287,79,2015-05-04,MM327,0,,0,
14029287,1,2013-09-17,IEXX,0,,0,
14029287,2,2013-09-17,BIG.,0,,0,
14029287,3,2013-09-17,SCAN,0,,0,
14029287,11,2013-09-17,A.PE,0,,0,
14029287,12,2013-09-18,A.PE,0,,0,
14029287,4,2013-09-19,L194,0,,0,
14029287,7,2013-10-09,PGPC,0,,0,
14029287,8,2013-10-09,FTFI,0,,0,
14029287,9,2013-10-10,EML_NTR,0,,0,
14029287,6,2013-10-10,COMP,0,,0,
14029287,5,2013-10-10,FLRCPT.O,0,,0,
14029287,10,2013-10-11,OIPE,0,,0,
14029287,14,2013-10-30,M844,0,,0,
14029287,15,2013-10-30,RCAP,0,,0,
14029287,13,2013-10-30,WIDS,0,,0,
14029287,16,2014-01-16,PG-ISSUE,0,,0,
14029287,17,2014-01-17,EML_NTR,0,,0,
14029287,18,2014-01-23,WIDS,0,,0,
14029287,21,2014-01-23,M844,0,,0,
14029287,22,2014-01-23,RCAP,0,,0,
14029287,20,2014-01-30,EML_NTR,0,,0,
14029287,19,2014-01-30,PA..,0,,0,
14029287,24,2014-02-25,M844,0,,0,
14029287,23,2014-02-25,WIDS,0,,0,
14029287,25,2014-02-25,LET.,0,,0,
14029287,26,2014-03-17,WIDS,0,,0,
14029287,27,2014-03-17,M844,0,,0,
14029287,28,2014-03-17,RCAP,0,,0,
14029287,29,2014-06-09,DOCK,0,,0,
14029287,30,2014-06-24,WIDS,0,,0,
14029287,31,2014-06-24,M844,0,,0,
14029287,32,2014-06-24,RCAP,0,,0,
14029287,33,2014-11-21,WIDS,0,,0,
14029287,34,2014-12-11,WIDS,0,,0,
14029287,44,2014-12-11,M844,0,,0,
14029287,38,2014-12-12,IDSC,0,,0,
14029287,42,2014-12-12,IDSC,0,,0,
14029287,43,2014-12-12,CTNF,0,,0,
14029287,39,2014-12-12,IDSC,0,,0,
14029287,40,2014-12-12,IDSC,0,,0,
14029287,41,2014-12-12,IDSC,0,,0,
14029287,46,2014-12-19,MCTNF,32,PTO,.5,
14029287,48,2014-12-19,ELC_RVW,0,,0,
14029287,47,2014-12-19,EML_NTF,0,,0,
14029287,49,2015-02-24,WIDS,0,,0,
14029287,50,2015-02-24,M844,0,,0,
14029287,51,2015-02-24,RCAP,0,,0,
14029287,52,2015-03-05,WIDS,0,,0,
14029287,54,2015-03-05,M844,0,,0,
14029287,57,2015-03-18,A...,0,,0,
14029287,55,2015-03-18,M844,0,,0,
14029287,53,2015-03-18,WIDS,0,,0,
14029287,56,2015-03-18,RCAP,0,,0,
14029287,58,2015-03-20,FWDX,0,,0,
14029287,63,2015-03-25,IDSC,0,,0,
14029287,59,2015-03-25,IDSC,0,,0,
14029287,60,2015-03-25,IDSC,0,,0,
14029287,61,2015-03-25,IDSC,0,,0,
14029287,62,2015-03-25,IDSC,0,,0,
14029287,67,2015-03-26,N/=.,0,,0,
14029287,65,2015-03-26,DVER,0,,0,
14029287,69,2015-03-31,MN/=.,0,,0,
14029287,71,2015-03-31,ELC_RVW,0,,0,
14029287,70,2015-03-31,EML_NTF,0,,0,
14029287,72,2015-04-01,WIDS,0,,0,
14029287,74,2015-04-01,M844,0,,0,
14029287,75,2015-04-24,PUBTC,0,,0,
14029287,76,2015-04-27,IDSC,0,,0,
14029287,77,2015-04-27,M327,0,,0,
14029287,79,2015-05-04,MM327,34,APPL,72,
14029287,80,2015-05-04,EML_NTR,0,,0,
14029287,83,2015-06-25,N084,0,,0,
14029287,85,2015-06-25,C600,41,APPL,88,
14029287,82,2015-06-25,IFEE,0,,0,
14029287,84,2015-06-26,PILS,0,,0,
14029287,86,2015-06-29,D1935,0,,0,
14029287,88,2015-08-04,PTAC,0,,0,
14029287,88.5,2015-08-04,PTA36M,0,,.5,
12298124,.5,2006-11-20,NEFILE,0,,0,
12298124,121.4,2008-10-27,COMMN,0,,0,
12298124,113,2015-05-07,MN/=.,1127,,47,
12298124,53,2012-07-11,MCTNF,0,,47,
12298124,61,2013-01-29,MCTFR,0,,56,
12298124,75,2013-08-08,MCTNF,0,,70,
12298124,96,2015-01-05,MCTNF,0,,90,
12298124,113,2015-05-07,MN/=.,0,,97,
12298124,121,2015-08-04,PTAC,0,,117,
12298124,33,2011-09-09,A...,0,,32,
12298124,40,2012-04-06,RCEX,0,,37,
12298124,56,2012-10-11,A...,0,,53,
12298124,97,2015-03-11,A...,0,,96,
12298124,117,2015-06-24,N084,0,,113,
12298124,5,2009-01-05,M905,0,,0,
12298124,16,2009-02-26,M844,0,,0,
12298124,6,2009-02-26,WIDS,0,,0,
12298124,8,2009-02-26,ADDFLFEE,0,,0,
12298124,7,2009-02-26,OATHDECL,0,,0,
12298124,12,2009-02-26,371COMP,0,,0,
12298124,25,2009-02-26,IDSC,0,,0,
12298124,11,2009-08-24,PGPC,0,,0,
12298124,10,2009-08-24,FLRCPT.O,0,,0,
12298124,9,2009-08-24,M903,0,,0,
12298124,13,2009-09-16,OIPE,0,,0,
12298124,14,2009-12-03,PG-ISSUE,0,,0,
12298124,18,2010-02-03,TI1050,0,,0,
12298124,19,2010-03-01,TI1050,0,,0,
12298124,20,2010-05-25,DOCK,0,,0,
12298124,21,2011-02-10,DOCK,0,,0,
12298124,22,2011-04-18,DOCK,0,,0,
12298124,23,2011-05-10,DOCK,0,,0,
12298124,24,2011-05-24,DOCK,0,,0,
12298124,30,2011-06-06,CTNF,0,,0,
12298124,32,2011-06-10,MCTNF,530,PTO,121.4,
12298124,33,2011-09-09,A...,0,,0,
12298124,34,2011-09-14,FWDX,0,,0,
12298124,35,2012-01-17,CTFR,0,,0,
12298124,37,2012-01-19,MCTFR,10,PTO,33,
12298124,38,2012-03-01,WIDS,0,,0,
12298124,50,2012-03-01,IDSC,0,,0,
12298124,39,2012-03-01,EIDS.,0,,0,
12298124,40,2012-03-19,A.NE,0,,0,
12298124,41,2012-03-20,FWDX,0,,0,
12298124,42,2012-03-21,CTAV,0,,0,
12298124,44,2012-03-23,MCTAV,0,,0,
12298124,45,2012-04-06,BRCE,0,,0,
13852449,52.5,2015-08-11,PTA36M,0,,.5,
13928024,.5,2013-06-26,EFILE,0,,0,
13928024,42,2015-08-11,PTAC,0,,36,
13928024,35,2015-06-29,IFEE,0,,33,
13928024,12,2013-06-26,EIDS.,0,,0,
13928024,6,2013-06-26,APPERMS,0,,0,
13928024,2,2013-06-26,BIG.,0,,0,
13928024,3,2013-06-26,SCAN,0,,0,
13928024,4,2013-06-26,WIDS,0,,0,
13928024,1,2013-06-26,IEXX,0,,0,
13928024,5,2013-07-03,L194,0,,0,
13928024,11,2013-07-23,PA..,0,,0,
13928024,10,2013-07-23,FTFI,0,,0,
13928024,8,2013-07-23,COMP,0,,0,
13928024,7,2013-07-23,FLRCPT.O,0,,0,
13928024,9,2013-07-23,OIPE,0,,0,
13928024,13,2013-07-30,DOCK,0,,0,
13928024,14,2013-10-31,PG-ISSUE,0,,0,
