application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13804236,54,2015-10-28,REAS,0,,0,
13804236,52,2015-10-28,IFEE,0,,0,
13804236,56,2015-10-29,D1935,0,,0,
13804236,55,2015-10-29,PILS,0,,0,
13804236,58,2015-12-01,PTAC,0,,0,
13804236,58.5,2015-12-01,PTA36M,0,,.5,
13984395,51,2015-08-16,N/=.,0,,0,
13984395,56,2015-08-19,ELC_RVW,0,,0,
13984395,54,2015-08-19,MN/=.,0,,0,
13984395,55,2015-08-19,EML_NTF,0,,0,
13984395,58,2015-08-27,M327-D,0,,0,
13984395,59,2015-08-31,MM327-D,0,,0,
13984395,60,2015-08-31,CCRDY,0,,0,
13984395,61,2015-08-31,EML_NTR,0,,0,
13984395,64,2015-10-06,DRWF,57,APPL,69,
13984395,65,2015-10-26,N084,0,,0,
13984395,63,2015-10-26,IFEE,0,,0,
13984395,66,2015-11-03,PILS,0,,0,
13984395,67,2015-11-04,D1935,0,,0,
13984395,69,2015-12-01,PTAC,0,,0,
13862333,73,2015-06-18,N/=.,0,,0,
13862333,77,2015-06-18,WIDS,0,,0,
13862333,79,2015-06-18,EIDS.,16,APPL,55,
13862333,72,2015-06-18,DVER,0,,0,
13862333,80,2015-06-23,EML_NTF,0,,0,
13862333,78,2015-06-23,MN/=.,0,,0,
13862333,81,2015-06-23,ELC_RVW,0,,0,
13862333,83,2015-07-07,PUBTC,0,,0,
13862333,85,2015-07-23,IDSC,0,,0,
13862333,86,2015-07-25,CNOA,0,,0,
13862333,89,2015-07-30,TCPB,0,,0,
13862333,88,2015-07-30,MCNOA,0,,0,
13862333,90,2015-07-30,EML_NTR,0,,0,
13862333,92,2015-08-31,CCRDY,0,,0,
13862333,93,2015-09-15,WIDS,0,,0,
13862333,94,2015-09-15,M844,0,,0,
13862333,95,2015-09-16,PUBTC,0,,0,
13862333,96,2015-09-20,IDSC,0,,0,
13862333,98,2015-09-22,IFEE,0,,0,
13862333,97,2015-09-22,CNOA,0,,0,
13862333,125,2015-09-22,N084,0,,0,
13862333,101,2015-09-22,N084,0,,0,
13862333,102,2015-09-24,PILS,0,,0,
13984395,69.5,2015-12-01,PTA36M,0,,69.4,
13862333,104,2015-09-28,EML_NTR,0,,0,
13862333,105,2015-09-28,D1935,0,,0,
13862333,103,2015-09-28,TCPB,0,,0,
13862333,100,2015-09-28,MCNOA,14,APPL,93,
13862333,117,2015-10-07,QPREQ,0,,0,
13862333,109,2015-10-07,BRCE,0,,0,
13862333,116,2015-10-07,EIDS.,0,,0,
13862333,124,2015-10-07,FRCE,0,,0,
13862333,113,2015-10-07,MP015,0,,0,
13862333,112,2015-10-07,P015,0,,0,
13862333,111,2015-10-07,WFIS,0,,0,
13862333,110,2015-10-07,PET.,0,,0,
13862333,108,2015-10-07,WPIR,0,,0,
13862333,115,2015-10-07,WIDS,0,,0,
13862333,114,2015-10-08,EML_NTR,0,,0,
13862333,118,2015-10-09,PUBTC,0,,0,
13862333,119,2015-10-23,IDSC,0,,0,
13862333,120,2015-10-26,CNOA,0,,0,
13862333,126,2015-10-30,D1935,0,,0,
13862333,123,2015-10-30,EML_NTR,0,,0,
13862333,122,2015-10-30,MCNOA,24,APPL,115,
13862333,128,2015-12-01,PTAC,0,,0,
13862333,128.5,2015-12-01,PTA36M,0,,.5,
14246052,.5,2014-04-05,EFILE,0,,0,
14246052,86,2015-08-31,MN/=.,86,,51,
14246052,43,2015-04-27,MN/=.,0,,.5,
14246052,56,2015-06-30,MCTNF,0,,51,
14246052,86,2015-08-31,MN/=.,0,,64,
14246052,105,2015-12-01,PTAC,0,,101,
14246052,51,2015-06-07,RCEX,0,,43,
14246052,64,2015-07-25,A...,0,,56,
14246052,99,2015-10-21,IFEE,0,,86,
14246052,13,2014-06-13,ADDFLFEE,0,,8,
14246052,97,2015-10-22,MM327,0,,0,
14246052,0,2014-06-13,PTA.RFE,0,,0,
14246052,24,2014-04-05,EIDS.,0,,0,
14246052,2,2014-04-05,BIG.,0,,0,
14246052,1,2014-04-05,IEXX,0,,0,
14246052,4,2014-04-05,WIDS,0,,0,
14246052,7,2014-04-05,APPERMS,0,,0,
14246052,3,2014-04-05,SCAN,0,,0,
14246052,5,2014-04-09,L198,0,,0,
14246052,6,2014-04-09,L128,0,,0,
14246052,9,2014-04-29,FLRCPT.O,0,,0,
14246052,8,2014-04-29,INCD,0,,0,
14034896,.5,2013-09-24,EFILE,0,,0,
14034896,36,2015-08-06,MN/=.,0,,24,
14034896,45,2015-12-01,PTAC,0,,41,
14034896,24,2015-06-18,A...,0,,23,
14034896,40,2015-10-30,IFEE,0,,36,
14034896,3,2013-09-24,SCAN,0,,0,
14034896,2,2013-09-24,BIG.,0,,0,
14034896,1,2013-09-24,IEXX,0,,0,
14034896,12,2013-09-24,PTA.RFE,0,,0,
14034896,4,2013-09-26,L194,0,,0,
14034896,5,2013-10-07,SMAL,0,,0,
14034896,9,2013-10-11,PA..,0,,0,
14034896,8,2013-10-11,FTFS,0,,0,
14034896,7,2013-10-11,PGPC,0,,0,
14034896,6,2013-10-11,FLRCPT.O,0,,0,
14034896,10,2013-10-11,COMP,0,,0,
14034896,11,2014-06-20,WIDS,0,,0,
14034896,14,2014-06-20,EIDS.,0,,0,
14034896,13,2014-07-01,OIPE,0,,0,
14034896,15,2015-03-03,DOCK,0,,0,
14246052,11,2014-04-29,EML_NTF,0,,0,
14246052,10,2014-04-29,EML_NTR,0,,0,
14246052,12,2014-04-29,ELC_RVW,0,,0,
14246052,25,2014-06-13,C602,0,,0,
14246052,13,2014-06-13,ADDFLFEE,0,,0,
14246052,16,2014-06-13,PTA.RFE,0,,0,
14246052,17,2014-06-17,FTFS,0,,0,
14246052,18,2014-06-17,PGPC,0,,0,
14246052,15,2014-06-18,COMP,0,,0,
14246052,19,2014-06-18,EML_NTR,0,,0,
14246052,14,2014-06-18,FLRCPT.U,0,,0,
14246052,20,2014-06-20,OIPE,0,,0,
14246052,21,2014-06-23,DOCK,0,,0,
14246052,22,2014-07-01,WIDS,0,,0,
14246052,23,2014-07-01,EIDS.,0,,0,
14246052,26,2014-09-10,DOCK,0,,0,
14246052,27,2014-10-09,PG-ISSUE,0,,0,
14246052,28,2014-10-10,EML_NTR,0,,0,
14034896,16,2015-03-26,PG-ISSUE,0,,0,
14034896,17,2015-04-08,DOCK,0,,0,
14034896,18,2015-05-06,IDSC,0,,0,
14034896,21,2015-05-07,CTNF,0,,0,
14034896,23,2015-05-11,MCTNF,168,PTO,.5,
14034896,24,2015-06-18,A...,0,,0,
14034896,26,2015-06-18,LTDR,0,,0,
14034896,25,2015-06-21,FWDX,0,,0,
14034896,29,2015-08-03,EX.R,0,,0,
14034896,28,2015-08-03,EX.A,0,,0,
14034896,30,2015-08-05,N/=.,0,,0,
14034896,31,2015-08-05,DVER,0,,0,
14034896,36,2015-08-06,MN/=.,0,,0,
14034896,39,2015-08-31,CCRDY,0,,0,
14034896,41,2015-10-30,N084,0,,0,
14034896,40,2015-10-30,IFEE,0,,0,
14034896,43,2015-11-02,D1935,0,,0,
14034896,42,2015-11-02,PILS,0,,0,
14034896,45,2015-12-01,PTAC,0,,0,
14034896,45.5,2015-12-01,PTA36M,0,,.5,
14246052,30,2014-11-19,EML_NTR,0,,0,
14246052,29,2014-11-19,PA..,0,,0,
14246052,31,2015-04-18,IDSC,0,,0,
14246052,32,2015-04-18,IDSC,0,,0,
14246052,37,2015-04-19,EX.R,0,,0,
14246052,38,2015-04-22,DVER,0,,0,
14246052,39,2015-04-22,N/=.,0,,0,
14246052,44,2015-04-27,EML_NTF,0,,0,
14246052,43,2015-04-27,MN/=.,0,,0,
14246052,45,2015-04-28,ELC_RVW,0,,0,
14246052,51,2015-06-07,RCEX,41,APPL,43,
14246052,52,2015-06-07,EIDS.,0,,0,
14246052,48,2015-06-07,BRCE,0,,0,
13726615,70,2015-12-01,PTAC,0,,66,
13726615,32,2014-12-24,A...,0,,29,
13726615,50,2015-06-29,RCEX,0,,42,
13726615,65,2015-10-30,IFEE,0,,61,
13726615,3,2012-12-26,WIDS,0,,0,
13726615,1,2012-12-26,IEXX,0,,0,
13726615,14,2012-12-26,EIDS.,0,,0,
13726615,6,2012-12-26,PDREQUST,0,,0,
13726615,5,2012-12-26,APPERMS,0,,0,
13726615,2,2012-12-26,SCAN,0,,0,
13726615,4,2012-12-30,L194,0,,0,
13726615,8,2013-01-24,PGPC,0,,0,
13726615,11,2013-01-25,EML_NTR,0,,0,
13726615,12,2013-01-25,COMP,0,,0,
14190359,26,2015-03-23,MCTNF,0,,.5,
14190359,38,2015-08-12,MN/=.,0,,29,
14190359,53,2015-12-01,PTAC,0,,49,
14190359,29,2015-06-23,A...,0,,26,
14190359,48,2015-10-30,IFEE,0,,38,
14190359,0,2014-02-26,PTA.RFE,0,,0,
14190359,3,2014-02-26,SCAN,0,,0,
14190359,1,2014-02-26,IEXX,0,,0,
14190359,2,2014-02-26,BIG.,0,,0,
14190359,10,2014-02-26,PTA.RFE,0,,0,
14190359,4,2014-03-02,L194,0,,0,
14190359,6,2014-03-13,SMAL,0,,0,
14190359,5,2014-03-13,MICR,0,,0,
14190359,11,2014-03-14,PGPC,0,,0,
14190359,7,2014-03-17,COMP,0,,0,
14190359,9,2014-03-17,COMP,0,,0,
13665721,14,2013-01-06,OIPE,0,,0,
13665721,16,2013-09-03,DOCK,0,,0,
13665721,18,2013-09-25,RESC,0,,0,
13665721,19,2013-10-03,PG-PB-DT,0,,0,
13665721,21,2013-10-04,EML_NTF,0,,0,
13665721,22,2013-10-04,EML_NTF,0,,0,
13665721,20,2013-10-04,PG-RQST,0,,0,
13665721,23,2013-10-06,ELC_RVW,0,,0,
13726615,10,2013-01-25,EML_NTR,0,,0,
13726615,9,2013-01-25,PA..,0,,0,
13726615,7,2013-01-25,FLRCPT.O,0,,0,
13726615,13,2013-02-04,OIPE,0,,0,
13726615,15,2013-06-06,DOCK,0,,0,
13726615,16,2013-07-25,PG-ISSUE,0,,0,
13726615,17,2013-07-26,EML_NTR,0,,0,
13726615,18,2013-09-03,PD.RECVD,0,,0,
13726615,19,2013-12-20,WIDS,0,,0,
13726615,20,2013-12-20,M844,0,,0,
13726615,21,2014-04-25,DOCK,0,,0,
13726615,22,2014-07-08,C.AD,0,,0,
13726615,24,2014-07-10,EML_NTR,0,,0,
13726615,23,2014-07-10,PA..,0,,0,
13726615,26,2014-09-23,IDSC,0,,0,
13726615,25,2014-09-23,IDSC,0,,0,
13726615,27,2014-09-29,CTNF,0,,0,
13829392,.5,2013-03-14,EFILE,0,,0,
13829392,92,2015-08-03,MN/=.,257,,66,
13829392,23,2014-02-13,MCTRS,0,,.5,
13829392,38,2014-03-12,MCTNF,0,,28,
13829392,52,2014-08-21,MCTFR,0,,41,
13829392,71,2015-02-10,MCTNF,0,,66,
13829392,92,2015-08-03,MN/=.,0,,78,
13829392,102,2015-12-01,PTAC,0,,98,
13829392,28,2014-02-25,ELC.,0,,23,
13829392,41,2014-05-19,A...,0,,38,
13829392,58,2014-11-20,RCEX,0,,52,
13829392,97,2015-10-28,IFEE,0,,92,
13829392,4,2013-03-14,APPERMS,0,,0,
13829392,1,2013-03-14,IEXX,0,,0,
13829392,2,2013-03-18,SCAN,0,,0,
14190359,8,2014-03-17,FLRCPT.O,0,,0,
14190359,12,2014-03-17,EML_NTR,0,,0,
14190359,14,2014-04-07,EML_NTR,0,,0,
14190359,13,2014-04-07,PA..,0,,0,
14190359,15,2014-05-23,FTFI,0,,0,
14190359,16,2014-05-23,OIPE,0,,0,
14190359,17,2014-07-14,DOCK,0,,0,
14190359,18,2014-08-28,PG-ISSUE,0,,0,
14190359,19,2014-08-29,EML_NTR,0,,0,
14190359,20,2015-01-12,DOCK,0,,0,
14190359,24,2015-03-18,CTNF,0,,0,
14190359,28,2015-03-23,ELC_RVW,0,,0,
