application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09431027,3,1999-11-19,SCAN,0,PTO,0,Y
09431027,4,1999-12-03,INCD,0,PTO,0,Y
09431027,5,2000-01-12,COMP,0,PTO,0,Y
09431027,2,2000-01-13,G013,0,PTO,0,Y
09431027,9,2000-02-03,M844,0,PTO,0,Y
09431027,6,2000-02-15,TR.Q,0,PTO,0,Y
09431027,7,2000-03-15,DOCK,0,PTO,0,Y
09251025,21,2001-05-04,BCPA,0,,0,
09251025,22,2001-05-04,FCPA,0,,0,
09251025,23,2001-05-04,ABN3,0,,0,
09251025,24,2001-05-04,MABN3,0,,0,
09251025,27,2001-05-04,A.PE,0,,0,
09251025,25,2001-05-04,ACPA,0,,0,
09251025,26,2001-05-10,FWDX,0,,0,
09251025,28,2001-06-01,CTNF,0,,0,
09251025,29,2001-06-04,MCTNF,0,,0,
09251025,30,2001-09-07,LTDR,0,,0,
09251025,31,2001-09-07,A...,3,APPL,29,
09251025,32,2001-09-13,FWDX,0,,0,
09251025,33,2001-11-13,CTFR,0,,0,
09251025,34,2001-11-17,MCTFR,0,,0,
09251025,35,2001-11-19,NRES,0,,0,
09251025,36,2001-11-19,MNRES,0,,0,
09251025,37,2002-01-22,LTDR,0,,0,
09251025,38,2002-01-22,A.NE,0,,0,
09251025,39,2002-01-25,FWDX,0,,0,
09251025,40,2002-01-28,CTAV,0,,0,
09251025,41,2002-01-28,MCTAV,0,,0,
09251025,42,2002-03-19,BRCE,0,,0,
09251025,47,2002-03-19,RCEX,0,,0,
09251025,45,2002-03-19,XT/G,0,,0,
09251025,43,2002-03-26,DOCK,0,,0,
09251025,44,2002-03-28,C.AD,0,,0,
09251025,46,2002-03-28,ABN9,0,,0,
09251025,48,2002-03-28,FWDX,0,,0,
09251025,49,2002-06-03,CTNF,0,,0,
09251025,50,2002-06-06,MCTNF,15,PTO,38,
09251025,51,2002-09-13,A...,0,,0,
09251025,51.1,2002-09-13,A.I.,0,,0,
09251025,52,2002-09-26,FWDX,0,,0,
09251025,53,2002-09-27,NINA,0,,0,
09251025,54,2002-10-15,A...,39,APPL,50,
09251025,55,2002-10-21,FWDX,0,,0,
09251025,57,2002-12-30,N/=.,0,,0,
09251025,58,2002-12-31,MN/=.,0,,0,
09251025,59,2003-01-03,D1220,0,,0,
09251025,60,2003-01-03,D1220,0,,0,
09251025,61,2003-01-07,R1021,0,,0,
09251025,62,2003-01-07,SENT,0,,0,
09251025,63,2003-01-27,R1021,0,,0,
09251025,64,2003-02-11,R1021,0,,0,
09170396,1,1998-10-16,IEXX,0,PTO,0,Y
09170396,2,1998-10-22,SCAN,0,PTO,0,Y
09170396,3,1998-10-28,OIPE,0,PTO,0,Y
09170396,4,1998-12-03,DOCK,0,PTO,0,Y
09170396,5,2000-10-06,DOCK,0,PTO,0,Y
09170396,6,2001-08-06,C.AD,0,PTO,0,Y
09170396,7,2002-03-25,CTNF,0,PTO,0,Y
09170396,8,2002-03-28,MCTNF,0,PTO,0,Y
09170396,9,2002-08-05,XT/G,0,PTO,0,Y
09170396,10,2002-08-05,A...,0,PTO,0,Y
09170396,11,2002-08-17,FWDX,0,PTO,0,Y
09170396,12,2002-10-21,CTNF,0,PTO,0,Y
09170396,13,2002-10-22,MCTNF,0,PTO,0,Y
09170396,14,2003-02-05,A...,0,PTO,0,Y
09170396,15,2003-02-10,FWDX,0,PTO,0,Y
09431027,8,2000-03-21,M844,0,PTO,0,Y
09431027,10,2000-10-03,A.PE,0,PTO,0,Y
09431027,11,2000-10-03,M844,0,PTO,0,Y
09431027,12,2000-10-11,C.AD,0,PTO,0,Y
09431027,13,2001-05-11,M844,0,PTO,0,Y
09431027,14,2001-05-29,DOCK,0,PTO,0,Y
09431027,15,2001-06-29,CTNF,0,PTO,0,Y
09431027,16,2001-06-29,MCTNF,0,PTO,0,Y
09431027,17,2002-01-28,XT/G,0,PTO,0,Y
09431027,18,2002-01-28,C614,0,PTO,0,Y
09431027,19,2002-01-28,A...,0,PTO,0,Y
09431027,20,2002-02-07,FWDX,0,PTO,0,Y
09431027,21,2002-04-22,CTNF,0,PTO,0,Y
09431027,22,2002-04-25,MCTNF,0,PTO,0,Y
09431027,23,2002-11-04,XT/G,0,PTO,0,Y
09431027,24,2002-11-04,A...,0,PTO,0,Y
