application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10324183,16,2004-01-07,CSRF,0,,0,
10324183,15,2004-01-13,R1021,0,,0,
10324183,17,2004-01-15,CSRI,0,,0,
10324183,18,2004-01-15,CSRF,0,,0,
10324183,19,2004-01-22,R1021,0,,0,
10324183,21,2004-01-22,CSRF,0,,0,
10324183,20,2004-01-22,CSRI,0,,0,
10324183,22,2004-02-03,IFEE,0,,0,
10324183,26,2004-02-03,N084,0,,0,
10324183,23,2004-04-12,R1021,0,,0,
10324183,27,2004-04-14,PILS,0,,0,
10324183,28,2004-04-15,R1021,0,,0,
10324183,29,2004-05-18,PTAC,0,,0,
09729782,25,2000-12-06,DRWF,0,,0,
09729782,18,2004-01-28,D1220,0,,0,
09729782,19,2004-01-29,R1021,0,,0,
09729782,20,2004-01-29,SENT,0,,0,
09729782,21,2004-01-30,R1021,0,,0,
09729782,22,2004-02-27,R1021,0,,0,
09729782,23,2004-04-06,IFEE,0,,0,
09729782,26,2004-04-06,N084,0,,0,
09729782,27,2004-04-13,PILS,0,,0,
09729782,28,2004-04-15,R1021,0,,0,
09729782,29,2004-05-18,PTAC,0,,0,
10179353,32,2003-05-09,DRWF,0,,0,
10179353,27,2004-01-27,R1021,0,,0,
10179353,28,2004-01-27,SENT,0,,0,
10179353,29,2004-03-05,R1021,0,,0,
10179353,30,2004-04-07,IFEE,0,,0,
10179353,31,2004-04-07,N084,0,,0,
10179353,33,2004-04-14,PILS,0,,0,
10179353,34,2004-04-16,R1021,0,,0,
10179353,35,2004-05-18,PTAC,0,,0,
09828518,46,2002-08-28,DRWF,0,,0,
09828518,45,2003-09-30,N084,0,,0,
09828518,39,2003-09-30,IFEE,0,,0,
09828518,40,2003-10-31,SENT,0,,0,
09828518,43,2004-03-31,R1021,0,,0,
09828518,44,2004-04-09,C.AD,0,,0,
09828518,47,2004-04-13,PILS,0,,0,
09828518,48,2004-04-15,R1021,0,,0,
09828518,49,2004-05-18,PTAC,109,PTO,45,
10694789,15,2003-10-29,RCAP,0,,0,
10694789,16,2003-10-29,RQPR,0,,0,
10694789,14,2003-10-29,M844,0,,0,
10694789,1,2003-10-29,IEXX,0,,0,
10694789,13,2003-10-29,A.PE,0,,0,
10694789,2,2003-12-21,SCAN,0,,0,
10694789,4,2004-01-20,L194,0,,0,
10694789,6,2004-01-26,OIPE,0,,0,
10694789,7,2004-01-26,ROIPE,0,,0,
10694789,8,2004-01-26,WROIPE,0,,0,
10694789,9,2004-01-26,ROIPE,0,,0,
10694789,12,2004-01-26,WROIPE,0,,0,
10694789,5,2004-01-27,COMP,0,,0,
10694789,11,2004-01-27,COMP,0,,0,
10694789,10,2004-01-27,W/OA,0,,0,
10694789,18,2004-04-27,TSSCOMP,0,,0,
10694789,17,2004-04-27,DOCK,0,,0,
10694789,20,2004-05-03,N/=.,0,,0,
10694789,22,2004-05-06,MN/=.,0,,0,
10274623,1,2002-10-21,IEXX,0,,0,
10274623,2,2002-10-28,SCAN,0,,0,
10274623,5,2002-11-21,CPAP,0,,0,
10274623,6,2002-12-16,CORRDRW,0,,0,
10274623,7,2002-12-16,ADDFLFEE,0,,0,
10274623,8,2003-01-03,COMP,0,,0,
10274623,9,2003-01-08,OIPE,0,,0,
10274623,10,2003-03-29,DOCK,0,,0,
10274623,11,2003-09-12,M844,0,,0,
10274623,12,2003-12-01,CTNF,0,,0,
10274623,13,2003-12-09,MCTNF,0,,0,
10274623,14,2004-03-09,A...,0,,0,
10274623,16,2004-03-09,C614,0,,0,
10274623,15,2004-03-22,FWDX,0,,0,
10274623,18,2004-05-05,N/=.,0,,0,
10274623,20,2004-05-10,MN/=.,0,,0,
10011986,1,2001-12-04,IEXX,0,,0,
10011986,2,2001-12-21,SCAN,0,,0,
10011986,5,2002-01-09,COMP,0,,0,
10011986,6,2002-01-15,OIPE,0,,0,
10011986,7,2002-02-27,DOCK,0,,0,
10011986,8,2002-04-15,LTDR,0,,0,
10011986,9,2003-11-02,LFLOST,0,,0,
10011986,10,2003-11-03,CTNF,0,,0,
10011986,11,2003-11-14,MCTNF,283,PTO,-1,
10011986,14,2004-02-09,A...,0,,0,
10011986,12,2004-03-31,LFFOUND,0,,0,
10011986,13,2004-04-14,C.AD,0,,0,
10011986,16,2004-04-14,TSSCOMP,0,,0,
10011986,15,2004-04-14,FWDX,0,,0,
10011986,18,2004-05-05,N/=.,0,,0,
10011986,20,2004-05-07,MN/=.,0,,0,
09634215,1,2000-08-09,IEXX,0,,0,
