application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10473852,16,2005-07-07,MCTRS,51,PTO,-1,
10473852,17,2005-08-04,ELC.,0,,0,
10473852,18,2005-08-12,FWDX,0,,0,
10473852,19,2005-09-19,CTNF,0,,0,
10473852,20,2005-09-30,MCTNF,0,,0,
10473852,21,2006-01-30,XT/G,0,,0,
10473852,22,2006-01-30,A...,31,APPL,20,
10473852,23,2006-02-09,FWDX,0,,0,
10473852,26,2006-03-17,N/=.,0,,0,
10473852,28,2006-03-21,MN/=.,0,,0,
10873125,14,2005-12-22,LET.,0,,0,
10873125,15,2006-03-24,DOCK,0,,0,
10873125,17,2006-04-07,CTNF,0,,0,
10873125,18,2006-04-11,MCTNF,231,PTO,-1,
10873125,19,2006-06-23,C614,0,,0,
10873125,20,2006-06-23,A...,0,,0,
10873125,21,2006-07-05,FWDX,0,,0,
10873125,23,2006-07-20,EX.A,0,,0,
10873125,24,2006-07-20,N/=.,0,,0,
10873125,26,2006-07-24,MEX.A,0,,0,
10873125,27,2006-07-24,MN/=.,0,,0,
10445490,1,2003-05-27,IEXX,0,,0,
10445490,6,2003-05-27,RQPR,0,,0,
10445490,2,2003-06-06,SCAN,0,,0,
10445490,3,2003-07-25,COMP,0,,0,
10445490,4,2003-07-25,OIPE,0,,0,
10445490,5,2003-09-03,TI1050,0,,0,
10445490,7,2004-03-21,DOCK,0,,0,
10445490,8,2004-07-14,DOCK,0,,0,
10662388,36,2006-02-27,MCTFR,0,,0,
10662388,37,2006-06-27,XT/G,0,,0,
10662388,41,2006-06-27,A.NE,31,APPL,36,
10662388,42,2006-07-06,FWDX,0,,0,
10662388,44,2006-07-19,N/=.,0,,0,
10662388,46,2006-07-26,MN/=.,0,,0,
10473852,30,2006-06-12,PUBTC,0,,0,
10473852,32,2006-07-21,C.AD,0,,0,
10473852,33,2006-07-21,TCPB,0,,0,
10473852,34,2006-07-21,C/N=,0,,0,
10473852,36,2006-07-25,MC/N=,0,,0,
09769654,1,2001-01-24,IEXX,0,,0,
09769654,2,2001-02-15,SCAN,0,,0,
09769654,35,2001-02-15,M844,0,,0,
09769654,36,2001-02-15,IDSC,0,,0,
09769654,3,2001-03-06,C.AD,0,,0,
09769654,4,2001-03-07,INCD,0,,0,
09769654,5,2001-03-07,COMP,0,,0,
09769654,6,2001-06-04,OIPE,0,,0,
09769654,7,2001-06-11,DOCK,0,,0,
09769654,8,2001-07-14,DOCK,0,,0,
09769654,9,2002-03-02,DOCK,0,,0,
09769654,10,2002-03-02,DOCK,0,,0,
09769654,11,2003-08-11,DOCK,0,,0,
09769654,12,2003-12-18,DOCK,0,,0,
09769654,13,2004-05-10,DOCK,0,,0,
09769654,14,2004-06-14,CTNF,0,,0,
09769654,15,2004-06-17,MCTNF,816,PTO,-1,
10445490,9,2004-07-30,WPET,0,,0,
10445490,11,2004-07-30,PET.,0,,0,
10445490,14,2004-07-30,M844,0,,0,
10445490,15,2004-07-30,RCAP,0,,0,
10445490,10,2004-09-24,DOCK,0,,0,
10445490,12,2004-10-05,MP003,0,,0,
10445490,13,2004-10-17,TI1050,0,,0,
10445490,16,2005-02-05,DOCK,0,,0,
10445490,17,2005-02-05,TSSCOMP,0,,0,
10445490,18,2005-02-08,DOCK,0,,0,
10445490,19,2005-03-03,LET.,0,,0,
10445490,20,2005-05-18,CTNF,0,,0,
10445490,21,2005-05-20,MCTNF,297,PTO,-1,
10445490,24,2005-06-24,A...,0,,0,
10445490,22,2005-07-05,C.AD,0,,0,
10445490,25,2005-07-05,FWDX,0,,0,
10445490,23,2005-07-06,PA..,0,,0,
10445490,26,2005-07-07,CTNF,0,,0,
10445490,27,2005-07-08,MCTNF,0,,0,
10445490,28,2005-10-07,A...,0,,0,
10445490,29,2005-10-20,FWDX,0,,0,
10445490,30,2005-10-25,CTFR,0,,0,
10445490,31,2005-10-27,MCTFR,0,,0,
10445490,32,2006-01-27,BRCE,0,,0,
10445490,34,2006-01-27,RCEX,0,,0,
10445490,33,2006-02-01,ABN9,0,,0,
10445490,35,2006-02-01,FWDX,0,,0,
10445490,37,2006-02-01,FWDX,0,,0,
10445490,38,2006-02-03,EXIN,0,,0,
10445490,39,2006-02-14,MEXIN,0,,0,
10445490,40,2006-02-27,CTNF,0,,0,
10445490,41,2006-03-02,MCTNF,0,,0,
10445490,42,2006-05-18,EXIN,0,,0,
10445490,44,2006-05-22,A...,0,,0,
10445490,43,2006-05-26,MEXIN,0,,0,
10445490,45,2006-06-02,FWDX,0,,0,
10445490,46,2006-06-09,SA..,18,APPL,44,
10445490,47,2006-06-13,FWDX,0,,0,
10445490,49,2006-07-19,N/=.,0,,0,
10445490,51,2006-07-24,MN/=.,0,,0,
11161315,1,2005-07-29,IEXX,0,,0,
11161315,2,2005-07-29,SCAN,0,,0,
11161315,3,2005-08-03,L194,0,,0,
11161315,4,2005-08-08,COMP,0,,0,
11161315,5,2005-08-08,OIPE,0,,0,
11161315,6,2005-08-08,ROIPE,0,,0,
11161315,7,2005-08-08,COMP,0,,0,
11161315,8,2005-08-08,WROIPE,0,,0,
11161315,9,2005-08-11,EIDS.,0,,0,
11161315,12,2005-08-11,IDSC,0,,0,
11161315,10,2005-10-31,DOCK,0,,0,
11161315,11,2005-10-31,TSSCOMP,0,,0,
11161315,13,2006-02-21,CTNF,0,,0,
11161315,14,2006-02-28,MCTNF,0,,0,
10978870,24,2006-06-26,CTNF,0,,0,
10978870,25,2006-06-27,MCTNF,180,PTO,-1,
10978870,26,2006-07-11,A...,0,,0,
10978870,28,2006-07-11,C614,0,,0,
10978870,27,2006-07-20,FWDX,0,,0,
10978870,30,2006-07-24,N/=.,0,,0,
10978870,32,2006-07-25,MN/=.,0,,0,
10486825,1,2004-02-19,IEXX,0,,0,
10486825,5,2004-02-19,371COMP,0,,0,
10486825,8,2004-02-19,A.PE,0,,0,
10486825,9,2004-02-19,M844,0,,0,
10486825,10,2004-02-19,RCAP,0,,0,
10486825,11,2004-02-19,RQPR,0,,0,
10486825,2,2004-06-12,C.AD,0,,0,
10486825,3,2004-06-17,M903,0,,0,
10486825,4,2004-06-17,OIPE,0,,0,
10486825,6,2004-06-25,L194,0,,0,
10486825,7,2004-12-18,DOCK,0,,0,
10486825,12,2004-12-18,TSSCOMP,0,,0,
10486825,13,2005-04-18,CTNF,0,,0,
10486825,14,2005-04-21,MCTNF,2,PTO,-1,
10486825,15,2005-09-08,DOCK,0,,0,
10486825,16,2005-09-21,XT/G,0,,0,
11082817,1,2005-03-18,IEXX,0,,0,
11082817,12,2005-03-18,A.PE,0,,0,
11161315,15,2006-05-16,A...,0,,0,
11161315,17,2006-05-16,C614,0,,0,
11161315,16,2006-05-18,FWDX,0,,0,
11161315,19,2006-07-21,N/=.,0,,0,
11161315,21,2006-07-24,MN/=.,0,,0,
10486825,17,2005-09-21,A...,62,APPL,14,
10486825,18,2005-09-30,FWDX,0,,0,
10486825,20,2005-11-09,N/=.,0,,0,
10486825,22,2005-11-10,MN/=.,0,,0,
10486825,25,2006-04-03,PUBTC,0,,0,
10486825,26,2006-05-17,C.AD,0,,0,
10486825,27,2006-05-17,CNOA,0,,0,
10486825,28,2006-05-23,MCNOA,0,,0,
10486825,29,2006-06-07,CNOA,0,,0,
10486825,30,2006-06-07,MCNOA,0,,0,
