application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11477080,10,2007-03-28,DOCK,0,,0,
11477080,11,2007-07-23,DOCK,0,,0,
11477080,12,2007-07-26,DOCK,0,,0,
11477080,16,2007-08-01,EXIN,0,,0,
11477080,18,2007-08-02,EX.A,0,,0,
11477080,19,2007-08-02,N/=.,0,,0,
11477080,20,2007-08-02,DVER,0,,0,
11477080,22,2007-08-03,MEX.A,0,,0,
11477080,23,2007-08-03,MEXIN,0,,0,
11477080,24,2007-08-03,MN/=.,0,,0,
10845185,1,2004-05-14,IEXX,0,,0,
10845185,10,2004-05-14,WIDS,0,,0,
10845185,10.7,2004-05-14,M844,0,,0,
10845185,11,2004-05-14,RCAP,0,,0,
10845185,2,2004-05-27,SCAN,0,,0,
10845185,4,2004-06-18,L194,0,,0,
10845185,5,2004-07-15,COMP,0,,0,
10845185,6,2004-07-15,OIPE,0,,0,
10845185,7,2004-07-15,ROIPE,0,,0,
10845185,8,2004-07-15,WROIPE,0,,0,
10845185,9,2004-12-01,DOCK,0,,0,
10845185,12,2004-12-01,TSSCOMP,0,,0,
10845185,13,2005-02-15,CTNF,0,,0,
10845185,14,2005-02-15,MCTNF,0,,0,
10845185,15,2005-04-08,C.ADB,0,,0,
10845185,16,2005-05-16,A...,1,APPL,14,
10845185,17,2005-05-23,FWDX,0,,0,
10845185,18,2005-07-07,CTFR,0,,0,
10845185,19,2005-07-11,MCTFR,0,,0,
10845185,20,2005-09-07,DOCK,0,,0,
10845185,21,2005-10-11,N/AP,0,,0,
10845185,22,2005-10-11,AP.C,0,,0,
10845185,23,2005-11-02,APCP,0,,0,
10845185,24,2005-11-07,MAPCP,0,,0,
10845185,25,2005-12-12,AP.B,0,,0,
10845185,26,2005-12-15,FWDX,0,,0,
10845185,27,2006-01-23,DOCK,0,,0,
10845185,28,2006-04-14,APEA,0,,0,
10845185,29,2006-04-18,MAPEA,6,PTO,25,
10845185,30,2006-04-30,C.ADB,0,,0,
10845185,31,2006-06-14,APRB,0,,0,
10845185,32,2006-06-19,FWDX,0,,0,
10845185,33,2006-09-29,CTMS,0,,0,
10845185,34,2006-10-05,MCTMS,0,,0,
10845185,35,2007-02-05,XT/G,0,,0,
10845185,36,2007-02-05,A...,31,APPL,34,
10845185,37,2007-02-26,FWDX,0,,0,
10845185,38,2007-07-03,DOCK,0,,0,
10845185,40,2007-07-05,DVER,0,,0,
10845185,42,2007-07-05,2091,0,,0,
10662098,26,2007-05-24,DOCK,0,,0,
10662098,27,2007-07-06,A...,0,,0,
10662098,28,2007-07-17,FWDX,0,,0,
10662098,30,2007-07-26,N/=.,0,,0,
10662098,31,2007-07-26,DVER,0,,0,
10662098,33,2007-08-07,MN/=.,0,,0,
11175310,1,2005-07-07,IEXX,0,,0,
11175310,12,2005-07-07,RCAP,0,,0,
11175310,13,2005-07-07,WIDS,0,,0,
11175310,13.7,2005-07-07,M844,0,,0,
11175310,19,2005-07-07,IDSC,0,,0,
11175310,2,2005-07-18,SCAN,0,,0,
11175310,4,2005-07-19,L198,0,,0,
11175310,14,2005-08-04,WIDS,0,,0,
11175310,14.7,2005-08-04,M844,0,,0,
11175310,18,2005-08-04,IDSC,0,,0,
11175310,6,2005-08-12,CPAP,0,,0,
11175310,7,2005-08-18,L128,0,,0,
11175310,8,2005-10-07,CORRSPEC,0,,0,
11175310,9,2005-10-07,ADDFLFEE,0,,0,
11175310,15,2005-10-07,A.PE,0,,0,
11175310,11,2005-10-18,OIPE,0,,0,
11175310,10,2005-10-19,COMP,0,,0,
11175310,16,2006-02-14,DOCK,0,,0,
11175310,17,2006-02-14,TSSCOMP,0,,0,
11175310,20,2006-10-06,LET.,0,,0,
11175310,21,2006-10-25,CTNF,0,,0,
11175310,22,2006-10-26,MCTNF,49,PTO,-1,
11175310,23,2006-12-27,A...,0,,0,
11175310,24,2007-01-24,FWDX,0,,0,
11175310,25,2007-03-16,CTFR,0,,0,
11175310,26,2007-03-22,MCTFR,0,,0,
11175310,27,2007-06-18,A.NE,0,,0,
11175310,28,2007-06-25,FWDX,0,,0,
11175310,29,2007-06-27,CTAV,0,,0,
11175310,30,2007-06-29,MCTAV,0,,0,
11175310,31,2007-07-23,BRCE,0,,0,
11175310,33,2007-07-23,XT/G,0,,0,
11175310,35,2007-07-23,RCEX,31,APPL,26,
11175310,32,2007-07-28,C.AD,0,,0,
11175310,34,2007-07-28,ABN9,0,,0,
11175310,36,2007-07-28,FWDX,0,,0,
11175310,38,2007-07-28,FWDX,0,,0,
11175310,42,2007-08-02,DOCK,0,,0,
11175310,43,2007-08-02,N/=.,0,,0,
11175310,44,2007-08-02,DVER,0,,0,
11175310,46,2007-08-03,MN/=.,0,,0,
10920824,1,2004-08-18,IEXX,0,,0,
10920824,2,2004-09-04,SCAN,0,,0,
10920824,4,2004-09-25,L194,0,,0,
10920824,5,2004-10-13,COMP,0,,0,
10920824,6,2004-10-13,OIPE,0,,0,
10845185,44,2007-07-24,N/=.,0,,0,
10845185,46,2007-08-07,MN/=.,63,PTO,36,
10662098,1,2003-09-12,IEXX,0,,0,
10662098,2,2003-10-27,SCAN,0,,0,
10662098,3,2003-11-25,L194,0,,0,
10662098,6,2003-12-13,OIPE,0,,0,
10662098,7,2003-12-13,ROIPE,0,,0,
10662098,9,2003-12-13,WROIPE,0,,0,
10662098,10,2003-12-13,ROIPE,0,,0,
10662098,11,2003-12-13,WROIPE,0,,0,
10662098,5,2003-12-15,COMP,0,,0,
10662098,8,2003-12-15,COMP,0,,0,
10662098,12,2004-04-19,TI1050,0,,0,
10662098,13,2004-05-03,WIDS,0,,0,
10662098,13.7,2004-05-03,M844,0,,0,
10662098,14,2004-05-03,RCAP,0,,0,
10662098,21,2004-05-03,IDSC,0,,0,
10662098,15,2004-06-17,TSSCOMP,0,,0,
10662098,16,2006-06-22,DOCK,0,,0,
10662098,17,2006-08-25,DOCK,0,,0,
10662098,18,2006-11-06,DOCK,0,,0,
10662098,19,2006-11-13,DOCK,0,,0,
10662098,20,2007-01-25,DOCK,0,,0,
10662098,22,2007-04-02,CTNF,0,,0,
10662098,23,2007-04-09,MCTNF,878,PTO,-1,
10662098,24,2007-04-12,SRNF,0,,0,
10662098,25,2007-04-16,MSRNF,0,,0,
11424403,1,2006-06-15,IEXX,0,,0,
11424403,11,2006-06-15,WIDS,0,,0,
11424403,11.7,2006-06-15,EIDS.,0,,0,
11424403,14,2006-06-15,IDSC,0,,0,
11424403,2,2006-06-16,SCAN,0,,0,
11424403,3,2006-06-21,L194,0,,0,
11424403,9,2006-06-26,RQPR,0,,0,
11424403,4,2006-06-29,COMP,0,,0,
11424403,5,2006-06-29,OIPE,0,,0,
11424403,6,2006-06-29,ROIPE,0,,0,
11424403,7,2006-06-29,COMP,0,,0,
11424403,8,2006-06-29,WROIPE,0,,0,
11424403,10,2007-02-14,TI1050,0,,0,
11424403,12,2007-03-01,DOCK,0,,0,
11424403,13,2007-03-01,TSSCOMP,0,,0,
11424403,15,2007-03-08,CTNF,0,,0,
11424403,16,2007-03-09,MCTNF,0,,0,
11424403,17,2007-04-23,A...,0,,0,
11424403,17.1,2007-04-23,A.I.,0,,0,
11424403,19,2007-04-23,C614,0,,0,
11424403,18,2007-05-08,FWDX,0,,0,
11424403,20,2007-06-01,NINA,0,,0,
11424403,21,2007-06-10,A...,48,APPL,17,
11424403,23,2007-06-10,C614,0,,0,
11424403,22,2007-06-14,FWDX,0,,0,
11424403,26,2007-08-01,DVER,0,,0,
11424403,25,2007-08-02,N/=.,0,,0,
11424403,28,2007-08-03,MN/=.,0,,0,
11007435,1,2004-12-08,IEXX,0,,0,
11007435,10,2004-12-08,RQPR,0,,0,
11007435,2,2004-12-29,SCAN,0,,0,
11007435,4,2005-01-03,L194,0,,0,
11007435,5,2005-01-12,COMP,0,,0,
11007435,6,2005-01-12,OIPE,0,,0,
11007435,7,2005-01-12,ROIPE,0,,0,
11007435,8,2005-01-12,WROIPE,0,,0,
11007435,9,2005-06-13,DOCK,0,,0,
11007435,11,2005-06-13,TSSCOMP,0,,0,
11007435,12,2007-01-03,DOCK,0,,0,
11007435,13,2007-01-22,CTNF,0,,0,
11007435,14,2007-01-30,MCTNF,356,PTO,-1,
11007435,15,2007-04-30,A...,0,,0,
11007435,16,2007-05-08,FWDX,0,,0,
11007435,17,2007-07-13,EXIN,0,,0,
11007435,19,2007-07-25,N/=.,0,,0,
11007435,20,2007-07-25,EX.A,0,,0,
11007435,21,2007-07-25,DVER,0,,0,
11007435,23,2007-08-03,MEX.A,0,,0,
11007435,24,2007-08-03,MN/=.,0,,0,
09856779,8,2001-10-03,A371,0,PTO,0,Y
09856779,9,2001-10-24,C.AD,0,PTO,0,Y
09856779,10,2001-10-24,M903,0,PTO,0,Y
09856779,11,2001-10-24,OIPE,0,PTO,0,Y
09856779,12,2001-10-29,SCAN,0,PTO,0,Y
09856779,13,2002-04-12,DOCK,0,PTO,0,Y
09856779,14,2002-12-06,DOCK,0,PTO,0,Y
09856779,15,2003-08-25,CTRS,0,PTO,0,Y
09856779,16,2003-08-27,MCTRS,0,PTO,0,Y
09856779,17,2004-04-16,ABN2,0,PTO,0,Y
09856779,18,2004-04-16,MABN2,0,PTO,0,Y
09856779,27,2004-05-25,XT/G,0,PTO,0,Y
09856779,19,2004-05-25,WPET,0,PTO,0,Y
09856779,28,2004-05-25,ELC.,0,PTO,0,Y
09856779,22,2004-05-25,PET.,0,PTO,0,Y
09856779,21,2004-09-15,C.AD,0,PTO,0,Y
09856779,20,2004-09-15,PA..,0,PTO,0,Y
09856779,23,2004-11-26,MPREV,0,PTO,0,Y
09856779,24,2005-11-04,LET.,0,PTO,0,Y
09856779,30,2005-11-04,LET.,0,PTO,0,Y
09856779,29,2006-01-24,FWDX,0,PTO,0,Y
09856779,26,2006-01-24,MNRAB,0,PTO,0,Y
09856779,25,2006-01-24,NRAB,0,PTO,0,Y
09856779,31,2006-03-31,CTRS,0,PTO,0,Y
09856779,32,2006-04-04,MCTRS,0,PTO,0,Y
09856779,33,2006-04-30,C.ADB,0,PTO,0,Y
09856779,34,2006-05-04,ELC.,0,PTO,0,Y
