application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10830954,12,2005-05-02,DOCK,0,,0,
11507838,28,2008-05-19,L182,0,,0,
11507838,31,2008-06-10,L185,0,,0,
11507838,32,2008-06-16,IFEE,0,,0,
11507838,33,2008-06-16,N084,0,,0,
11507838,34,2008-06-24,PILS,0,,0,
11507838,35,2008-06-24,D1935,0,,0,
11507838,37,2008-07-22,PTAC,0,,0,
11160683,8,2008-01-05,DOCK,0,,0,
11160683,9,2008-01-29,DOCK,0,,0,
11160683,10,2008-06-02,DOCK,0,,0,
11160683,18,2008-06-30,EX.A,0,,0,
11160683,19,2008-06-30,DVER,0,,0,
11160683,20,2008-06-30,N/=.,0,,0,
11160683,22,2008-07-07,MN/=.,671,PTO,-1,
12072360,2,2008-02-25,PDREQUST,0,,0,
12072360,1,2008-02-27,IEXX,0,,0,
12072360,3,2008-03-06,SCAN,0,,0,
12072360,4,2008-03-06,L198,0,,0,
12072360,7,2008-03-08,PGPW,0,,0,
12072360,5,2008-03-10,COMP,0,,0,
12072360,6,2008-03-10,FLRCPT.O,0,,0,
12072360,8,2008-03-21,L128,0,,0,
12072360,9,2008-03-27,PGPC,0,,0,
12072360,10,2008-04-21,WIDS,0,,0,
12072360,12,2008-04-21,M844,0,,0,
12072360,16,2008-04-21,IDSC,0,,0,
12072360,11,2008-05-08,OIPE,0,,0,
12072360,13,2008-05-29,TSSCOMP,0,,0,
12072360,14,2008-05-29,DOCK,0,,0,
12072360,15,2008-06-11,DOCK,0,,0,
12072360,21,2008-07-01,DVER,0,,0,
12072360,22,2008-07-01,N/=.,0,,0,
12072360,24,2008-07-02,MN/=.,0,,0,
10726244,90,2008-03-27,EML_NTF,0,,0,
10726244,91,2008-03-28,ELC_RVW,0,,0,
10726244,93,2008-06-17,IFEE,0,,0,
10726244,94,2008-06-17,N084,0,,0,
10726244,95,2008-06-18,PILS,0,,0,
10726244,96,2008-06-18,D1935,0,,0,
10726244,98,2008-07-22,PTAC,0,,0,
10726244,98.5,2008-07-02,PTA36M,0,PTO,0,
10830954,13,2005-06-14,DOCK,0,,0,
10830954,14,2005-11-02,DOCK,0,,0,
10830954,15,2006-02-08,TI1050,0,,0,
10830954,16,2006-02-08,TI1050,0,,0,
10830954,17,2006-02-22,DOCK,0,,0,
10830954,18,2006-03-22,DOCK,0,,0,
10830954,19,2006-10-05,DOCK,0,,0,
10830954,20,2006-10-17,DOCK,0,,0,
10830954,21,2007-01-18,DOCK,0,,0,
10830954,22,2007-02-05,CTNF,0,,0,
10830954,23,2007-02-09,MCTNF,596,PTO,-1,
10830954,24,2007-03-09,PA..,0,,0,
10830954,25,2007-03-09,C.AD,0,,0,
10830954,26,2007-04-09,WIDS,0,,0,
10830954,26.7,2007-04-09,M844,0,,0,
10830954,30,2007-04-09,IDSC,0,,0,
10830954,27,2007-05-11,A...,2,APPL,23,
10830954,29,2007-05-11,C602,0,,0,
10830954,28,2007-05-22,FWDX,0,,0,
10830954,31,2007-09-04,CTNF,0,,0,
10830954,32,2007-09-14,MCTNF,3,PTO,27,
10830954,34,2007-12-14,A...,0,,0,
10830954,33,2008-01-07,WIDS,0,,0,
10830954,36,2008-01-07,M844,24,APPL,34,
10830954,37,2008-01-07,IDSC,0,,0,
10830954,35,2008-01-10,FWDX,0,,0,
10830954,38,2008-03-17,CTFR,0,,0,
10830954,39,2008-03-19,MCTFR,0,,0,
10830954,40,2008-05-19,A.NE,0,,0,
10830954,41,2008-05-22,FWDX,0,,0,
10830954,42,2008-05-29,WIDS,0,,0,
10830954,43,2008-05-29,IDSC,0,,0,
10830954,45,2008-06-04,WIDS,0,,0,
10830954,46,2008-06-16,DVER,0,,0,
10830954,48,2008-06-23,N/=.,0,,0,
10830954,50,2008-07-02,MN/=.,0,,0,
11476919,1,2006-06-29,IEXX,0,,0,
10999488,29,2008-06-17,IFEE,0,,0,
10999488,30,2008-06-17,N084,0,,0,
10999488,31,2008-06-18,PILS,0,,0,
10999488,32,2008-06-19,D1935,0,,0,
10999488,34,2008-07-22,PTAC,0,,0,
10999488,34.5,2008-07-02,PTA36M,0,PTO,0,
10503727,49,2008-06-17,IFEE,0,,0,
10503727,50,2008-06-17,N084,0,,0,
10503727,51,2008-06-18,PILS,0,,0,
