application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10595221,25,2008-05-09,XT/G,0,,0,
10595221,26,2008-05-09,ELC.,0,,0,
10595221,27,2008-05-30,FWDX,0,,0,
10595221,31,2008-08-01,CTNF,0,,0,
10595221,32,2008-08-01,MCTNF,0,,0,
10595221,33,2009-02-02,XT/G,0,,0,
10595221,34,2009-02-02,A...,93,APPL,32,
10595221,35,2009-02-10,FWDX,0,,0,
10595221,39,2009-04-15,EX.A,0,,0,
10595221,40,2009-04-15,DVER,0,,0,
10595221,42,2009-04-15,N/=.,0,,0,
10595221,43,2009-04-16,MN/=.,0,,0,
11731970,1,2007-04-03,IEXX,0,,0,
11731970,2,2007-04-22,SCAN,0,,0,
11731970,3,2007-04-26,L194,0,,0,
11731970,6,2007-05-04,INCD,0,,0,
11731970,7,2007-05-16,OATHDECL,0,,0,
11731970,8,2007-05-16,ADDFLFEE,0,,0,
11731970,12,2007-05-16,A.PE,0,,0,
11731970,9,2007-05-31,COMP,0,,0,
11731970,10,2007-05-31,PGPC,0,,0,
11731970,11,2007-07-09,OIPE,0,,0,
11731970,13,2007-07-19,TSSCOMP,0,,0,
11731970,14,2007-10-30,DOCK,0,,0,
11731970,15,2007-11-13,CTNF,0,,0,
11731970,16,2007-11-14,MCTNF,0,,0,
11731970,17,2007-12-27,PG-ISSUE,0,,0,
11731970,18,2008-05-14,XT/G,0,,0,
11731970,19,2008-05-14,A...,90,APPL,16,
11731970,20,2008-06-03,FWDX,0,,0,
11731970,21,2008-06-03,C.AD,0,,0,
11731970,22,2008-06-05,PA..,0,,0,
11731970,23,2008-08-08,CTNF,0,,0,
11731970,24,2008-08-11,MCTNF,0,,0,
11731970,25,2008-09-11,A...,0,,0,
11731970,27,2008-09-11,DIST,0,APPL,25,
11731970,26,2008-10-09,FWDX,0,,0,
11731970,28,2008-10-11,P574,0,,0,
11731970,29,2008-12-22,CTEQ,0,,0,
11731970,30,2008-12-29,MCTEQ,0,,0,
11731970,31,2009-02-23,A.QU,0,,0,
11731970,32,2009-03-17,FWDX,0,,0,
11731970,37,2009-04-15,N/=.,0,,0,
11731970,38,2009-04-15,DVER,0,,0,
11731970,40,2009-04-16,MN/=.,0,,0,
11247635,1,2005-10-11,IEXX,0,,0,
11247635,2,2005-10-22,SCAN,0,,0,
11247635,4,2005-10-28,L198,0,,0,
11247635,5,2005-11-09,L128,0,,0,
11247635,6,2005-11-17,INCD,0,,0,
11247635,7,2006-02-07,OATHDECL,0,,0,
11247635,8,2006-02-07,ADDFLFEE,0,,0,
11247635,9,2006-02-13,COMP,0,,0,
11247635,10,2006-02-13,OIPE,0,,0,
11247635,11,2006-02-16,DOCK,0,,0,
11247635,12,2006-02-16,TSSCOMP,0,,0,
11247635,13,2007-01-19,DOCK,0,,0,
11247635,14,2008-06-05,DOCK,0,,0,
11247635,15,2008-06-20,CTRS,0,,0,
11247635,16,2008-06-23,MCTRS,560,PTO,-1,
11247635,20,2008-07-18,ELC.,0,,0,
11247635,21,2008-07-21,FWDX,0,,0,
11247635,22,2008-07-30,CTNF,0,,0,
11247635,23,2008-07-31,MCTNF,0,,0,
11247635,24,2008-10-02,A...,0,,0,
11247635,25,2008-11-01,FWDX,0,,0,
11247635,29,2008-11-24,DOCK,0,,0,
11247635,30,2008-11-24,CTNF,0,,0,
11247635,31,2008-11-28,MCTNF,0,,0,
11247635,32,2009-01-06,A...,0,,0,
11247635,33,2009-01-28,FWDX,0,,0,
11247635,36,2009-03-02,CTFR,0,,0,
11247635,37,2009-03-05,MCTFR,0,,0,
11247635,38,2009-03-20,A.NE,0,,0,
10480063,1,2003-12-08,IEXX,0,,0,
10480063,4,2003-12-08,371COMP,0,,0,
10480063,7,2003-12-08,WIDS,0,,0,
10480063,7.7,2003-12-08,M844,0,,0,
10480063,20,2003-12-08,IDSC,0,,0,
10480063,2,2004-06-08,M903,0,,0,
10480063,3,2004-06-08,OIPE,0,,0,
10480063,5,2004-06-24,L194,0,,0,
10480063,11,2005-01-25,WIDS,0,,0,
10480063,11.7,2005-01-25,M844,0,,0,
10480063,12,2005-01-25,RQPR,0,,0,
10480063,19,2005-01-25,IDSC,0,,0,
10480063,6,2005-02-24,DOCK,0,,0,
10480063,8,2005-02-24,TSSCOMP,0,,0,
10480063,9,2005-04-12,PA..,0,,0,
11247635,39,2009-03-27,FWDX,0,,0,
11247635,45,2009-04-14,DOCK,0,,0,
11247635,46,2009-04-14,N/=.,0,,0,
11247635,47,2009-04-14,DVER,0,,0,
11247635,49,2009-04-16,MN/=.,0,,0,
10480063,10,2005-04-12,C.AD,0,,0,
10480063,13,2005-06-01,DOCK,0,,0,
10480063,14,2005-07-14,DOCK,0,,0,
10480063,15,2005-08-19,WIDS,0,,0,
10480063,15.7,2005-08-19,M844,0,,0,
10480063,18,2005-08-19,IDSC,0,,0,
10480063,16,2006-03-21,DOCK,0,,0,
10480063,17,2007-03-13,DOCK,0,,0,
10480063,21,2007-05-29,CTNF,0,,0,
10480063,22,2007-05-31,DOCK,0,,0,
10480063,23,2007-06-25,MCTNF,867,PTO,4,
10480063,24,2007-09-19,A...,0,,0,
10480063,25,2007-10-09,FWDX,0,,0,
10480063,29,2007-11-26,CTFR,0,,0,
10480063,30,2007-11-29,MCTFR,0,,0,
