application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11767304,8,2007-09-24,FLFEE,0,,0,
11767304,9,2007-10-04,COMP,0,,0,
11767304,10,2007-10-04,PGPC,0,,0,
11767304,11,2007-10-31,OIPE,0,,0,
11767304,14,2007-11-26,TSSCOMP,0,,0,
11767304,15,2008-01-04,DOCK,0,,0,
11767304,16,2008-01-10,PG-ISSUE,0,,0,
11767304,22,2008-12-31,CTNF,0,,0,
11767304,23,2009-01-08,MCTNF,139,PTO,-1,
11767304,24,2009-03-24,A...,0,,0,
11767304,25,2009-04-14,FWDX,0,,0,
11767304,26,2009-06-19,CTFR,0,,0,
11767304,27,2009-06-24,MCTFR,0,,0,
11767304,28,2009-06-24,EML_NTF,0,,0,
11767304,29,2009-06-24,ELC_RVW,0,,0,
11767304,30,2009-07-30,A.NE,0,,0,
11767304,31,2009-08-08,FWDX,0,,0,
11767304,33,2009-08-17,EX.A,0,,0,
11767304,34,2009-08-25,DOCK,0,,0,
11767304,35,2009-08-25,N/=.,0,,0,
11767304,36,2009-08-25,DOCK,0,,0,
11767304,37,2009-08-25,DVER,0,,0,
11767304,39,2009-08-27,MN/=.,0,,0,
11767304,45,2009-09-14,IFEE,0,,0,
11767304,46,2009-09-14,N084,0,,0,
11767304,47,2009-09-21,PILS,0,,0,
11767304,48,2009-09-21,D1935,0,,0,
11767304,52,2009-10-07,WPIR,0,,0,
11767304,53,2009-10-08,EML_NTR,0,,0,
11767304,51,2009-10-27,PTAC,0,,0,
11767304,54,2009-10-27,PGM/,0,,0,
11767304,55,2010-03-12,PET.,0,,0,
11767304,56,2010-04-17,P034,0,,0,
11767304,51.5,2009-10-27,PTA36M,0,PTO,0,
11161273,51,2009-09-10,N084,0,,0,
11161273,53,2009-09-17,D1935,0,,0,
11161273,52,2009-09-17,PILS,0,,0,
11161273,56,2009-09-30,WPIR,0,,0,
11161273,57,2009-10-01,EML_NTR,0,,0,
11161273,55,2009-10-20,PTAC,0,,0,
11161273,58,2009-10-20,PGM/,0,,0,
11161273,59,2010-01-30,PET.,0,,0,
11161273,60,2010-04-17,P034,0,,0,
11161273,55.5,2009-10-20,PTA36M,449,PTO,0,
10852764,1,2004-05-20,IEXX,0,,0,
10852764,2,2004-06-04,SCAN,0,,0,
10852764,4,2004-06-28,L194,0,,0,
10852764,5,2004-07-21,COMP,0,,0,
10852764,6,2004-07-21,OIPE,0,,0,
10852764,7,2004-07-21,ROIPE,0,,0,
10852764,8,2004-07-21,WROIPE,0,,0,
10852764,9,2004-07-21,ROIPE,0,,0,
10852764,10,2004-07-21,W/OA,0,,0,
10852764,11,2004-07-21,CPAP,0,,0,
10852764,12,2004-08-30,CORRSPEC,0,,0,
10852764,17,2004-08-30,C604,0,,0,
10852764,13,2004-09-22,COMP,0,,0,
10852764,14,2004-09-22,WROIPE,0,,0,
10852764,15,2004-09-22,ROIPE,0,,0,
10852764,16,2004-09-22,WROIPE,0,,0,
10852764,18,2005-06-08,DOCK,0,,0,
10852764,19,2005-06-08,TSSCOMP,0,,0,
10852764,20,2005-06-21,DOCK,0,,0,
10852764,22,2006-02-13,LET.,0,,0,
10852764,21,2006-02-28,DOCK,0,,0,
10852764,23,2006-10-16,DOCK,0,,0,
10852764,24,2006-10-30,CTNF,0,,0,
10852764,25,2006-11-03,MCTNF,471,PTO,-1,
10852764,26,2007-02-06,A...,3,APPL,25,
10852764,27,2007-02-24,FWDX,0,,0,
10852764,28,2007-04-04,C.ADB,0,,0,
10852764,29,2007-04-30,CTFR,0,,0,
10852764,30,2007-05-02,MCTFR,0,,0,
10852764,31,2007-07-03,LET.,0,,0,
10852764,32,2007-07-18,EXIN,0,,0,
10852764,33,2007-07-27,MEXIN,0,,0,
10852764,34,2007-08-02,BRCE,0,,0,
10852764,36,2007-08-02,RCEX,0,,0,
10852764,35,2007-08-03,ABN9,0,,0,
10852764,37,2007-08-03,FWDX,0,,0,
10852764,39,2007-08-03,FWDX,0,,0,
10852764,40,2007-10-15,CTNF,0,,0,
11323638,71,2010-02-17,PET.,0,,0,
11323638,72,2010-04-17,P034,0,,0,
11323638,66.5,2008-06-25,PTA36M,0,PTO,0,
10957459,1,2004-09-30,IEXX,0,,0,
10957459,2,2004-10-19,SCAN,0,,0,
10957459,4,2004-11-05,L198,0,,0,
10957459,5,2004-11-29,L128,0,,0,
10957459,6,2004-12-06,COMP,0,,0,
10957459,7,2004-12-06,OIPE,0,,0,
10957459,8,2004-12-06,ROIPE,0,,0,
10957459,9,2004-12-06,WROIPE,0,,0,
10957459,10,2005-03-28,DOCK,0,,0,
10957459,11,2005-03-28,TSSCOMP,0,,0,
10957459,12,2005-04-18,DOCK,0,,0,
10957459,13,2005-07-15,DOCK,0,,0,
10957459,14,2006-03-01,C.ADB,0,,0,
10957459,15,2006-03-22,DOCK,0,,0,
10957459,16,2007-06-26,DOCK,0,,0,
10957459,17,2007-09-07,DOCK,0,,0,
10957459,41,2008-03-17,CTNF,0,,0,
10957459,42,2008-03-25,MCTNF,669,PTO,-1,
10957459,43,2008-06-25,A...,0,,0,
10957459,43.1,2008-06-25,A.I.,0,,0,
10957459,44,2008-07-25,FWDX,0,,0,
10957459,45,2008-07-28,NINA,0,,0,
10957459,46,2008-08-13,A...,49,APPL,43,
10957459,47,2009-03-27,FWDX,0,,0,
10957459,51,2009-06-05,EXIN,0,,0,
10957459,50,2009-06-11,N/=.,0,,0,
10957459,52,2009-06-11,DVER,0,,0,
10957459,54,2009-06-16,MN/=.,0,PTO,46,
10957459,61,2009-09-14,IFEE,0,,0,
10957459,62,2009-09-14,N084,0,,0,
10957459,63,2009-09-18,PILS,0,,0,
10957459,64,2009-09-18,D1935,0,,0,
10957459,67,2009-10-07,WPIR,0,,0,
10852764,41,2007-10-18,MCTNF,0,,0,
10852764,42,2008-01-18,A...,0,,0,
10852764,43,2008-02-05,FWDX,0,,0,
10852764,44,2008-04-12,CTFR,0,,0,
10852764,45,2008-04-16,MCTFR,0,,0,
10852764,46,2008-06-16,BRCE,0,,0,
10852764,48,2008-06-16,RCEX,0,,0,
