application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13076705,1,2011-03-31,IEXX,0,,0,
13076705,2,2011-03-31,SCAN,0,,0,
13076705,3,2011-03-31,WIDS,0,,0,
13076705,5,2011-03-31,WIDS,0,,0,
13076705,13,2011-03-31,M844,0,,0,
13076705,14,2011-03-31,RCAP,0,,0,
13076705,25,2011-03-31,IDSC,0,,0,
13076705,26,2011-03-31,IDSC,0,,0,
13076705,4,2011-04-01,L194,0,,0,
13076705,6,2011-04-12,INCD,0,,0,
13076705,7,2011-04-12,FLRCPT.O,0,,0,
13076705,8,2011-06-08,OATHDECL,0,,0,
13076705,9,2011-06-08,ADDFLFEE,0,,0,
13076705,10,2011-06-16,FLRCPT.U,0,,0,
13076705,11,2011-06-16,OIPE,0,,0,
13076705,12,2011-06-16,COMP,0,,0,
13076705,15,2011-09-22,PG-ISSUE,0,,0,
13076705,16,2011-09-22,DOCK,0,,0,
13076705,17,2011-12-02,WIDS,0,,0,
13076705,18,2011-12-02,RCAP,0,,0,
13076705,19,2011-12-02,M844,0,,0,
13076705,24,2011-12-02,IDSC,0,,0,
13076705,20,2012-03-30,DOCK,0,,0,
13076705,28,2012-04-07,EX.R,0,,0,
13076705,29,2012-04-12,N/=.,0,,0,
13076705,30,2012-04-12,DVER,0,,0,
12427488,2,2009-04-21,SCAN,0,,0,
12427488,3,2009-04-22,L194,0,,0,
12427488,4,2009-05-07,INCD,0,,0,
12427488,5,2009-05-07,FLRCPT.O,0,,0,
12427488,6,2009-05-07,EML_NTF,0,,0,
12427488,7,2009-05-07,EML_NTR,0,,0,
12427488,8,2009-05-07,ELC_RVW,0,,0,
12427488,9,2009-07-02,OATHDECL,0,,0,
12427488,10,2009-07-02,ADDFLFEE,0,,0,
12427488,12,2009-07-08,PGPC,0,,0,
12427488,11,2009-07-09,FLRCPT.U,0,,0,
12427488,13,2009-07-09,EML_NTR,0,,0,
12427488,14,2009-07-27,OIPE,0,,0,
12427488,15,2009-10-22,PG-ISSUE,0,,0,
12427488,16,2009-10-23,EML_NTR,0,,0,
12427488,17,2009-10-23,RQPR,0,,0,
12427488,18,2010-04-02,DOCK,0,,0,
12427488,19,2010-11-19,WIDS,0,,0,
12427488,21,2010-11-19,EIDS.,0,,0,
12427488,26,2010-11-19,IDSC,0,,0,
12427488,27,2011-07-01,CTNF,0,,0,
12427488,29,2011-07-12,MCTNF,386,PTO,.5,
12427488,30,2011-07-12,EML_NTF,0,,0,
12427488,31,2011-07-12,ELC_RVW,0,,0,
12427488,35,2011-10-03,A...,0,,0,
12427488,36,2011-10-05,FWDX,0,,0,
12427488,34,2011-11-04,LET.,0,,0,
12427488,37,2011-11-21,CTFR,0,,0,
12427488,39,2011-12-01,MCTFR,0,,0,
12427488,40,2011-12-01,EML_NTF,0,,0,
12427488,41,2011-12-01,ELC_RVW,0,,0,
12427488,42,2012-01-31,C614,0,,0,
12427488,43,2012-01-31,A.NE,0,,0,
12427488,44,2012-02-01,FWDX,0,,0,
12427488,46,2012-02-06,EX.A,0,,0,
12427488,47,2012-02-06,EX.R,0,,0,
12427488,48,2012-02-08,N/=.,0,,0,
12427488,49,2012-02-08,DVER,0,,0,
12427488,54,2012-02-13,MN/=.,0,,0,
12458170,1,2009-07-02,IEXX,0,,0,
12458170,3,2009-07-02,WIDS,0,,0,
12458170,6,2009-07-02,PDREQUST,0,,0,
12458170,10,2009-07-02,M844,0,,0,
12458170,11,2009-07-02,RCAP,0,,0,
12458170,18,2009-07-02,IDSC,0,,0,
12458170,2,2009-07-09,SCAN,0,,0,
12458170,4,2009-07-11,L194,0,,0,
12458170,7,2009-07-22,FLRCPT.O,0,,0,
13076705,34,2012-04-16,MN/=.,0,,0,
13076705,.5,2011-03-31,EFILE,0,,0,
13076705,37,2012-05-29,N084,0,,0,
13076705,36,2012-05-29,IFEE,0,,0,
13076705,38,2012-05-30,PILS,0,,0,
13076705,39,2012-06-01,D1935,0,,0,
13076705,42,2012-07-03,PTAC,0,,0,
13076705,42.5,2012-07-03,PTA36M,0,PTO,.5,
12427488,.5,2009-04-21,EFILE,0,,0,
12427488,58,2012-03-17,PUBTC,0,,0,
12427488,60,2012-03-20,TCPB,0,,0,
12427488,59,2012-03-20,TCPB,0,,0,
12427488,62,2012-05-08,DRWF,26,APPL,0,
12427488,64,2012-05-08,A.NA,31,APPL,72,
12427488,65,2012-05-10,N084,0,,0,
12427488,63,2012-05-10,IFEE,0,,0,
12427488,66,2012-05-11,PUBTC,0,,0,
12427488,67,2012-06-01,N271,0,,0,
12427488,68,2012-06-01,EX.A,0,,0,
12427488,69,2012-06-02,PILS,0,,0,
12427488,72,2012-06-07,MN271,0,,0,
12427488,73,2012-06-07,TCPB,0,,0,
12427488,75,2012-06-07,D1935,0,,0,
12427488,74,2012-06-07,EML_NTR,0,,0,
12427488,77,2012-07-03,PTAC,0,,0,
12427488,77.5,2012-07-03,PTA36M,73,PTO,.5,
