application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
12381962,36,2012-09-27,MN/=.,0,,0,
12381962,.5,2009-03-18,EFILE,0,,0,
12381962,39,2012-10-10,EXIA,0,,0,
12381962,42,2012-10-15,MCNOA,0,,0,
12381962,38,2012-10-15,CNOA,0,,0,
12381962,45,2012-11-20,N084,0,,0,
12381962,44,2012-11-20,IFEE,0,,0,
12381962,47,2012-11-26,D1935,0,,0,
12381962,46,2012-11-26,PILS,0,,0,
12381962,49,2012-12-25,PTAC,0,,0,
12381962,49.5,2012-12-25,PTA36M,282,PTO,.5,
12381962,20,2012-04-19,MCTNF,32,,.5,
12122293,1,2008-05-16,IEXX,0,,0,
12122293,2,2008-05-16,SCAN,0,,0,
12122293,3,2008-05-19,L198,0,,0,
12122293,14,2008-05-19,RQPR,0,,0,
12122293,24,2008-05-19,RQPR,0,,0,
12122293,4,2008-06-19,L196,0,,0,
12122293,5,2008-06-19,L196,0,,0,
12122293,6,2008-06-19,L196,0,,0,
12122293,7,2008-06-27,COMP,0,,0,
12122293,8,2008-06-27,FLRCPT.O,0,,0,
12122293,9,2008-06-27,PGPW,0,,0,
12122293,10,2008-08-19,ML196,0,,0,
12122293,11,2008-08-19,ML196,0,,0,
12186068,1,2008-08-05,IEXX,0,,0,
12186068,2,2008-08-05,SCAN,0,,0,
12186068,3,2008-08-06,L194,0,,0,
12186068,8,2008-08-08,RQPR,0,,0,
12186068,4,2008-08-18,COMP,0,,0,
12186068,5,2008-08-18,FLRCPT.O,0,,0,
12186068,6,2008-08-18,PGPC,0,,0,
12186068,7,2008-08-28,OIPE,0,,0,
12186068,9,2009-01-10,TSSCOMP,0,,0,
12186068,10,2009-05-16,DOCK,0,,0,
12186068,11,2009-07-23,PG-ISSUE,0,,0,
12186068,12,2009-07-24,EML_NTR,0,,0,
12186068,13,2010-08-06,C.AD,0,,0,
12186068,14,2010-08-11,PA..,0,,0,
12186068,15,2010-10-06,DOCK,0,,0,
12186068,21,2011-03-28,CTNF,0,,0,
12186068,22,2011-04-01,MCTNF,543,PTO,.5,
12186068,23,2011-07-01,A...,0,,0,
12186068,24,2011-07-14,FWDX,0,,0,
12186068,25,2011-07-31,CTFR,0,,0,
12122293,12,2008-08-19,ML196,0,,0,
12122293,15,2009-09-17,L197,0,,0,
12122293,16,2009-09-17,L197,0,,0,
12122293,17,2009-09-17,L197,0,,0,
12122293,18,2009-09-17,L130,0,,0,
12122293,19,2009-09-24,PGPC,0,,0,
12122293,20,2009-09-25,PG-PB-DT,0,,0,
12122293,21,2009-09-25,EML_NTF,0,,0,
12122293,22,2009-09-29,ELC_RVW,0,,0,
12122293,23,2009-10-13,OIPE,0,,0,
12122293,25,2009-12-31,PG-ISSUE,0,,0,
12122293,26,2010-01-01,EML_NTR,0,,0,
12122293,27,2010-01-19,DOCK,0,,0,
12122293,28,2010-03-30,DOCK,0,,0,
12122293,29,2011-03-16,DOCK,0,,0,
12122293,30,2011-03-28,CTRS,0,,0,
12122293,31,2011-04-04,MCTRS,627,PTO,.5,
12122293,32,2011-04-04,EML_NTF,0,,0,
12122293,33,2011-04-04,ELC_RVW,0,,0,
12122293,34,2011-05-04,ELC.,0,,0,
