application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13094092,55,2013-02-09,DVER,0,,0,
13094092,60,2013-02-11,MN/=.,0,,0,
13094092,.5,2011-04-26,EFILE,0,,0,
13094092,63,2013-05-02,IFEE,0,,0,
13094092,64,2013-05-02,N084,0,,0,
13094092,67,2013-05-21,TCPB,0,,0,
13094092,65,2013-05-22,PILS,0,,0,
13094092,66,2013-05-22,D1935,0,,0,
13094092,69,2013-06-18,PTAC,0,,0,
13094092,69.5,2013-06-18,PTA36M,0,PTO,.5,
12508574,48,2012-08-07,A...,0,,0,
12508574,49,2012-08-14,FWDX,0,,0,
12508574,50,2012-10-10,CTFR,0,,0,
12508574,52,2012-10-17,MCTFR,0,,0,
12508574,53,2012-10-17,EML_NTF,0,,0,
12508574,54,2012-10-17,ELC_RVW,0,,0,
12508574,55,2012-10-25,WIDS,0,,0,
12508574,56,2012-10-25,M844,0,,0,
12508574,60,2012-10-25,IDSC,0,,0,
12508574,57,2013-02-08,XT/G,0,,0,
12508574,58,2013-02-08,A.NE,22,APPL,52,
12508574,59,2013-02-11,FWDX,0,,0,
12508574,64,2013-02-12,EX.A,0,,0,
12508574,65,2013-02-14,N/=.,0,,0,
12508574,66,2013-02-14,DVER,0,,0,
12508574,73,2013-02-20,MN/=.,0,,0,
12508574,.5,2009-07-24,EFILE,0,,0,
12508574,79,2013-05-16,N084,0,,0,
12508574,78,2013-05-16,IFEE,0,,0,
12508574,80,2013-05-17,PILS,0,,0,
12508574,81,2013-05-17,D1935,0,,0,
12508574,82,2013-05-17,D1935,0,,0,
12508574,84,2013-06-18,PTAC,0,,0,
12508574,84.5,2013-06-18,PTA36M,329,PTO,.5,
11899920,1,2007-09-10,IEXX,0,,0,
11899920,2,2007-09-13,SCAN,0,,0,
11899920,3,2007-09-13,L198,0,,0,
11899920,4,2007-09-18,L196,0,,0,
11899920,6,2007-09-25,ML196,0,,0,
11899920,8,2007-09-27,INCD,0,,0,
11899920,9,2007-11-12,OATHDECL,0,,0,
11899920,10,2007-11-12,ADDFLFEE,0,,0,
11899920,11,2007-11-16,FLRCPT.U,0,,0,
11899920,12,2007-11-16,PGPW,0,,0,
11899920,13,2008-04-24,L197,0,,0,
11899920,14,2008-04-24,L130,0,,0,
11899920,15,2008-05-01,PGPC,0,,0,
11899920,16,2008-06-19,OIPE,0,,0,
11899920,17,2008-06-26,WIDS,0,,0,
11899920,20,2008-06-26,M844,0,,0,
11899920,21,2008-06-26,RCAP,0,,0,
11899920,71,2013-01-31,M844,114,APPL,54,
11899920,72,2013-02-06,N/=.,0,,0,
11899920,73,2013-02-06,DVER,0,,0,
11899920,79,2013-02-11,MN/=.,2,PTO,54,
11899920,.5,2007-09-07,EFILE,0,,0,
11899920,85,2013-05-13,N084,2,APPL,79,
11899920,84,2013-05-13,IFEE,0,,0,
11899920,87,2013-05-14,M844,10,APPL,94,
