application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13275088,51,2013-12-16,DVER,0,,0,
13275088,55,2013-12-26,MN/=.,0,,0,
13275088,.5,2011-10-17,EFILE,0,,0,
13275088,58,2014-01-02,ELC_RVW,0,,0,
13275088,60,2014-03-21,IFEE,0,,0,
13275088,61,2014-03-21,N084,0,,0,
13275088,62,2014-04-08,PILS,0,,0,
13275088,63,2014-04-09,D1935,0,,0,
13275088,65,2014-05-13,PTAC,0,,0,
13275088,65.5,2014-05-13,PTA36M,0,PTO,.5,
13961860,1,2013-08-07,IEXX,0,,0,
13961860,2,2013-08-07,BIG.,0,,0,
13961860,3,2013-08-08,SCAN,0,,0,
13961860,4,2013-08-15,L194,0,,0,
13961860,7,2013-08-27,OIPE,0,,0,
13961860,8,2013-08-27,COMP,0,,0,
13961860,9,2013-08-27,FTFI,0,,0,
13961860,5,2013-08-28,PA..,0,,0,
13961860,6,2013-08-28,FLRCPT.O,0,,0,
13961860,10,2013-08-28,EML_NTR,0,,0,
13961860,11,2013-08-28,EML_NTR,0,,0,
13961860,12,2013-08-28,COMP,0,,0,
13961860,13,2013-09-06,DOCK,0,,0,
13961860,17,2013-10-25,CTNF,0,,0,
13961860,19,2013-10-30,MCTNF,0,,0,
13961860,20,2013-10-30,EML_NTF,0,,0,
13961860,21,2013-10-30,ELC_RVW,0,,0,
13961860,22,2013-11-21,A...,0,,0,
13961860,23,2013-11-26,FWDX,0,,0,
13961860,24,2013-11-26,CTFR,0,,0,
13961860,27,2013-11-27,EXAT,0,,0,
13961860,28,2013-11-27,EXIA,0,,0,
13961860,26,2013-12-02,MCTFR,0,,0,
13961860,32,2013-12-02,EML_NTF,0,,0,
13961860,34,2013-12-02,ELC_RVW,0,,0,
13961860,33,2013-12-04,MEXAT,0,,0,
13961860,35,2013-12-05,PG-ISSUE,0,,0,
13961860,36,2013-12-06,EML_NTR,0,,0,
13961860,37,2013-12-06,BRCE,0,,0,
13961860,38,2013-12-06,DIST,0,,0,
13961860,39,2013-12-06,P574,0,,0,
13961860,41,2013-12-06,RCEX,0,,0,
13961860,40,2013-12-09,ABN9,0,,0,
13961860,43,2013-12-09,FWDX,0,,0,
13961860,48,2013-12-11,EX.R,0,,0,
13961860,49,2013-12-13,DVER,0,,0,
13961860,54,2013-12-13,N/=.,0,,0,
13961860,57,2013-12-18,MN/=.,0,,0,
13961860,.5,2013-08-07,EFILE,0,,0,
13961860,62,2013-12-26,REAS,0,,0,
13961860,63,2014-03-17,IFEE,0,,0,
13961860,64,2014-03-17,N084,0,,0,
13961860,65,2014-04-03,PILS,0,,0,
13961860,66,2014-04-04,D1935,0,,0,
13961860,68,2014-05-06,PTAC,0,,0,
13961860,68.5,2013-12-05,PTA36M,0,PTO,.5,
13666735,1,2012-11-01,IEXX,0,,0,
13666735,2,2012-11-01,SCAN,0,,0,
13666735,3,2012-11-01,WIDS,0,,0,
13666735,5,2012-11-01,APPERMS,0,,0,
13666735,14,2012-11-01,EIDS.,0,,0,
13666735,16,2012-11-01,IDSC,0,,0,
13666735,4,2012-11-05,L194,0,,0,
13666735,7,2012-11-23,PGPC,0,,0,
13666735,6,2012-11-26,FLRCPT.O,0,,0,
13666735,8,2012-11-26,PA..,0,,0,
13666735,9,2012-11-26,EML_NTR,0,,0,
13666735,10,2012-11-26,EML_NTR,0,,0,
13666735,11,2012-11-26,COMP,0,,0,
13666735,12,2012-12-13,OIPE,0,,0,
13666735,13,2013-01-29,DOCK,0,,0,
13666735,15,2013-03-18,DOCK,0,,0,
13666735,21,2013-08-25,CTNF,0,,0,
13666735,23,2013-09-03,MCTNF,0,,0,
13666735,24,2013-09-03,EML_NTF,0,,0,
13666735,25,2013-09-03,ELC_RVW,0,,0,
13666735,28,2013-12-03,A...,0,,0,
13666735,26,2013-12-05,PG-ISSUE,0,,0,
13666735,27,2013-12-06,EML_NTR,0,,0,
13666735,29,2013-12-07,FWDX,0,,0,
13666735,31,2013-12-09,EX.R,0,,0,
13666735,32,2013-12-09,DVER,0,,0,
