application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13953286,.5,2013-07-29,EFILE,0,,0,
13953286,38,2015-05-05,PTAC,0,,34,
13953286,34,2015-04-07,N084,0,,30,
13953286,3,2013-07-29,SCAN,0,,0,
13953286,1,2013-07-29,IEXX,0,,0,
13953286,2,2013-07-29,BIG.,0,,0,
13953286,5,2013-07-29,PDREQUST,0,,0,
13953286,6,2013-07-29,APPERMS,0,,0,
13953286,4,2013-08-02,L194,0,,0,
13953286,7,2013-08-19,FLRCPT.O,0,,0,
13953286,8,2013-08-19,PGPC,0,,0,
13953286,11,2013-08-19,COMP,0,,0,
13953286,10,2013-08-19,PA..,0,,0,
13953286,9,2013-08-19,FTFI,0,,0,
13953286,12,2013-08-29,OIPE,0,,0,
13953286,13,2013-09-13,DOCK,0,,0,
13953286,14,2014-01-06,PD.RECVD,0,,0,
13953286,15,2014-02-06,PG-ISSUE,0,,0,
13953286,16,2014-08-08,DOCK,0,,0,
13953286,17,2014-10-24,DOCK,0,,0,
13953286,18,2014-11-06,DOCK,0,,0,
13953286,24,2015-01-25,EX.R,0,,0,
13953286,25,2015-01-28,DVER,0,,0,
13953286,26,2015-01-28,N/=.,0,,0,
13953286,30,2015-01-29,MN/=.,122,PTO,.5,
13953286,33,2015-04-07,IFEE,0,,0,
13953286,34,2015-04-07,N084,0,,0,
13953286,35,2015-04-08,PILS,0,,0,
13953286,36,2015-04-09,D1935,0,,0,
13953286,38,2015-05-05,PTAC,0,,0,
13953286,38.5,2015-05-05,PTA36M,0,,.5,
11244663,.5,2005-10-06,EFILE,0,,0,
11244663,128,2015-02-20,MN/=.,2531,,32,
12450196,.5,2008-03-14,NEFILE,0,,0,
12450196,81.4,2009-09-15,COMMN,0,,0,
12450196,73,2015-01-06,MN/=.,1000,,40,
12450196,19,2010-11-09,MCTRS,0,,81.4,
12450196,30,2011-02-02,MCTNF,0,,24,
12450196,36,2011-10-12,MCTFR,0,,32,
12450196,56,2014-09-09,MCTFR,0,,50,
12450196,73,2015-01-06,MN/=.,0,,59,
12450196,81,2015-05-05,PTAC,0,,77,
12450196,24,2011-01-07,ELC.,0,,19,
12450196,50,2014-08-14,A...,0,,45,
12450196,59,2014-12-09,A.NE,0,,56,
11244663,27,2007-11-16,MCTFR,0,,22,
11244663,42,2008-06-04,MCTNF,0,,32,
11244663,68,2009-06-19,MCPA-AMD,0,,61,
11244663,73,2009-10-27,MCTNF,0,,70,
11244663,78,2010-06-08,MCTFR,0,,75,
11244663,128,2015-02-20,MN/=.,0,,115,
11244663,147,2015-05-05,PTAC,0,,133,
11244663,22,2007-08-30,A...,0,,21,
11244663,50,2008-09-04,A...,0,,42,
11244663,55,2009-04-09,RCEX,0,,54,
11244663,70,2009-07-28,A...,0,,68,
11244663,104,2014-04-17,A...,0,,101,
11244663,115,2015-01-19,A.NE,0,,112,
11244663,133,2015-03-12,N084,0,,128,
11244663,6,2005-12-02,ADDFLFEE,0,,5,
11244663,12,2005-10-06,WIDS,0,,0,
11244663,13,2005-10-06,RCAP,0,,0,
11244663,12.7,2005-10-06,M844,0,,0,
11244663,1,2005-10-06,IEXX,0,,0,
11244663,19,2005-10-06,IDSC,0,,0,
11244663,2,2005-10-21,SCAN,0,,0,
12449987,.5,2008-03-06,NEFILE,0,,0,
12449987,151.4,2009-09-04,COMMN,0,,0,
12449987,141,2015-02-05,MN/=.,966,,43,
12449987,38,2012-03-16,MCTFR,0,,34,
12449987,62,2013-12-06,MCTFR,0,,53,
12449987,81,2014-04-03,MCTNF,0,,76,
12449987,94,2014-09-04,MCTFR,0,,90,
12449987,141,2015-02-05,MN/=.,0,,109,
12449987,151,2015-05-05,PTAC,0,,147,
12449987,34,2012-02-03,A...,0,,31,
12449987,43,2012-06-15,RCEX,0,,38,
12449987,53,2013-11-01,A...,0,,48,
12449987,90,2014-07-03,A...,0,,81,
12449987,147,2015-04-01,N084,0,,141,
12449987,15,2009-09-04,A.PE,0,,0,
12449987,1,2009-09-04,IEXX,0,,0,
12449987,9,2009-09-04,371COMP,0,,0,
12449987,14,2009-09-04,RQPR,0,,0,
12449987,2,2009-09-14,SCAN,0,,0,
12449987,3,2009-09-14,L194,0,,0,
12449987,16,2009-09-16,M844,0,,0,
12449987,25,2009-09-16,IDSC,0,,0,
12449987,17,2009-09-16,RCAP,0,,0,
12449987,4,2009-09-16,WIDS,0,,0,
12449987,5,2009-12-08,WIDS,0,,0,
12449987,24,2009-12-08,IDSC,0,,0,
12449987,18,2009-12-08,M844,0,,0,
12449987,6,2009-12-31,M903,0,,0,
12449987,7,2009-12-31,FLRCPT.O,0,,0,
12449987,8,2009-12-31,PGPC,0,,0,
12449987,10,2010-01-07,OIPE,0,,0,
12449987,11,2010-01-14,FLRCPT.C,0,,0,
12449987,12,2010-04-08,PG-ISSUE,0,,0,
12449987,13,2010-04-09,EML_NTR,0,,0,
12449987,19,2011-03-07,DOCK,0,,0,
12449987,20,2011-04-26,DOCK,0,,0,
12450196,77,2015-04-02,N084,0,,73,
12450196,1,2009-09-15,IEXX,0,,0,
12450196,15,2009-09-15,RQPR,0,,0,
12450196,13,2009-09-15,RQPR,0,,0,
12450196,2,2009-09-23,SCAN,0,,0,
12450196,3,2009-09-23,L194,0,,0,
13789384,47,2014-09-10,EML_NTF,0,,0,
13789384,46,2014-09-10,MCTNF,126,PTO,.5,
13789384,48,2014-09-10,ELC_RVW,0,,0,
13789384,49,2014-11-07,WIDS,0,,0,
13789384,50,2014-11-07,M844,0,,0,
13789384,51,2014-11-07,RCAP,0,,0,
13789384,56,2014-11-07,IDSC,0,,0,
13789384,52,2014-12-10,A...,0,,0,
13789384,53,2014-12-15,FWDX,0,,0,
13789384,73,2015-01-05,EXIA,0,,0,
13789384,72,2015-01-05,EXAT,0,,0,
13789384,61,2015-01-06,EXIE,0,,0,
13789384,54,2015-01-06,DIST,27,APPL,52,
13789384,60,2015-01-06,EX.R,0,,0,
13789384,62,2015-01-06,EXET,0,,0,
13789384,55,2015-01-06,P574,0,,0,
13789384,59,2015-01-06,EX.A,0,,0,
13789384,64,2015-01-12,DVER,0,,0,
13789384,63,2015-01-12,N/=.,0,,0,
13789384,77,2015-01-20,EML_NTF,0,,0,
13789384,79,2015-01-20,ELC_RVW,0,,0,
13789384,71,2015-01-20,MN/=.,0,,0,
13789384,80,2015-01-23,MEXAT,0,,0,
13789384,85,2015-03-27,M844,0,,0,
13789384,94,2015-03-27,IDSC,0,,0,
13789384,86,2015-03-27,RCAP,0,,0,
11244663,4,2005-10-28,L194,0,,0,
11244663,5,2005-11-02,INCD,0,,0,
11244663,7,2005-12-02,ADDFLFEE,0,,0,
11244663,18,2005-12-02,IDSC,0,,0,
11244663,6,2005-12-02,OATHDECL,0,,0,
11244663,14.7,2005-12-02,M844,0,,0,
11244663,14,2005-12-02,WIDS,0,,0,
11244663,9,2005-12-12,OIPE,0,,0,
11244663,8,2005-12-12,COMP,0,,0,
11244663,10,2006-01-10,DOCK,0,,0,
11244663,11,2006-01-10,TSSCOMP,0,,0,
11244663,16,2006-08-10,RCAP,0,,0,
11244663,15.7,2006-08-10,M844,0,,0,
11244663,17,2006-08-10,IDSC,0,,0,
11244663,15,2006-08-10,WIDS,0,,0,
11244663,20,2007-05-25,CTNF,0,,0,
11244663,21,2007-05-30,MCTNF,175,PTO,.5,
11244663,22,2007-08-30,A...,0,,0,
12449987,22,2011-06-23,M844,0,,0,
12449987,21,2011-06-23,WIDS,0,,0,
12449987,23,2011-06-23,IDSC,0,,0,
12449987,29,2011-10-28,CTNF,0,,0,
12449987,31,2011-11-03,MCTNF,364,PTO,151.4,
12449987,32,2011-11-03,EML_NTF,0,,0,
12449987,33,2011-11-04,ELC_RVW,0,,0,
12449987,34,2012-02-03,A...,0,,0,
12449987,35,2012-02-13,FWDX,0,,0,
12449987,36,2012-03-12,CTFR,0,,0,
12449987,38,2012-03-16,MCTFR,0,,0,
12449987,39,2012-03-16,EML_NTF,0,,0,
12449987,40,2012-03-16,ELC_RVW,0,,0,
12449987,41,2012-06-15,BRCE,0,,0,
12449987,43,2012-06-15,RCEX,0,,0,
12449987,42,2012-06-26,ABN9,0,,0,
12449987,45,2012-06-26,FWDX,0,,0,
12449987,46,2013-07-24,CTNF,0,,0,
12449987,48,2013-08-01,MCTNF,290,PTO,43,
12449987,50,2013-08-01,ELC_RVW,0,,0,
12449987,49,2013-08-01,EML_NTF,0,,0,
12449987,53,2013-11-01,A...,0,,0,
12449987,52,2013-11-05,EXIA,0,,0,
12449987,51,2013-11-05,EXAT,0,,0,
12449987,54,2013-11-07,FWDX,0,,0,
12449987,57,2013-11-15,MEXAT,0,,0,
12449987,58,2013-11-15,SA..,14,APPL,53,
12449987,59,2013-11-18,FWDX,0,,0,
12449987,60,2013-12-01,CTFR,0,,0,
12449987,62,2013-12-06,MCTFR,0,,0,
12449987,63,2013-12-06,EML_NTF,0,,0,
12449987,64,2013-12-06,ELC_RVW,0,,0,
11244663,23,2007-09-06,FWDX,0,,0,
11244663,26,2007-11-13,CTFR,0,,0,
11244663,27,2007-11-16,MCTFR,0,,0,
11244663,29,2008-03-18,DOCK,0,,0,
11244663,28,2008-03-18,BRCE,0,,0,
11244663,30,2008-03-18,XT/G,0,,0,
11244663,32,2008-03-18,RCEX,28,APPL,27,
11244663,31,2008-03-25,ABN9,0,,0,
11244663,33,2008-03-25,FWDX,0,,0,
11244663,35,2008-03-25,FWDX,0,,0,
11244663,41,2008-06-03,CTNF,0,,0,
11244663,42,2008-06-04,MCTNF,0,,0,
11244663,50,2008-09-04,A...,0,,0,
11244663,52,2008-09-15,IDSC,0,,0,
11244663,44,2008-09-15,EIDS.,11,APPL,50,
11244663,43,2008-09-15,WIDS,0,,0,
11244663,51,2008-10-02,FWDX,0,,0,
11244663,53,2008-12-22,CTFR,0,,0,
11244663,54,2009-01-09,MCTFR,5,PTO,50,
12449987,65,2014-02-14,EXAT,0,,0,
12449987,66,2014-02-14,EXIA,0,,0,
12449987,70,2014-02-24,MEXAT,0,,0,
12449987,71,2014-03-06,A.NE,0,,0,
12449987,72,2014-03-07,FWDX,0,,0,
12449987,74,2014-03-17,XT/G,0,,0,
12449987,76,2014-03-17,RCEX,11,APPL,62,
12449987,73,2014-03-17,BRCE,0,,0,
12449987,75,2014-03-18,ABN9,0,,0,
12449987,78,2014-03-18,FWDX,0,,0,
12449987,79,2014-03-27,CTNF,0,,0,
12449987,81,2014-04-03,MCTNF,0,,0,
12449987,82,2014-04-03,EML_NTF,0,,0,
12449987,83,2014-04-03,ELC_RVW,0,,0,
12449987,84,2014-06-13,EXAT,0,,0,
12450196,4,2009-10-23,M905,0,,0,
12450196,6,2009-12-17,ADDFLFEE,0,,0,
12450196,10,2009-12-17,371COMP,0,,0,
12450196,5,2009-12-17,OATHDECL,0,,0,
12450196,8,2010-01-06,FLRCPT.O,0,,0,
12450196,7,2010-01-06,M903,0,,0,
12450196,9,2010-01-06,PGPC,0,,0,
12450196,11,2010-01-26,OIPE,0,,0,
12450196,12,2010-04-15,PG-ISSUE,0,,0,
12450196,16,2010-09-02,DOCK,0,,0,
12450196,18,2010-11-08,CTRS,0,,0,
12450196,19,2010-11-09,MCTRS,0,,0,
12450196,22,2010-11-12,RCAP,0,,0,
12450196,20,2010-11-12,WIDS,0,,0,
12450196,21,2010-11-12,M844,0,,0,
12450196,26,2010-11-12,IDSC,0,,0,
12450196,23,2011-01-07,XT/G,0,,0,
12450196,24,2011-01-07,ELC.,0,,0,
11244663,55,2009-03-09,A.NE,0,,0,
11244663,56,2009-03-11,FWDX,0,,0,
11244663,57,2009-03-28,CTAV,0,,0,
11244663,58,2009-03-31,MCTAV,0,,0,
11244663,59,2009-04-09,BRCE,0,,0,
11244663,61,2009-04-09,RCEX,0,,0,
11244663,60,2009-04-20,ABN9,0,,0,
11244663,62,2009-04-20,FWDX,0,,0,
11244663,64,2009-04-20,FWDX,0,,0,
11244663,67,2009-06-18,CPA-AMD,0,,0,
11244663,68,2009-06-19,MCPA-AMD,0,,0,
11244663,69,2009-07-28,XT/G,0,,0,
11244663,70,2009-07-28,A...,110,APPL,61,
11244663,71,2009-08-11,FWDX,0,,0,
