application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
13390944,5,2014-02-10,M903,0,,0,
13390944,6,2014-02-10,FLRCPT.O,0,,0,
13390944,7,2014-02-10,PGPC,0,,0,
13390944,9,2014-02-14,OIPE,0,,0,
13390944,11,2014-02-14,FTFI,0,,0,
13390944,10,2014-02-14,COMP,0,,0,
13390944,12,2014-02-18,DOCK,0,,0,
13390944,13,2014-02-25,CTRS,0,,0,
13390944,17,2014-02-28,MCTRS,0,,0,
13390944,18,2014-04-28,ELC.,0,,0,
13390944,19,2014-04-30,FWDX,0,,0,
13390944,21,2014-05-01,IDSC,0,,0,
13390944,20,2014-05-01,IDSC,0,,0,
13390944,22,2014-05-07,CTNF,0,,0,
13390944,24,2014-05-14,MCTNF,0,,0,
13390944,25,2014-05-22,PG-ISSUE,0,,0,
13390944,26,2014-05-30,WIDS,0,,0,
14193035,21,2014-11-20,MCTNF,0,,.5,
14193035,36,2015-04-30,MN/=.,0,,26,
14193035,51,2015-09-01,PTAC,0,,47,
14193035,46,2015-07-29,IFEE,0,,36,
14193035,0,2014-02-28,PTA.RFE,0,,0,
14193035,3,2014-02-28,SCAN,0,,0,
14193035,22,2014-02-28,NPRQ,0,,0,
14193035,9,2014-02-28,PTA.RFE,0,,0,
14193035,2,2014-02-28,BIG.,0,,0,
14193035,1,2014-02-28,IEXX,0,,0,
14193035,4,2014-03-04,L194,0,,0,
14193035,8,2014-03-20,COMP,0,,0,
14193035,7,2014-03-20,FLRCPT.O,0,,0,
14193035,10,2014-03-20,PGPC,0,,0,
14193035,12,2014-03-25,FTFS,0,,0,
14193035,11,2014-03-25,OIPE,0,,0,
14193035,13,2014-07-01,TI1050,0,,0,
14193035,14,2014-08-04,TI1050,0,,0,
14193035,15,2014-08-08,TI1050,0,,0,
14193035,16,2014-08-12,DOCK,0,,0,
14193035,17,2014-11-06,CTNF,0,,0,
14193035,21,2014-11-20,MCTNF,0,,0,
14193035,23,2015-03-02,RESC,0,,0,
14193035,24,2015-03-03,PG-RQST,0,,0,
14193035,25,2015-03-27,XT/G,0,,0,
14193035,28,2015-03-27,LTDR,0,,0,
14193035,26,2015-03-27,A...,35,APPL,21,
14193035,27,2015-04-01,FWDX,0,,0,
14193035,32,2015-04-28,N/=.,0,,0,
14193035,33,2015-04-29,DVER,0,,0,
14193035,36,2015-04-30,MN/=.,0,,0,
13390944,27,2014-05-30,SMAL,0,,0,
13390944,31,2014-11-14,C614,0,,0,
13390944,29,2014-11-14,A...,92,APPL,24,
13390944,28,2014-11-14,XT/G,0,,0,
13390944,30,2014-11-23,FWDX,0,,0,
13390944,33,2014-11-24,CTFR,0,,0,
13390944,32,2014-11-24,IDSC,0,,0,
13390944,35,2014-11-25,MCTFR,0,,0,
13390944,36,2015-02-19,EXAT,0,,0,
13390944,37,2015-02-19,EXIA,0,,0,
13390944,41,2015-02-24,MEXAT,0,,0,
13390944,44,2015-02-25,RAFC,0,,0,
13390944,42,2015-02-25,A.NE,0,,0,
13390944,43,2015-03-03,FWDX,0,,0,
13390944,46,2015-03-04,AFNE,0,,0,
13390944,45,2015-03-04,CTAV,0,,0,
13390944,54,2015-03-23,MCTAV,0,,0,
13390944,58,2015-04-20,RCEX,54,APPL,35,
13390944,56,2015-04-20,XT/G,0,,0,
13390944,55,2015-04-20,BRCE,0,,0,
13390944,57,2015-04-21,ABN9,0,,0,
13390944,60,2015-04-21,FWDX,0,,0,
13390944,65,2015-04-23,EX.A,0,,0,
13390944,66,2015-04-27,N/=.,0,,0,
13390944,67,2015-04-27,DVER,0,,0,
13390944,71,2015-04-28,MN/=.,0,,0,
13390944,73,2015-05-29,FLRCPT.C,0,,0,
13390944,75,2015-07-27,IFEE,0,,0,
13390944,76,2015-07-27,BIG.,0,,0,
13390944,77,2015-07-27,N084,0,,0,
13390944,78,2015-07-28,PILS,0,,0,
