application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
14449909,75,2015-08-12,P574,0,,0,
14449909,77,2015-08-13,EX.R,0,,0,
14449909,80,2015-08-15,DVER,0,,0,
14449909,78,2015-08-15,N/=.,0,,0,
14449909,84,2015-08-19,MN/=.,0,,0,
14449909,86,2015-08-19,ELC_RVW,0,,0,
14449909,85,2015-08-19,EML_NTF,0,,0,
14449909,88,2015-08-31,CCRDY,0,,0,
14449909,90,2015-09-21,C600,0,,0,
13667846,1,2012-11-02,IEXX,0,,0,
13667846,2,2012-11-02,SCAN,0,,0,
13667846,3,2012-11-06,L194,0,,0,
13667846,18,2012-12-05,CPAP,0,,0,
13667846,7,2012-12-07,PA..,0,,0,
13667846,6,2012-12-07,CPAP,0,,0,
13667846,5,2012-12-07,FLRCPT.O,0,,0,
13667846,10,2012-12-07,EML_NTR,0,,0,
13667846,9,2012-12-07,EML_NTR,0,,0,
13667846,8,2012-12-07,EML_NTF,0,,0,
13667846,17,2012-12-07,W/OA,0,,0,
13667846,19,2012-12-07,W/OA,0,,0,
13667846,11,2012-12-07,ELC_RVW,0,,0,
13667846,20,2013-02-05,ADDFLFEE,0,,0,
13667846,12,2013-02-07,WIDS,0,,0,
13667846,48,2013-02-07,M844,0,,0,
13667846,49,2013-02-07,RCAP,0,,0,
13667846,13,2013-07-19,PA..,0,,0,
13667846,14,2013-07-19,EML_NTR,0,,0,
13667846,15,2013-07-24,PA..,0,,0,
14252286,24,2014-10-11,DOCK,0,,0,
14252286,25,2015-04-30,DOCK,0,,0,
14252286,29,2015-05-01,IDSC,0,,0,
14252286,30,2015-05-01,CTNF,0,,0,
14252286,32,2015-05-07,MCTNF,0,,0,
14252286,33,2015-05-07,EML_NTF,0,,0,
14252286,34,2015-05-07,ELC_RVW,0,,0,
14252286,35,2015-08-07,DIST,0,,0,
14252286,36,2015-08-07,P574,0,,0,
14252286,37,2015-08-07,A...,0,,0,
14252286,38,2015-08-13,FWDX,0,,0,
14252286,40,2015-08-20,EX.R,0,,0,
14252286,42,2015-08-21,DVER,0,,0,
14252286,41,2015-08-21,N/=.,0,,0,
14252286,46,2015-08-25,MN/=.,0,,0,
14252286,47,2015-08-25,EML_NTF,0,,0,
14252286,48,2015-08-25,ELC_RVW,0,,0,
14252286,49,2015-08-31,CCRDY,0,,0,
14252286,52,2015-11-20,IFEE,0,,0,
14252286,53,2015-11-20,N084,0,,0,
14449909,92,2015-11-13,C600,0,,0,
14449909,93,2015-11-13,LET.,47,APPL,102,
14449909,95,2015-11-17,EML_NTR,0,,0,
14449909,96,2015-11-17,EML_NTR,0,,0,
14449909,94,2015-11-17,FLRCPT.C,0,,0,
14449909,91,2015-11-17,PA..,0,,0,
14449909,98,2015-11-18,N084,0,,0,
14449909,97,2015-11-18,IFEE,0,,0,
14449909,99,2015-11-19,PILS,0,,0,
14449909,100,2015-11-19,D1935,0,,0,
14449909,102,2015-12-29,PTAC,0,,0,
14449909,102.5,2015-12-29,PTA36M,0,,.5,
13667846,16,2013-07-24,EML_NTR,0,,0,
13667846,26,2013-08-15,MPEN,0,,0,
13667846,25,2013-08-15,FLRCPT.O,0,,0,
13667846,24,2013-08-15,CPAP,0,,0,
13667846,30,2013-08-15,ELC_RVW,0,,0,
13667846,27,2013-08-15,EML_NTF,0,,0,
13667846,28,2013-08-15,EML_NTR,0,,0,
13667846,29,2013-08-15,EML_NTF,0,,0,
13667846,31,2013-09-13,C.AD,0,,0,
13667846,33,2013-09-20,EML_NTR,0,,0,
13667846,32,2013-09-20,PA..,0,,0,
13667846,35,2013-11-14,EML_NTF,0,,0,
13667846,36,2013-11-14,ELC_RVW,0,,0,
13667846,34,2013-11-14,MPEN,0,,0,
13667846,37,2014-02-13,CORRSPEC,0,,0,
13667846,38,2014-02-13,CORRDRW,0,,0,
13667846,39,2014-02-13,ADDFLFEE,0,,0,
13667846,42,2014-02-13,PTA.RFE,0,,0,
13667846,43,2014-02-26,PGPC,0,,0,
13667846,44,2014-02-27,EML_NTR,0,,0,
13667846,41,2014-02-27,COMP,0,,0,
13667846,40,2014-02-27,FLRCPT.U,0,,0,
13667846,45,2014-03-05,OIPE,0,,0,
13667846,46,2014-03-05,FTFI,0,,0,
13667846,47,2014-03-10,DOCK,0,,0,
13667846,50,2014-06-05,PG-ISSUE,0,,0,
13667846,51,2014-06-06,EML_NTR,0,,0,
13667846,55,2014-08-04,IDSC,0,,0,
14252286,1,2014-04-14,IEXX,0,,0,
14252286,2,2014-04-14,BIG.,0,,0,
14252286,3,2014-04-14,SCAN,0,,0,
14252286,4,2014-04-15,L194,0,,0,
14252286,8,2014-05-05,EML_NTF,0,,0,
14252286,7,2014-05-05,EML_NTR,0,,0,
14252286,5,2014-05-05,FLRCPT.O,0,,0,
14252286,9,2014-05-05,ELC_RVW,0,,0,
14252286,6,2014-05-05,INCD,0,,0,
14252286,10,2014-06-02,ADDFLFEE,0,,0,
14252286,14,2014-06-02,PTA.RFE,0,,0,
14252286,15,2014-06-11,FTFI,0,,0,
14252286,16,2014-06-11,OIPE,0,,0,
14252286,12,2014-06-12,COMP,0,,0,
