application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
09841522,26,2002-03-01,R1021,0,,0,
09841522,27,2002-04-11,IFEE,0,,0,
09841522,32,2002-04-11,DRWM,0,,0,
09841522,34,2002-04-11,N084,0,,0,
09841522,33,2002-04-11,DRWF,0,,0,
09841522,28,2002-04-11,R85B,0,,0,
09841522,29,2002-04-11,DRWR,40,APPL,29,
09841522,30,2002-04-11,DRWI,0,,0,
09841522,31,2002-04-22,PILS,0,,0,
09841522,35,2002-04-26,R1021,0,,0,
09841522,36,2002-05-21,PTAC,0,,0,
09728419,19,2002-03-12,R1021,0,,0,
09728419,20,2002-03-12,SENT,0,,0,
09728419,21,2002-04-08,IFEE,0,,0,
09728419,22,2002-04-08,R85B,0,,0,
09728419,25,2002-04-08,N084,0,,0,
09728419,23,2002-04-09,PILS,0,,0,
09728419,24,2002-04-16,R1021,0,,0,
09728419,26,2002-04-22,R1021,0,,0,
09728419,27,2002-05-21,PTAC,0,,0,
09752589,26,2001-01-02,DRWM,0,,0,
09752589,27,2001-01-02,DRWF,0,,0,
09752589,16,2002-01-31,D1220,0,,0,
09752589,17,2002-02-06,R1021,0,,0,
09752589,18,2002-02-06,R1021,0,,0,
09752589,19,2002-02-06,R1021,0,,0,
09752589,20,2002-02-06,R1021,0,,0,
09752589,21,2002-02-06,SENT,0,,0,
09752589,22,2002-03-04,R1021,0,,0,
09752589,23,2002-04-09,IFEE,0,,0,
09752589,28,2002-04-09,N084,0,,0,
09752589,24,2002-04-09,R85B,0,,0,
09752589,25,2002-04-10,PILS,0,,0,
09752589,29,2002-04-23,R1021,0,,0,
09752589,30,2002-05-21,PTAC,0,,0,
09610493,20,2000-07-05,DRWM,0,,0,
09610493,21,2000-07-05,DRWF,0,,0,
09610493,14,2002-03-05,R1021,0,,0,
09610493,15,2002-03-05,SENT,0,,0,
09610493,16,2002-04-01,R1021,0,,0,
09638419,32,2000-08-14,DRWM,0,,0,
09638419,33,2000-08-14,DRWF,0,,0,
09638419,25,2002-02-21,D1220,0,,0,
09638419,26,2002-02-22,R1021,0,,0,
09638419,27,2002-02-22,SENT,0,,0,
09638419,28,2002-03-26,R1021,0,,0,
09638419,29,2002-04-09,IFEE,0,,0,
09638419,30,2002-04-09,R85B,0,,0,
09638419,34,2002-04-09,N084,0,,0,
09638419,31,2002-04-10,PILS,0,,0,
09638419,35,2002-04-18,R1021,0,,0,
09638419,36,2002-05-21,PTAC,0,,0,
09610493,17,2002-04-09,IFEE,0,,0,
09610493,18,2002-04-09,R85B,0,,0,
09610493,22,2002-04-09,N084,0,,0,
09610493,19,2002-04-22,PILS,0,,0,
09610493,23,2002-04-24,R1021,0,,0,
09610493,24,2002-05-21,PTAC,0,,0,
09691302,31,2000-10-17,DRWM,0,,0,
09691302,32,2000-10-17,DRWF,0,,0,
09691302,16,2001-11-06,R1021,0,,0,
09691302,17,2001-11-06,R1021,0,,0,
09691302,22,2001-11-08,SENT,0,,0,
09691302,18,2001-11-27,R1021,0,,0,
09691302,19,2001-12-05,R1021,0,,0,
09691302,20,2001-12-06,R1021,0,,0,
09691302,21,2001-12-28,R1021,0,,0,
09691302,23,2002-02-06,IFEE,0,,0,
09691302,23.5,2002-02-06,R85B,0,,0,
09691302,33,2002-02-06,N084,0,,0,
09691302,24,2002-02-06,DRWR,0,APPL,24,
09691302,25,2002-02-06,BIDS,0,,0,
09691302,26,2002-02-06,FIDS,0,,0,
09691302,27,2002-02-06,A.NA,105,APPL,0,
09691302,28,2002-03-13,EX.A,0,,0,
09691302,29,2002-03-14,MEX.A,0,,0,
09691302,30,2002-03-27,R1021,0,,0,
09691302,34,2002-03-29,PILS,0,,0,
09691302,35,2002-04-02,N271,0,,0,
09691302,36,2002-04-04,R1021,0,,0,
09691302,37,2002-05-21,PTAC,0,,0,
09655227,26,2000-09-05,DRWM,0,,0,
09655227,27,2000-09-05,DRWF,0,,0,
09655227,14,2001-08-13,DOCK,0,,0,
09655227,15,2001-08-15,R1021,0,,0,
09655227,16,2001-08-15,R1021,0,,0,
09655227,17,2001-08-16,SENT,0,,0,
09655227,18,2002-01-14,IFEE,0,,0,
09655227,19,2002-01-14,B312,0,,0,
09655227,28,2002-01-14,N084,0,,0,
09655227,18.5,2002-01-14,R85B,0,,0,
09655227,20,2002-01-14,F312,0,,0,
09655227,21,2002-01-14,A.NA,46,APPL,23,
09655227,22,2002-02-28,N271,0,,0,
09655227,23,2002-02-28,MN271,0,,0,
09655227,24,2002-03-30,PILS,0,,0,
09655227,25,2002-04-04,R1021,0,,0,
09655227,29,2002-04-16,R1021,0,,0,
09655227,30,2002-05-21,PTAC,7,PTO,18,
09749022,1,2000-12-26,IEXX,0,,0,
09749022,2,2001-01-18,SCAN,0,,0,
09749022,6,2001-03-30,C614,0,,0,
09749022,7,2001-03-30,M844,0,,0,
09749022,3,2001-04-02,C.AD,0,,0,
09749022,4,2001-04-05,OIPE,0,,0,
09749022,5,2001-05-16,DOCK,0,,0,
09749022,8,2001-09-20,M844,0,,0,
09749022,9,2001-09-26,A.PE,0,,0,
09749022,10,2001-12-06,DOCK,0,,0,
09749022,12,2002-04-29,N/=.,0,,0,
09749022,13,2002-04-30,MN/=.,63,PTO,-1,
09597624,16,2001-04-04,DOCK,0,,0,
09597624,19,2001-08-21,R1021,0,,0,
09597624,20,2001-08-21,R1021,0,,0,
09597624,21,2001-08-22,SENT,0,,0,
09597624,22,2001-11-13,N/DR,0,,0,
09597624,23,2001-11-13,MN/DR,0,,0,
09597624,24,2002-01-17,IFEE,0,,0,
09597624,37,2002-01-17,N084,0,,0,
09597624,25,2002-01-17,DRWR,120,APPL,25,
09597624,24.5,2002-01-17,R85B,0,,0,
09597624,26,2002-01-17,DRWI,0,,0,
09597624,28,2002-02-21,R1021,0,,0,
09597624,30,2002-03-04,R1021,0,,0,
09597624,31,2002-03-22,CSRI,0,,0,
09597624,32,2002-03-22,CSRF,0,,0,
09597624,34,2002-04-04,R1021,0,,0,
09597624,35,2002-04-15,DRWM,0,,0,
09597624,36,2002-04-15,DRWF,0,,0,
09597624,38,2002-04-16,PILS,0,,0,
09597624,39,2002-04-18,R1021,0,,0,
09597624,40,2002-05-21,PTAC,4,PTO,24,
09671509,26,2000-09-27,DRWM,0,,0,
09671509,27,2000-09-27,DRWF,0,,0,
09671509,18,2001-10-25,R1021,0,,0,
09671509,19,2001-10-25,R1021,0,,0,
09671509,23,2001-10-29,SENT,0,,0,
09671509,20,2001-12-01,R1021,0,,0,
09671509,21,2001-12-17,R1021,0,,0,
09671509,22,2002-01-02,R1021,0,,0,
09671509,24,2002-01-16,IFEE,0,,0,
09671509,28,2002-01-16,N084,0,,0,
09671509,24.5,2002-01-16,R85B,0,,0,
09671509,25,2002-03-30,PILS,0,,0,
09671509,29,2002-04-23,R1021,0,,0,
09671509,30,2002-05-21,PTAC,5,PTO,24,
09721678,1,2000-11-27,IEXX,0,,0,
09721678,2,2000-12-28,SCAN,0,,0,
09721678,6,2001-01-05,M844,0,,0,
09721678,7,2001-01-05,RQPR,0,,0,
09368647,8,1999-08-05,RQPR,0,PTO,0,Y
09368647,1,1999-08-11,IEXX,0,PTO,0,Y
09368647,3,1999-08-19,SCAN,0,PTO,0,Y
09368647,2,1999-08-24,G022,0,PTO,0,Y
09368647,4,1999-08-25,INCD,0,PTO,0,Y
09368647,5,2000-03-22,COMP,0,PTO,0,Y
09368647,6,2000-03-22,OIPE,0,PTO,0,Y
09368647,7,2000-04-10,DOCK,0,PTO,0,Y
09368647,9,2001-02-26,M844,0,PTO,0,Y
09368647,10,2001-08-17,DOCK,0,PTO,0,Y
09368647,11,2001-08-21,CTRS,0,PTO,0,Y
09368647,12,2001-08-21,MCTRS,0,PTO,0,Y
09368647,13,2001-08-21,DOCK,0,PTO,0,Y
09368647,14,2001-09-25,ELC.,0,PTO,0,Y
09368647,15,2001-09-28,FWDX,0,PTO,0,Y
09368647,16,2001-12-03,CTNF,0,PTO,0,Y
09368647,17,2001-12-05,MCTNF,0,PTO,0,Y
09721678,3,2001-03-27,C.AD,0,,0,
09721678,4,2001-03-29,OIPE,0,,0,
09721678,5,2001-04-03,DOCK,0,,0,
09721678,8,2001-05-22,LTDR,0,,0,
09721678,9,2001-05-22,A.PE,0,,0,
09721678,10,2001-05-22,C604,0,,0,
09721678,11,2001-10-09,CTNF,0,,0,
09721678,12,2001-10-11,MCTNF,0,,0,
09721678,13,2002-04-11,XT/G,0,,0,
09721678,14,2002-04-11,LTDR,0,,0,
09721678,15,2002-04-11,A...,90,APPL,12,
09721678,16,2002-04-18,FWDX,0,,0,
09721678,18,2002-04-30,N/=.,0,,0,
09721678,19,2002-04-30,MN/=.,0,,0,
09900726,1,2001-07-09,IEXX,0,,0,
09900726,2,2001-07-25,SCAN,0,,0,
09900726,3,2001-08-23,C.AD,0,,0,
09900726,4,2001-08-24,OIPE,0,,0,
09900726,5,2001-10-30,DOCK,0,,0,
09900726,6,2001-11-30,CTNF,0,,0,
09900726,7,2001-12-05,MCTNF,0,,0,
09900726,8,2002-02-19,A...,0,,0,
09900726,8.1,2002-02-19,A.I.,0,,0,
09900726,9,2002-03-05,FWDX,0,,0,
09900726,10,2002-03-06,NINA,0,,0,
09900726,11,2002-03-18,A...,13,APPL,7,
09900726,12,2002-03-26,FWDX,0,,0,
09900726,14,2002-04-30,N/=.,0,,0,
09900726,15,2002-04-30,MN/=.,0,,0,
09368647,18,2002-03-14,A...,0,PTO,0,Y
09368647,19,2002-03-27,FWDX,0,PTO,0,Y
09368647,21,2002-04-30,N/=.,0,PTO,0,Y
09368647,22,2002-04-30,N/DR,0,PTO,0,Y
09368647,23,2002-04-30,MN/DR,0,PTO,0,Y
09368647,24,2002-04-30,MN/=.,0,PTO,0,Y
09608825,25,2001-07-11,SENT,0,,0,
09608825,24,2001-12-21,D1220,0,,0,
09608825,26,2002-01-14,R1021,0,,0,
09608825,27,2002-04-01,IFEE,0,,0,
09608825,31,2002-04-01,DRWI,0,,0,
09608825,33,2002-04-01,DRWF,0,,0,
09608825,34,2002-04-01,N084,0,,0,
09608825,32,2002-04-01,DRWM,0,,0,
09608825,30,2002-04-01,DRWR,50,APPL,30,
09608825,28,2002-04-01,R85B,0,,0,
09608825,29,2002-04-02,PILS,0,,0,
09608825,35,2002-04-22,R1021,0,,0,
09608825,36,2002-05-21,PTAC,0,,0,
09765480,16,2001-11-07,R1021,0,,0,
09765480,17,2001-11-21,R1021,0,,0,
09455537,41,2002-01-09,D1220,0,,0,
09455537,42,2002-01-10,R1021,0,,0,
09455537,43,2002-04-01,IFEE,0,,0,
09455537,44,2002-04-01,R85B,0,,0,
09455537,47,2002-04-01,N084,0,,0,
09455537,48,2002-04-13,PILS,0,,0,
09455537,49,2002-04-17,R1021,0,,0,
09455537,50,2002-05-21,PTAC,0,,0,
09765480,18,2001-11-21,SENT,0,,0,
09765480,19,2001-12-28,R1021,0,,0,
09765480,20,2002-02-21,DRWR,89,APPL,20,
09765480,21,2002-03-05,IFEE,0,,0,
09765480,26,2002-03-05,N084,0,,0,
09765480,25,2002-03-05,DRWF,0,,0,
09765480,21.5,2002-03-05,R85B,0,,0,
09765480,23,2002-03-05,SMAL,0,,0,
09765480,24,2002-03-05,DRWM,0,,0,
09765480,22,2002-03-30,PILS,0,,0,
09765480,27,2002-04-22,R1021,0,,0,
09765480,28,2002-05-21,PTAC,0,,0,
10050731,1,2002-01-18,IEXX,0,,0,
10050731,2,2002-01-29,SCAN,0,,0,
10050731,4,2002-02-14,COMP,0,,0,
10050731,5,2002-02-15,OIPE,0,,0,
10050731,6,2002-03-15,DOCK,0,,0,
10050731,7,2002-04-23,DOCK,0,,0,
10050731,9,2002-04-29,N/=.,0,,0,
10050731,10,2002-04-30,MN/=.,0,,0,
09259130,30,2001-08-01,R1021,0,,0,
09259130,31,2001-08-01,R1021,0,,0,
09259130,28,2001-10-18,BIDS,0,,0,
09259130,29,2001-10-18,FIDS,0,,0,
09259130,32,2001-11-26,R1021,0,,0,
09259130,37,2002-01-12,A.NA,81,APPL,40,
09259130,34,2002-01-15,B312,0,,0,
09259130,36,2002-01-15,F312,0,,0,
09259130,35,2002-01-23,IFEE,0,,0,
09259130,35.5,2002-01-23,R85B,0,,0,
09259130,44,2002-01-23,N084,0,,0,
09259130,38,2002-03-30,PILS,0,,0,
09259130,39,2002-04-02,N271,0,,0,
09259130,40,2002-04-02,MN271,0,,0,
09259130,41,2002-04-08,R1021,0,,0,
09259130,45,2002-04-18,R1021,0,,0,
09259130,46,2002-05-21,PTAC,0,,0,
09641736,1,2000-08-18,IEXX,0,,0,
09641736,2,2000-09-08,SCAN,0,,0,
09641736,3,2000-10-03,C.AD,0,,0,
09641736,4,2000-10-25,OIPE,0,,0,
09641736,5,2000-11-20,DOCK,0,,0,
09641736,6,2001-01-02,CTNF,0,,0,
09641736,7,2001-01-03,MCTNF,0,,0,
09641736,8,2001-04-16,XT/G,0,,0,
09641736,9,2001-04-16,A...,13,APPL,7,
09641736,10,2001-04-24,FWDX,0,,0,
09641736,11,2001-04-30,CTFR,0,,0,
09641736,12,2001-04-30,MCTFR,0,,0,
09641736,13,2001-07-02,A.NE,0,,0,
09641736,14,2001-07-09,FWDX,0,,0,
09641736,15,2001-07-11,CTAV,0,,0,
09641736,16,2001-07-11,MCTAV,0,,0,
09641736,18,2001-07-23,ABN3,0,,0,
09641736,19,2001-07-23,MABN3,0,,0,
09641736,20,2001-07-23,FRCE,0,,0,
09641736,17,2001-07-23,BRCE,0,,0,
09641736,21,2001-07-23,RCEX,0,,0,
09641736,23,2001-07-24,M844,0,,0,
09641736,22,2001-07-27,FWDX,0,,0,
09641736,24,2001-08-27,CTNF,0,,0,
09641736,25,2001-08-27,MCTNF,0,,0,
09641736,26,2002-01-14,A...,48,APPL,25,
09641736,27,2002-02-01,FWDX,0,,0,
09641736,28,2002-02-04,CTFR,0,,0,
09641736,29,2002-02-04,MCTFR,0,,0,
09641736,30,2002-04-02,A.NE,0,,0,
09641736,31,2002-04-04,FWDX,0,,0,
09641736,32,2002-04-08,CTAV,0,,0,
09641736,33,2002-04-09,MCTAV,0,,0,
09641736,34,2002-04-22,A.NE,0,,0,
09641736,35,2002-04-26,FWDX,0,,0,
09641736,37,2002-04-30,N/=.,0,,0,
09641736,38,2002-04-30,N/DR,0,,0,
09641736,39,2002-04-30,MN/DR,0,,0,
09641736,40,2002-04-30,MN/=.,0,,0,
09664506,1,2000-09-18,IEXX,0,,0,
09664506,2,2000-10-16,SCAN,0,,0,
09664506,3,2000-11-15,C.AD,0,,0,
09664506,4,2000-11-15,OIPE,0,,0,
