application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10255725,6,2002-10-31,COMP,0,,0,
10255725,7,2002-11-01,OIPE,0,,0,
10255725,8,2002-11-22,TI1050,0,,0,
10255725,9,2002-12-16,DOCK,0,,0,
10255725,11,2003-04-14,A.PE,0,,0,
10255725,13,2003-07-14,N/=.,0,,0,
10255725,14,2003-07-14,MN/=.,0,,0,
10042206,1,2002-01-11,IEXX,0,,0,
10042206,6,2002-01-11,RQPR,0,,0,
10042206,2,2002-01-24,SCAN,0,,0,
10042206,3,2002-02-05,COMP,0,,0,
10042206,4,2002-02-06,OIPE,0,,0,
10042206,5,2002-03-15,TI1050,0,,0,
10042206,7,2002-04-23,DOCK,0,,0,
10042206,8,2003-02-04,CTNF,0,,0,
10042206,9,2003-02-06,MCTNF,0,,0,
10042206,10,2003-06-25,XT/G,0,,0,
10042206,13,2003-06-25,C604,0,,0,
10042206,14,2003-06-25,LTDR,0,,0,
10042206,11,2003-06-25,A...,50,APPL,9,
10042206,12,2003-07-02,FWDX,0,,0,
10042206,16,2003-07-14,N/=.,0,,0,
10042206,17,2003-07-14,MN/=.,0,,0,
09726528,1,2000-12-01,IEXX,0,,0,
09726528,2,2000-12-21,SCAN,0,,0,
09726528,3,2001-01-04,C.AD,0,,0,
09726528,4,2001-01-31,OIPE,0,,0,
09726528,5,2001-03-09,DOCK,0,,0,
09726528,6,2001-03-28,M844,0,,0,
09726528,7,2001-06-09,DOCK,0,,0,
09726528,8,2002-01-18,DOCK,0,,0,
09726528,9,2002-03-08,CTNF,0,,0,
09726528,10,2002-03-08,RE15,0,,0,
09726528,11,2002-03-11,MCTNF,38,PTO,-1,
09726528,12,2002-07-11,XT/G,0,,0,
09726528,13,2002-07-11,A...,30,APPL,11,
09726528,14,2002-07-23,FWDX,0,,0,
09726528,15,2002-07-23,AC15,0,,0,
09726528,16,2002-10-08,CTNF,0,,0,
09726528,17,2002-10-09,MCTNF,0,,0,
09726528,18,2003-01-08,A...,0,,0,
09726528,19,2003-01-17,FWDX,0,,0,
09726528,20,2003-03-15,CTFR,0,,0,
09726528,21,2003-03-17,MCTFR,0,,0,
09726528,22,2003-06-11,A.NE,0,,0,
09726528,23,2003-07-02,FWDX,0,,0,
09726528,25,2003-07-14,N/=.,0,,0,
09726528,26,2003-07-15,MN/=.,0,,0,
09692750,17,2002-06-28,MCTFR,0,,0,
09692750,18,2002-09-05,A.NE,0,,0,
09692750,19,2002-09-10,FWDX,0,,0,
09692750,20,2002-09-17,CTAV,0,,0,
09692750,21,2002-09-17,MCTAV,0,,0,
09692750,22,2002-10-09,EXIN,0,,0,
09692750,23,2002-10-10,MEXIN,0,,0,
09692750,24,2002-10-28,BRCE,0,,0,
09692750,25,2002-10-28,XT/G,0,,0,
09692750,27,2002-10-28,RCEX,0,,0,
09692750,26,2002-11-01,ABN9,0,,0,
09692750,28,2002-11-01,FWDX,0,,0,
09692750,30,2002-11-01,FWDX,0,,0,
09692750,31,2003-01-13,CTNF,0,,0,
09692750,32,2003-01-14,MCTNF,9,PTO,18,
09692750,33,2003-05-06,XT/G,0,,0,
09692750,34,2003-05-06,A...,22,APPL,32,
09692750,35,2003-05-12,FWDX,0,,0,
09692750,37,2003-07-14,N/=.,0,,0,
09692750,38,2003-07-15,MN/=.,0,,0,
09560818,1,2000-04-28,IEXX,0,PTO,0,Y
09560818,9,2000-04-28,M844,0,PTO,0,Y
09560818,2,2000-05-22,SCAN,0,PTO,0,Y
09560818,3,2000-07-08,C.AD,0,PTO,0,Y
09560818,4,2000-07-10,INCD,0,PTO,0,Y
09560818,10,2000-09-11,M844,0,PTO,0,Y
