application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10421380,25,2004-03-02,CTNF,0,,0,
10421380,26,2004-03-05,MCTNF,0,,0,
10421380,27,2004-07-09,WAMD,0,,0,
10421380,28,2004-07-09,XT/G,0,,0,
10421380,29,2004-07-09,A...,34,APPL,26,
10421380,21,2004-08-07,DOCK,0,,0,
10421380,30,2004-08-26,FWDX,0,,0,
10421380,32,2004-08-26,N/=.,0,,0,
10421380,33,2004-08-26,MN/=.,0,,0,
10394432,1,2003-03-20,IEXX,0,,0,
10394432,2,2003-04-08,SCAN,0,,0,
10394432,14,2003-07-22,C614,0,,0,
10394432,6,2003-07-22,CORRDRW,0,,0,
10394432,8,2003-07-22,FLFEE,0,,0,
10394432,7,2003-07-22,OATHDECL,0,,0,
10394432,15,2003-07-22,C602,0,,0,
10394432,9,2003-08-19,COMP,0,,0,
10394432,10,2003-08-19,OIPE,0,,0,
10394432,13,2003-08-19,WROIPE,0,,0,
10394432,11,2003-08-19,ROIPE,0,,0,
10394432,12,2003-08-20,COMP,0,,0,
10394432,17,2004-01-23,TSSCOMP,0,,0,
10394432,16,2004-01-23,DOCK,0,,0,
10394432,20,2004-08-24,N/=.,0,,0,
10394432,19,2004-08-24,DOCK,0,,0,
10394432,22,2004-08-26,MN/=.,98,PTO,-1,
10807200,1,2004-03-24,IEXX,0,,0,
10807200,2,2004-03-30,SCAN,0,,0,
10807200,4,2004-04-19,L194,0,,0,
10807200,6,2004-06-03,OIPE,0,,0,
10807200,11,2004-06-03,WROIPE,0,,0,
10807200,9,2004-06-03,WROIPE,0,,0,
10807200,10,2004-06-03,ROIPE,0,,0,
10807200,7,2004-06-03,ROIPE,0,,0,
10807200,5,2004-06-04,COMP,0,,0,
10807200,8,2004-06-04,COMP,0,,0,
10807200,13,2004-06-22,TSSCOMP,0,,0,
10807200,14,2004-06-22,DOCK,0,,0,
10807200,12,2004-06-22,DOCK,0,,0,
10807200,16,2004-08-27,EX.A,0,,0,
10807200,18,2004-08-27,N/=.,0,,0,
10807200,17,2004-08-27,DOCK,0,,0,
10807200,20,2004-08-30,MEX.A,0,,0,
10807200,21,2004-08-30,MN/=.,0,,0,
10706895,1,2003-11-13,IEXX,0,,0,
10706895,2,2003-12-20,SCAN,0,,0,
10706895,4,2004-02-01,L194,0,,0,
10706895,6,2004-02-12,OIPE,0,,0,
10706895,5,2004-02-13,COMP,0,,0,
10706895,7,2004-02-13,COMP,0,,0,
10706895,12,2004-02-13,ROIPE,0,,0,
10706895,13,2004-02-13,WROIPE,0,,0,
10706895,11,2004-02-13,WROIPE,0,,0,
10706895,8,2004-02-13,ROIPE,0,,0,
10706895,9,2004-02-13,W/OA,0,,0,
10706895,10,2004-02-17,COMP,0,,0,
10706895,14,2004-02-19,COMP,0,,0,
10706895,16,2004-03-10,M844,0,,0,
10706895,15,2004-03-15,DOCK,0,,0,
10706895,17,2004-04-21,RCAP,0,,0,
10706895,18,2004-05-04,DOCK,0,,0,
10706895,19,2004-06-09,CTNF,0,,0,
10706895,20,2004-06-14,MCTNF,0,,0,
10706895,22,2004-07-30,A...,0,,0,
10706895,21,2004-07-30,WAMD,0,,0,
10706895,23,2004-08-17,FWDX,0,,0,
10706895,26,2004-08-24,N/=.,0,,0,
10706895,25,2004-08-24,DOCK,0,,0,
10706895,28,2004-08-26,MN/=.,0,,0,
09636510,38,2004-08-27,MP025,0,PTO,0,
09441740,1,1999-11-24,IEXX,0,PTO,0,Y
09441740,2,1999-12-10,SCAN,0,PTO,0,Y
09441740,3,1999-12-15,INCD,0,PTO,0,Y
09441740,4,2000-01-10,COMP,0,PTO,0,Y
09441740,5,2000-01-13,OIPE,0,PTO,0,Y
09441740,6,2000-02-29,DOCK,0,PTO,0,Y
09441740,7,2000-10-06,DOCK,0,PTO,0,Y
09441740,9,2000-10-06,DOCK,0,PTO,0,Y
10201477,1,2002-07-23,IEXX,0,,0,
10201477,6,2002-07-23,M844,0,,0,
10201477,2,2002-08-05,SCAN,0,,0,
10201477,3,2002-08-16,COMP,0,,0,
10201477,4,2002-08-23,OIPE,0,,0,
10201477,5,2002-10-08,DOCK,0,,0,
10201477,7,2003-10-20,TI1050,0,,0,
10201477,8,2003-12-18,RCAP,0,,0,
10201477,9,2003-12-18,TSSCOMP,0,,0,
10201477,10,2004-08-18,WAMD,0,,0,
10201477,12,2004-08-27,DOCK,0,,0,
10201477,13,2004-08-27,N/=.,0,,0,
10201477,14,2004-08-27,N/DR,0,,0,
10201477,16,2004-08-31,MN/DR,0,,0,
10201477,17,2004-08-31,MN/=.,343,PTO,-1,
10103204,1,2002-03-20,IEXX,0,,0,
10103204,2,2002-04-05,SCAN,0,,0,
10103204,4,2002-04-25,COMP,0,,0,
10103204,5,2002-04-26,OIPE,0,,0,
10103204,7,2002-06-06,M844,0,,0,
10103204,6,2002-06-10,DOCK,0,,0,
10103204,8,2003-07-01,DOCK,0,,0,
10103204,9,2003-10-06,DOCK,0,,0,
10103204,10,2003-12-23,M844,0,,0,
10103204,11,2004-01-26,CTNF,0,,0,
10103204,12,2004-01-30,MCTNF,255,PTO,-1,
10103204,13,2004-03-19,C.ADB,0,,0,
10103204,14,2004-04-12,WAMD,0,,0,
10103204,15,2004-04-12,A...,0,,0,
10103204,16,2004-04-24,FWDX,0,,0,
10103204,17,2004-05-24,CTFR,0,,0,
10103204,18,2004-05-26,MCTFR,0,,0,
10103204,19,2004-07-26,WAMD,0,,0,
10103204,20,2004-07-26,A.NE,0,,0,
10103204,21,2004-08-11,FWDX,0,,0,
09441740,8,2001-07-14,DOCK,0,PTO,0,Y
09441740,10,2001-11-06,DOCK,0,PTO,0,Y
09441740,11,2003-07-03,DOCK,0,PTO,0,Y
09441740,12,2003-07-18,DOCK,0,PTO,0,Y
09441740,13,2003-09-08,CTNF,0,PTO,0,Y
09441740,14,2003-09-12,MCTNF,0,PTO,0,Y
09441740,15,2003-10-03,C.ADB,0,PTO,0,Y
09441740,16,2003-12-16,DOCK,0,PTO,0,Y
09441740,17,2004-03-15,XT/G,0,PTO,0,Y
09441740,18,2004-03-15,A...,0,PTO,0,Y
09441740,19,2004-03-19,FWDX,0,PTO,0,Y
09441740,20,2004-06-14,CTEQ,0,PTO,0,Y
09441740,21,2004-06-15,MCTEQ,0,PTO,0,Y
09441740,23,2004-07-02,A.QU,0,PTO,0,Y
09441740,22,2004-07-02,WAMD,0,PTO,0,Y
09441740,24,2004-07-23,FWDX,0,PTO,0,Y
09441740,28,2004-08-08,N/OD,0,PTO,0,Y
09441740,29,2004-08-08,N/BD,0,PTO,0,Y
09441740,27,2004-08-08,N/DR,0,PTO,0,Y
09441740,26,2004-08-08,N/=.,0,PTO,0,Y
09441740,32,2004-08-30,MN/DR,0,PTO,0,Y
09441740,33,2004-08-30,MN/=.,0,PTO,0,Y
09441740,31,2004-08-30,MN/OD,0,PTO,0,Y
09441740,30,2004-08-30,MN/BD,0,PTO,0,Y
10235481,15,2004-03-03,A...,91,APPL,13,
10235481,16,2004-03-11,FWDX,0,,0,
10235481,17,2004-03-11,TSSA,0,,0,
10235481,18,2004-03-25,CTFR,0,,0,
10235481,19,2004-03-29,MCTFR,0,,0,
10235481,20,2004-08-13,EXIN,0,,0,
10235481,21,2004-08-17,MEXIN,0,,0,
10235481,22,2004-08-17,WAMD,0,,0,
10235481,23,2004-08-17,XT/G,0,,0,
10235481,24,2004-08-17,A.NE,49,APPL,19,
10235481,25,2004-08-26,FWDX,0,,0,
10235481,27,2004-08-27,N/=.,0,,0,
10235481,29,2004-08-30,MN/=.,0,,0,
10103204,24,2004-08-23,N/=.,0,,0,
10103204,23,2004-08-23,EX.A,0,,0,
10103204,26,2004-08-26,MEX.A,0,,0,
10103204,27,2004-08-26,MN/=.,0,,0,
10178988,7,2002-06-25,A.PE,0,,0,
10178988,2,2002-07-10,SCAN,0,,0,
10178988,3,2002-07-30,COMP,0,,0,
10178988,4,2002-07-31,OIPE,0,,0,
10178988,6,2002-09-13,M844,0,,0,
10178988,5,2002-12-12,DOCK,0,,0,
10178988,8,2004-03-22,CTNF,0,,0,
10178988,9,2004-03-25,MCTNF,213,PTO,-1,
10178988,10,2004-05-18,C.AD,0,,0,
10178988,11,2004-06-25,WAMD,0,,0,
10178988,12,2004-06-25,A...,0,,0,
10178988,13,2004-07-07,FWDX,0,,0,
10178988,15,2004-08-24,DOCK,0,,0,
10178988,16,2004-08-24,N/=.,0,,0,
10178988,18,2004-08-25,MN/=.,0,,0,
10105785,1,2002-03-25,IEXX,0,,0,
10105785,2,2002-04-07,SCAN,0,,0,
10105785,3,2002-04-18,INCD,0,,0,
10105785,4,2002-05-29,OATHDECL,0,,0,
10105785,5,2002-05-29,ADDFLFEE,0,,0,
10105785,6,2002-07-02,COMP,0,,0,
10105785,7,2002-07-05,OIPE,0,,0,
10105785,8,2002-07-19,DOCK,0,,0,
10105785,16,2002-09-18,RCAP,0,,0,
10105785,9,2002-09-18,M844,0,,0,
10105785,10,2003-11-17,CTNF,0,,0,
10105785,11,2003-12-22,MCTNF,211,PTO,-1,
10105785,12,2004-04-30,WAMD,0,,0,
10105785,13,2004-04-30,XT/G,0,,0,
10105785,14,2004-04-30,A...,39,APPL,11,
10141873,34,2004-02-20,DRWF,0,,0,
10616834,24,2004-04-20,R1021,0,,0,
10616834,31,2004-05-24,BIG.,0,,0,
10616834,26,2004-05-24,WPET,0,,0,
10616834,25,2004-05-25,SENT,0,,0,
10616834,30,2004-06-04,N084,0,,0,
10616834,27,2004-06-04,IFEE,0,,0,
10616834,28,2004-07-23,R1021,0,,0,
10616834,29,2004-07-23,R1021,0,,0,
10616834,33,2004-07-23,D1935,0,,0,
10616834,32,2004-07-23,PILS,0,,0,
10616834,34,2004-07-23,D1935,0,,0,
10616834,36,2004-07-27,R1021,0,,0,
10616834,35,2004-07-27,R1021,0,,0,
10616834,37,2004-09-14,PTAC,0,,0,
10419867,1,2003-04-22,IEXX,0,,0,
10419867,5,2003-04-22,M844,0,,0,
10419867,2,2003-05-06,SCAN,0,,0,
10419867,4,2003-06-17,OIPE,0,,0,
10419867,3,2003-06-18,COMP,0,,0,
10419867,7,2003-11-17,M844,0,,0,
10419867,6,2003-11-17,M844,0,,0,
10419867,8,2004-03-02,DOCK,0,,0,
10419867,9,2004-03-08,CTNF,0,,0,
10419867,10,2004-03-10,MCTNF,0,,0,
10419867,11,2004-06-09,WAMD,0,,0,
10419867,12,2004-06-09,A...,0,,0,
10419867,14,2004-06-18,TSSCOMP,0,,0,
