application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
11027906,15,2006-02-03,DOCK,0,,0,
11027906,16,2006-05-10,CTNF,0,,0,
11027906,17,2006-05-11,MCTNF,72,PTO,-1,
11027906,18,2006-08-03,C614,0,,0,
11027906,19,2006-08-03,A...,0,,0,
11027906,20,2006-08-11,FWDX,0,,0,
11027906,21,2006-08-30,CTFR,0,,0,
11027906,22,2006-08-31,MCTFR,0,,0,
11027906,23,2006-10-09,A.NE,0,,0,
11027906,24,2006-10-12,FWDX,0,,0,
11027906,25,2006-10-20,EXIN,0,,0,
11027906,27,2006-10-24,EX.A,0,,0,
11027906,28,2006-10-24,N/=.,0,,0,
11027906,30,2006-10-25,MEX.A,0,,0,
11027906,31,2006-10-25,MEXIN,0,,0,
11027906,32,2006-10-25,MN/=.,0,,0,
10887236,10,2004-11-09,OIPE,0,,0,
10887236,11,2004-11-09,ROIPE,0,,0,
10887236,12,2004-11-09,WROIPE,0,,0,
10887236,13,2006-04-17,LET.,0,,0,
10887236,18,2006-10-05,DOCK,0,,0,
10887236,19,2006-10-05,TSSCOMP,0,,0,
10887236,20,2006-10-05,DOCK,0,,0,
10887236,23,2006-10-25,N/=.,0,,0,
10887236,24,2006-10-25,DVER,0,,0,
10887236,27,2006-10-26,MN/=.,413,PTO,-1,
09692073,31,2005-10-18,FWDX,0,,0,
09692073,33,2005-10-18,FWDX,0,,0,
09692073,36,2006-01-18,CTNF,0,,0,
09692073,37,2006-01-18,MCTNF,0,,0,
09692073,38,2006-03-21,DOCK,0,,0,
09692073,39,2006-07-20,XT/G,0,,0,
09692073,40,2006-07-20,A...,93,APPL,37,
09692073,41,2006-08-01,FWDX,0,,0,
09692073,42,2006-08-01,C.AD,0,,0,
09692073,44,2006-10-16,DOCK,0,,0,
09692073,45,2006-10-16,N/=.,0,,0,
09692073,47,2006-10-26,MN/=.,0,,0,
10394104,1,2003-03-21,IEXX,0,,0,
10394104,2,2003-04-08,SCAN,0,,0,
10394104,3,2003-05-02,SCAN,0,,0,
10394104,4,2003-05-22,COMP,0,,0,
10394104,5,2003-05-23,OIPE,0,,0,
10394104,6,2003-06-06,DOCK,0,,0,
10394104,7,2003-06-23,M844,0,,0,
10394104,8,2003-07-23,TSSCOMP,0,,0,
10394104,9,2003-08-01,DOCK,0,,0,
10394104,10,2003-08-11,CTNF,0,,0,
10394104,11,2003-08-13,MCTNF,0,,0,
10394104,12,2003-09-29,A...,0,,0,
10394104,13,2003-10-27,FWDX,0,,0,
10394104,14,2003-12-15,CTNF,0,,0,
10394104,15,2003-12-19,MCTNF,0,,0,
10394104,16,2004-03-15,A...,0,,0,
10394104,18,2004-03-15,C602,0,,0,
10394104,17,2004-03-19,FWDX,0,,0,
10394104,19,2004-06-01,CTNF,0,,0,
10394104,20,2004-06-07,MCTNF,0,,0,
10394104,21,2004-09-13,WAMD,0,,0,
10394104,22,2004-09-13,A...,6,APPL,20,
10394104,23,2004-09-28,FWDX,0,,0,
10394104,24,2004-12-13,CTFR,0,,0,
10394104,25,2004-12-14,MCTFR,0,,0,
10394104,26,2005-03-14,BRCE,0,,0,
10394104,28,2005-03-14,RCEX,0,,0,
10394104,27,2005-03-21,ABN9,0,,0,
10394104,29,2005-03-21,FWDX,0,,0,
10394104,31,2005-03-21,FWDX,0,,0,
10394104,32,2005-05-03,CTNF,0,,0,
11016993,13,2005-02-02,WROIPE,0,,0,
11016993,14,2005-02-02,ROIPE,0,,0,
11016993,16,2005-02-02,WROIPE,0,,0,
11016993,4,2005-02-03,COMP,0,,0,
11016993,9,2005-02-03,COMP,0,,0,
11016993,12,2005-02-03,COMP,0,,0,
11016993,15,2005-02-03,COMP,0,,0,
11016993,18,2005-03-23,DOCK,0,,0,
11016993,19,2005-03-23,TSSCOMP,0,,0,
11016993,21,2005-04-07,M844,0,,0,
11016993,22,2005-04-07,RCAP,0,,0,
11016993,27,2005-04-07,IDSC,0,,0,
11016993,23,2005-10-12,CTNF,0,,0,
11016993,24,2005-10-21,MCTNF,0,,0,
11016993,25,2005-11-04,A...,0,,0,
11016993,25.1,2005-11-04,A.I.,0,,0,
11016993,26,2005-11-09,FWDX,0,,0,
11016993,28,2006-01-17,NINA,0,,0,
11016993,29,2006-01-30,A...,87,APPL,25,
11016993,30,2006-02-02,FWDX,0,,0,
11016993,31,2006-04-05,CTNF,0,,0,
11016993,32,2006-04-07,MCTNF,0,,0,
11016993,33,2006-06-13,M844,0,,0,
11016993,34,2006-06-13,RCAP,0,,0,
11016993,35,2006-06-13,A...,0,,0,
11016993,36,2006-06-13,FWDX,0,,0,
11016993,37,2006-06-13,IDSC,0,,0,
11016993,38,2006-08-16,CTFR,0,,0,
11016993,39,2006-08-17,MCTFR,0,,0,
11016993,40,2006-09-19,A.NE,0,,0,
11016993,41,2006-09-20,FWDX,0,,0,
