application_number,pta_sequence_number,pta_event_date,pta_event_code,delay_duration,responsible_party,start_pta_sequence_number,term_extension_indicator
10313677,42,2008-09-08,D1935,0,,0,
10313677,44,2008-10-14,PTAC,0,,0,
10313677,44.5,2008-09-24,PTA36M,0,PTO,0,
11546243,34,2008-09-09,IFEE,0,,0,
11546243,35,2008-09-09,N084,0,,0,
11546243,36,2008-09-12,PILS,0,,0,
11546243,37,2008-09-12,D1935,0,,0,
11546243,39,2008-10-14,PTAC,0,,0,
11212732,63,2008-09-04,IFEE,0,,0,
10834711,1,2004-04-29,IEXX,0,,0,
10834711,11,2004-04-29,WIDS,0,,0,
10834711,11.7,2004-04-29,M844,0,,0,
10834711,12,2004-04-29,RCAP,0,,0,
10834711,14,2004-04-29,IDSC,0,,0,
10834711,2,2004-05-08,SCAN,0,,0,
10834711,4,2004-06-01,L198,0,,0,
10834711,5,2004-06-03,L128,0,,0,
10834711,7,2004-07-07,OIPE,0,,0,
10834711,8,2004-07-07,ROIPE,0,,0,
10834711,9,2004-07-07,WROIPE,0,,0,
10834711,6,2004-07-08,COMP,0,,0,
10834711,10,2005-03-02,DOCK,0,,0,
10834711,13,2005-03-02,TSSCOMP,0,,0,
10834711,15,2007-06-25,CTNF,0,,0,
10834711,16,2007-06-26,MCTNF,727,PTO,-1,
10834711,17,2007-09-24,A...,0,,0,
10555038,35,2008-09-05,IFEE,0,,0,
10555038,36,2008-09-05,N084,0,,0,
10555038,37,2008-09-08,PILS,0,,0,
10555038,38,2008-09-08,D1935,0,,0,
10555038,40,2008-10-14,PTAC,0,,0,
11212732,64,2008-09-04,N084,0,,0,
11212732,65,2008-09-11,D1935,0,,0,
11212732,67,2008-10-14,PTAC,0,,0,
10834711,18,2007-09-28,FWDX,0,,0,
10834711,20,2007-12-07,CTNF,0,,0,
10834711,21,2007-12-10,MCTNF,0,,0,
10834711,22,2008-02-01,DOCK,0,,0,
10834711,23,2008-02-12,DOCK,0,,0,
10834711,24,2008-03-07,A...,0,,0,
10834711,25,2008-04-10,FWDX,0,,0,
10834711,26,2008-06-23,CTFR,0,,0,
10834711,27,2008-06-25,MCTFR,0,,0,
10834711,28,2008-08-21,A.NE,0,,0,
10834711,29,2008-09-18,FWDX,0,,0,
10834711,35,2008-09-22,DOCK,0,,0,
10834711,36,2008-09-22,N/=.,0,,0,
10834711,37,2008-09-23,DVER,0,,0,
10834711,39,2008-09-24,MN/=.,0,,0,
11040461,45,2008-05-27,L181,0,,0,
11040461,47,2008-06-12,L183,0,,0,
11040461,50,2008-07-16,N084,0,,0,
11040461,49,2008-07-16,IFEE,0,,0,
11040461,51,2008-07-23,D1935,0,,0,
11040461,52,2008-07-25,D1935,0,,0,
11040461,53,2008-07-30,D1935,0,,0,
11040461,54,2008-08-13,D1935,0,,0,
11040461,55,2008-08-25,D1935,0,,0,
11040461,56,2008-08-28,PG-ISSUE,0,,0,
11040461,57,2008-08-28,D1935,0,,0,
11040461,58,2008-09-04,D1935,0,,0,
11040461,59,2008-09-04,L185,0,,0,
11040461,60,2008-09-05,PILS,0,,0,
11040461,61,2008-09-16,D1935,0,,0,
11040461,62,2008-09-16,D1935,0,,0,
11040461,64,2008-10-14,PTAC,0,,0,
11040461,64.5,2008-09-24,PTA36M,0,PTO,0,
10569671,30,2008-06-25,PUBTC,0,,0,
10569671,32,2008-07-03,TCPB,0,,0,
10569671,35,2008-09-04,IFEE,0,,0,
10569671,36,2008-09-04,N084,0,,0,
10569671,37,2008-09-09,PILS,0,,0,
10569671,38,2008-09-09,D1935,0,,0,
10569671,40,2008-10-14,PTAC,0,,0,
11792504,32,2008-07-24,FLRCPT.C,0,,0,
11792504,33,2008-09-09,IFEE,0,,0,
11792504,34,2008-09-09,N084,0,,0,
11792504,36,2008-09-12,PILS,0,,0,
11792504,35,2008-09-12,FLRCPT.C,0,,0,
11792504,37,2008-09-12,D1935,0,,0,
11792504,39,2008-10-14,PTAC,0,,0,
11217556,42,2008-09-02,IFEE,0,,0,
11217556,43,2008-09-02,N084,4,APPL,39,
11217556,44,2008-09-02,RQPR,43,APPL,0,
11202704,1,2005-08-12,IEXX,0,,0,
11202704,2,2005-08-20,SCAN,0,,0,
11202704,3,2005-08-25,L194,0,,0,
11202704,5,2005-08-30,OIPE,0,,0,
11202704,4,2005-08-31,COMP,0,,0,
11202704,6,2006-07-22,TSSCOMP,0,,0,
11202704,7,2007-06-27,DOCK,0,,0,
11202704,8,2007-09-25,CTNF,0,,0,
11202704,9,2007-09-27,MCTNF,350,PTO,-1,
11202704,10,2007-11-15,A...,0,,0,
11202704,12,2007-11-15,C614,0,,0,
11202704,11,2007-11-21,FWDX,0,,0,
11202704,13,2008-02-04,CTFR,0,,0,
11202704,14,2008-02-11,MCTFR,0,,0,
11202704,15,2008-02-28,A.NE,0,,0,
11202704,16,2008-03-04,FWDX,0,,0,
11202704,17,2008-03-31,CTNF,0,,0,
11202704,18,2008-04-02,MCTNF,0,,0,
11202704,19,2008-05-23,A...,0,,0,
